username,twhandle,postdate,content,responding,reply,retweet,like
Yıldız Özkan Terziog,@YTerziog,2021-07-27T11:18:26.000Z,"A problem that someone else tries to solve and the solution offered cannot ensure the individual will mature, grow, and become conscious.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove']"
Yıldız Özkan Terziog,@YTerziog,2021-07-26T09:19:20.000Z,"The individual transcends their mind by constantly focusing on their spiritual essence.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere",,,1,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere']"
Yıldız Özkan Terziog,@YTerziog,2021-08-01T08:42:49.000Z,"To be reborn is to be in pure surrender.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,,1,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
Yıldız Özkan Terziog,@YTerziog,2021-07-28T09:15:58.000Z,"The art of living is to love and be grateful for what life has to offer.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife",,,1,1,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife']"
Ahmet Poyraz,@AhmetPo22319013,2021-07-28T20:48:40.000Z,"Değerli kardeşim Esenyurt ilçe sağlık müdürü Dr Oktay dokuz'u makamında ziyaret ettim pandemi sürecinde göstermiş oldukları üstün başarılardan dolayı tebrik ettim
#saglik #doktor",,,1,10,"['saglik', 'doktor']"
Çankırı İl Kültür ve Turizm Müdürlüğü,@cankiri_iktm,2021-07-31T05:50:39.000Z,"Astım, bronşit, akciğer hastalıklarının tedavisinde kullanılıyor.

Çankırı'da Hititler döneminden bu yana tuz elde edilen mağaranın, sağlık ve turizm merkezi haline getirilmesi planlanıyor.
#cankiri #çankırı  #tuzmağarası #saltcave #sağlık #health #cankirikulturturizm 
@trthaber",,1,15,28,"['cankiri', 'çankırı', 'tuzmağarası', 'saltcave', 'sağlık', 'health', 'cankirikulturturizm']"
Umut Çınar,@Umutnar73992705,2021-07-26T06:22:35.000Z,#sağlık,,,,,['sağlık']
e_srpl,@e_srpl,2021-07-26T06:57:29.000Z,"Tam bir kaç gün dinleyeceğim derken.
Tatil bitti  
Mesai başladı  

#pazartesisendromu 
#mesai
#pazartesi
#sağlık #huzur #mucize #şans #bolluk #başarı  #para  #btc 
#ALTIN",,1,2,65,"['pazartesisendromu', 'mesai', 'pazartesi', 'sağlık', 'huzur', 'mucize', 'şans', 'bolluk', 'başarı', 'para', 'btc', 'ALTIN']"
Haluk Bozdoğan,@drhalukbozdogan,2021-08-01T13:11:39.000Z,"Her hafta sonu olduğu gibi bugün de vatandaşlarımızın sağlık sorunlarını dinleyip dertlerine derman olacak yönlendirmelerde bulunduk. 
Halkımızın destekçisi olmaya devam edeceğiz. 

#Tarsus #Halk #Pazar #Sağlık",,,5,28,"['Tarsus', 'Halk', 'Pazar', 'Sağlık']"
Seguro Sigorta,@segurosigorta,2021-07-27T04:23:22.000Z,"Tamamlayıcı Sağlık Sigortası ve Özel Sağlık Sigortası’nın sık sık karıştırılan bir konu olduğunu biliyoruz. İki sigorta arasındaki temel farkları detaylı bir şekilde öğrenmek için WhatsApp İletişim Hattı 0 541 439 33 24’e yazabilirsiniz. 
#sigorta #sağlık",,,,2,"['sigorta', 'sağlık']"
