username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Çılgın Fizikçiler ve Bilim İnsanları #Bilim,@CilginFizikciBi,2021-08-02T18:00:15.000Z,#bilim #fizik #üniversite #ders,,,,1,"[""['bilim', 'fizik', 'üniversite', 'ders']""]"
Fizik Hub,@FizikHub,2021-08-02T17:41:37.000Z,"Michael Faraday 
1-1791 yılında Londra’da doğdu. Ailesinin ekonomik durumunun kötü olması ve geç öğrenmesi sebebiyle okuldan ayrıldı. 14 yaşına kadar çeşitli işlerde çalışmıştı. 
#Michael #Faraday #elektrik #electric #Londra #Science #bilim #Physics #fizik #kimya #chemical #aciz",,1,3,5,"[""['Michael', 'Faraday', 'elektrik', 'electric', 'Londra', 'Science', 'bilim', 'Physics', 'fizik', 'kimya', 'chemical', 'aciz']""]"
Biyolog Dr. Yalçın Dedeoğlu,@yalcindedeoglu,2021-08-02T17:13:35.000Z,"Gelişmiş ülkelerde #biyoloji, #kimya ve #fizik bilimi alanları finansal olarak büyük destekler görmektedir. Destekler hem devlet hem de ülkenin zengin kuruluşları tarafından sağlanmaktadır.",,,2,29,"[""['biyoloji', 'kimya', 'fizik']""]"
Bilim ve Aydınlanma Akademisi,@bilimveaydnlnma,2021-08-02T16:34:51.000Z,"Yaz okulumuz başladı...

“20. Yüzyılda Sınıf Mücadeleleri ve Bilim Felsefesi” üst-başlıklı yaz okulunda dört gün boyunca bilim düşüncesinin en tartışmalı dönemini ele alacağız.

#bilim #felsefe #toplum #fizik #matematik #psikanaliz #sınıf #sosyalizm",,,6,22,"[""['bilim', 'felsefe', 'toplum', 'fizik', 'matematik', 'psikanaliz', 'sınıf', 'sosyalizm']""]"
Yazıt Yayınları,@yazityayinlari,2021-08-02T16:00:47.000Z,"Başarının rüzgârına kapılmaya kaldığınız yerden devam etmek için tüm fizik kanunları hazır. Güncel ve kazanım odaklı içeriğiyle yeni nesil sorular sunan Yazıt 11. Sınıf Fizik konu kitabı http://yazityayinlari.com’da sizi bekliyor.
#YazıtYayınları #fizik",,,,,"[""['YazıtYayınları', 'fizik']""]"
Emotion,@feelin_gs,2021-07-31T13:19:20.000Z,"Hayrıma olarak, Dünyanın en güzel ülkesinde sahil kenarına yerleşeceğim tez zamanda #çekimyasası #evren #enerji #kuantum #fizik",,,,,"[""['çekimyasası', 'evren', 'enerji', 'kuantum', 'fizik']""]"
Öğretmen İlanlari,@Ogretmenilani,2021-07-31T13:12:58.000Z,"• İlkokul: #Sınıf ve #İngilizce Öğretmeni,
• Ortaokul: #Matemtik ve #Rehber Öğretmeni,
• Lise: #Fizik, #Kimya, #Biyoloji, Matematik, ve Rehber Öğretmeni 

Fen Bilimleri Kağıthane Kampüsü 

#Öğretmenİlanları #Eğitim
https://linkedin.com/company/ogretmen-ilanlari/…",,,,,"[""['Sınıf', 'İngilizce', 'Matemtik', 'Rehber', 'Fizik', 'Kimya', 'Biyoloji', 'Öğretmenİlanları', 'Eğitim']""]"
Aarón López López,@arn_lpz,2021-07-31T13:00:39.000Z, #oakley #oakleyaro5 #oakleywindjacket2 #gobik #gobikwear #garmin #fizik #cannondale #cannondalesupersixevo  #roadbike #roadcycling en Abadia de Montserrat https://instagram.com/p/CR_cO5pA53M/?utm_medium=twitter…,,,,,"[""['oakley', 'oakleyaro5', 'oakleywindjacket2', 'gobik', 'gobikwear', 'garmin', 'fizik', 'cannondale', 'cannondalesupersixevo', 'roadbike', 'roadcycling']""]"
PEMA KOLEJİ,@pemakoleji,2021-07-31T09:52:45.000Z,#ProfesyonelEğitim #Başarı #Eğitim #cern #avrupanükleeraraştırmamerkezi #beamlineforschool #beamline #fizik #parçacıkfiziği #Türktakımı,,,,4,"[""['ProfesyonelEğitim', 'Başarı', 'Eğitim', 'cern', 'avrupanükleeraraştırmamerkezi', 'beamlineforschool', 'beamline', 'fizik', 'parçacıkfiziği', 'Türktakımı']""]"
鶴田,@nuru_2,2021-07-31T08:01:01.000Z,"一年間迷ってたけどついに買っちゃったぜ！
#fizik 
#fizikadaptive
#ロードバイク",,,,3,"[""['fizik', 'fizikadaptive', 'ロードバイク']""]"
mega,@lokmanshahrir,2021-07-31T03:04:42.000Z,iqamat jumaat je auto ramai tumbang atas faktor kaki hilang. paling best member tiang belakang kanan #fizik #iykyk,"Quote Tweet
SBP Gags
@SBPGags
 · Jul 30
Apa yang anda rindukan tentang hari Jumaat di SBP? 

Kalau admin rindukan lauk daging black pepper di DM. Korang? Share sikit geng ",1,4,10,"[""['fizik', 'iykyk']""]"
Fizik Hub,@FizikHub,2021-07-29T18:33:24.000Z,"Schrödinger'in kedisi
1-Erwin Schrödinger kuantum fiziğinin en önemli figürlerden biriydi. 
#kuantum #quantum #fizik #Physics #erwin #schrödinger #kedi #cat #Science #marmaris #bilim #Otel  #planck #astronomy #nature #doga #Astrophotography #photography  #Einstein #MODERN",,1,6,11,"[""['kuantum', 'quantum', 'fizik', 'Physics', 'erwin', 'schrödinger', 'kedi', 'cat', 'Science', 'marmaris', 'bilim', 'Otel', 'planck', 'astronomy', 'nature', 'doga', 'Astrophotography', 'photography', 'Einstein', 'MODERN']""]"
