username,twhandle,postdate,content,responding,reply,retweet,like
degerfxofficial,@degerfxofficial,2021-08-02T08:12:09.000Z,#degerforex #degerfx #degerfxofficial #forex #forextrader #fxtrader #fxturkiye #güvenilirforex #yurtdisiforex #forexsinyalleri #sinyal #fx #usdtry #usd #eur #eurusd #ekonomi #haber #finans #viop #borsa #stockmarket #hisse #hissesenedi #gunlukanaliz #günlükanaliz,,,,
Ulak News,@ulaknews,2021-08-02T08:12:09.000Z,Fetty Wap'in evlat acısı... https://ulak.news/haber_fetty-wapin-evlat-acisi_haberturk_3150398.html… --- #sondakika #haber #sondakikahaber #haberler,"Fetty Wap'in evlat acısı
Ünlü rapçi Fetty Wap'in 4 yaşındaki kızı Lauren Maxwell, hayatını kaybetti. Maxvell'in uykusunda yaşamını yitirdiği öğrenildi | Ulak News
ulak.news",,,
SON_Ajans,@SONAjans1,2021-08-02T08:11:24.000Z,"Kahramanmaraş’ta aranan 54 kişi yakalandı  https://sonhaberajansi.com/kahramanmarasta-aranan-54-kisi-yakalandi-5813h.htm… 
@SONAjans1
 aracılığıyla #haber #sonhaberajansi #Kahramanmaraş #polis #maganda #silah #coronavirus #COVID19","Kahramanmaraş’ta aranan 54 kişi yakalandı 
Kahramanmaraş’ta polis ekipleri tarafından son bir hafta içerisinde aranan şüphelilere yönelik yapılan çalışmada 54 kişi yakalandı. 
sonhaberajansi.com",,,
Gerçek Urfa,@gercek_urfa,2021-08-02T08:10:29.000Z,"Yüreği Küçük Sözleri Büyük, Lise Öğrencisinin Günümüze Dair Anlamlı Açıklama

#şanlıurfa #urfa #gerçekurfa #gündem #güncel #sondakika #haber 

https://gercekurfa.com/haberler/02/gundem/yuregi-kucuk-sozler-buyuk-lise-ogrencisinin-gunumuze-dair-anlamli-aciklama/06/…",,,,
olay.com.tr,@OlayHaber_Bursa,2021-08-02T08:05:48.000Z,"17 yaş küçük sevgilisiyle plajda görüntülendi!

https://olay.com.tr/galeri/17-yas-kucuk-sevgilisiyle-plajda-goruntulendi-826654… #haber #sondakika",,,,
Mega Haber,@megahaber27,2021-08-02T08:05:39.000Z,"Gaziantep Futbol Takımı, Avusturya kampını tamamladı #gaziantep #haber","Gaziantep Futbol Takımı, Avusturya kampını tamamladı
Süper Lig ekiplerinden Gaziantep, Avusturya kampını tamamladı.
megahaber27.com",,,
olay.com.tr,@OlayHaber_Bursa,2021-08-02T08:05:34.000Z,"Yargıtay son noktayı koydu...Araç kiralayanlar dikkat

https://olay.com.tr/ozel-yargitay-son-noktayi-koydu-arac-kiralayanlar-dikkat-826582… #haber #sondakika #Gündem",,,,
Türkuluscom,@turkulus_com,2021-08-02T08:05:10.000Z,"Cinsel tacizi günlük ortaya çıkardı 

#cinseltaciz #taciz #intihar #depresyon #günlük #gündem #SonDakika #haber #güncelhaberler #haberler #Türkulus","Cinsel tacizi günlük ortaya çıkardı - Türkulus Medya Haber
Cinsel tacizi günlük ortaya çıkardı.
turkulus.com",,,
Bizim Ankara,@BizimAnkara,2021-08-02T08:04:47.000Z,"Yargıtay Son Noktayı Koydu: Kiralık Aracın Ehliyetsiz Kişiye Verilmesine Ceza 
#yargıtay #kiralıkaraç #araçkiralama #ankara #haber #pazartesi #gündem","Yargıtay Son Noktayı Koydu: Kiralık Aracın Ehliyetsiz Kişiye Verilmesine Ceza
Milyonlarca sürücüyü yakından ilgilendiren bir karara imza atan Yargıtay 19. Ceza Dairesi, kiralanan aracın ehliyetsiz üçüncü kişiye verilmesinde, kiraya verenin sorumlu tutulamayacağına hükmetti.
bizimankara.com.tr",,,
SAVAŞ UĞURLU,@savasugurlu2023,2021-08-02T08:02:45.000Z,"Filenin Sultanları, Rusya'yı 3-2 mağlup etti

Çeyrek finali garantileyen Filenin Sultanları, Rusya'yı 3-2 mağlup ederek #Tokyo2020  Olimpiyat Oyunları grubunu 3. sırada bitirdi.

#fileninsultanları #sondakikahaberler #sondakika #haber #tokyo2020 #tokyo #rusya #russia #turkey",,,,
