username,twhandle,postdate,content,responding,reply,retweet,like
Kayseri Son Dakika Haberleri,@DakikaKayseri,2021-08-12T08:17:04.000Z,Ünlü türkücü Hasan Yılmaz Kayseride klip çekti https://kayserisondakikahaberleri.com/haber/unlu-turkucu-hasan-yilmaz-kayseride-klip-cekti-6578… #haber #kayserisondakika #güncel,"Ünlü türkücü Hasan Yılmaz Kayseride klip çekti
TÜRKİYE'NİN SEVİLEN SANATÇILARINDAN HASAN YILMAZ, YENİ ŞARKISINA KAYSERİ'DE VİDEO KLİP ÇEKTİ.
kayserisondakikahaberleri.com",,,,"['haber', 'kayserisondakika', 'güncel']"
Akdeniz Haber Postası,@AkdenizHbrPstsi,2021-08-12T08:17:04.000Z,96 yaşındaki asırlık çınardan aşı çağrısı https://akdenizhaberpostasi.com/haber/96-yasindaki-asirlik-cinardan-asi-cagrisi-76493… #Antalya #Haber #Sondakika,"96 yaşındaki asırlık çınardan aşı çağrısı
ANTALYA’NIN İBRADI İLÇESİ ORMANA MAHALLESİ'NDE YAŞAYAN 96 YAŞINDAKİ HÜSEYİN GERÇEK, 3’ÜNCÜ DOZ KORONA VİRÜS AŞISINI OLDU, AŞI ÇAĞRISI YAPTI
akdenizhaberpostasi.com",,,,"['Antalya', 'Haber', 'Sondakika']"
Yayla Haber Gazetesi,@YaylaHaber,2021-08-12T08:17:04.000Z,Çorum İl Özel İdaresi tarafından Çorum ve ilçelerde bulunan engelli vatandaşlara yapılan akülü ve manuel tekerlekli sandalye bağışları devam ediyor. https://yaylahaber.com.tr/yasam/sehit-babasinin-istegi-yerine-getirildi-h132180.html?utm_source=dlvr.it&utm_medium=twitter… #Çorum #yaylahaber #haber,,,,,"['Çorum', 'yaylahaber', 'haber']"
Talas Haber,@Talashaber,2021-08-12T08:17:04.000Z,Büyükşehirden üniversite adaylarına YKS desteği https://talasexpresshaber.com/haber/buyuksehirden-universite-adaylarina-yks-destegi-510138… #Kayseri #Sondakika #Haber,"Büyükşehirden üniversite adaylarına YKS desteği
KAYSERİ BÜYÜKŞEHİR BELEDİYESİ, YÜKSEKÖĞRETİM KURUMLARI SINAVI (YKS) SONUÇLARINA GÖRE TERCİH YAPACAK GENÇLERE DANIŞMANLIK HİZMETİ VERMEYE BAŞLADI.
talasexpresshaber.com",,,,"['Kayseri', 'Sondakika', 'Haber']"
Bozkır Sırıstat,@siristat,2021-08-12T08:16:54.000Z,"Çocuklarla Anı Yaşayamamak

https://ift.tt/3jLXPPE

#Bozkir #Konya #Siristat #Haber #yakupcetincom",,,,,"['Bozkir', 'Konya', 'Siristat', 'Haber', 'yakupcetincom']"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T08:06:23.000Z,"Bursa’daki bu devlet okulu 'çok özel'

https://olay.com.tr/bursadaki-bu-devlet-okulu-cok-ozel-831997… #haber #sondakika #Eğitim",,,,1,"['haber', 'sondakika', 'Eğitim']"
Bayburt Haber,@bayburthaberweb,2021-08-12T08:06:05.000Z,"Baksı Müzesi İki Yeni Sergisiyle Sanatseverleri Bekliyor
#bayburthabercom #bayburtunnabzi #bayburthaber #bayburt #haber","Baksı Müzesi İki Yeni Sergisiyle Sanatseverleri Bekliyor
Bayburtta 2010 yılında kapılarını ziyarete açan Baksı Müzesinde Kıraçta Heykel adlı sergi ile Anadolu Ödüllerine değer bulunan projeler sanatseverlerin beğenisine sunuluyor.
bayburthaber.com",,,3,"['bayburthabercom', 'bayburtunnabzi', 'bayburthaber', 'bayburt', 'haber']"
Findy News Haber,@FindyNews,2021-08-12T08:05:02.000Z,Canon Yeni Ürün Yazılımı ile Film Yapımcılarını Destekliyor  https://findynews.com/canon-yeni-urun-yazilimi-ile-film-yapimcilarini-destekliyor/… #Haber #gündem #sondakika #findynews #canon,"Canon Yeni Ürün Yazılımı ile Film Yapımcılarını Destekliyor
Canon un en son ürün yazılımı güncellemesi, EOS R5 EOS R6 ve EOS-1D X Mark III modelleri için profesyonel video çekim özellikleri sunuyor.
findynews.com",,,1,"['Haber', 'gündem', 'sondakika', 'findynews', 'canon']"
Bizim Ankara,@BizimAnkara,2021-08-12T08:04:49.000Z,"Bekir Pakdemirli: Tüm Yangınlar Kontrol Altına Alındı 
#ormankahramanları #ormanyangini #ormanyangınları #ankara #haber #bekirpakdemirli #tarımveormanbakanlığı #perşembe #gündem #köyceğiz","Bekir Pakdemirli: Tüm Yangınlar Kontrol Altına Alındı
Tarım ve Orman Bakanı Pakdemirli, orman yangınlarıyla son bilgiyi paylaştı. Pakdmeirli, yangınların son halkasının da kontrol altına alındığını söyledi.
bizimankara.com.tr",,,,"['ormankahramanları', 'ormanyangini', 'ormanyangınları', 'ankara', 'haber', 'bekirpakdemirli', 'tarımveormanbakanlığı', 'perşembe', 'gündem', 'köyceğiz']"
Yemlee | Haber Arama Motoru,@Yemlee2,2021-08-12T08:03:03.000Z,Esendemir: 1 liralık gazeteden tasarruf olur mu? https://yemlee.com/esendemir-1-liralik-gazeteden-tasarruf-olur-mu-330989.html?utm_source=dlvr.it&utm_medium=twitter… #Haber #AramaMotoru #Yemlee,"Esendemir: 1 liralık gazeteden tasarruf olur mu?
Adana Akademik Meslek Odaları Birliği Bileşenlerinin ziyaretinde konuşan Çukurova Gazeteciler Cemiyeti Başkanı Cafer Esendemir, “Bir liralık gazeteden tasarruf mu olur? Cumhurbaşkanlığı Tasarruf...
yemlee.com",,,,"['Haber', 'AramaMotoru', 'Yemlee']"
