username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Başkent'te Karar,@BaskentteKarar,2021-08-02T18:27:53.000Z,"İzmir'de orman yangını https://baskenttekarar.com/izmir/izmir-de-orman-yangini-2-h20203.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","İzmir'de orman yangını
İzmir'in Gaziemir ilçesinde, ormanlık alanda yangın çıktı. Ekipler, yangına havadan ve karadan müdahale ediyor. 
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
ahoraGranada,@AhoraGranada,2021-08-02T18:20:00.000Z,#Magazín | El evento tendrá lugar del 4 al 8 de agosto y combinará bandas de la zona con grupos nacionales e internacionales,"Los músicos granadinos protagonizan la decimocuarta edición del Festival de Jazz y Blues de la...
La Diputación de Granada y el Ayuntamiento de Busquístar, han presentado este lunes la decimocuarta edición del Festival de Blues y Jazz de la Alpujarra, protagonizada por músicos granadinos. Tras un...
ahoragranada.com",,,,"[""['Magazín']""]"
KARA KUTU KANALI,@karakutukanalii,2021-08-02T18:18:58.000Z,"Daha fazlası için 
@karakutukanalii
 
.
#sondakika #haber #istanbul #izmir #türkiye #ankara #haberler #sondakikahaber #takip #turkey #gündem #asker #galatasaray #tbt #turkiye #vatan #bilgi #bayrak #mhp #sondakikahaberler #rte #magazin #15temmuz #video #chp #ultraslan #pöh",,,,1,"[""['sondakika', 'haber', 'istanbul', 'izmir', 'türkiye', 'ankara', 'haberler', 'sondakikahaber', 'takip', 'turkey', 'gündem', 'asker', 'galatasaray', 'tbt', 'turkiye', 'vatan', 'bilgi', 'bayrak', 'mhp', 'sondakikahaberler', 'rte', 'magazin', '15temmuz', 'video', 'chp', 'ultraslan', 'pöh']""]"
KARA KUTU KANALI,@karakutukanalii,2021-08-02T18:18:14.000Z,"Daha fazlası için 
@karakutukanalii
 
.
#sondakika #haber #istanbul #izmir #türkiye #ankara #haberler #sondakikahaber #takip #turkey #gündem #asker #galatasaray #tbt #turkiye #vatan #bilgi #bayrak #mhp #sondakikahaberler #rte #magazin #15temmuz #video #chp #ultraslan #pöh",,,,1,"[""['sondakika', 'haber', 'istanbul', 'izmir', 'türkiye', 'ankara', 'haberler', 'sondakikahaber', 'takip', 'turkey', 'gündem', 'asker', 'galatasaray', 'tbt', 'turkiye', 'vatan', 'bilgi', 'bayrak', 'mhp', 'sondakikahaberler', 'rte', 'magazin', '15temmuz', 'video', 'chp', 'ultraslan', 'pöh']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T17:30:24.000Z,"Koronavirüs salgınında can kaybı kaça yükseldi? İşte son durum 'TABLOSU' https://baskenttekarar.com/saglik/koronavirus-salgininda-can-kaybi-kaca-yukseldi-iste-son-durum-2-h20202.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Koronavirüs salgınında can kaybı kaça yükseldi? İşte son durum 'TABLOSU'
SAĞLIK Bakanlığı 'Günlük Kovid- 19 Tablosu' verilerini açıkladı. Son 24 saatte yapılan 270 bin 426 testte 22 bin 898 vaka tespit edildi. 91 kişi hayatını kaybederken, 5 bin 947 kişinin de tedavisi ve...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T17:14:06.000Z,"Husumetliler arasında silahlı çatışma; 1 ölü 1 yaralı https://baskenttekarar.com/bursa/husumetliler-arasinda-silahli-catisma-1-olu-1-yarali-h20201.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Husumetliler arasında silahlı çatışma; 1 ölü 1 yaralı
BURSA’da Burak Y. ile aralarında husumet bulunan Yasin Dere arasında silahlı çatışma çıktı. Tabancayla vurularak, ağır yaralanan Dere, kaldırıldığı hastanede hayatını kaybetti. Şüpheli Burak Y.'nin...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T17:13:11.000Z,"'SON DAKİKA' tur midibüsü kaza yaptı: 3 turist öldü, 9 yaralı https://baskenttekarar.com/antalya/son-dakika-tur-midibusu-kaza-yapti-3-turist-oldu-h20200.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla #sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","'SON DAKİKA' tur midibüsü kaza yaptı: 3 turist öldü, 9 yaralı
ANTALYA'nın Manavgat ilçesinde, Naci Dirlik'in kullandığı, içerisinde 22 turistin bulunduğu midibüs karşı şeride geçerek devrildi. Kazada Rus uyruklu 3 turist hayatını kaybederken, 8 turist ve şoför...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T17:12:10.000Z,"Korkuluğun kırılmasıyla ikinci kattan düşen Saadet, toprağa verildi https://baskenttekarar.com/izmir/korkulugun-kirilmasiyla-ikinci-kattan-dusen-saadet-topraga-verildi-h20199.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Korkuluğun kırılmasıyla ikinci kattan düşen Saadet, toprağa verildi
İzmir'te yaslandığı pencerenin korkuluklarının kırılması sonucu ikinci kattan düşerek hayatını kaybeden Saadet Ün (45) son yolculuğuna uğurlandı.
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Gazete Haberi,@gazetehaberii,2021-08-02T17:05:44.000Z,Seda Sayan'a büyük şok! #Magazin,"Seda Sayan'a büyük şok!
Haberin Detayları İçin Tıklayınız..
gazetehaberi.com",,,,"[""['Magazin']""]"
LookerWeekly.com,@LookerWeekly,2021-08-02T17:04:16.000Z,"Unity i Unreal Engine, kao i dodatne igre dobijaju AMD FSR podršku https://lookerweekly.com/najavljujem0/unity-i-unreal-engine-kao-i-dodatne-igre-dobijaju-amd-fsr-podrsku/… #Najavljujemo #magazin",,,,,"[""['Najavljujemo', 'magazin']""]"
Turkce Ekonomi,@turkceekonomi,2021-08-02T17:02:33.000Z,Facebook'un Kustomer'ı satın alma teklifine AB soruşturması http://dlvr.it/S4vJ8B #Türkçe #MagazinHaberleri #Magazin,,,,,"[""['Türkçe', 'MagazinHaberleri', 'Magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T16:58:22.000Z,"Bakan Yanık: Antalya ve Muğla'ya 13 milyon TL ek kaynak gönderiyoruz https://baskenttekarar.com/yerel-haberler/bakan-yanik-antalya-ve-mugla-ya-13-milyon-tl-ek-kaynak-gonderiyoruz-h20198.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Bakan Yanık: Antalya ve Muğla'ya 13 milyon TL ek kaynak gönderiyoruz
Aile ve Sosyal Hizmetler Bakanı Derya Yanık, yangının devam ettiği Antalya ile Muğla'ya 13 milyon TL ek kaynak göndereceklerini açıkladı.
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T15:59:54.000Z,"88 yaşındaki yangın mağduru, Cumhurbaşkanı Erdoğan ile telefonda görüştü https://baskenttekarar.com/yerel-haberler/88-yasindaki-yangin-magduru-cumhurbaskani-erdogan-ile-telefonda-h20195.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","88 yaşındaki yangın mağduru, Cumhurbaşkanı Erdoğan ile telefonda görüştü
Cumhurbaşkanı Recep Tayyip Erdoğan, Mersin'in Aydıncık ilçesindeki orman yangınında evi kullanılamaz hale gelen Süleyman Küçük (88) ile cep telefonuyla görüştü, geçmiş olsun dileğinde bulundu.
baskenttekarar.com",,,1,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Haber34 İstanbul,@Haber34I,2021-08-02T15:40:05.000Z,"Motorine bu gece yarısından itibaren zam - 

http://haber34.istanbul/motorine-bu-gece-yarisindan-itibaren-zam/…

-
#magazin #keşfet #takip #borsa #bist100 #ekonomi","Motorine bu gece yarısından itibaren zam - Haber34.İstanbul
Bu gece yarısından itibaren geçerli olacak şekilde motorinin litre satış fiyatına 5 kuruş zam yapıldı. Bu gece yarısından itibaren geçerli olacak şekilde motorinin litre satış fiyatına 5 kuruş zam...
haber34.istanbul",,,,"[""['magazin', 'keşfet', 'takip', 'borsa', 'bist100', 'ekonomi']""]"
Turkce Magazin,@turkcemagazin,2021-08-02T15:37:08.000Z,Sanatçılardan yangına karşı destek mesajı: Yangın söndürme çalışmalarına sanat dünyası da sosyal medya mesajlarıyla destek olmaya çalışıyor. http://dlvr.it/S4v42p #Türkçe #MagazinHaberleri #Magazin,,,,,"[""['Türkçe', 'MagazinHaberleri', 'Magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-02T15:08:06.000Z,"Bakan Kurum'dan yangın bölgelerinde hasar tespit açıklaması https://baskenttekarar.com/yerel-haberler/bakan-kurum-dan-yangin-bolgelerinde-hasar-tespit-aciklamasi-h20194.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Bakan Kurum'dan yangın bölgelerinde hasar tespit açıklaması
Çevre ve Şehircilik Bakanı Murat Kurum, Antalya'nın Manavgat ilçesinde 2 bin 725 binada 1777 bağımsız birim ile Muğla'nın Marmaris ilçesinde 109 binanın ağır hasarlı, acil yıkılacak ve yıkık olduğu...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
