username,twhandle,postdate,content,responding,reply,retweet,like
moonstrerax,@bee78132625,2021-08-12T08:04:37.000Z,"Padahal gw gatau beneran bisa tau engga, alhasil jawaban gw ga selesai disuruh lanjut besok dan gw ngambil 3 menit waktu temen kelas gw.

Mangkannya gw jarang ngejawab pertanyaan guru, antara malu atau jadi gaenak.

#PPKMLevel4 #matematik #kelas #storytime  #hariinidalamsejarah",,,,,"['PPKMLevel4', 'matematik', 'kelas', 'storytime', 'hariinidalamsejarah']"
YeditepeÜniversitesi,@YeditepeUni,2021-08-12T07:53:15.000Z,"Yeditepe Üniversitesi Matematik Bölümü hakkında bilgi edinebileceğiniz bu keyifli yayını dinlemek için:

https://spoti.fi/3iCldj9

#yeditepeüniversitesi #matematik #podcast #tercihtanıtım #yks2021",,,3,3,"['yeditepeüniversitesi', 'matematik', 'podcast', 'tercihtanıtım', 'yks2021']"
TomTomClub,@tussepe,2021-08-12T06:03:21.000Z,"Replying to 
@chanel_lena
 and 
@MHemstrom","Skall S eller SD ingå i din borgerliga regering?
#matematik",,,,[]
'MATH'man ama aynı zamanda {(OsMaN)},@mathliteracy_1,2021-08-11T19:57:02.000Z,#matematik #π #arsimet #Ludolph,,,,7,"['matematik', 'π', 'arsimet', 'Ludolph']"
AsımTAŞ,@asmts64,2021-08-11T17:11:12.000Z,"Günün sorusu 

@endemikyayinlari 

#YKS #TYT #AYT #LGS #DGS #KPSS #ALES #kunduz #matematik #geometri #math #mathematics #geometry @ Kayseri, turkey https://instagram.com/p/CScShADiRV7/?utm_medium=twitter…",,,,,"['YKS', 'TYT', 'AYT', 'LGS', 'DGS', 'KPSS', 'ALES', 'kunduz', 'matematik', 'geometri', 'math', 'mathematics', 'geometry']"
Hedonistin Günlüğü,@hedonist_gunluk,2021-08-11T17:03:58.000Z,"Biyolojik yaşamı matematiksel olarak tasvir edebileceğimiz kavramsal çerçevelerden bir tanesi de ""olasılıksal fraktallardır."" #math #matematik","Probabilistic Random Fractal Tree 3
Branch probability cone 45 degrees, branch level scale factor 0.75, branch levels 10. (see video 1 description for info)
youtube.com",,,,"['math', 'matematik']"
Anders Fällström,@hyperconvex,2021-08-11T16:45:26.000Z,"”Det matematiska muséet” digitaliserat! Mängder av modeller över matematiska objekt vid Lunds universitets matematikcentrum. #matematik #Lund
https://www1.maths.lth.se/matematiklth/personal/tomasp/museum/…",,,,1,"['matematik', 'Lund']"
Saygın Eğitim Kurumu,@sayginegitim,2021-08-11T09:47:09.000Z,#DerslerimizBaslıyor #ilkokul #ortaokul #lgs #lgs2022 #lgs2022tayfa #türkçe #matematik #fenbilimleri #inkılaptarihi #ingilizce #dinkültürü #türktelekomortaokulu #ziyaeddinakbulutortaokulu #haliliyeortaokulu #yunusemreimkbilkokulu #2002vakıflarilkokulu #yenişehirortaokulu,,,3,4,"['DerslerimizBaslıyor', 'ilkokul', 'ortaokul', 'lgs', 'lgs2022', 'lgs2022tayfa', 'türkçe', 'matematik', 'fenbilimleri', 'inkılaptarihi', 'ingilizce', 'dinkültürü', 'türktelekomortaokulu', 'ziyaeddinakbulutortaokulu', 'haliliyeortaokulu', 'yunusemreimkbilkokulu', '2002vakıflarilkokulu', 'yenişehirortaokulu']"
Daniel Barker,@barkersthlm,2021-08-11T08:14:16.000Z,6 nya whiteboard i mitt klassrum! Nu har vi 8 st för transparent problemlösning i grupp. #Matematik,,9,4,95,['Matematik']
Koç Üniversitesi,@kocuniversity,2021-08-11T06:55:08.000Z,"“Fakülteleri Keşfet” serisi bugün 19.00'da #FenFakültesi ile devam ediyor. Kayıt olmak için: https://koc.ca1.qualtrics.com/jfe/form/SV_8uhKFltsCk40BhA…
#Kimya, #Matematik, #MolekülerBiyoloji ve #Genetik ve #Fizik bölümlerinde okuyan öğrencilere sunulan alan dersleri, çekirdek dersler...",,1,1,6,"['FenFakültesi', 'Kimya', 'Matematik', 'MolekülerBiyoloji', 'Genetik', 'Fizik']"
