username,twhandle,postdate,content,responding,reply,retweet,like
Teknoloji Gündem,@teknolojigndm,2021-08-12T06:57:11.000Z,"Meteor yağmuru ne zaman, Türkiye’den izlenecek mi? #PerseidMeteorYağmuru #NASA  - https://teknolojigundem.com/haber/meteor-yagmuru-ne-zaman-turkiyeden-izlenecek-mi/1592852…",,,,,"['PerseidMeteorYağmuru', 'NASA']"
Kozmos Ekstra,@KozmosEkstra,2021-08-11T20:17:07.000Z,"Perseid Meteor Yağmurunu Kaçırmayın 

11-13 Ağustos tarihleri arasında çıplak gözle bile görebileceğiniz meteor yağmurunu izlemek için tek yapmanız gereken şey şehir ışıklarından uzak bir yerde bulunmak.

#perseidmeteoryağmuru #astronomi #uzay #evren",,,,5,"['perseidmeteoryağmuru', 'astronomi', 'uzay', 'evren']"
Alvinin Sincabı,@sedadgnnn,2021-08-11T19:53:27.000Z,"Sevenler meteor yağmurunu el ele izlesin diye İstanbulun bütün elektriklerini kesmezsek olmazmış başkanım  
@ekrem_imamoglu
 #sevenlerimutluet #perseidmeteoryağmuru",,,,1,"['sevenlerimutluet', 'perseidmeteoryağmuru']"
Erdinç Şahin,@kungfu1964,2021-08-10T21:20:39.000Z,"PERSEİD METEOR YAĞMURU BAŞLIYOR, KARANLIK BİR GÖKYÜZÜ GEREKİYOR!.. https://kuzeyegehaber.com/2021/08/11/perseid-meteor-yagmuru-basliyor-karanlik-bir-gokyuzu-gerekiyor/… #karanlıkgökyüzü #perseidmeteoryağmuru #şehirışığındanuzak","PERSEİD METEOR YAĞMURU BAŞLIYOR, KARANLIK BİR GÖKYÜZÜ GEREKİYOR!.. | Kuzeyegehaber
KUZEYEGEHABER-Çoğu astronomun yılın en önemli gökyüzü olayı olarak nitelendirdiği Perseid meteor yağmuru, her yıl temmuz ayının sonu veya ağustos ayının başlangıcında yavaş yavaş boy göstermeye...
kuzeyegehaber.com",,,,"['karanlıkgökyüzü', 'perseidmeteoryağmuru', 'şehirışığındanuzak']"
Media Cholic,@mediacholic,2021-08-10T00:13:01.000Z,Perseid meteor yağmuru bu hafta zirve yapiyor. Görmeye değer.#PerseidMeteorShower #perseidmeteoryağmuru #meteor #kayanyildiz,,,,6,"['PerseidMeteorShower', 'perseidmeteoryağmuru', 'meteor', 'kayanyildiz']"
WhiteOwl,@brckncl,2020-08-14T19:55:06.000Z,"Jupiter aşığı olduğum doğrudur. 
@AstroPhotoTurk
 #perseidmeteoryagmuru",,,1,7,['perseidmeteoryagmuru']
fatmanur alibekiroğlu,@ftmnr_a,2020-08-14T09:08:28.000Z,#PerseidMeteorYagmuru,,,,2,['PerseidMeteorYagmuru']
fatmanur alibekiroğlu,@ftmnr_a,2020-08-14T09:06:57.000Z,#PerseidMeteorYagmuru,,,,1,['PerseidMeteorYagmuru']
kalitelikalem,@kalitelikalem,2020-08-14T08:48:47.000Z,"Perseid Meteor Yağmuru Türkiye Üzerinden Görünecek Mi?

https://kalitelikalem.com/nedir/perseid-meteor-yagmuru-turkiye-uzerinde-gorunecek-mi.html#.XzZP0bljkWM.twitter… #PerseidMeteorYagmuru #meteoryağmuru","Perseid Meteor Yağmuru Türkiye Üzerinden Görünecek Mi?
Perseid göktaşı yağmuru, dünya üzerindeki en bilinen meteor yağmurlarından bir tanesidir. Bu göktaşı yağmurları, Güneş'in çevresinde yaptıkları dönüş esnasında Dünya'nın kozmik toz bulutuna denk...
kalitelikalem.com",,,,"['PerseidMeteorYagmuru', 'meteoryağmuru']"
Aydınlık,@AydinlikGazete,2020-08-14T08:20:00.000Z,"#GÜNDEM
Perseid meteor yağmuru Samsun'dan görüntülendi
https://aydinlik.com.tr/haber/perseid-meteor-yagmuru-samsun-dan-goruntulendi-215828-1… 

#Samsun #PerseidMeteorYagmuru",,,3,7,"['GÜNDEM', 'Samsun', 'PerseidMeteorYagmuru']"
Emin Özü Online Eğitim,@eminozucomtr,2020-08-14T06:10:55.000Z,"Perseid meteor yağmuru....
#PerseidMeteorYagmuru #Perseid #PerseidsMeteorShower #meteoryağmuru #meteor #Meteorshower #fizik",,,,2,"['PerseidMeteorYagmuru', 'Perseid', 'PerseidsMeteorShower', 'meteoryağmuru', 'meteor', 'Meteorshower', 'fizik']"
İsmail B.,@farmasiman,2020-08-13T20:01:46.000Z,"Nikon D610 - #Kocaeli
#PerseidsMeteorShower #PerseidMeteorYagmuru",,,,,"['Kocaeli', 'PerseidsMeteorShower', 'PerseidMeteorYagmuru']"
F' Zehra,@KndineDiplomat,2020-08-13T19:35:43.000Z,"Konu-komşu toplandık köyde karanlık yer arıyoruz meteor  yağmuru izlicez diye sjsjsnsn
#PerseidMeteorYagmuru",,1,,2,['PerseidMeteorYagmuru']
Gᥲmzᥱ Akıᥒᥴı,@ggmzeee,2020-08-13T19:18:28.000Z,"mum ışığında
#PerseidMeteorYagmuru izliyorum. Bir tane gördüm harikaydı bir daha gelmiyor. Sana bu yeter mi diyor acaba",,,,2,['PerseidMeteorYagmuru']
SerAy,@serayphoto,2020-08-13T19:16:17.000Z,"Bortle 4'teyim ve şu anlık 4 tane muazzam büyüklükte, 6 tane de ufak olmak üzere toplam 10 meteor gördüm inanılmaz mutluyum :)) ve tabi ki Samanyolu'nun eşsiz güzelliği...
#meteoryağmuru
#PerseidMeteorYagmuru",,,,7,"['meteoryağmuru', 'PerseidMeteorYagmuru']"
emine,@piskolok9,2020-08-13T18:39:22.000Z,Elektrik ve suyun olmadığı zifiri karanlık bir yerdeyiz. Başımızın üstünden yıldızlar yürüyor #meteoryağmuru #perseidmeteoryagmuru #PerseidsMeteorShower,,1,,,"['meteoryağmuru', 'perseidmeteoryagmuru', 'PerseidsMeteorShower']"
