username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ambardan,@ambardanshop,2021-08-12T08:26:55.000Z,"Detaylar için instagram sayfamıza
https://instagram.com/p/CSd62kyLk29/

#ambardan #pqqeksikliği #pirolokinolinkinoneksikliği #pqq #ala #coq10 #alfalipoikasit #koenzimq10 #bağışıklık #sağlık #takviyeedicigıda",,,,,"[""['ambardan', 'pqqeksikliği', 'pirolokinolinkinoneksikliği', 'pqq', 'ala', 'coq10', 'alfalipoikasit', 'koenzimq10', 'bağışıklık', 'sağlık', 'takviyeedicigıda']""]"
DHA Kurumsal,@dhakurumsal,2021-08-12T08:21:33.000Z,"Gaz ağrısı sandı, safra kanalından 50 tane taş çıktı
http://dha.com.tr/r/1842382
#sağlık #safra #taş #gazağrısı
@MedicanaSaglik
 @dhainternet
 @dryasarcolak
 @lknurSrgt",,,,,"[""['sağlık', 'safra', 'taş', 'gazağrısı']""]"
Gazete Haberi,@gazetehaberii,2021-08-12T08:18:00.000Z,"Çocukların ilk ihtiyacı güven, sonra bilgi #Sağlık","Çocukların ilk ihtiyacı güven, sonra bilgi
Haberin Detayları İçin Tıklayınız..
gazetehaberi.com",,,2,"[""['Sağlık']""]"
𝗠𝗨𝗦İ𝗧𝗘𝗠 𝗛𝗔𝗕𝗘𝗥,@musitem,2021-08-12T08:09:13.000Z,"#SONDAKİKA  (12-08-2021)
#WORLD #COVID19

 Dünya genelinde toplam vaka sayısı 205 milyonu geçti.

 #Aşı #Maske  #Mesafe  #Temizlik ＝  #Sağlık",,,,,"[""['SONDAKİKA', 'WORLD', 'COVID19', 'Aşı', 'Maske', 'Mesafe', 'Temizlik', 'Sağlık']""]"
𝗠𝗨𝗦İ𝗧𝗘𝗠 𝗛𝗔𝗕𝗘𝗥,@musitem,2021-08-12T08:07:53.000Z,"#SONDAKIKA  #AŞI
  TÜRKİYE: (12-08-2021)

Sağlık Bakanlığınca, Covid-19'la mücadele kapsamında uygulanan birinci,ikinci ve üçüncü doz toplam aşı miktarı 80 milyonu geçti

 #Aşı  #Maske  #Mesafe  #Temizlik = #Sağlık",,,,,"[""['SONDAKIKA', 'AŞI', 'Aşı', 'Maske', 'Mesafe', 'Temizlik', 'Sağlık']""]"
Sanal Konular,@SanalKonular,2021-08-12T08:06:25.000Z,Akıncı’nın yıldızı Ayça Erturan’dan bebek müjdesi! Sosyal https://evlilikmoda.com/akincinin-yildizi-ayca-erturandan-bebek-mujdesi-sosyal-medyadan-duyurdu/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #astroloji #gundem #magazin #saglık #sanat,"Akıncı’nın yıldızı Ayça Erturan’dan bebek müjdesi! Sosyal medyadan duyurdu » Evlilik & Moda -...
Akıncı dizisiyle izleyici karşısına çıkan Ayça Erturan, sosyal medyadan yaptığı paylaşımla müjdeli haberi duyurdu. Hazırladığı hediye paketleriyle arkadaşlarına sürpriz yapan Erturan, hamile olduğu...
evlilikmoda.com",,,,"[""['astroloji', 'gundem', 'magazin', 'saglık', 'sanat']""]"
SamsunveHaber,@samsunvehaber,2021-08-12T07:50:47.000Z,Samsun'da 12 Ağustos nöbetçi eczaneler - samsun haber #samsun #nöbetçi #eczane #sağlık  https://samsunvehaber.com/samsunda-12-agustos-nobetci-eczaneler-samsun-haber-33494h.htm…,,,,,"[""['samsun', 'nöbetçi', 'eczane', 'sağlık']""]"
tubay,@tubiiiitubi,2021-08-12T07:50:31.000Z,"İnce bir cam iğne ile doğrudan yumurtaya sperm nasıl enjekte edilir?
Genelde ciddi erkek kısırlığını tedavi etmek için kullanılır. #sağlık #bilim #Teknoloji https://twitter.com/tubiiiitubi/status/1425725896573456389/video/1…",,,,,"[""['sağlık', 'bilim', 'Teknoloji']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-12T07:47:58.000Z,"Sinop’ta selin hasarı gün ağarınca ortaya çıktı https://baskenttekarar.com/sinop/sinopta-selin-hasari-gun-agarinca-ortaya-cikti-h20867.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Sinop’ta selin hasarı gün ağarınca ortaya çıktı
Sinop’un Ayancık ilçesinde metrekareye düşen 240 kilogram yağışın ardından bölge halkının evlerinde mahsur kaldığı, altyapı ve üstyapıda hasarların meydana geldiği sel ve taşkının hasarı, gün...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-12T07:47:18.000Z,"Karaciğerin alarm verdiğini gösteren 10 işaret https://baskenttekarar.com/saglik/karacigerin-alarm-verdigini-gosteren-10-isaret-h20866.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Karaciğerin alarm verdiğini gösteren 10 işaret
Karaciğerde görülen sirozun birden bire değil yıllar içinde geliştiğine dikkati çeken Prof. Dr. Onur Yaprak “Kaşıntı, sarılık, kanamaya eğilim, ayak ve bacaklarda ödem, karında sıvı toplanması, karın...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Sağlık56,@SaglK56,2021-08-12T07:47:12.000Z,#siirt #sağlık,,,,,"[""['siirt', 'sağlık']""]"
