username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
olay.com.tr,@OlayHaber_Bursa,2021-08-12T08:12:18.000Z,"TSK'dan selin vurduğu bölgelere yardım eli

https://olay.com.tr/tskdan-selin-vurdugu-bolgelere-yardim-eli-832022… #haber #sondakika #Gündem",,,,,"[""['haber', 'sondakika', 'Gündem']""]"
Türkçe,@turkce,2021-08-12T08:12:03.000Z,"SON DAKİKA: Bakan Pakdemirli duyurdu: Büyük yangınların tamamı söndürüldü: Bakan Pakdemirli: 28 Temmuz’da başlayan, 15 gün süren ve tarihimizde gördüğümüz en büyük orman yangınlarını yaşadığımız bu süreçte, son halka olan Muğla… http://dlvr.it/S5VLs0 #Türkçe #SonDakika #Gündem",,,,,"[""['Türkçe', 'SonDakika', 'Gündem']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T08:11:27.000Z,"Batı Karadeniz'i sel vurdu

https://olay.com.tr/bati-karadenizi-sel-vurdu-832015… #haber #sondakika #Gündem",,,,,"[""['haber', 'sondakika', 'Gündem']""]"
Deprem Bilgisi,@Deprem_Bilgisi,2021-08-12T08:11:21.000Z,"#SonDakika
#Manisa #Akhisar İlçesinde 7.02 Derinliğinde, 2.3 Şiddetinde Deprem Meydana Geldi.
Bilgi İçin:
https://deprembilgisi.com/12-agustos-2021-manisa-akhisar-depremi-60221…
#deprem #ManisaDeprem #ManisaAkhisarDeprem",,,,,"[""['SonDakika', 'Manisa', 'Akhisar', 'deprem', 'ManisaDeprem', 'ManisaAkhisarDeprem']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T08:10:20.000Z,"""Sakın yanlış bir şey yazmayın!""

https://olay.com.tr/galeri/sakin-yanlis-bir-sey-yazmayin-832004… #haber #sondakika",,,,,"[""['haber', 'sondakika']""]"
Ulusal.com.tr,@ulusalcomtr,2021-08-12T08:05:07.000Z,"#SonDakika 

Bakan Pakdemirli: 

- Büyük yangınların hepsini söndürdük

#muğla #yangın #orman","SON DAKİKA! Bakan Pakdemirli: ''Büyük yangınların hepsini söndürdük''
Tarım ve Orman Bakanı Bekir Pakdemirli, Muğla Köyceğiz’deki yangının kontrol altına alındığını duyurdu.
ulusal.com.tr",,,,"[""['SonDakika', 'muğla', 'yangın', 'orman']""]"
Cumhuriyet,@cumhuriyetgzt,2021-08-12T08:05:07.000Z,"#Sondakika | Pakdemirli'den orman yangınlarına ilişkin açıklama
https://cumhuriyet.com.tr/haber/son-dakika-pakdemirliden-orman-yanginlarina-iliskin-aciklama-1859899…",GIF,1,,5,"[""['Sondakika']""]"
Ulusal Kanal,@ulusalkanal,2021-08-12T08:05:03.000Z,"#SonDakika 

Bakan Pakdemirli: 

- Büyük yangınların hepsini söndürdük

#muğla #yangın #orman","SON DAKİKA! Bakan Pakdemirli: ''Büyük yangınların hepsini söndürdük''
Tarım ve Orman Bakanı Bekir Pakdemirli, Muğla Köyceğiz’deki yangının kontrol altına alındığını duyurdu.
ulusal.com.tr",,2,,"[""['SonDakika', 'muğla', 'yangın', 'orman']""]"
Findy News Haber,@FindyNews,2021-08-12T08:05:02.000Z,Canon Yeni Ürün Yazılımı ile Film Yapımcılarını Destekliyor  https://findynews.com/canon-yeni-urun-yazilimi-ile-film-yapimcilarini-destekliyor/… #Haber #gündem #sondakika #findynews #canon,"Canon Yeni Ürün Yazılımı ile Film Yapımcılarını Destekliyor
Canon un en son ürün yazılımı güncellemesi, EOS R5 EOS R6 ve EOS-1D X Mark III modelleri için profesyonel video çekim özellikleri sunuyor.
findynews.com",,,1,"[""['Haber', 'gündem', 'sondakika', 'findynews', 'canon']""]"
Ege Saati,@EgeSaati,2021-08-12T08:04:34.000Z,"#SonDakika I

Bakan Bekir Pakdemirli: Büyük yangınların hepsini söndürdük!","Bakan Pakdemirli: Büyük yangınların hepsini söndürdük!
Ege’de zaman Ege saati ile akacak... canlı yayınlar, özel röportajlar, kültür sanat eğlence seyahat... Ege saati; İzmir, Muğla, Aydın merkezli haber kadrosu ile Ege’nin tüm gündemini okurlara...
egesaati.com",,,,"[""['SonDakika']""]"
Hande Gülbahar,@hande_gulbahar,2021-08-12T08:03:42.000Z,"Türkiye’nin dört gözle beklediği o haber Bakan Pakdemirli’den geldi! Büyük yangınların tamamı kontrol altında… 
#Persembe #sondakika","Türkiye'nin dört gözle beklediği o haber Bakan Pakdemirli'den geldi! Büyük yangınların tamamı...
28 Temmuz’da başlayan orman yangınları Türkiye’deki pek çok bölgeyi adeta küle çevirdi. Yangınlar nedeniyle binlerce hayvan yaşamını yitirdi, yüzlerce vatandaşımız da evlerinden oldu. ADVERTISEMENT...
habermotto.com",,,,"[""['Persembe', 'sondakika']""]"
İlk Bilen Ol,@ilkbilenoll,2021-08-12T08:02:50.000Z,"#sondakika
Cumhurbaşkanı Erdoğan: Türkiye yolgeçen hanı değildir
Detaylar Linkte https://ilkbilenol.com/siyaset/14103-cumhurba%C5%9Fkan%C4%B1-erdo%C4%9Fan-t%C3%BCrkiye-yolge%C3%A7en-han%C4%B1-de%C4%9Fildir.html…",,,,,"[""['sondakika']""]"
Bursa Sancak,@BursaSancak,2021-08-12T08:02:11.000Z,"Kastamonu'daki sel felaketinde 4 kişi hayatını kaybetti #Bursa 
https://tinyurl.com/vxwxjcfe
#bursa #sondakika #haber #gündem #perşembe",,,,,"[""['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'perşembe']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:54:29.000Z,"#Bursa’da iki grup birbirine girdi

https://olay.com.tr/bursada-iki-grup-birbirine-girdi-2-831934… #haber #sondakika #Merkez",,,,,"[""['Bursa', 'haber', 'sondakika', 'Merkez']""]"
Bölge Gündem Haber,@bolgegundem,2021-08-12T07:54:06.000Z,"Son dakika | Bakan Pakdemirli açıkladı: Tüm orman yangınları söndürüldü 

#sondakika #bekirpakdemirli #ormanyangını 

https://bolgegundem.com/son-dakika-bakan-pakdemirli-acikladi-tum-orman-yanginlari-sonduruldu-3014458h.htm… 
@bolgegundem
 aracılığıyla","Son dakika | Bakan Pakdemirli açıkladı: Tüm orman yangınları söndürüldü
Son dakika... Tarım ve Orman Bakanı Bekir Pakdemirli, 28 Temmuz'da başlayan orman yangınlarının hepsinin söndürüldüğünü açıkladı.
bolgegundem.com",,,,"[""['sondakika', 'bekirpakdemirli', 'ormanyangını']""]"
Türkçe Son Dakika,@TurkceSonDakika,2021-08-12T07:54:05.000Z,"Son dakika: Meteoroloji'den hava durumu uyarısı! Bu illerde yaşayanlar dikkat: Meteoroloji'nin son hava durumu raporuna göre bugün öğle saatlerinden itibaren Erzurum, Erzincan, Ardahan, Tunceli ve Kars çevrelerinde yerel olmak… http://dlvr.it/S5VJMJ #Türkçe #SonDakika #Gündem",,,,,"[""['Türkçe', 'SonDakika', 'Gündem']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:53:43.000Z,"RTÜK Aşk Mantık İntikam dizisine acımadı!

https://olay.com.tr/galeri/rtuk-ask-mantik-intikam-dizisine-acimadi-831972… #haber #sondakika",,,,,"[""['haber', 'sondakika']""]"
CAN TV,@cantv_tv,2021-08-12T07:53:04.000Z,"Günün öne çıkan gelişmeleri Can Tv sosyal medya hesaplarında!

En güncel haberler için Can Tv Twitter, Instagram ve Facebook sayfalarını takip etmeyi unutmayın.

#cantv #hakikatyolunda #haber #güncel #haber #aktüel #gündem #sondakika #alevi #kadın #çocuk #emek #ekoloji",,,,,"[""['cantv', 'hakikatyolunda', 'haber', 'güncel', 'haber', 'aktüel', 'gündem', 'sondakika', 'alevi', 'kadın', 'çocuk', 'emek', 'ekoloji']""]"
Findy News Haber,@FindyNews,2021-08-12T07:52:45.000Z,El titremesini önleyen bileklik tasarlandı!  https://findynews.com/el-titremesini-onleyen-bileklik-tasarlandi/… #Haber #gündem #sondakika #findynews,"El titremesini önleyen bileklik tasarlandı!
Üsküdar Üniversitesi BrainPark Kuluçka Merkezi nin girişimci şirketi ALEA giyilebilir teknoloji ürünleri üretmeye başladı. Şirket tarafından üretilen bileklikle, titreme hastalığı olarak da bilinen...
findynews.com",,,,"[""['Haber', 'gündem', 'sondakika', 'findynews']""]"
BursaTV,@bursatvcomtr,2021-08-12T07:52:17.000Z,"Pakdemirli: Yangınların hepsini söndürdük https://tinyurl.com/yg3ddsz7

#bursa #bursahaberleri #sondakika #gündem #perşembe",,,,,"[""['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'perşembe']""]"
Bursa Sancak,@BursaSancak,2021-08-12T07:52:01.000Z,"Ulaşılamayan TIR şoförü, takip cihazı sayesinde kaza yaptığı yerde yaralı bulundu #Bursa 
https://tinyurl.com/ymy4cwac
#bursa #sondakika #haber #gündem #perşembe #asayiş",,,,,"[""['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'perşembe', 'asayiş']""]"
Bursa Sancak,@BursaSancak,2021-08-12T07:47:50.000Z,"AFAD: Kastamonu'da sel sularına kapılan 2 kişi hayatını kaybetti #Bursa 
https://tinyurl.com/2p9ws9ks
#bursa #sondakika #haber #gündem #perşembe",,,,,"[""['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'perşembe']""]"
Özlem Ermiş Beyhan,@ozlemermis,2021-08-12T07:47:49.000Z,"Son yangınlar da gösterdi ki halkın umudunu sivil toplum örgütlerine bağlamış olması boşuna değil. İpsos araştırmasını 
@gazetesozcu
 'de yazdım. #istanbul #NGO #ipsos #araştırma #Persembe #sondakika","Sözcü
@gazetesozcu
 · 3h
Global bir araştırma Türkiye’de vatandaşların ekonomideki toparlanmayı yönetmede en çok sivil toplum örgütlerine güvendiğini ortaya koydu. https://sozcu.com.tr/2021/ekonomi/umutlar-iktidarda-degil-sivil-toplum-orgutlerinde-6588166/…",,1,1,"[""['istanbul', 'NGO', 'ipsos', 'araştırma', 'Persembe', 'sondakika']""]"
Türkgün Gazetesi,@TurkgunGazetesi,2021-08-12T07:47:38.000Z,"#sondakika Büyük yangınların hepsini söndürdük! Bakan Pakdemirli duyurdu

https://turkgun.com/buyuk-yanginlarin-hepsini-sondurduk-bakan-pakdemirli-duyurdu-haber-158940…",,,2,20,"[""['sondakika']""]"
TGRT HABER,@tgrthabertv,2021-08-12T07:47:37.000Z,"#sondakika BÜYÜK YANGINLARIN HEPSİ SÖNDÜ

Tarım ve Orman Bakanı Bekir Pakdemirli, büyük yangınların hepsinin söndürüldüğünü açıkladı

http://tgrthaber.com.tr/gundem/buyuk-yanginlar-sonduruldu-2791243…",GIF,,1,4,"[""['sondakika']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:47:29.000Z,"#Bursa'da silahlı kavga

https://olay.com.tr/bursada-silahli-kavga-6-831906… #haber #sondakika #Merkez",,,,,"[""['Bursa', 'haber', 'sondakika', 'Merkez']""]"
Başkent'te Karar,@BaskentteKarar,2021-08-12T07:47:18.000Z,"Karaciğerin alarm verdiğini gösteren 10 işaret https://baskenttekarar.com/saglik/karacigerin-alarm-verdigini-gosteren-10-isaret-h20866.html… #Baskentte Karar 
@baskentteKarar
 aracılığıyla 
#sondakikahaberleri #gündem #güncel #sondakikalar #sondakika #haberler #sıcakhaber #keşfet #ekonomi #sağlık #siyaset #spor #magazin","Karaciğerin alarm verdiğini gösteren 10 işaret
Karaciğerde görülen sirozun birden bire değil yıllar içinde geliştiğine dikkati çeken Prof. Dr. Onur Yaprak “Kaşıntı, sarılık, kanamaya eğilim, ayak ve bacaklarda ödem, karında sıvı toplanması, karın...
baskenttekarar.com",,,,"[""['Baskentte', 'sondakikahaberleri', 'gündem', 'güncel', 'sondakikalar', 'sondakika', 'haberler', 'sıcakhaber', 'keşfet', 'ekonomi', 'sağlık', 'siyaset', 'spor', 'magazin']""]"
Takvim,@takvim,2021-08-12T07:47:06.000Z,#Sondakika Tarım ve Orman Bakanı Bekir Pakdemirli: Ülkemizdeki tüm yangınlar söndürüldü,"SON DAKİKA: Tarım ve Orman Bakanı Bekir Pakdemirli: Ülkemizdeki tüm yangınlar söndürüldü
Haberin devamı
takvim.com.tr",,3,7,"[""['Sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:47.000Z,TUGFO Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu https://haberizlenim.com/tugfo-ayvalik-amfitiyatro-sahnesinde-sanatseverlerle-bulustu-21279h.htm… #haber #sondakika,"TUGFO Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu
Türkiye Gençlik Filarmoni Orkestrası (TUGFO), Ayvalık 7. AIMA Müzik Festivali’nin açılışında Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:47.000Z,Bilimkurgu filmlerindeki Robotlar gerçek oldu https://haberizlenim.com/bilimkurgu-filmlerindeki-robotlar-gercek-oldu-21278h.htm… #haber #sondakika,"Bilimkurgu filmlerindeki Robotlar gerçek oldu
CyberDog, Xiaomi'nin mühendislik becerisinin doruk noktasını temsil ediyor ve açık kaynak olmasıyla var olan geliştiricilerin üzerinde geliştirmeler yapabilmesini sağlamaya odaklanıyor.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:46.000Z,İş yerlerindeki ortak kullanım alanlarındaki hijyenine dikkat https://haberizlenim.com/is-yerlerindeki-ortak-kullanim-alanlarindaki-hijyenine-dikkat-21277h.htm… #haber #sondakika,"İş yerlerindeki ortak kullanım alanlarındaki hijyenine dikkat
Plaza, fabrika gibi çok sayıda çalışan için ortak kullanım alanlarının bulunduğu büyük iş yerlerinde, çalışanların maske, mesafe, hijyen uyarılarına dikkat etmeleri büyük önem taşıyor.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:45.000Z,Artık Habere ulaşmak için Gazete beklenmiyor https://haberizlenim.com/artik-habere-ulasmak-icin-gazete-beklenmiyor-21276h.htm… #haber #sondakika,"Artık Habere ulaşmak için Gazete beklenmiyor
Üsküdar Üniversitesi İletişim Fakültesi Radyo, Televizyon ve Sinema Bölümü’nden Dr. Öğretim Üyesi Denizcan Kabaş, dijitalleşen kitle iletişimi ve iletişim fakültelerinin önemi hakkında değerlendirm...
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:44.000Z,Yerli ve Milli sebze çeşitleri Çukurköy’de tanıtıldı https://haberizlenim.com/yerli-ve-milli-sebze-cesitleri-cukurkoyde-tanitildi-21275h.htm… #haber #sondakika,"Yerli ve Milli sebze çeşitleri Çukurköy’de tanıtıldı
Ege Tarımsal Araştırma Enstitüsü tarafından geliştirilen sebze çeşitleri, Menemen’in Çukurköy Mahallesi’nde düzenlenen Tarla Günü etkinliği ile tanıtıldı.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:44.000Z,Samsung Galaxy Watch4 ve Galaxy Watch4 Classic ile akıllı saat deneyimi yeniden şekilleniyor https://haberizlenim.com/samsung-galaxy-watch4-ve-galaxy-watch4-classic-ile-akilli-saat-deneyimi-yeniden-sekil-21274h.htm… #haber #sondakika,"Samsung Galaxy Watch4 ve Galaxy Watch4 Classic ile akıllı saat deneyimi yeniden şekilleniyor
Samsung’un tanıtımını yaptığı yeni Galaxy Watch4 Serisi, yepyeni işletim sistemi, kullanıcı arayüzü (UI) ve iyileştirilmiş donanım performansıyla dikkatleri üzerine topluyor.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:43.000Z,"Samsung, Galaxy Z Fold3 5G ve Galaxy Z Flip3 5G akıllı telefonlarını tanıttı https://haberizlenim.com/samsung-galaxy-z-fold3-5g-ve-galaxy-z-flip3-5g-akilli-telefonlarini-tanitti-21273h.htm… #haber #sondakika","Samsung, Galaxy Z Fold3 5G ve Galaxy Z Flip3 5G akıllı telefonlarını tanıttı
Samsung, katlanabilir cihaz inovasyonunda yeni bir dönem başlatan Galaxy Z Fold3 5G ve Galaxy Z Flip3 5G akıllı telefonlarını tanıttı. Güçlü ve üst düzey katlanabilir akıllı telefonlarıyla Samsung,...
haberizlenim.com",1,,,"[""['haber', 'sondakika']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:37.000Z,İran Cumhurbaşkanı yeni kabine listesini açıkladı https://haberizlenim.com/iran-cumhurbaskani-yeni-kabine-listesini-acikladi-21266h.htm… #haber #sondakika,"İran Cumhurbaşkanı yeni kabine listesini açıkladı
İran cumhurbaşkanı İbrahim Reisi bugün yeni bakine listesini onaylanması için meclise sundu.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
Ali Güngör,@aligingerfx,2021-08-12T07:43:37.000Z,"#haber : Çip krizi dev otomobil şirketini de vurdu! Volvo'da üretim durdu

https://finans.mynet.com/haber/detay/otomotiv/cip-krizi-dev-otomobil-sirketini-de-vurdu-volvo-da-uretimi-vurdu/425409/… #sondakika #finans #ekonomi #limitforextr","Çip krizi dev otomobil şirketini de vurdu! Volvo'da üretimi vurdu
Tüm dünyayı etkisi altına alan çip krizi Volvo Cars'ı da vurdu. Şirket, çip tedarikinde yaşanan aksaklık sebebiyle İsveç’in Göteborg'da bulunan fabrikasında üretimi durdurdu.
finans.mynet.com",,,,"[""['haber', 'sondakika', 'finans', 'ekonomi', 'limitforextr']""]"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:36.000Z,İSPARK araç kapasitesini 117 bine çıkardı https://haberizlenim.com/ispark-arac-kapasitesini-117-bine-cikardi-21265h.htm… #haber #sondakika,"İSPARK araç kapasitesini 117 bine çıkardı
İSPARK, 2019 yılında 97 bin olan araç kapasitesini 2021’de 117 bine çıkardığını açıkladı.
haberizlenim.com",,,,"[""['haber', 'sondakika']""]"
