username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Arge 24 Teknoloji,@arge24teknoloji,2021-08-12T08:06:33.000Z,"Arge 24 Teknoloji’de #STAJKAMPI’21, 6. Grup ile Devam Ediyor! #arge24 
Yazılım alanında kariyer hedefleyen tüm gençlerimizin başvurularını bekliyoruz!
Başvuru içinstaj@arge24.com.tr

#arge24teknoloji #stajkampı #stajyer #yazılım #programlama #bilişim #teknoloji",,,,,"[""['STAJKAMPI', 'arge24', 'arge24teknoloji', 'stajkampı', 'stajyer', 'yazılım', 'programlama', 'bilişim', 'teknoloji']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T08:02:13.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Sinyal lambası nasıl değiştirilir?
Yan sinyal lambalarının değiştirilmesin hepsinden önce sinyalin yerinden sökülmesi gerekmektedir. Sinyali tutan tırnak yapısı değişik…
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Savunma Günlüğü,@SavunmaGunlugu,2021-08-12T08:01:56.000Z,Mehmetçiğe Yüksek Kapasiteli Şarjör Teslimatı Sürüyor! #TSK #MSB #SSB #Teknoloji #SavunmaGünlüğü   https://savunmagünlüğü.com/2021/08/12/meh30c.com/2021/08/12/mehmetcige-yuksek-kapasiteli-sarjor-teslimati-suruyor/…,,,1,3,"[""['TSK', 'MSB', 'SSB', 'Teknoloji', 'SavunmaGünlüğü']""]"
Vitel A.Ş.,@Vitel_AS,2021-08-12T08:01:53.000Z,"Ücretsiz Cloud Lisansı sunan Ruijie Reyee RG-ES200 ile işiniz her zaman daha kolay!

#Vitel #Ruijie #Reyee #cloud #network #ipcamera #PoE #teknoloji #technology",,,,,"[""['Vitel', 'Ruijie', 'Reyee', 'cloud', 'network', 'ipcamera', 'PoE', 'teknoloji', 'technology']""]"
Güvenli İnternet Merkezi,@guvenlinet,2021-08-12T07:17:26.000Z,"Dijital Oyunlar Hakkında Bilinmesi Gerekenler

#internet #teknoloji #dijitaloyunlar",,,2,6,"[""['internet', 'teknoloji', 'dijitaloyunlar']""]"
Gazete Haberi,@gazetehaberii,2021-08-12T07:13:46.000Z,Online İşlemler’de kayıtlı kartlar 3 milyona ulaştı #Teknoloji,"Online İşlemler’de kayıtlı kartlar 3 milyona ulaştı
Haberin Detayları İçin Tıklayınız..
gazetehaberi.com",,,,"[""['Teknoloji']""]"
Okan Kaya,@kayaokancom,2021-08-12T07:11:57.000Z,A101 mağazalarında bugün satışa sunulan Arzum AR-1111 el blender setini inceledim. Hemen Tıklayın! https://youtu.be/T1qD3xxoY1c #a101 #arzum #blender #blenderseti #elblenderseti #a101aktüel #a101aktüelürünler #teknoloji #teknolojiincelemesi #okankaya #kayaokancom,,,,2,"[""['a101', 'arzum', 'blender', 'blenderseti', 'elblenderseti', 'a101aktüel', 'a101aktüelürünler', 'teknoloji', 'teknolojiincelemesi', 'okankaya', 'kayaokancom']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T07:01:28.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Makyajla yüz hatları nasıl belirginleştirilir?
Bilhassa keskin hatlara sahip bir burun yüzü belirginleştirmek için önemli görülen bir ayrıntıdır. Bu amaçla burnun yan duvarlarını k…
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Akıllı Telefon,@akillitelefonco,2021-08-12T06:51:38.000Z,5 Kameralı Honor Magic 3 Sızdı #android #teknoloji,"5 Kameralı Honor Magic 3 Sızdı - Akıllı Telefon
Honor Magic 3'ün yuvarlak bir eğime sahip beş kamerayla donatılmış en üst seviye versiyonuna bakıyoruz. 5 kamera dizisi görüntünün en çarpıcı kısmı değil: Bu Honor Magic 3 modelinin Huawei Mate 40...
akillitelefon.com",,,,"[""['android', 'teknoloji']""]"
Emsa Generator,@EmsaGenerator,2021-08-12T06:42:16.000Z,"info@emsa.gen.tr | https://emsa.gen.tr/tr/haber/slovenya-nin-en-buyuk-hastanesi-enerjisini-emsa-jeneratorden-alacak…

#jeneratör #jenerator #dizeljenerator #dizeljeneratör #elektrik #inşaat #yapı #mimar #teknoloji  #proje #makina #medikal #hastane #slovenya 
@PerkinsEngines","Slovenya’nın En Büyük Hastanesi Enerjisini EMSA Jeneratörden Alacak
Enerji sektöründe önde gelen marka EMSA Jeneratör, Slovenya’nın en büyük hastanelerinden olan Ljubljana Üniversitesi Tıp Merkezi (UMCL), tarafından tercih edildi. 40 yılı aşan tecrübe ve 6 kıtada 102...
emsa.gen.tr",,,,"[""['jeneratör', 'jenerator', 'dizeljenerator', 'dizeljeneratör', 'elektrik', 'inşaat', 'yapı', 'mimar', 'teknoloji', 'proje', 'makina', 'medikal', 'hastane', 'slovenya']""]"
Karadeniz Ekonomi,@karadenizeko_,2021-08-12T06:29:58.000Z,"Türkiye Dijital Vergi Dairesi kuruluyor
https://karadenizekonomi.com.tr/Haberler/K-Sektorler-3/K-Teknoloji-14/TURKIYE_DIJITAL_VERGI_DAIRESI_KURULUYOR-13827…

#karadenizekonomi #dijital #vergi #teknoloji","Türkiye Dijital Vergi Dairesi kuruluyor
 Hazine ve Maliye Bakanlığı tarafından Ekonomi Reform Paketi kapsamında, ülkemizdeki tüm mükelleflere hizmet verecek ve işlemlerin elektronik şekilde yapılmasını sağlayacak olan “Türkiye Dijital...
karadenizekonomi.com.tr",,,,"[""['karadenizekonomi', 'dijital', 'vergi', 'teknoloji']""]"
Aksaray Üniversitesi,@aksarayedutr,2021-08-12T06:24:04.000Z,"Hamle sırası #Sağlık ve #Kimya Sektörlerinde!

421 Ürün & 80 Yenilikçi #Teknoloji Alanına yönelik ar-ge ve yatırım projelerine 
@Tubitak
  @Kosgeb
 ve 
@TCSanayi
 tek pencereden birlikte destek veriyor.

Yerli, millî ve katma değerli üretim için...
Detaylar http://hamle.gov.tr",Prof. Dr. Yusuf Şahin,,2,3,"[""['Sağlık', 'Kimya', 'Teknoloji']""]"
Bilim Türkiye,@t3bilimtr,2021-08-12T06:16:54.000Z,"Bilim Şehitkamil atölyelerinde neler yaptık

Bir uçağın nasıl uçabildiğini öğrenip kağıt uçaklarımızı geliştirdik.

Lav lambalarımızla atölyelerimizi aydınlattık. 

Kesirlerden bülbülümüzü tasarladık.
@BilimSehitkamil
#bilim #teknoloji #sanat",,,,2,"[""['bilim', 'teknoloji', 'sanat']""]"
Zehra Öney,@zehraoney,2021-08-12T04:58:44.000Z,"Bu yumuşak robot için bukalemun gibi renk değiştirme kamuflajı geliştirildi. #teknoloji #dönüşüm

Chameleon-like #camouflage made for soft #robot. #technology #future",,,1,1,"[""['teknoloji', 'dönüşüm', 'camouflage', 'robot', 'technology', 'future']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T04:08:57.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Hamilelikte mide yanmasının nedenleri
Mide yanması temel olarak mide asidinin mide ile yemek borusu arasındaki kapakçığı aşıp yemek borusuna kaçarak bölümde tahrişe neden …
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Zeynep Aktaş,@zeynepxaktas,2021-08-12T03:41:19.000Z,"BIST Teknoloji şirketleri yılbaşından bu yana, son 10 yıl ve 20 yıl getirileri
#ALCTL #ARDYZ #ARENA #ARMDA #ASELS #DESPC
#DGATE #ESCOM #FONET #INDES #KAREL #KFEIN #KRONT #LINK #LOGO #NETAS #PAPIL #PKART #SMART #performans #finansalokuryazarlık #teknoloji",,,17,151,"[""['ALCTL', 'ARDYZ', 'ARENA', 'ARMDA', 'ASELS', 'DESPC', 'DGATE', 'ESCOM', 'FONET', 'INDES', 'KAREL', 'KFEIN', 'KRONT', 'LINK', 'LOGO', 'NETAS', 'PAPIL', 'PKART', 'SMART', 'performans', 'finansalokuryazarlık', 'teknoloji']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T03:06:04.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"İspanyol dili ve edebiyatı nasıl bir bölümdür?
İspanyol dili ve edebiyatı kısmını tercih edecek olan kişiler her şeyden önce Yükseköğretime Geçiş Sınavı’na girmelidir. Bu sınavdan …
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Türkçe,@turkce,2021-08-12T02:58:33.000Z,"HONOR MagicBook X 15 Türkiye'de! İşte Fiyatı ve Özellikleri!: HONOR'un yeni dizüstü bilgisayarı MagicBook X 15, hafif alüminyum kasası ve şık tasarımıyla öne çıkarken 30 dakikalık şarjla yarım gün kullanılabiliyor ve göz sağlığını… http://dlvr.it/S5Tkwz #Türkçe #Teknoloji",,,,,"[""['Türkçe', 'Teknoloji']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T01:01:25.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Golf nasıl oynanır?
Golf standart bir oyun sahasına gerek duymayan birkaç top oyunundan bir tanesidir. Öyle ki, golf sahası ne kadar değişik ve eksantrik…
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Teknotiq,@teknotiqcom,2021-08-12T01:00:36.000Z,"Bu saf muhteşemliği beğenin ve paylaşın! https://teknotiq.com - Teknotiq #teknoloji #teknotiq #elektronik 
@teknotiq",,,,,"[""['teknoloji', 'teknotiq', 'elektronik']""]"
Türkçe,@turkce,2021-08-12T00:58:03.000Z,Samsung Galaxy Watch4 Ön İncelemesi: Samsung'un Galaxy Unpacked etkinliğinde henüz yeni tanıttığı akıllı saati Galaxy Watch4'ü kolumuza taktık ve ilk izlenimlerimizi anlattık! http://dlvr.it/S5TXNq #Türkçe #Teknoloji,,,,1,"[""['Türkçe', 'Teknoloji']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-12T00:02:53.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Facebook hangi bilgilerinizi nasıl topluyor?
Sosyal medya devi facebook’un, uygulamasını kullanmadığınız zamanlarda bile size ait bilgileri topladığı ortaya çıktı…
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Türkçe,@turkce,2021-08-11T23:58:34.000Z,"Samsung Galaxy Buds+ 2 Ön İncelemesi: Samsung'un yeni kablosuz kulak içi kulaklığı Samsung Galaxy Buds+ 2 tanıtıldı! İşte özellikleri, tasarımı ve sunduklarıyla Samsung Galaxy Buds+ 2 ön incelemesi! http://dlvr.it/S5TQ9M #Türkçe #Teknoloji",,,,,"[""['Türkçe', 'Teknoloji']""]"
Yeni Mesaj Gazetesi,@yenimesaj,2021-08-11T20:26:18.000Z,"İşte Audi'nin yeni off-road canavarı

https://yenimesaj.com.tr/iste-audinin-yeni-off-road-canavari-H1403081.htm…

#Çarşamba #Teknoloji","İşte Audi'nin yeni off-road canavarı
İşte yeni Audi RS Q E-Tron
yenimesaj.com.tr",,,2,"[""['Çarşamba', 'Teknoloji']""]"
TurkceBilgi.Net,@TurkcebilgiNet,2021-08-11T20:23:09.000Z,"Science Advances dergisinde yayınlanan bir makale,... - #biyoloji #teknoloji #bilim #cradle #yapayzeka - #bilim #çarşamba","Science Advances dergisinde yayınlanan bir makale, CRADLE biyoloji - teknoloji - bilim - cradle -...
Science Advances dergisinde yayınlanan bir makale, CRADLE nedir ve Science Advances dergisinde yayınlanan bir makale, CRADLE hakkında kısa ilginç bilgi Science Advances dergisinde yayınlanan bir...
turkcebilgi.org",,1,,"[""['biyoloji', 'teknoloji', 'bilim', 'cradle', 'yapayzeka', 'bilim', 'çarşamba']""]"
Türkçe,@turkce,2021-08-11T20:22:13.000Z,"Bilim insanları “robot bukalemun” üretti: Koreli araştırmacılardan oluşan bir ekip tarafından yürütülen bir araştırmada, etrafına gerçek zamanlı olarak uyum sağlayabilen bir robot bukalemun üretildiği açıklandı. http://dlvr.it/S5StPG #Türkçe #Teknoloji",,,,,"[""['Türkçe', 'Teknoloji']""]"
Teknobuk,@teknobuk,2021-08-11T20:21:06.000Z,"UMIDIGI A11 Pro Max Tanıtıldı! İşte Fiyatı ve Özellikleri

#Teknoloji #TeknolojiHaberleri #UMIDIGI #AkıllıTelefon #UmidigiA11ProMax","UMIDIGI A11 Pro Max Tanıtıldı! İşte Fiyatı ve Özellikleri
İşte karşınızda yeni tanıtılan UMIDIGI A11 Pro Max! Akıllı telefonun özellikleri ve fiyatına dair tüm bilgilere haberimizden ulaşabilirsiniz.
teknobuk.com",,1,1,"[""['Teknoloji', 'TeknolojiHaberleri', 'UMIDIGI', 'AkıllıTelefon', 'UmidigiA11ProMax']""]"
Paylaşım Zamanı,@PaylasZamani,2021-08-11T20:01:40.000Z,#blog #bahce #bilisim #cocuk #dekorasyon #diyet #egitim #ekonomi #emlak #erkekce #tamirat #guzellik #hayvanlar #hukuk #kadinca #kariyer #makyaj #mobil #mobilya #muzik #oyun #nedir #otomobil #saglik #sanat #spor #turizm #teknoloji #turizm #yemektarifleri,"Buzların kokması nasıl önlenir?
Buzdolabındaki ve dondurucudaki kokular açık buz bölmelerinde hazırlanan buzlara kolaylıkla siner. Buz, yalnızca kokuyu absorbe etmek…
superonline.eu",,,,"[""['blog', 'bahce', 'bilisim', 'cocuk', 'dekorasyon', 'diyet', 'egitim', 'ekonomi', 'emlak', 'erkekce', 'tamirat', 'guzellik', 'hayvanlar', 'hukuk', 'kadinca', 'kariyer', 'makyaj', 'mobil', 'mobilya', 'muzik', 'oyun', 'nedir', 'otomobil', 'saglik', 'sanat', 'spor', 'turizm', 'teknoloji', 'turizm', 'yemektarifleri']""]"
Teknoloji.org,@teknoloji_org,2021-08-11T19:34:34.000Z,"En iyi fotoğraf düzenleme programı hangisi ya da hangileri biliyor musunuz? Bu içeriğimizde size birbirinden güzel programları tanıtacağız.

>>https://teknoloji.org/en-iyi-fotograf-duzenleme-programi…

#teknoloji #fotoğrafdüzenleme #fotoğrafdüzenlemeprogramı",,,,1,"[""['teknoloji', 'fotoğrafdüzenleme', 'fotoğrafdüzenlemeprogramı']""]"
Teknoloji Dünyası,@teknolojidu_net,2021-08-11T19:28:51.000Z,"Xiaomi Mi Pad 5 tanıtım öncesi bir kez da görüntülendi
https://teknoloji-dunyasi.net/2021/08/05/xiaomi-mi-pad-5-tanitim-oncesi-bir-kez-da-goruntulendi/…
#xiaomi #telefon #teknoloji #ilginçbilgi #haber #haberler #gündem",,,,,"[""['xiaomi', 'telefon', 'teknoloji', 'ilginçbilgi', 'haber', 'haberler', 'gündem']""]"
Businessworldglobal,@Businessworldg3,2021-08-11T19:21:40.000Z,"https://businessworldglobal.com/teknosa-ilk-6-ayda-yuzde-49-buyudu/…

#ekoturktv #businessworldglobal #teknosa #sabancı #Teknoloji","Teknosa ilk 6 ayda yüzde 49 büyüdü
Sabancı Holding iştiraklerinden Teknosa, 2021 yılının ilk 6 ayında istikrarlı büyümesini sürdürdü. 2020 yılını son 20 yılın en başarılı performansıyla kapatan Teknosa, ilk 6 ayda da yüzde 49’luk...
businessworldglobal.com",,,,"[""['ekoturktv', 'businessworldglobal', 'teknosa', 'sabancı', 'Teknoloji']""]"
Bilim Türkiye,@t3bilimtr,2021-08-11T17:34:58.000Z,"Bilim Gaziantep yüz yüze atölyelerinde

Heyecanla keşfetmeye
Eğlenerek öğrenmeye

katılmak isteyen tüm öğrencilerimizi bekliyoruz. 
@BilimGaziantep
#bilim #teknoloji #sanat",,,2,4,"[""['bilim', 'teknoloji', 'sanat']""]"
Teknobuk,@teknobuk,2021-08-11T17:19:43.000Z,"AnTuTu, Temmuz Ayının En İyi Üst ve Orta Sınıf Akıllı Telefonlarını Açıkladı

#Teknoloji #TeknolojiHaberleri #AnTuTu #AkıllıTelefon #Xiaomi #Huawei #Realme #Oppo #Samsung","AnTuTu, Temmuz Ayının En İyi Üst ve Orta Sınıf Akıllı Telefonlarını Açıkladı
AnTuTu, Temmuz ayının en iyi akıllı telefon modellerini paylaştı. Şirket hem üst sınıf hem de orta sınıf cihazlar için iki liste yayınladı.
teknobuk.com",,,1,"[""['Teknoloji', 'TeknolojiHaberleri', 'AnTuTu', 'AkıllıTelefon', 'Xiaomi', 'Huawei', 'Realme', 'Oppo', 'Samsung']""]"
Okan Kaya,@kayaokancom,2021-08-11T17:18:05.000Z,SGS5185 ile kendi ahşap projelerinizi hazırlayabilirsiniz. Hemen İnceleyin! https://kayaokan.com/2021/08/sgs5185-profesyonel-sunta-kesme-makinesi.html?m=1… #sgs #sgs5185 #sunta #suntakesmemakinesi #bim #bimaktüel #bimaktüelürünler #teknoloji #işmakinesi #okankaya #kayaokancom,"SGS5185 PROFESYONEL SUNTA KESME MAKİNESİ İNCELEMESİ
SGS5185 profesyonel sunta kesme makinesi ile harika kendin yap projelerinizi hayata geçirmeye hazır mısınız? Hemen İnceleyin!
kayaokan.com",,1,2,"[""['sgs', 'sgs5185', 'sunta', 'suntakesmemakinesi', 'bim', 'bimaktüel', 'bimaktüelürünler', 'teknoloji', 'işmakinesi', 'okankaya', 'kayaokancom']""]"
