username,twhandle,postdate,content,responding,reply,retweet,like
"kaptan,marsda inicem",@fsh77,2021-08-02T15:53:07.000Z,"#Kodlama #ders lerinde bugün biraz nostalji yaparak iki boyutlu #uzay savaşı temalı #oyun u yaparken bir çok kavramı öğrenmiş oluyoruz
#Dersler uzaktan etkileşimli olarak veya grup olarak verilebilir,kodlama öğrenme fırsatı 
https://scratch.mit.edu/proj",,,,,"['Kodlama', 'ders', 'uzay', 'oyun', 'Dersler']"
Kozmos Ekstra,@KozmosEkstra,2021-08-02T15:50:06.000Z,"Valhalla Krateri, Callisto Uydusu 

Jüpiter'in uydusu Callisto'da bulunan Valhalla Krateri, yaklaşık olarak 3800 kilometrelik çapı ile Güneş Sistemi’ndeki en büyük çok halkalı yapıya sahip havzadır.

#valhalla #krater #callisto #jüpiter #güneşsistemi #astronomi #uzay #evren",,,,2,"['valhalla', 'krater', 'callisto', 'jüpiter', 'güneşsistemi', 'astronomi', 'uzay', 'evren']"
EKREM YILDIRIM,@ekremy94,2021-08-02T15:37:30.000Z,Onu bunu bilmem bualım haberleri gelecekte kordsanin uzaya gideceginin garantisidir. Uzay alt yapisi olan bir sirketin tamami artik bizim #KORDS #uzay #axiomspace,,,,3,"['KORDS', 'uzay', 'axiomspace']"
EKREM YILDIRIM,@ekremy94,2021-08-02T15:27:13.000Z,"#karsn #kords Çığır açacak bir haber. Bu haberi ky den önce alan ve hisseyi yukarıya sürüp kar alan yatırım şirketleri. Ama terste kalan yine ky. Sonuçta güzel bir haber u.v ve o.v yatırımcilarin güzel kazanclari olacaktir. Beklemeye devam
#Bist #sasa #Otomotiv #uzay",,,,6,"['karsn', 'kords', 'Bist', 'sasa', 'Otomotiv', 'uzay']"
Tarsus Üniversitesi,@TarsusUni,2021-08-02T14:05:00.000Z,Tarsus Üniversitesi Havacılık ve Uzay Mühendisliği #üniversite #benimtercihim #tarsusüniversitesi #havacılıkveuzay #havacılık #uzay #mühendislik #aday #tercih2021 #yks2021 #akdeniz #mersin #tarsus #ykstercih Burada Odak Sensin,,,1,4,"['üniversite', 'benimtercihim', 'tarsusüniversitesi', 'havacılıkveuzay', 'havacılık', 'uzay', 'mühendislik', 'aday', 'tercih2021', 'yks2021', 'akdeniz', 'mersin', 'tarsus', 'ykstercih']"
MyWay,@Ni2meGel,2021-08-02T13:16:59.000Z," 100.000 lümenlik dünyanın en güçlü el feneri Imalent MS18 ile tanışın. Adeta güneş ışını saçıyor gibi. 
 Lümen, ışık yeğinliği 1 mum olan eşit dağıtımlı bir nokta kaynağının 1 steradyan içinde yayımladığı ışık akısı...
#via Uzay Bilim ve Teknoloji
#Bilim #Teknoloji #uzay",,,3,6,"['via', 'Bilim', 'Teknoloji', 'uzay']"
Hamit BİLGİLİ,@HamitBLGL6,2021-08-01T12:20:42.000Z,"""Nasıl yaşıyorsanız öyle yönetilirsiniz.""
#İbanNumarası isteyen bir Ülke de #Uzay demek, bir yalandır.",,,,,"['İbanNumarası', 'Uzay']"
Düşünbil Dergisi,@dusunbildergisi,2021-08-01T11:20:41.000Z,Fizikçilere göre #zaman sadece zihnimizde var olabilir https://dusunbil.com/fizikcilere-gore-zaman-sadece-zihnimizde-var-olabilir/?utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost… #einstein #evren #termodinamik #uzay,"Fizikçilere göre zaman sadece zihnimizde var olabilir
Evrensel zaman artarak ilerleyen bir şey değil. Günlük hayatlarımızda yüzleştiğimiz baskıların arasında, zamanın doğasının en derin etkiye sahip olduğuna karşı çıkmamız mümkün değildir. Günlerimiz,...
dusunbil.com",1,2,29,"['zaman', 'einstein', 'evren', 'termodinamik', 'uzay']"
UzayA Hukuk ve Bilim Derneği,@UzayAhukuk,2021-08-01T11:04:40.000Z,"Bir Türk isim Prof. Dr. Behçet Açıkmeşe NASA'nın Mars araştırmaları için gönderdiği Perseverance iniş algoritmalarını tasarladı. NASA JPL'de çalışıyor.
@tuajans
 bu isme acilen çağrı yapmalı, Dernek olarak sürekli gündemde tutacağız.

https://lnkd.in/d-TYvbj
@serdarhuseyiny
 #uzay","Behcet Acikmese on LinkedIn: Mars 2020 Perseverance Rover | 57 comments
https://lnkd.in/gJM6kid One more successful landing! An amazing outcome today. I was very fortunate to be a part of the team that developed the guidance... 57 comments on LinkedIn
linkedin.com",,1,1,['uzay']
MYWAY,@mywayTurkey,2021-08-01T11:04:18.000Z,"Bu videodaki kişi Morgan Freeman değil alttaki kişi konuşuyor ve hareket ediyor. Üstelik tüm bunlar Freeman’ın bir fotoğrafı üzerinden yapılıyor (Deep fake) yani bir yapay zeka ürünü…
#via Uzay Bilim ve Teknoloji
#uzay #bilim #teknoloji","0:53
262 views",1,11,22,"['via', 'uzay', 'bilim', 'teknoloji']"
