username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Deniz gül,@Yildiz45086365,2018-10-27T23:29:55.000Z,"#adanaescort Ben adanadan sexy partner
Yaş 24 boy 172 balık etli beyaz tenli bayanım Ev Otel Ve Apartlarda görüşüyorum Not;Yerim Yok
05315978463 05369792280 05347130156 Ücret elden
#adana #adanaescort #adanaeskort #adanabayanescort #adanasex 
#adanamasaj #adanabayanescort #adanae",,,,1,"['adanaescort', 'adana', 'adanaescort', 'adanaeskort', 'adanabayanescort', 'adanasex', 'adanamasaj', 'adanabayanescort', 'adanae']"
Merychel. · :,@Feliii_,2013-12-07T23:27:15.000Z,Comidita con mis chicas :) #Adanae http://instagram.com/p/ho4i69Jajs/,,,,,['Adanae']
Mazi Nwoke,@MaziNwoke,2014-07-02T16:31:53.000Z,#TillNextTime #Adanae http://instagram.com/p/p8WcdNk16Q/,,,,1,"['TillNextTime', 'Adanae']"
MuratKızıloluk,@muratkiziloluk,2021-08-10T04:30:46.000Z,"#Günaydın

#Gönül dostları
    #Hayvanseverler
       #Doğaseverler
          Yüreği #sevgi ile dolu güzel insanlar

#Sağlık, #sıhhat, #neşe ve #huzur dolu bir gün dilerim

#Salı 

#Adanae-Feke, Sülemişli",,1,,30,"['Günaydın', 'Gönül', 'Hayvanseverler', 'Doğaseverler', 'sevgi', 'Sağlık', 'sıhhat', 'neşe', 'huzur', 'Salı', 'Adanae']"
ilhan günel,@ilhangnel2,2021-05-06T10:04:45.000Z,"#AdanaE AdanaEmn Müdürüİstifa
#AdanaEmniyeti mniyeti",,,,,"['AdanaE', 'AdanaEmniyeti']"
Gonzalo,@gonzaisla01,2014-05-16T02:28:03.000Z,"cuanto le das del 1-10
lulu, sol, candu, valu y zoe

#adanae — NOSE http://ask.fm/a/aidm41pc",,,,,['adanae']
×☆rl!€,@ItsMeXarlie,2017-02-26T06:45:30.000Z,#ADANAE dio el mejor de los mensajes alguna vez pronunciado en #Viña2017,,,,,"['ADANAE', 'Viña2017']"
aline,@alinebaarbosa_,2011-09-25T19:04:15.000Z,"ontem tronbei a 
@pqpju
 , 
@lilianelimmia
  e a #ADANAE , elas tantaram me arrasta pro parque ,KKKK""",,1,,,['ADANAE']
Miguel Bernal Menéndez,@tenorbernal,2014-01-07T16:53:53.000Z,"Ensayo con #ReginaIberica para concierto #barrocoespañol en #Adanae #Madrid. Viernes 10, 19'30",,,,,"['ReginaIberica', 'barrocoespañol', 'Adanae', 'Madrid']"
Anna Saura Ramon,@annasauraramon,2012-06-08T23:39:16.000Z,"Echando de menos a 
@JLabordaBarcelo
 en la fiesta de #adanae",,1,2,1,['adanae']
