username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Aurelia draws in Isengard,@aurelia_draws,2021-08-12T07:24:20.000Z,"U probably noticed that I love to draw flowers 
#characterdesign #ArtistOnTwitter #aesthetic #illustration",,3,61,567,"['characterdesign', 'ArtistOnTwitter', 'aesthetic', 'illustration']"
Caemi,@caemiel,2021-08-08T22:03:31.000Z,[details] #aesthetic #fashion #tarots,,4,242,2K,"['aesthetic', 'fashion', 'tarots']"
Caemi,@caemiel,2021-08-11T22:07:19.000Z,[studies 17/--] #aesthetic #fashion #ocs,,2,55,538,"['aesthetic', 'fashion', 'ocs']"
Ravioli,@doodletime_,2021-08-13T10:03:10.000Z,"My first ocean painting!!
#digitalart #aesthetic",,,2,19,"['digitalart', 'aesthetic']"
수호,@leeseuhno,2021-08-13T02:40:10.000Z,"Just look up.
#aesthetic",,,3,8,['aesthetic']
Raghul Ramesh,@capedmango,2021-08-12T15:22:41.000Z,"After a long time I made this.
#aesthetic #SURREALISM",,1,,11,"['aesthetic', 'SURREALISM']"
Maaniu Musthafa,@maaniumusthafa,2021-08-13T07:40:44.000Z,"Check out @ goldeluxe.candles on Instagram!

#candles #aesthetic #Pinterest",,,2,3,"['candles', 'aesthetic', 'Pinterest']"
1kGhosts ⬩,@1kghosts,2021-08-06T20:48:55.000Z,"Just a Ghost bust cuz i love drawing her!

#art #digitalart #artistsontwitter #oc #aesthetic",,,25,97,"['art', 'digitalart', 'artistsontwitter', 'oc', 'aesthetic']"
デク𝗗𝗘𝗞𝗨,@MHA_DEKU_,2021-08-13T09:30:05.000Z,"Mystic Day's and Night's
   #aesthetic",,,,1,['aesthetic']
Melanie,@oleander___,2021-08-07T21:34:19.000Z,Sweet positivity #aesthetic,,,,8,['aesthetic']
Dishusband,@Setsush1,2021-08-05T15:05:19.000Z,#AlphaBetas fanart while trying to be #aesthetic ,,1,6,40,"['AlphaBetas', 'aesthetic']"
_shivammishra;),@vibes_creater_,2021-08-13T07:05:36.000Z,"""everyone have two faces.""
#aesthetic
@itsSSR",,1,2,2,['aesthetic']
𝙏 𝙤 𝙩 𝙚 𝙣,@light_Toten,2021-08-06T12:31:24.000Z,"𝘁𝗼𝗿𝗻 𝗿𝗲𝗮𝗹𝗶𝘁𝘆

#toten #photography #streetphotography #urbanphotography #vaporwave #synthwave #retrowave #aesthetic #cyberpunk #neonoir #architecture #monochrome #bnw #blackandwhite #noir #goth #bnw_captures #blackandwhitephotography #bnwphotography #urbanlandscape",,,4,12,"['toten', 'photography', 'streetphotography', 'urbanphotography', 'vaporwave', 'synthwave', 'retrowave', 'aesthetic', 'cyberpunk', 'neonoir', 'architecture', 'monochrome', 'bnw', 'blackandwhite', 'noir', 'goth', 'bnw_captures', 'blackandwhitephotography', 'bnwphotography', 'urbanlandscape']"
▸,@parkjmthetic,2021-08-09T05:58:59.000Z,"𑁍┊𝐂𝐇𝐀𝐄𝐑𝐘𝐎𝐔𝐍𝐆 𝐀𝐄𝐒𝐓𝐇𝐄𝐓𝐈𝐂 𝐈𝐂𝐎𝐍. 

#CHAERYEONG #ITZY #aesthetic #Icon",,,2,2,"['CHAERYEONG', 'ITZY', 'aesthetic', 'Icon']"
𝓒𝓱𝓮𝓵𝓵𝓮 ♡,@SeaCheIIe,2021-08-06T16:24:07.000Z,my twitter is an aesthetic and i love it #aesthetic,,,,3,['aesthetic']
Melanie,@oleander___,2021-08-07T07:08:55.000Z,Sweet tooth for you #aesthetic,,,,9,['aesthetic']
SPOT.ph,@Spotdotph,2021-08-10T09:30:04.000Z,Converse's famous Chuck 70 just got an #aesthetic makeover!,"These Classic Converse Sneakers Look Oh-So Dreamy With Pastel Pops of Color
A worthy addition to your white sneaker collection.
spot.ph",,9,30,['aesthetic']
Tony SHARK,@YXNGSHARK,2021-08-13T11:34:46.000Z,"REMAIN HUMBLE 

2 Years Ago Today it was Minimalism. 

..Oh How 
Thingz have changed.

#ａｅｓｔｈｅｔｉｃ s of a Killer #Minimalism","0:00
3 views",,,,"['ａｅｓｔｈｅｔｉｃ', 'Minimalism']"
E.F.Productions,@EFPhotogrophy,2021-08-07T03:09:01.000Z,Nature  #nature #NaturePhotography #photography #PhotoOfTheDay #travel #aesthetic #art #beauty #beautiful #chillvibes #photographer #SummerVibes #,,,2,11,"['nature', 'NaturePhotography', 'photography', 'PhotoOfTheDay', 'travel', 'aesthetic', 'art', 'beauty', 'beautiful', 'chillvibes', 'photographer', 'SummerVibes']"
Audrey : D,@audhachu,2021-08-08T13:36:06.000Z,I swear this is going to be my wedding dress  #aesthetic,,,,3,['aesthetic']
melanie,@melaniedoesart,2021-08-05T19:57:07.000Z," sticker pack up on my etsyyyy 
super proud of these

#etsy #etsyshop #sticker #anime #aesthetic #cute",,1,1,7,"['etsy', 'etsyshop', 'sticker', 'anime', 'aesthetic', 'cute']"
GingeSwagTia,@GingeSwagTia,2021-08-12T21:00:09.000Z,Filming a lil YouTube video #filming #aesthetic #plants,,,,6,"['filming', 'aesthetic', 'plants']"
⋆.ೃ࿔*:･nancy *ೃ༄,@nancy_studies,2021-08-09T12:42:54.000Z,"Decided to start from zero with Korean, because I took way too long of a break. So there it is, my new notebook for short grammar notes for all of my target languages. The green theme is for Korean 

#studyspo #aesthetic",,,2,6,"['studyspo', 'aesthetic']"
