username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Membong Casimir Ngoeh,@membongcas,2021-08-11T15:16:40.000Z,"Aile/Family 
#tercume #çeviri #tercüman #istanbul  #ingilizceçeviri #türkçeçeviri #translation #translationservices #translations  #ingilizce #türkçe #english #turkish #aile #family #Kastamonu #bartin #Sinop #VMAs",,2,,1,"['tercume', 'çeviri', 'tercüman', 'istanbul', 'ingilizceçeviri', 'türkçeçeviri', 'translation', 'translationservices', 'translations', 'ingilizce', 'türkçe', 'english', 'turkish', 'aile', 'family', 'Kastamonu', 'bartin', 'Sinop', 'VMAs']"
Дариана и Анориэль,@El_and_Aile,2021-08-08T17:21:06.000Z,"Гребаный заклятый понедельник!!! Он и очередь из планов на 10 дней вперед. Гръ(. Грущу. Поною здесь чтоб отпустило и можно было потратить неосоциаленное время с пользой.
Особенно бесит что буквально на час опоздала чтобы сделать идеальную неделю. Жутко не люблю так. Обидно. #Aile",,,,3,['Aile']
Gaye Sigorta,@gayesigorta,2021-08-12T09:15:04.000Z,"Sevdiklerinizi Hayat Sigortasıyla Güvene Alıyoruz. 

#HayatSigortası #Sigorta #Hayat #Aile #Güvence #GayeSigorta #EğitimDesteği",,,1,2,"['HayatSigortası', 'Sigorta', 'Hayat', 'Aile', 'Güvence', 'GayeSigorta', 'EğitimDesteği']"
Devrim Danyal,@devrimdanyal,2021-08-06T11:21:34.000Z,"Yine bir ilk 
@nftstudyo
, http://NFTatolye.com işbirliğiyle #fiziksel & #dijital tüm #aile albümlerinizin #NFT Dünyasında yerini almasını sağlıyor

Siz de tüm geçmişinizi #Blockchain ile tarihe #kazımak ister misiniz 

#Başvuru ve #Detaylar için
http://NFTstudyo.com",,,4,11,"['fiziksel', 'dijital', 'aile', 'NFT', 'Blockchain', 'kazımak', 'Başvuru', 'Detaylar']"
Gaye Sigorta,@gayesigorta,2021-08-06T09:30:06.000Z,"18 Yaş Altı Çocuklarınız Geleceği İçin Bireysel Emeklilik Fırsatını  Kaçırmayın. 
#BES #Gelecek #Çocuk #BireyselEmeklelik #Aile",,,2,2,"['BES', 'Gelecek', 'Çocuk', 'BireyselEmeklelik', 'Aile']"
Дариана и Анориэль,@El_and_Aile,2021-08-05T14:03:01.000Z,"Чтобы открыть ларёк, блин. Госуслуги: заполните дневник наблюдений я: ок. ГУ: данные паспорта не прошли проверку мвд. Проверьте в профиле. Я: ок. Профиль. Редактировать. ГУ: добавьте телефон! Я: ок. Добавить. ГУ: только через ваш банк или оператора (оффлайн). Я: нах ларёк. #Aile",,,,5,['Aile']
Seyir Mobil,@seyirmobil,2021-08-11T10:00:01.000Z,"Türkiye’nin dört bir yanına ulaşan yetkili servis ağımız, yurtiçi ve yurtdışında bulunan bayilerimiz, sahip olduğumuz geniş müşteri portföyü ve 120.000 araç takip cihazımızla sizlere en iyi şekilde hizmet vermeye çalışıyoruz.

#Aile #SeyirMobil #araçtakip #vehicletracking",,,,3,"['Aile', 'SeyirMobil', 'araçtakip', 'vehicletracking']"
Gaye Sigorta,@gayesigorta,2021-08-07T09:30:10.000Z,"Hayat çabuk geçiyor bireysel emeklilik sigortası için geç kalmayın. 
Sonra üzülürsünüz. 
#gayesigorta #hayat #BES #bireyselemeklilik #emekli #gelecek #aile",,,1,1,"['gayesigorta', 'hayat', 'BES', 'bireyselemeklilik', 'emekli', 'gelecek', 'aile']"
Cemalettin Gürler,@CemalettinGrle1,2021-08-07T08:44:48.000Z,#aile #ailehukuku #boşanma,,,,4,"['aile', 'ailehukuku', 'boşanma']"
Mersin İl Müftülüğü,@MersinMuftulugu,2021-08-06T07:43:25.000Z,"Pandemi sürecinde aile eğitimleri seminerlerimizde bu hafta Rehberlik Öğretmeni Sayın Mehmet Ali Yıldırım'ı konuk edeceğiz ve ""Mesleğimi Seçerken"" konusunu işleyeceğiz. #pandemi #pandemic #aile #aileherşeydir #ailem #ailedanışmanlığı #meslek #meslekler #meslekseçimi #mesleklisesi",,,1,3,"['pandemi', 'pandemic', 'aile', 'aileherşeydir', 'ailem', 'ailedanışmanlığı', 'meslek', 'meslekler', 'meslekseçimi', 'mesleklisesi']"
