username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
red,@IsmetIrmak,2021-08-13T06:20:27.000Z,#selfelaketi  #SellerinArdındakiSır  #Kastamonu  #HES  #AkpDevletDeğildir  #BirOlmaVakti #akpdefol  #YandaşMedya #YalanTerörü  #iban  #somaliye30milyon haa???A.B.V,"Sᵒᶰˢᵘᶻᵃ ᵏᵃᵈᵃʳ ᶤᶻ'ᶤᶰᵈᵉʸᶤᶻ
@ATAKIZI__
 · 13h
Yüzlerce ölü, yüzlerce kayıp var, cesetler suların üzerinde yüzüyor, yandaş medyada Deniz Akkaya’nın açıklamaları kadar haber yapılmadı

Eğer bir ülkenin kendi insanlarını aldatan bir medyası varsa,o ülkenin başka düşmana ihtiyacı yoktur. #bozkurtyokoldu #selfelaketi #afetbölgesi",,,1,"['selfelaketi', 'SellerinArdındakiSır', 'Kastamonu', 'HES', 'AkpDevletDeğildir', 'BirOlmaVakti', 'akpdefol', 'YandaşMedya', 'YalanTerörü', 'iban', 'somaliye30milyon']"
Hulki Yılmaz,@hulki_y,2021-08-13T06:37:17.000Z,"Yangın sel deprem gibi afetlerde
Halktan ıban ile yardım toplaya
caksanız bizden boğazımızı 
sıkarak aldığınız trilyon dolarlık
vergileri ne yaptınız.
Bu tür afetlerde hep halktan 
bekliyorsanız siz ne yapacaksı
nız. Bırakın gidin yeter.
#TayyipErdoğanİstifa 
#akpdefol",,3,22,52,"['TayyipErdoğanİstifa', 'akpdefol']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-05T07:29:49.000Z,"Öfke ve hırsına kul olanın, vicdanı sıkıntıdadır...
#günaydın
#huzur 
#sağlık 
#mutlugün
#Atatürkçüler
#ülkücüler
#Kutluyol
#AkpDefol ",,1,,7,"['günaydın', 'huzur', 'sağlık', 'mutlugün', 'Atatürkçüler', 'ülkücüler', 'Kutluyol', 'AkpDefol']"
Ozan Ergün DOĞAN,@Ozanergundogan2,2021-08-12T04:39:01.000Z,"Hesap sokakta değil, sandıkta!  
#akpdefol
#ProvokasyonaGelme",,,1,16,"['akpdefol', 'ProvokasyonaGelme']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-06T10:07:03.000Z,"Cumhurbaşkan aklıma ne geldi bugün Cuma tevbe anlamını biliyorsun hanimüslümansın ya!
İstersen son birkez Tevbe getr, Allah'ım beni bağışla bana merhamet et beni cezalandırmaktan vazgeç ve beni affet,şüphesiz sen bağışlayansın emi!
Allah sanmıyorum affetmez,biz ler asla
#Akpdefol",,,,7,['Akpdefol']
Yasemin GRGN,@sory6283,2021-08-07T08:03:54.000Z,Günaydın #TürkiyeErdoğandanBüyüktür,,5,6,55,['TürkiyeErdoğandanBüyüktür']
Politic Türk,@politicturk,2021-08-11T20:22:14.000Z,Ankara Altındağ'da toplanan kalabalık istiklal marşı okuyor,,116,835,4.6K,[]
TÜRK_ER YILMAZ,@Trmyd,2021-08-11T21:08:12.000Z,"Kurban olurum o marşada bayragada topraklarımızada..
#Akpdefol bunların sorumlusu sensin #afganlariistemiyoruz #suriyelileriistemiyoruz",,1,1,3,"['Akpdefol', 'afganlariistemiyoruz', 'suriyelileriistemiyoruz']"
Av. Ö. Ediz Yoraz,@avukatyoraz,2021-08-06T06:54:27.000Z,"recep efendi’nin o köylere neden giremediğini, taziye evi’ne bile neden gidemediğini biliyor musunuz?..
çünkü, anadolu uyandı!..
haramilerin saltanatı yıkılacak!..
#RecepTayyipErdoganistifa !..
#TayyipErdoğanİstifaET !..
#AkpDefol !..
#TamamUlanTamam !..
#tayyipistifa !..","Hergele Postası
@HergelePostasi
 · Aug 5
Bakan Pakdemirli'ye halktan tepki: ""Hükümet istifa"" | Orman Bakanı Bekir Pakdemirli'ye yangın bölgesinde yurttaşlar tepki gösterdi. Bir kadın, bakana ""Helikopterler nerede? Hükümet istifa"" dedi, gözaltına alındı. Pakdemirli ise çareyi kaçmakta buldu. 

#tayyiperdoğanistifaet
0:22
76.8K views",2,8,37,"['RecepTayyipErdoganistifa', 'TayyipErdoğanİstifaET', 'AkpDefol', 'TamamUlanTamam', 'tayyipistifa']"
Kuddusi Yıldırım,@kuddusiyildirim,2021-08-05T08:07:49.000Z,"Canlının bedeli mi olur? 

Ne utanmaz, insanlarsınız! #Tamam #AkpDefol",,,,1,"['Tamam', 'AkpDefol']"
MarLa Singer,@MarrLaSingerr,2021-08-05T09:08:43.000Z,Leşşşsiniz! #AkpDefol,"Şerafettin Turpcu
@s_turpcu
 · Aug 3
AKP peş peşe rezil olma rekorları kırıyor!
hangardaki THK uçaklarını buzlamışlar!
Show this thread",,,,['AkpDefol']
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-05T07:41:08.000Z,"Replying to 
@reisituran","#AkpDefol #akpnefret
#AkpVarsaHuzurYok
#akpgüvensiz #akpyalan #akprüşvet #akpfetöyolsuzluk
#akpdürüssüz
#akpfetö
________________________!
Günaydın can Başkanım yolun yolumuzdur saygıyla ellerinden öperim ",1,,4,[]
Av. Ö. Ediz Yoraz,@avukatyoraz,2021-08-10T09:49:45.000Z,"hani taliban’dan kaçıyordu, bu barbar sapık islamcı terörist sürüsü?..
#AkpDefol !..
#RecepTayyipErdoganİstifa !..","Serkan Tanyildizi
@srkntnyldz
 · Aug 10
Hani Taliban'dan kaçıyordu bu Afganlar?

Afgan sığınmacılar Kadıköy Moda'da Taliban bayrağı açarak coşuyor...",39,144,366,"['AkpDefol', 'RecepTayyipErdoganİstifa']"
Bir Garip Orhan,@birgaripaorhan,2021-08-10T09:54:18.000Z,"Devşirme oylarla o açığı kapatmak istiyor.
Ben de diyorum ki #akpdefol",,,,1,['akpdefol']
Tatü,@TokerTanerr,2021-08-11T22:06:05.000Z,#AkpDefol,"Yusuf Halaçoğlu
@yusufhalacoglu
 · Aug 11
Yarın çok geç olacaktır. İş işten geçtikten sonra, hep söylemiştik demeyelim. Bu bir kavimler göçüdür.Ülke nüfusunun şimdilik %10'unu oluşturuyor gelenler.Bir an önce tedbir alınmazsa, sonu iyi olmayacaktır.Hükümetin bilgisi olmadan sınırdan bu kadar insanın geçmesi mümkün değil.",,,,['AkpDefol']
Altay Kalpak,@AltayKalpak,2021-08-11T13:26:32.000Z,#afganlariistemiyoruz #AkpDevletDegildir #AkParti #AkpDefol,"Aykırı
@aykiricomtr
 · Aug 11
AKP'li Yasin Aktay, ""Anadolu neredeyse topyekûn bir göçmen toplumu olduğu halde şu anda ciddi bir 'eski gelenlerin son gelenleri kabullenmemesi sorunuyla' karşı karşıya kalıyoruz"" diyerek Türkleri eleştirdi.",,,,"['afganlariistemiyoruz', 'AkpDevletDegildir', 'AkParti', 'AkpDefol']"
