username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
KEFALUKA RESORT,@Kefaluka_Resort,2019-09-02T14:20:09.000Z,"Swim with fishes 
#kefaluka #kefalukaresort #sea #swim #fish #deniz #yüzme #balık #aktivite #activities #vacation #summer #bestvacation #akyarlar #bodrum",,,,4,"['kefaluka', 'kefalukaresort', 'sea', 'swim', 'fish', 'deniz', 'yüzme', 'balık', 'aktivite', 'activities', 'vacation', 'summer', 'bestvacation', 'akyarlar', 'bodrum']"
KEFALUKA RESORT,@Kefaluka_Resort,2019-08-19T12:56:52.000Z,"Enjoy the turquoise sea of Bodrum!
#kefaluka #kefalukaresort #enjoy #sports #watersports #aktivite #activities #beach #vacation #bestvacation #summer #akyarlar #bodrum",,,,1,"['kefaluka', 'kefalukaresort', 'enjoy', 'sports', 'watersports', 'aktivite', 'activities', 'beach', 'vacation', 'bestvacation', 'summer', 'akyarlar', 'bodrum']"
Elçin Tün Koleji,@ElcinTunKoleji,2019-09-30T14:09:29.000Z,"English Song Contest 2019   

 11 October 2019
 16.00 - 18.00 pm

* Only for middle school
* Awards can only be used in canteen

#elçintünkoleji#songcontest #awards #englishsong #middleschool #şarkıyarışması #eğlence #aktivite #etkinlik #songcontest2019",,,,2,"['elçintünkoleji', 'songcontest', 'awards', 'englishsong', 'middleschool', 'şarkıyarışması', 'eğlence', 'aktivite', 'etkinlik', 'songcontest2019']"
avatarVr,@Avatar_vrgame,2020-10-02T14:22:03.000Z,New Game Alert!!! #frostpoint #yenioyun #gaming #gamers #göktürk #basaksehir #kemerburgaz #2ekim #vroyun #istanbulvr #Besiktas #yesilköy #eglence #aktivite #heyecan #multiplayer #oyuncugündemi #haberler #ValveIndex,,,1,2,"['frostpoint', 'yenioyun', 'gaming', 'gamers', 'göktürk', 'basaksehir', 'kemerburgaz', '2ekim', 'vroyun', 'istanbulvr', 'Besiktas', 'yesilköy', 'eglence', 'aktivite', 'heyecan', 'multiplayer', 'oyuncugündemi', 'haberler', 'ValveIndex']"
_kadirzade_,@esed_qedirzade,2020-03-24T06:58:58.000Z,"YA ALLAH ﷽ ℓฉ iℓฉhฉ iℓℓฉ Аℓℓฉh ﷽  
 #aktivler #aktivler #aktivler #instatv #keşfet #keşfetteyiz #kesfet #kesfetteyiz #kewfet   #aztagram #aktiv #aktivler #aktivite #baku #baku #bakuazerbaijan #baki #bakim #bakı #Turkey",,,,,"['aktivler', 'aktivler', 'aktivler', 'instatv', 'keşfet', 'keşfetteyiz', 'kesfet', 'kesfetteyiz', 'kewfet', 'aztagram', 'aktiv', 'aktivler', 'aktivite', 'baku', 'baku', 'bakuazerbaijan', 'baki', 'bakim', 'bakı', 'Turkey']"
Arkerobox- Eğitici Kazı Setleri,@arkerobox,2021-07-12T15:56:13.000Z,"If you're looking for family activities at home, we have good ideas. Arkerobox, which is a pleasant and educational activity, teaches everyone from 7 to 70 about our cultural heritage and gives a real excavation experience.

#arkerobox #eğitici #öğretici #aktivite #kazvekeşfet",,,,,"['arkerobox', 'eğitici', 'öğretici', 'aktivite', 'kazvekeşfet']"
Hustla,@Quophi__fundz,2019-06-12T22:38:07.000Z,"We don't live on words.

#azeaktive #azeactive #insta #instasize #instas #azeaktiv #azerbaycan #aze #aktives #aktivite #azeri #azeaktiv #like4like #likeforlike #followers #autolike #autolikes #azelike #aktivler… https://instagram.com/p/ByoHJqQgUFJ/?igshid=ottqtnljg637…",,,,3,"['azeaktive', 'azeactive', 'insta', 'instasize', 'instas', 'azeaktiv', 'azerbaycan', 'aze', 'aktives', 'aktivite', 'azeri', 'azeaktiv', 'like4like', 'likeforlike', 'followers', 'autolike', 'autolikes', 'azelike', 'aktivler']"
Sevinç Koleji,@SevincKolejleri,2021-07-14T08:58:36.000Z,"As Sevinç Koleji, we train our students with the Lego Education Program, which develops creativity, innovation and problem-solving skills that support 21st century skills. 

#SevinçKoleji #GeleceğeGülümse #35Yıl #Lego #Robotik #Eğitim #Aktivite #EğitimVeAktiviteAlanlarımız",,,,1,"['SevinçKoleji', 'GeleceğeGülümse', '35Yıl', 'Lego', 'Robotik', 'Eğitim', 'Aktivite', 'EğitimVeAktiviteAlanlarımız']"
Tell 'em' Ets Chadee,@etschadee01,2020-07-07T00:49:43.000Z,"#repost gimme luv coming from this side of the North side
OUT NOW 
LINK 
IN MY BIO 
.
.
 #tundeednut #tiwasavage #davido #obo #dmw #hkn #30bg #ybnl #30bgmoneyrun #joeboy #mavins #eme #afro #trending #aktivite… https://instagram.com/p/CCTwh1HFer_/?igshid=1qdhdo0pzko4l…",,,,,"['repost', 'tundeednut', 'tiwasavage', 'davido', 'obo', 'dmw', 'hkn', '30bg', 'ybnl', '30bgmoneyrun', 'joeboy', 'mavins', 'eme', 'afro', 'trending', 'aktivite']"
Mayna Tekne Organizasyonu,@MaynaTekne,2020-05-31T15:24:51.000Z,"https://tekneorganizasyonu.com/korona-virus-covid-19-sonrasi-en-guvenli-aktivite/…

#korona #covid19 #covid-19 #deniz #istanbul #bogaz #yatkiralama #guvenli #aktivite #dezenfekte #sosyalmesafe #staysea @ Mayna… https://instagram.com/p/CA22-LmD_LX/?igshid=i0hnjsg9y0yw…","Korona Virüs (Covid-19) Sonrası En Güvenli Aktiviteler Başladı! - Mayna
Korona virüs (covid-19) salgını normalleşme sürecinde tekne ve yatlarımızda uyguladığımız tedbirler ile en güvenli aktiviteler için hemen bizi arayın.
tekneorganizasyonu.com",,,,"['korona', 'covid19', 'covid', 'deniz', 'istanbul', 'bogaz', 'yatkiralama', 'guvenli', 'aktivite', 'dezenfekte', 'sosyalmesafe', 'staysea']"
