username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ferhat Aktas,@faktas79,2021-08-06T11:53:01.000Z,"Ülkemizde işlenen kadın cinayetlerinin büyük çoğunluğu alkolik erkekler tarafından işleniyor

Ülkemizde meydana gelen trafik kazalarının büyük çoğunluğu alkol kullanımı yüzünden oluyor.

Her yıl yaklaşık 3,5 milyon insan alkole bağlı nedenlerden dolayı hayatını kaybediyor.
#alkol",,1,2,1,['alkol']
Doğru Veri,@dogru_veri,2021-08-05T09:27:28.000Z,"ALKOL 740 BİN KANSER VAKASINA NEDEN OLDU

#alkol #kanser #vaka",,1,3,3,"['alkol', 'kanser', 'vaka']"
,@MSiriuss8,2021-08-06T13:38:02.000Z,Ülke bu haldeyken #Alkol ‘e zam yapmak nerden aklınıza geldi ?,,,,2,['Alkol']
Ferhat Aktas,@faktas79,2021-08-06T11:56:08.000Z,"Ülkede ki tüm gayr-i meşru olaylarının altında veya detayında yine alkol bulunuyor. Ama ülkede alkol kullanımına dair ne bir yasak ne de bir kısıtlama var.

""İçki bütün kötülüklerin anasıdır."" (Hz. Muhammed S.A.V)

#alkol",,,1,,['alkol']
Oğuz Can Dedeoğlu,@OuzCanDedeolu1,2021-08-05T13:53:00.000Z,Efes grubu biralarına zam geldi; #zam #bira #Alkol,,1,1,3,"['zam', 'bira', 'Alkol']"
koray öcal,@koraycal1,2021-08-12T12:04:40.000Z,#Barmenden #istenecek #alkol #ölçüsü,,,,,"['Barmenden', 'istenecek', 'alkol', 'ölçüsü']"
yavuz Elif,@yaaselim,2021-08-12T16:32:36.000Z,"@RTErdogan
 
#Alkol yasaklansın","ŞABAN KALAFAT
@kalafatsaban
 · 22h
#AlkolYasaklansın #Süt #Ayran & #MeyveSuyu Teşvik Edilsin.",,,,['Alkol']
Analiz Merkezi,@analizmerkezi46,2021-08-12T17:24:11.000Z,"İnsana verdiği tahribatı virüse göre kıyaslanmayacak fazla olan #alkol kullanımına yasak getirilebilir mi ? Elbette getirilemez!

Aynen böyle de ölüme vesile olma oranı on binde 1 bile olmayan bir virüs için insanlara, aşı zorunlu hale getirilemez! Yani amaç insan sağlığı değil!",,,,5,['alkol']
nursse,@nurrssse,2021-08-05T12:08:17.000Z,"Diyanet ödenek yetmiyor ek ödenek istiyoruz dedi ve akabinde Alkollü içkiye zam yapıldı.
Yatacak yeriniz yok sizin..!!",,44,175,1.4K,[]
niliiii23,@NilferF,2021-08-05T21:41:50.000Z,Demek ki #alkol  haram değilmiş,,,,,['alkol']
