username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Dr. Arzu Girişken,@arzucakar,2019-06-29T22:28:05.000Z,Class of 2019  #proudprofessors #happygrads #altınbaşüniversitesi,,,1,3,"['proudprofessors', 'happygrads', 'altınbaşüniversitesi']"
Go For Goal Ict,@go_ict,2021-03-31T13:13:59.000Z,"We officially partner with #altınbaşüniversitesi @ Istanbul, Turkey https://instagram.com/p/CNFZpruFBRT/?igshid=jcm99hmzge7r…",,,,,['altınbaşüniversitesi']
Altınbaş Sosyoloji,@AltinbasSoc,2021-03-24T08:15:27.000Z,"Banu Kavaklı will moderate the panel “Being an International Student in Turkey” today, organized under the Action Week Against Racism.

#altınbaşüniversitesi #sosyoloji #altinbasuniversity #Sociology",,,,,"['altınbaşüniversitesi', 'sosyoloji', 'altinbasuniversity', 'Sociology']"
Mohamed Maray | محمد مرعي,@ArchiMaray,2019-06-29T13:42:37.000Z,Graduation ceremony 2019 #graduationcap #graduated #architect #mimar #happy #family #friends #libya #turkey #libyanstyle #altınbaşüniversitesi #mezuniyetelbisesi @ TİM Show Center https://instagram.com/p/BzS7YXyFK1l/?igshid=l5azpmt6xvwp…,,,,,"['graduationcap', 'graduated', 'architect', 'mimar', 'happy', 'family', 'friends', 'libya', 'turkey', 'libyanstyle', 'altınbaşüniversitesi', 'mezuniyetelbisesi']"
G. Nazan Günay,@nazangunay,2018-12-07T22:13:20.000Z,Prof. Joseph Hair ve biz  #paays2018 #ppad #AltınbaşÜniversitesi https://instagram.com/p/BrGhRFRDL-E/,,,,6,"['paays2018', 'ppad', 'AltınbaşÜniversitesi']"
Büyükçekmece MTAL,@bcekmecemtal,2021-03-08T16:27:05.000Z,"Bu akşam...Zoom...ID: 932.5687.9540
Şifre: 624859
#AltınbaşÜniversitesi",,,,4,['AltınbaşÜniversitesi']
İÇ,@ibrahimcadirci_,2021-01-26T16:10:18.000Z,"Bekle beni İstanbul 
#altınbaşüniversitesi",,1,,5,['altınbaşüniversitesi']
TÜGVA Üniversite,@tugvauniversite,2018-04-23T13:29:49.000Z,"#TÜGVA YÖK Bahar Divanımız #AltınbaşÜniversitesi, #İZÜ, #İstanbulTicaretÜniversitesi ve #AyvansarayÜniversitesi Temsilcilerimizin sunumları ile devam ediyor.",İsmail Emanet and 4 others,,,11,"['TÜGVA', 'AltınbaşÜniversitesi', 'İZÜ', 'İstanbulTicaretÜniversitesi', 'AyvansarayÜniversitesi']"
Bağımsız Mali Müşavirler Grubu,@bmmgrubu,2019-01-10T13:23:09.000Z,#egitim #altinbasüniversitesi,,,2,7,"['egitim', 'altinbasüniversitesi']"
ŞenlikköyZeynepBediaKılıçlıoğluİlkokulu .,@ZBKilkokulu,2019-11-17T10:12:58.000Z,"Altınbaş Çocuk Üni. atölyelerinden ''Farklılıklar ve Özgürlüğümüz"" atölyesine katıldık. Dr. Diğdem Soyaltın tarafından düzenlenen atölyede ''demokrasi'' kavramı;bireysel hak ve özgürlükler,farklılıklara saygı konularında farkındalık kazandılar.#altınbaşüniversitesi",,,,2,['altınbaşüniversitesi']
Dr. Arzu Girişken,@arzucakar,2019-06-30T02:14:29.000Z,Class of 2019  #proudprofessors #happygrads #altınbaşüniversitesi,,,,2,"['proudprofessors', 'happygrads', 'altınbaşüniversitesi']"
Nilay Kuşçu,@NilayKuu2,2019-02-15T07:24:48.000Z,"#AltınbaşÜniversitesi  #Yuvayadönüş.                                   
@fpalali
                                                      #MegumiMasaki.                                   
@hakankursun1
                                                        @erdalguven",,,,4,"['AltınbaşÜniversitesi', 'Yuvayadönüş', 'MegumiMasaki']"
𝕌𝕝𝕦𝕤𝕒𝕝 𝕂𝕖𝕤𝕚𝕗 𝕊 𝔸 ℝ,@UlusalKesifSAR,2019-03-13T10:44:28.000Z,"#AltınbaşÜniversitesi Tıbbi #Laboratuvar Bölümü 1. ve 2. sınıf öğrencileri ve bölüm ögretmenlerine #AfetBilinciEğitimi verilmistir.
#UKSAR #AnkaTeam 
@AltinbasUniv",,,2,4,"['AltınbaşÜniversitesi', 'Laboratuvar', 'AfetBilinciEğitimi', 'UKSAR', 'AnkaTeam']"
murat acet,@muratacetx,2018-08-12T07:07:42.000Z,"Son günler... Rehber Öğretmenlerimizle kahvaltıda buluştuk. Tercihleri, sıraları, üniversite ve meslek seçimine dair her şeyi konuştuk.
#AÜ #AltınbaşÜniversitesi #Rehberlik #yks2018",,,,2,"['AÜ', 'AltınbaşÜniversitesi', 'Rehberlik', 'yks2018']"
CEM BATUR,@CMBTR,2019-09-11T12:02:12.000Z,"Değerli kurul üyelerimizle beraber “küçük ve mikro işletmeler için finansal raporlama standardı tebliğ taslağı” panelindeyiz.
#ismmmo #panel #altınbaşüniversitesi",,,,2,"['ismmmo', 'panel', 'altınbaşüniversitesi']"
