username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
𝑰 𝑽 𝑨 𝑵 𝑨 𝑺 𝑳 𝑨 𝑵 ~,@ivanaslan47,2020-02-05T20:22:41.000Z,#ses #amatör #germany #almanya #türkü #haydi #söyle #keşfet #destek İNSTAGRAM: @ivanaslanofficial,"1:25
1.5K views",,1,83,"['ses', 'amatör', 'germany', 'almanya', 'türkü', 'haydi', 'söyle', 'keşfet', 'destek']"
Andres G. Innleggen,@AndiTelemark,2021-07-05T15:24:39.000Z,Her riv traileren ned dieselpumpene https://nrk.no/vestland/1.15564763… #AMATØR,"Her riv traileren ned dieselpumpene
Ferdig tanka la trailersjåføren full sving på rattet. Med seg tok han både tak og drivstoffpumper ved bensinstasjonen i Gudvangen ved E16.
nrk.no",,,1,['AMATØR']
Enstrümante,@enstrumante,2020-10-02T12:10:05.000Z,"Awesome Piper - Drummer

#music #musician #drum #enstruman #amateur #amatör #video #Instagram #Twitter #Youtube #TikTok #haber #global #2ekim #simpsonlar #hayirlicumalar #UELdraw #Cami #DonaldTrump #Emekister #Bitcoin #TrumpHasCovid #kayyum #coronavirus #TheSong #SonDakika #Like",,,5,8,"['music', 'musician', 'drum', 'enstruman', 'amateur', 'amatör', 'video', 'Instagram', 'Twitter', 'Youtube', 'TikTok', 'haber', 'global', '2ekim', 'simpsonlar', 'hayirlicumalar', 'UELdraw', 'Cami', 'DonaldTrump', 'Emekister', 'Bitcoin', 'TrumpHasCovid', 'kayyum', 'coronavirus', 'TheSong', 'SonDakika', 'Like']"
lokman atakol,@lokmanads01,2021-02-12T09:46:44.000Z,"#amatör  
@AliDusmezz
  @TFF_Org
  @saffetsancakli
  @alpayozalan35
  @RTErdogan",,,9,15,['amatör']
Seyfullah Dere,@SeyfullahDere11,2020-09-15T11:40:59.000Z,#amatöresahipçık #RTErdogan #kasapoğlu #tff_org #AmatoereSahipCık #amatör,,,2,4,"['amatöresahipçık', 'RTErdogan', 'kasapoğlu', 'tff_org', 'AmatoereSahipCık', 'amatör']"
Şener Söğüt,@senersogut,2021-07-18T18:18:54.000Z,"İzzet İbiş Minikler Futbol Turnuvası 

#Amatör Spor’a önemli katkıları olan İzzet İbiş büyüğümüzü rahmetle anıyorum.",,,1,25,['Amatör']
Akademi Arşiv – Koleksiyon – Araştırma,@AkademiArsiv,2021-02-21T16:50:07.000Z,"Replying to 
@AkademiArsiv","Ortaköy #Olimpiyatları’nın, Bitinya’nın en önemli ve büyük organizasyonu olduğunu ve #Geyve’nin güzelliğini anlatır. At yarışı, #güreş, #atletizm, uzun atlama, disk atma, cirit atma ve boks oyunlarına katılım gösteren #Türk, #Ermeni ve #Rum sporcuların yarışmalarından bahseder.",1,4,18,[]
Akademi Arşiv – Koleksiyon – Araştırma,@AkademiArsiv,2021-02-21T16:50:08.000Z,Birçok ulusun katılım gösterdiği ilk #modern olimpiyatlar (1896) öncesinde basılan ve Akademi (#AAKA ekibi) tarafından ortaya çıkarılan Ortaköy Olimpiyatları yayını; #amatör olimpiyatlar ve #Adapazarı #spor tarihi adına çok önemli bir delildir.,,,5,20,"['modern', 'AAKA', 'amatör', 'Adapazarı', 'spor']"
ProfDrSerhatFINDIK,@ProfSFindik,2019-09-08T16:59:41.000Z,"Lütfen paylaşalım
Bucaspor Başkanından ,ki futbolcunun ilk kulübü #Bucaspor idi, 
#TaylanAntalyalı transferindeki gerçeği görelim, kendisini tebrik ederim.
Karşımızda #organize ama #amatör bir kötülük çetesi var, hep aynı tipler 
Ama hiç unutulmasın
Yüce Allah’ın Adaleti Şaşmaz","SUAT ATEŞDAĞLI
@DJSUATATESDAGLI
 · Sep 8, 2019
Show this thread",,10,24,"['Bucaspor', 'TaylanAntalyalı', 'organize', 'amatör']"
Mehmet Aktaş,@akts40,2020-12-19T13:58:37.000Z,"Kötülüklerin büsbütün egemen olduğu, namussuz bir çağ bu, biliyorsun.

- Cemal Süreya

#kendisesimden #CemalSüreya #acz #edebiyat #sair #şiir #amatör #yediguzeladam #7guzeladam #SiirSokakta #siirduvarda #siiroku #siirdinle #amatorsesler",,,4,21,"['kendisesimden', 'CemalSüreya', 'acz', 'edebiyat', 'sair', 'şiir', 'amatör', 'yediguzeladam', '7guzeladam', 'SiirSokakta', 'siirduvarda', 'siiroku', 'siirdinle', 'amatorsesler']"
