username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Barbaros Sansal,@barbarosansalfn,2021-08-11T21:17:39.000Z,"Vandalism, looting #Turkey #Ankara","Turhan Doğu
@TurhanDogu
 · Aug 12
Ankara Altındağ da tehlikeli bir gerginlik baş göstermektedir.
Mülteci konusunda haklıyız ancak metot bu değildir. İstenilen tam olarak şiddet, göz yaşı, kandır.
Seçilmişler çıkıp gereğinin yapılacağının teminatını geç olmadan vermeli, herkesi sükunete davet etmelidir.
0:22
25.4K views",14,43,299,"['Turkey', 'Ankara']"
🅻-🆃🅴🅼,@L_Team10,2021-08-11T21:14:11.000Z,"Another 2  from tonight’s attacks against Syrians in #Ankara 
 They broke cars",,1,31,47,['Ankara']
Rojava Network,@RojavaNetwork,2021-08-11T20:17:06.000Z,#Ankara: Local Source: Turkish fascists launched new waves of attacks on Syrian shops in Ankara,,14,90,80,['Ankara']
Humanity,@Humenity2,2021-08-06T18:52:05.000Z,"Exactly two years!
Even if it is 10 years, his family will not lose its hope.

This cruelty muss not be done to anyone.
@YangheeLeeSKKU
2years without Yusuf 
Yusufsuz Geçen2Yıl

Yusuf Bilge Tunç was abducted in #Ankara 733 days ago.",,,41,35,['Ankara']
KEMORAH ASUQUO,@iamKemorahouse,2021-08-05T07:42:46.000Z,"Try not to wear boring #ankara on weekends!!! Yes, I said it.
#7000  Available 
@iamKemorahouse
 ... We've got you covered!!",,2,11,14,"['ankara', '7000']"
🅻-🆃🅴🅼,@L_Team10,2021-08-11T21:17:24.000Z, Clashes between Turks and Syrians in #Ankara,,2,21,26,['Ankara']
PSİKOLOJİK DANIŞMAN,@dejavutale,2021-08-06T16:12:11.000Z,"1.5 woswos var yersen .....
#Ankara Cityyy ",,,,10,['Ankara']
Edmond Cukalla,@ecukalla,2021-08-07T16:38:40.000Z,#ankara night out #gençlikpark,,,,,"['ankara', 'gençlikpark']"
Arraed LG+,@ArraedLG,2021-08-12T17:14:53.000Z,"Within 10 seconds...,#Turkey begins serial production of the ""Diagnovir"" device based on nanotechnology and can diagnose infection with the #Coronavirus in a few seconds, as it was developed by Turkish researchers at the Bilkent University Center in the capital #Ankara.",,,,1,"['Turkey', 'Coronavirus', 'Ankara']"
Rojava Network,@RojavaNetwork,2021-08-11T21:15:22.000Z,"Replying to 
@RojavaNetwork",#Ankara: Local media: Police are struggling to control the riots in Ankara,3,2,11,[]
Rojava Network,@RojavaNetwork,2021-08-11T21:25:58.000Z,#Ankara: Local Source: Turkish Police are allowing racist attacks on Syrians,,4,37,44,['Ankara']
Tasnim News Agency,@Tasnimnews_EN,2021-08-12T08:43:36.000Z,"#Iranian President Ebrahim Raisi said the relations between #Tehran and #Ankara serve peace and stability in  region
https://tn.ai/2553150",,,1,7,"['Iranian', 'Tehran', 'Ankara']"
C4H10FO2P,@markito0171,2021-08-11T21:34:04.000Z,#Tukey's looting #Syria'n shops in #Ankara,,3,12,15,"['Tukey', 'Syria', 'Ankara']"
Wirnr,@Wirnr1,2021-08-12T17:15:20.000Z,A young Turkish woman in solidarity with the Syrians after the events of #Ankara,"ثابت الغزي
@SbmjMS3nXS7DzvE
 · 20h
""أنتم لستم وحدكم.. بعض وسائل الإعلام تحاول تهييج الشعب""
شابة تركية تتضامن مع السوريين بعد أحداث #أنقرة
استمع إلى ما قالته
#KardesimeDokunma 
#فريق_مجاهدون
0:26
1.3K views",,1,1,['Ankara']
everythingturkish,@everythingturk1,2021-08-13T04:01:26.000Z,The historic Ankara Castle was founded in the 8th century BC by the Phrygians and rebuilt in 278 BC by the Galatians. The castle underwent several renovations during the Roman; Byzantine; Seljuk and Ottoman eras. #ankara #cincin #kale#turkishfood #turki,,,,,"['ankara', 'cincin', 'kale', 'turkishfood', 'turki']"
News Ghana,@news_ghana,2021-08-08T23:20:09.000Z,Wildfire Near Dalaman Airport in Turkey Extinguished http://dlvr.it/S5H6DH #Environmentalnews #Airport #Ankara #August8 #DalamanAirport,,,1,3,"['Environmentalnews', 'Airport', 'Ankara', 'August8', 'DalamanAirport']"
