username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Astro museum,@MuseumAstro,2021-08-09T05:52:14.000Z,"An Ottoman unsigned text on Astrology and Astronomy,  (late 19th c.) #astrology",,3,34,199,['astrology']
Astro museum,@MuseumAstro,2021-08-08T18:46:16.000Z,"Truth Conquers All, from Astrological Bulletina, by Llewellyn George (1913) #astrology #zodiac",,1,18,69,"['astrology', 'zodiac']"
Malika,@MalikaGuria,2021-08-12T04:30:30.000Z,"for those new to astrology 
#astrology",,,1,2,['astrology']
Linda Simons,@danceofphoenix,2021-08-13T13:22:14.000Z,The Libra Moon forms a supportive sextile to the Sun in Leo today and trines Jupiter in Aquarius. These are saving grace aspects that restore our faith and optimism so use them wisely. #astrology,,,,2,['astrology']
Michelle WS,@createwithmiche,2021-08-13T11:27:09.000Z,"Happy Birthday Soprano legend #kathleenbattle. Sun, Moon, Asc. Venus in the 1st house = strong draw to art & music. Mercury in Leo = captivating performer. #astrology",,,3,2,"['kathleenbattle', 'astrology']"
Astro museum,@MuseumAstro,2021-08-07T18:28:04.000Z,"Twelve Signs of the Zodiac, from Astrological Periodicity, by Lyman E. Stowe (1909) #astrology #zodiac",,5,5,23,"['astrology', 'zodiac']"
Naked Numerology,@OneLuckyGirl_28,2021-08-07T13:50:35.000Z,"Never get married on the: 

•7th
•16th
•25th

Day of Any Month + on 7 days...

7 is the number of the LONER.  

FAIL

#Numerology
#Astrology",,38,162,1K,"['Numerology', 'Astrology']"
Naked Numerology,@OneLuckyGirl_28,2021-08-09T14:28:34.000Z,The Moon spends the next two days in perfectionist Virgo allowing you to acccomplish many things. Get things done and fix problems. The Moon is at her most discriminating and detail-oriented in health-conscious Virgo — the most helpful of all the signs. #Astrology,,,17,90,['Astrology']
Naked Numerology,@OneLuckyGirl_28,2021-08-09T14:21:55.000Z,"•People with a Moon in an Earth sign 
(Taurus, Virgo, Capricorn) rarely show 
their emotions because they are very patient with it. 
•They always find out a way to solve their problems 
themselves rather than venting to someone. 
#Astrology",,7,60,397,['Astrology']
Spiritual-Connections,@SpiritualConne5,2021-08-11T15:18:51.000Z,"Mercury enters Virgo today. That means that we will be very focused, detail oriented and attentive. Streamlined for efficiency. #pagan #witchcraft #astrology",,,1,2,"['pagan', 'witchcraft', 'astrology']"
