username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Sabri Turuncuoğlu,@SabriTuruncuol1,2021-08-07T19:21:33.000Z,Darısı güzel ülkemin başına. Bir gün biz de protesto etmek gerektiğinde susmamayı öğreneceğiz inşallah. #asıolmayacağım,"Prof. Dr. B. Gültekin Çetiner
@drcetiner
 · Aug 7
Aferin İtalyanlara! Aşı pasaportlarını yakıyorlarmış. Bunun bir sağlık meselesi değil özgürlük mücadelesi olduğunu anlamayan zevzeklere gelsin.
#CocukBenimKararBenim #stopatmychild 
 https://rumble.com/vkttpn-italians-burning-their-proof-of-vaccination-passes.html…",,10,70,['asıolmayacağım']
Serdar TERZİOĞLU,@serdartz,2021-08-13T09:08:43.000Z,#asıolmayacağım,"1:31
8 views",,1,1,['asıolmayacağım']
RPNurhanyaratanakul,@RpNurhan,2021-08-12T12:53:20.000Z,"Zorunlu Aşı | Dünya Geneli Durum

Aşıdan Önce 150.000 Vaka
Aşıdan Sonra 550.000 Vaka
3 milyardan fazla insanın en az 1 doz aşı olduğu durumda...

Dr. Fatih Erbakan
Yeniden Refah Partisi Genel Başkanı
#fahrettinkocaistifa 
#asıyahayır 
#asıolmayacağım",,,9,23,"['fahrettinkocaistifa', 'asıyahayır', 'asıolmayacağım']"
Bera,@BeraOkyanus,2021-08-07T16:45:49.000Z,"Şu aşıyı savunmayın artık yeter akılsızlığın alemi yok köprüden önce son çıkışta sinirlerimiz zor duruyoruz yeterrrr 
#stopatmychild #asıolmayacağım","Gonca Güler
@GoncaGler14
 · Aug 7
Çocuklarımızdan Uzak Duracaksınız.
Annelerin Sabrını Daha Fazla Zorlamayın.
#stopatmychild twitter.com/SahteKahraman1…
Show this thread",1,51,96,"['stopatmychild', 'asıolmayacağım']"
Ayyıldz,@Ayyldz82,2021-08-11T16:07:48.000Z,"PCR TESTİ SONUCUNU İSTEDİKLERİ GİBİ ÇIKARIYORLAR 

#asıolmayacağım
#asımağdurları",,,4,9,"['asıolmayacağım', 'asımağdurları']"
아미⁷니다,@Nida7bangtan1,2021-08-10T10:08:08.000Z,"Bir kimyacı olarak söylüyorum ki #aşıolmayacağım diyenlerin gerekçeleri cidden tam bir ŞEHİR EFSANESİ örneğidir. Size yazılan, kullandığınız tüm ilaçların içeriğini bu şekilde okuyup bir de her içeriğin etkisinin ne olduğunu çok iyi bilen sağlıkçılar ya da kimyagerler misiniz?",,2,,3,['aşıolmayacağım']
amaaan,@amaanbetrsddd,2021-08-10T23:24:41.000Z,"yüreği yeten zorlasın!

#asıolmayacağım",,,2,4,['asıolmayacağım']
Haticekübraünver,@Dusunenannenvr,2021-08-10T14:56:23.000Z,Gercekten insanların duyguları ile oynuyor sunız #asıolmayacağım,,,,2,['asıolmayacağım']
Mücahid Yüksel - #FreePalestine,@MucahidYuksel07,2021-08-12T05:18:50.000Z,"Kime karşı silahınızdır?

#asıolmayacağım","Dr. Fahrettin Koca
@drfahrettinkoca
 · Aug 11
Kendi aşımız kendi silahımızdır, bunu unutmamalıyız.",,1,1,['asıolmayacağım']
Fulya,@drrfly,2021-08-05T18:38:48.000Z,"Cübbeli tavsiye ediyorsa kesin OLMAMAK lazim..
#Aşıolmayacağım","Cübbeli Ahmet Hoca
@c_ahmethoca
 · Aug 5
Mutlakâ aşı olalım! Aşı olmayanları da bu husûsta uyaralım!

Ben de ikinci doz aşımı oldum. Zîrâ İslâm bize tedâvî olmamızı emrediyor. Bu salgının aşıdan başka tedâvîsi şu an için görülmemektedir. https://youtu.be/GGs7IIigs-k
Show this thread",,1,2,['Aşıolmayacağım']
Sultan Güler Aslan,@suItanasIan,2021-08-12T05:18:40.000Z,"Garantisini dahi vermediğiniz bir aşıyı ben asla yapmayacağım!

#aşıolmayacağım #SedatPeker #CocukBenimKararBenim","Akşam Gazetesi
@Aksam
 · Aug 11
#CANLI Sağlık Bakanı Fahrettin Koca: Aşı programımız bugüne kadar tercih ve teşvik konusuydu. Artık eğitim ve iş hayatının devamı sebebiyle her bir vatandaşımız için tercihe bırakılamayacak toplumsal bir ödev olmuştur",,6,16,"['aşıolmayacağım', 'SedatPeker', 'CocukBenimKararBenim']"
Hikmet Kızıl,@hikmetkizil,2021-08-11T18:01:30.000Z,"Korona şüphesi olanlar 14 gün karantinaya alınıyor fakat aşı olmayanlar 2 günde bir PCR testine tabi olacak? 
Kimse neden diye soruyor mu?
#asıolmayacağım",,,2,11,['asıolmayacağım']
XRPXRP,@Tuncerc5,2021-08-07T12:37:08.000Z,#asımağdurları #asıolmayacağım,"☾☆ Bay Pipo ☾☆
@RealBayPipo
 · Aug 7
Mahmut Şahin Bey
Tebrik ederim sizi
Helal olsun

Ağzınıza sağlık
Show this thread",,1,1,"['asımağdurları', 'asıolmayacağım']"
Hikmet Kızıl,@hikmetkizil,2021-08-10T18:05:55.000Z,"Aşı olmayanları stadyuma almayacaklarmış! 
Zaten biz de ölüyorduk stadyuma girmek için bin lira verip o gürültülü, küfürlü maçlara girmek için!
#asıolmayacağım",,1,1,15,['asıolmayacağım']
adem yakar,@ademykr,2021-08-09T20:52:21.000Z,"Replying to 
@CYaltirak","Bende de aşı olup felç geçirmiş, hala hafızası yerinde olmayan bir hasta yakınının feryadı var. Cenk hocam; yer bilimleri konusundaki bütün görüşlerine tamamen katılıyorum. Ama aşı konusunda 180 derece karşındayım. 
#asımağdurları aş
#asıolmayacağım",2,2,9,[]
elvan oktay,@elvanoktayy,2021-08-10T22:07:44.000Z,"Hayata direnişimiz yetmedi bir de aşı çıktı başımıza !
#asıolmayacağım",,1,2,4,['asıolmayacağım']
Eda Aslan,@aslaneda16,2021-08-11T20:30:58.000Z,"#KocaDamarımızaBastın
#DayatmaVarsaUEyelikİptal 
#asıolmayacağım",,,1,2,"['KocaDamarımızaBastın', 'DayatmaVarsaUEyelikİptal', 'asıolmayacağım']"
Snm,@kitapkokusu3145,2021-08-12T14:49:33.000Z,Şu ölümlü dünyada yaşayacağımız ortalama 60-70 sene. Bırakın da ecelimizle ölelim.  #aşıolmayacağım #Pcryaptırmayacağım,,,,3,"['aşıolmayacağım', 'Pcryaptırmayacağım']"
essénce,@28_essence,2021-08-13T07:18:16.000Z,#saglik #asıyahayır #AsıZorbalığınaDiren #asıolmayacağım #bubenimbedenim #istemiyorum #defolun,,,1,2,"['saglik', 'asıyahayır', 'AsıZorbalığınaDiren', 'asıolmayacağım', 'bubenimbedenim', 'istemiyorum', 'defolun']"
