username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
bekir ozturk,@bekirozturk28,2021-08-12T23:32:38.000Z,"""İş başına geçti mi yeryüzünde bozgunculuk çıkarmak, ekini ve nesli helak etmek için koşar. Allah ise bozgunculuğu sevmez."" Bakara 205
#Aşıyahayır
#gdo",,,11,77,"['Aşıyahayır', 'gdo']"
Nihat VURAL,@nhtvrl02,2021-08-11T19:51:32.000Z,"Kamu  İşvereni, enflasyonu ezecek, kamu görevlilerinin alım gücünü  yükseltecek, refahtan pay almasını sağlayacak, geçmiş dönem kayıplarını giderecek bir teklifi yarın sunmalı.
 ""Aşı mecburiyeti olmamali...
Anayasanin 17.maddesi...""

#MemuraAdilTeklifGelmeli
#17ZAM
#Aşıyahayır",,,,4,"['MemuraAdilTeklifGelmeli', '17ZAM', 'Aşıyahayır']"
Tuğçe T.,@Kattumskva,2021-08-10T17:39:15.000Z,"Din adamları, ayağa kalkın artık!

#AşıyaHayır #AşıMağdurları
#AşıDeğilBiyolojikSilah","Ali Rıza DEMİRCAN
@AliRizaDemircan
 · Aug 10
TBB’den Ricamız: Disiplin soruşturması başlattığınız kahraman doktorlarımızı bir an önce açıklayınız ki tebriklerimizi geciktirmeyelim. 
#asımağdurları #asıyahayır #AsıDeğilBiyolojikSilah #asıolmatuerkiye
Show this thread",,2,3,"['AşıyaHayır', 'AşıMağdurları', 'AşıDeğilBiyolojikSilah']"
Ali Yener,@ynr63,2021-08-11T18:41:48.000Z,"#DayatmaVarsaÜyelikİptal 
Dr. Fatih Erbakan
Plandemi
#asıyahayır",,,2,3,"['DayatmaVarsaÜyelikİptal', 'asıyahayır']"
Neslihan Yalçıner,@NeslihanYalner4,2021-08-11T22:28:25.000Z,"""KUTSAL SIVI"" #asıyahayır",,,,4,['asıyahayır']
Neslihan Yalçıner,@NeslihanYalner4,2021-08-11T21:02:21.000Z,"#asıyahayır 
KAN benim DAMAR benim....",,,,8,['asıyahayır']
Erkan KASIRKA,@erkankasirka,2021-08-12T21:40:37.000Z,"Aşı olmasaydi daha kotu olabilirdi diyen doktorun kafatasını açtığımızda 3 saat beyin arayabiliriz, timarhanelik günler ( agnatoloji, cehalet bilimine uygun örnek) 
#asıyahayır","Prof. Dr. B. Gültekin Çetiner
@drcetiner
 · Aug 12
Tam doz a$ılı Adamcağız korona olarak vefat etmiş. Kızı babası İçin çok dikkatliydi diyor. Doktorlar ise “a$ı olmasaydı durumu daha kötü olabilirdi” diyorlar. Gerzekler daha kötü ne olabilirdi? twitter.com/TurekAndrew/st…",1,6,55,['asıyahayır']
FATMA BOZKURT,@BOZKUURRTT,2021-08-10T11:31:17.000Z,"Çocuklarımızın üzerinden pis ellerinizi çekin 
#asıyahayır
#KendineGelMEB",,,,4,"['asıyahayır', 'KendineGelMEB']"
YıldızTozuMASEL,@hayaletrose,2021-08-13T09:40:24.000Z,"Maske,
Mesafe ve
Temizlik kuralları 

Hastalıktan korunmak için temel. #asıyahayır",,,,1,['asıyahayır']
Feyza Polat,@Azyef19,2021-08-11T18:53:28.000Z,"Ben aşı olmak istemiyorummmm
#asıyahayır",,,,,['asıyahayır']
Doğan (maviiay75),@DogaN_nnn,2021-08-12T09:44:55.000Z,"Geleceğiniz için 
Çocuklarınızın gelecegi için 
#asıyaHayır",,1,,67,['asıyaHayır']
RPNurhanyaratanakul,@RpNurhan,2021-08-12T12:53:20.000Z,"Zorunlu Aşı | Dünya Geneli Durum

Aşıdan Önce 150.000 Vaka
Aşıdan Sonra 550.000 Vaka
3 milyardan fazla insanın en az 1 doz aşı olduğu durumda...

Dr. Fatih Erbakan
Yeniden Refah Partisi Genel Başkanı
#fahrettinkocaistifa 
#asıyahayır 
#asıolmayacağım",,,9,23,"['fahrettinkocaistifa', 'asıyahayır', 'asıolmayacağım']"
Ali Rıza DEMİRCAN,@AliRizaDemircan,2021-08-10T07:24:57.000Z,"TBB’den Ricamız: Disiplin soruşturması başlattığınız kahraman doktorlarımızı bir an önce açıklayınız ki tebriklerimizi geciktirmeyelim. 
#asımağdurları #asıyahayır #AsıDeğilBiyolojikSilah #asıolmatuerkiye",,9,73,234,"['asımağdurları', 'asıyahayır', 'AsıDeğilBiyolojikSilah', 'asıolmatuerkiye']"
ischmann,@ischmann,2021-08-11T19:55:32.000Z,Ben yerli aşıyı bekliyorum. Onu da yaptırmayacağım... #asıolmayacağım #AsıZorbalığınaDiren #asıyahayır #asıdeğilserikatil,,1,,8,"['asıolmayacağım', 'AsıZorbalığınaDiren', 'asıyahayır', 'asıdeğilserikatil']"
Sema İncky,@YasirMenese,2021-08-10T20:23:36.000Z,"#benimbedenimbenimkararim
#Aşıyahayir",,,,,"['benimbedenimbenimkararim', 'Aşıyahayir']"
MeftunK.,@Meftun_78,2021-08-11T18:26:58.000Z,#asıyahayır #AsıZorbalığınaDiren,"Osman TUĞ
@OsmanTU54289041
 · Aug 11
Aşı olan hafif geciriyor dedidiniz. Aşağıdaki aşı mı olmuştu. Geçen yıl test  olmasa  hasta olduğunu bilmeyecek kadar hafif geçirenler aşı mı olmuştu.
Yalancısınız. Asla aşı olmayacagim.
#DayatmaVarsaUEyelikİptal
0:55
872 views",,,,"['asıyahayır', 'AsıZorbalığınaDiren']"
Cagri Saglik,@CagriSaglik,2021-08-08T09:21:26.000Z,"Bilim net konuşur. Rakam verir. Verdiği rakamların doğruluğu kanıtlanabilir. Son 2 senedir aşı için söylenen rakamlar sahte olduğu gibi söylenmeyen de çok fazla rakam var. Bunların en önemlisi, aşı sebebiyle yaşamını kaybedenler. #asıolmayacağım #asıyahayır #CocukBenimKararBenim",,,1,4,"['asıolmayacağım', 'asıyahayır', 'CocukBenimKararBenim']"
Berna Rasüloğlu,@BRasuloglu,2021-08-10T10:13:32.000Z,"Ziya öğretmenin niye  istifa ettiği anlaşıldı, kıyamadı gencecik beyinlerin zehirlenmesine #asıyahayır #KendineGelMEB",,,2,8,"['asıyahayır', 'KendineGelMEB']"
Gülsüm,@Gulsum_says,2021-08-10T18:36:05.000Z,Daha önce hepatit b hastalığının yoğun olduğu bir ortamda çalışırken sorun değil hepatit b aşılarımı oldum isterse öğrenciler yüzüme tükürek konuşsun demiştim uyaran bir arkadaşa. Peki aynı rahatlık neden sözkonusu aşıyı olanlarda yok? Etkileri neticelenmemiş  #asıyahayır !,,,,13,['asıyahayır']
Murat K. Satılmışoğlu,@MuratKSatlmolu1,2021-08-11T20:54:10.000Z,"Unutmayın öldüren çoğu zaman sistemdir.
#asiyahayir",,,,,['asiyahayir']
Gökhan,@gokhandkmn,2021-08-12T11:52:40.000Z,#asıyahayır,"Dr. Fatih Erbakan
@ErbakanFatih
 · Aug 12
Aşı olmak istemeyenlere herhangi bir zorlama yapılması hem anayasaya hem de insan haklarına aykırı bir uygulamadır.",,1,2,['asıyahayır']
dolunay,@dolunay1903E,2021-08-07T18:45:16.000Z,"Replying to 
@OpDrBilgehan","#asıyahayır 
#KimVurduyaGidenler 
#asıdeğilserikatil",,,6,[]
Gülsüm,@Gulsum_says,2021-08-11T18:56:26.000Z,Aşı karşı tarafı koruyorsa ben niye aşı olmak zorundayım? Karşı tarafı korumuyorsa yine niye aşı olmak zorundayım?? Koruyuculuğu ispatlanmamış #aşıyahayır #11AgustosTıpDarbesi,,,3,12,"['aşıyahayır', '11AgustosTıpDarbesi']"
Erman U34,@erman34u,2021-08-05T10:02:54.000Z,"Zaten internette olan bir haberin görselini paylaşmaya bile engel oluyorlar neden gerçekleri çok daha az kişi görsün diye!!
#Türkiye #aşıYaHayır #aşıyalanı #covid19 #şeytanişbaşında #asıolmayacağım #aşıbirseçimdir",,1,1,3,"['Türkiye', 'aşıYaHayır', 'aşıyalanı', 'covid19', 'şeytanişbaşında', 'asıolmayacağım', 'aşıbirseçimdir']"
La Tahzen,@senbilirsin1_,2021-08-11T18:22:39.000Z,Sağlıklı olduğumu ispat etmek zorunda degilim. Test de yaptırmayacağım aşı da olmayacağım. #aşıyahayır,,,,,['aşıyahayır']
essénce,@28_essence,2021-08-13T07:18:16.000Z,#saglik #asıyahayır #AsıZorbalığınaDiren #asıolmayacağım #bubenimbedenim #istemiyorum #defolun,,,1,2,"['saglik', 'asıyahayır', 'AsıZorbalığınaDiren', 'asıolmayacağım', 'bubenimbedenim', 'istemiyorum', 'defolun']"
Adem Aslan,@johnrockripto,2021-08-10T15:27:26.000Z,Şu aşıya aşık olanlara 10ar 20şer saplasalarda aşılar bitse onlar ersin muradına biz de bakalım işimize!  #Biontech #asıyahayır,,1,2,7,"['Biontech', 'asıyahayır']"
benim adım herzane,@herzane_06,2021-08-07T21:51:42.000Z,#CocukBenimKararBenim #maskeyehayır #asıyahayır,"Zorunlu Maske Zulümdür!
@CumaTatilOlsun
 · Aug 7
13 Yaşındaki Çocuk BioNTech (Pfizer) COVID corona Aşısını Aldıktan Sonra Uykuda Öldü 
bu haberi gördükten sonra (sözde) aşıyı savunalar katildir
 #stopatmychild #ÇocukBenimKararBenim",,7,5,"['CocukBenimKararBenim', 'maskeyehayır', 'asıyahayır']"
kharun,@Harun23K,2021-08-11T18:17:09.000Z,"#DayatmaVarsaÜyelikİptal
#AsıDeğilBiyolojikSilah 
#asıyahayır 
Medeni toplumlarda dayatma olmaz.
İlkel toplumlarda baskı ve dayatma olur..
Medeni, konuşur. İlkel,  bağırır..",,,,2,"['DayatmaVarsaÜyelikİptal', 'AsıDeğilBiyolojikSilah', 'asıyahayır']"
ismail OZAN,@ismailozan84,2021-08-11T18:46:45.000Z,Beni anlayan kimse liderim odur. #asıyahayır,"Scoofly
@scoofly
 · Aug 11
Erdoğan ""Gönüllülük esas olacak""  Kanal D 
Sağlık Bakanı Fahrettin Koca: ""Öğrenci velileri ya aşılarını tamamlayacaklar ya da hastalık taşımadıklarını düzenli olarak kontrol ettirmek zorunda olacaklar. ""
Milletin aklıyla alay etmeyin!


#VatanEldenGidiyor
1:32
340.9K views",,,,['asıyahayır']
#EYTtakkurt,@tzakkurt,2021-08-08T15:52:00.000Z,"Çocuğuma alı vuracaklara kocaman bir hoşt diyorum
#asıyahayır","Prof. Dr. B. Gültekin Çetiner
@drcetiner
 · Aug 7
Bak bak bak! Açıkça yetişkinleri denek olarak kullanıyoruz diyor ve büyüklere bakarak çocuklara vuracaklarmış. İnsafsız! #CocukBenimKararBenim #stopatmychild",,,1,['asıyahayır']
aytutulması,@dagistanli_77,2021-08-11T20:59:04.000Z,"Hani yoğun bakımlar asisizlarla doluydu. 
#KocaDamarımızaBastın 
#11AgustosTıpDarbesi 
#asıyahayır","Ahmet ÇELENK
@CelenkAhmet
 · Aug 11
Sevdiğim bir arkadaşımın annesi Fatsa Devlet Hastanesi yoğun bakımda yatıyor. 
Diyor ki: ""Oysa annem üç aşısını da olmuştu! ne oldu anlamadık!""
Ah be arkadaşım biz anladık ama anlatamadık!",,1,4,"['KocaDamarımızaBastın', '11AgustosTıpDarbesi', 'asıyahayır']"
Cagri Saglik,@CagriSaglik,2021-08-08T13:57:54.000Z,"Ücretsiz ilaç deneği olmak isteyenlere, ölüm korkusundan her türlü şeyi yapabileceklere ve tüm bunları çocuklarına da yaptıranlara bir şey diyemem. Onlar da bize bir şey diyemez veya bir şey zorlanamaz. #CocukBenimKararBenim #PlanlıYangınPlanlıSalgın #stopatmychild #asıyahayır",,,1,7,"['CocukBenimKararBenim', 'PlanlıYangınPlanlıSalgın', 'stopatmychild', 'asıyahayır']"
Benmelekce,@benmelekce,2021-08-13T14:23:58.000Z,Aşıya güvenmiyorum aşı olduktan sonra herhangi bir sağlık sorunu yaşarsam eğer sorumluları bana baskı yapanlardır #AsıZorbalığınaDiren #asıdeğilserikatil #asıyahayır,,,,,"['AsıZorbalığınaDiren', 'asıdeğilserikatil', 'asıyahayır']"
Yusuf,@EytliActivist,2021-08-11T19:11:29.000Z,"#DayatmaVarsaÜyelikİptal
Küresel şeytanlarla kolkola giren düşükler size bir bay bay
Maske
Pcr
Hes
#AşıyaHayır
@iyiparti
@SaadetPartisi
@bbpgenelmerkez
@herkesicinCHP
@Akparti
@GelecekPartiTR
@devapartisi
@MemleketimParti
@vatanpartisi06
@MhpTbmmGrubu
@tcbestepe
 
@RTErdogan",,,1,2,"['DayatmaVarsaÜyelikİptal', 'AşıyaHayır']"
