username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
dilşad ama 1.66,@thedilsadd,2021-08-11T18:17:54.000Z,"Biraz önce bulunduğum ilçenin kaymakamlığından bir yazı yayımlandı ve anons geçildi. ""Aşı olmayan vatandaşlar toplu taşıma'ya binemeyecek, camilere alınmayacak ve okula gidemeyecektir."" Siz kimseye bunu dayatamazsınız. Anayasa ihlalidir.  #AsıZorbalığınaDiren",,2,13,38,['AsıZorbalığınaDiren']
Last Point,@aryilmz,2021-08-07T16:20:29.000Z,"Aşı karşıtı olmak başka şey, ne idüğü belirsiz ruhsatsız, lisanssız sıvılara karşı olmak başka şey. Bizler aşı karşıtı değiliz, sadece hicbir sorumluluk almayan aşı şirketlerinin aşılarına ruhsat ve lisans almalarını bekliyoruz.
Tabii alabilirlerse..

#AşıZorbalığınaDiren","Neva Ciftcioglu Banes
@NevaCiftcioglu
 · May 17
Bir kez daha tekrar etme geregi duydum...
1:59
229.1K views",,5,17,['AşıZorbalığınaDiren']
M. Faruk Habiboğlu,@FarukHabiboglu,2021-08-11T20:42:42.000Z,"#AsıZorbalığınaDiren
Bu yıl geçen yılın on katı vefat var. Geçen yıl aşı yoktu bu yıl var...",,,2,9,['AsıZorbalığınaDiren']
Akverann ...,@ayrengii,2021-08-12T12:12:36.000Z,"Mensch in einem Ganzkörperkondom läuft auf einem Londener Flughafen in der Gegend rum und erweckt den Eindruck, als sei äußerste Gefahr angesagt. 

Die Welt ist nun bekanntlich sehr klein.Ein Freund von mir berichtet mir  #İllusion #Impfen #vaccine #AsıZorbalığınaDiren #Corona",,1,,2,"['İllusion', 'Impfen', 'vaccine', 'AsıZorbalığınaDiren', 'Corona']"
Furkan Çimen,@_frkn_cmn,2021-08-12T11:22:33.000Z,"De ki: “Elinizden geleni yapın! Biz de yapacağız! (HUD;121)
#AsıZorbalığınaDiren
#AsıDeğilBiyolojikSilah
#11AgustosTıpDarbesi",,,2,7,"['AsıZorbalığınaDiren', 'AsıDeğilBiyolojikSilah', '11AgustosTıpDarbesi']"
Tijen Altuntas#HAYIR ATAM ve CHP,@AltuntasTijen,2021-08-11T22:59:59.000Z,#AsıZorbalığınaDiren kesinlikle aşi olmayacağim.isterlerse uzay boşluğuna fırlatsınlar.,,,,5,['AsıZorbalığınaDiren']
Aynı,@Ayn32449116,2021-08-11T19:26:07.000Z,"Replying to 
@mebirsed",Ölürüm de yine o sıvılari çocuklarıma aileme yaptırmam! #AsıZorbalığınaDiren,,5,57,[]
esra,@esra_nrn,2021-08-08T14:42:56.000Z,"Deneğim, deneksin, denekler.. #AsıZorbalığınaDiren
 CübbeliHoca Uyarıyor
#çocuklarımızdenekdeğil","sevda turkusev
@sevdaturkusev
 · Aug 8
Büyükler denek; sonra bize kızıyorlar … kimse aşıya karşı değil, denek olmakta tercihtir.
0:25
7K views",,1,6,"['AsıZorbalığınaDiren', 'çocuklarımızdenekdeğil']"
Sadık Yavaş,@sadikyavas,2021-08-07T14:13:36.000Z,"Yavaş yavaş aşıyı dayatmaya başladılar kanun nizamda tanimamaya başladılar Adalet Bakanı çıkıpta siz kimsinizde kendinizi kanun koyucu yerine koyuyorsunuz diyemiyor.
#asısızlarbirlesiyor 
#AsıZorbalığınaDiren",,,1,4,"['asısızlarbirlesiyor', 'AsıZorbalığınaDiren']"
Ramazan Akbulut,@ramazan3852740,2021-08-11T21:00:38.000Z,#AsıZorbalığınaDiren,,,,,['AsıZorbalığınaDiren']
Bendis N.Ç,@nc_20_07,2021-08-12T05:21:51.000Z,"Bakan kendine gel.
Aşı olmak zorunda bırakmak ne?
Vücut benim. 
Deney olmak isteyen olsun
Bu konuda zorlamak niye?
#KocaDamarımızaBastın
#AsıZorbalığınaDiren 
#asıolmayacağım",,,1,5,"['KocaDamarımızaBastın', 'AsıZorbalığınaDiren', 'asıolmayacağım']"
Sırr,@Srr11219942,2021-08-11T20:32:40.000Z,#AsıZorbalığınaDiren,,,,,['AsıZorbalığınaDiren']
Mİlen,@ilen_murat,2021-08-11T19:41:45.000Z,"Aşı kırmızı çizgimdir.
Oy zamanı elbet gelecek.
Kim aşıya hayır derse oyum onundur.
#COVID19 
#AsıZorbalığınaDiren",,,1,10,"['COVID19', 'AsıZorbalığınaDiren']"
Mustafa ŞAHİN,@MustafaSahinFV,2021-08-11T17:50:29.000Z,"#AsıZorbalığınaDiren 

Diktatörsünüz!","ANADOLU AJANSI
@anadoluajansi
 · Aug 11
❝Yüz yüze eğitimden vazgeçmemiz kesinlikle mümkün değildir❞ 

❝Aşı olmayanlar düzenli olarak PCR test sonuçlarının negatif olduğunu göstermelidir❞ 

Sağlık Bakanı Koca, Bilim Kurulu toplantısının ardından okulların zamanında açılacağını söyledi http://v.aa.com.tr/2331515",1,6,13,['AsıZorbalığınaDiren']
Ramazan Akbulut,@ramazan3852740,2021-08-11T18:00:39.000Z,#AsıZorbalığınaDiren,,,,,['AsıZorbalığınaDiren']
𝐑𝐮𝐳𝐢✼ |İslam'ın kızı,@Simyac1770,2021-08-11T21:30:55.000Z,Olmak istemeyen olmasın kesin çözüm bile değil ki.Kesin olmayan birşeye niye zorlarsınız  #AsıZorbalığınaDiren,,,,2,['AsıZorbalığınaDiren']
Ramazan Akbulut,@ramazan3852740,2021-08-11T21:05:09.000Z,#AsıZorbalığınaDiren,,,,,['AsıZorbalığınaDiren']
Hasan Özdemirel,@Hasan87308305,2021-08-11T22:51:55.000Z,İblis Mehmet Ceyhan'in oğluna yapılan antikor testini diğer kişilere yapılmadan iğneye karşı alerji testi yapmayan bütün sağlık personelinden ve salgın bakanına iktidar ve muhalefet partili MV. Ve başkanlarına bu dikta edilen zehirli sıvılara  #AsıZorbalığınaDiren,,,,1,['AsıZorbalığınaDiren']
sadece bir fikir,@kendiifikrim,2021-08-11T21:54:47.000Z,"Adam (!) ülkedeki suriyelilere bile her konuda özgürlük tanırken aşı konusunda kendi ülkesindeki vatandaşına seçim sunmuyor öyle mi? Nasıl bir zihniyet?!.
#TayyipErdoğanİstifa 
#SuriyelilerMutlu 
#AsıZorbalığınaDiren 
#KocaDamarımızaBastın 
#PlanlıYangınPlanlıSalgın",,,,4,"['TayyipErdoğanİstifa', 'SuriyelilerMutlu', 'AsıZorbalığınaDiren', 'KocaDamarımızaBastın', 'PlanlıYangınPlanlıSalgın']"
Güler,@iremguler59,2021-08-12T12:28:07.000Z,"Instagram hesabım silinebilirmis..hep bir zorbalık hep bir engel..aşicilar istediğini paylaşıyor,biz paylaşınca kısıtlama.
#plandemitiyatrosu 
#fahrettinkocaistifa 
#AsıZorbalığınaDiren 
#CocuklarimizaAsiyaHayir 
#11AgustosTıpDarbesi",,5,4,33,"['plandemitiyatrosu', 'fahrettinkocaistifa', 'AsıZorbalığınaDiren', 'CocuklarimizaAsiyaHayir', '11AgustosTıpDarbesi']"
Belkıs cora,@belkzcora,2021-08-12T04:22:27.000Z,"Aşı olmak isteyene, anlayış .
Olmak istemeyene,saygı.
Lütfen 
#AsıZorbalığınaDiren
#günaydın #carsamba #gündem",,,,3,"['AsıZorbalığınaDiren', 'günaydın', 'carsamba', 'gündem']"
Can Demircan,@candemircan_,2021-08-11T20:58:51.000Z,Bu tagi açanların aklından şüphe ederim #AsıZorbalığınaDiren,,,,1,['AsıZorbalığınaDiren']
Raşit Ekici TR,@Rasitekiciyim,2021-08-12T22:58:50.000Z,Diline sağlık ömrüne bereket #AsıZorbalığınaDiren,"Cemil Barlas
@secondvirus
 · 16h
cdc verilerine göre covit için en riskli hastalık obezite ikimcisi ise endişe ve panik.. yani panik olanların aşı olması iyi bişey ama panik olmayanları yani riskte olmayanları rahat bırakın..",,,1,['AsıZorbalığınaDiren']
gevremiş imam,@_nicktirgit,2021-08-11T19:29:21.000Z,"#AsıZorbalığınaDiren 
#AsıDeğilBiyolojikSilah",,,,,"['AsıZorbalığınaDiren', 'AsıDeğilBiyolojikSilah']"
seda,@sdafdn,2021-08-12T17:40:30.000Z,Aşıların vaka sayılarını düşürme noktasında etkili olmadığı gerçeğini ne zaman göreceksiniz. Aşıyı dayatamazsınız #fahrettinkocaistifa #AsıZorbalığınaDiren,,,2,2,"['fahrettinkocaistifa', 'AsıZorbalığınaDiren']"
Fgnegvat,@fgnegvat,2021-08-10T18:40:59.000Z,Bundan böyle kimse kimseye zorbalık yapmayacak. Yapanın cezasını veririz. #AsıZorbalığınaDiren #AsıZorbalarıTutuklansın,,,,8,"['AsıZorbalığınaDiren', 'AsıZorbalarıTutuklansın']"
tribalenfeksiyon,@tribalhead35,2021-08-12T17:03:36.000Z,"Sondaki 6nin 1 i benim ve bundan da gurur duyuyorum 
#fahrettinkocaistifa 
#11AgustosTıpDarbesi 
#KabulEtmiyoruzVazgecmiyoruz 
#kabineyeultimatom 
#AsıZorbalığınaDiren",,,,,"['fahrettinkocaistifa', '11AgustosTıpDarbesi', 'KabulEtmiyoruzVazgecmiyoruz', 'kabineyeultimatom', 'AsıZorbalığınaDiren']"
gevremiş imam,@_nicktirgit,2021-08-13T11:22:48.000Z,"#hesfelaketi 
#AsıZorbalığınaDiren",,,,,"['hesfelaketi', 'AsıZorbalığınaDiren']"
