username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Handan Bora,@HandanBora5,2021-08-09T07:42:33.000Z,"O!yüreği vatan,millet sevdasıyla yüklü Türk Başkomutan!Halkıyla el ele vererek!Kanla irfanla Cumhuriyeti kurdu!Yerli,milli bazlı onun tüm değerlerinden faydalandırdı!Cumhurun çayıda bunlardan biri!Talihsizlik Oki!Ona fırlatıldı! 
@SMEYDAN
  #Atatürkçüler 
https://sozcu.com.tr/2021/yazarlar/sinan-meydan/cumhurun-cayi-6582850/…",,,53,97,['Atatürkçüler']
Handan Bora,@HandanBora5,2021-08-11T05:56:20.000Z,"Erenimiz!15lilerin yanına varanımız!Ruhun şad olsun.
Evvelce gidenlere selam olsun.Sevgi,saygı,rahmet v minnetle.
#Atatürkçüler 
#iyikivarsınEren",,1,75,171,"['Atatürkçüler', 'iyikivarsınEren']"
Handan Bora,@HandanBora5,2021-08-13T08:56:57.000Z,"Neden mi Atatürk!
Ülkesi ateş çemberinde!Ordu yok dediler kurulur dedi!Para yok dediler bulunur dedi!Düşman çok dediler yenilir dedi!Vatan yürekli her adımını sistemli,planlı,aklı,bilimi rehber alarak attı!Güzel yarınlara yatırım yaptı!Minnetle 
Kurtuluş kuruluşta! #Atatürkçüler",,3,35,62,['Atatürkçüler']
Hülya,@AntHlya,2021-08-13T05:48:19.000Z,"“Efendiler,tarih,yadsınamaz bir şekilde kanıtlamıştır ki,büyük işlerde başarı için yetenek ve gücü sarsılmaz bir başın bulunması çok gereklidir. “

#MustafaKemalATATÜRK



Günaydın #ATATÜRKÇÜLER",,1,17,32,"['MustafaKemalATATÜRK', 'ATATÜRKÇÜLER']"
Handan Bora,@HandanBora5,2021-08-09T13:52:18.000Z,"Sahipsiz vatanın batması haktır!
Sen sahip çıkarsan bu vatan batmayacaktır!
Hiç tükenmeyecek Umudun!Güzel yarınların rotası çağdaş uygarlığın!Anayurdumuzun bekası!Şaşmasın!PUSULAn ATATÜRK olsun!
@SMEYDAN
 ın bu değerli eserini okumayan #Atatürkçüler kalmasın!",,2,59,182,['Atatürkçüler']
Handan Bora,@HandanBora5,2021-08-10T08:32:13.000Z,"Bu vatan!
Tarihin dilinden düşmez bu destan!
Nehirler gazidir dağlar kahraman!
Herbir karışında kefensiz yatan!
Can verme sırrına Erenler’in!
Ve Başkomutanları Mustafa Kemal Atatürk’ündür!
Saygı ,rahmet v minnetle.
#AnafartalarZaferi miz 106 yaşında.
#Atatürkçüler",,,60,107,"['AnafartalarZaferi', 'Atatürkçüler']"
Handan Bora,@HandanBora5,2021-08-12T05:37:10.000Z,"Dalgalandığı yerde ne korku nede keder!
Gölgende bizede bizede yer ver!
Sana bizim gözümüzle bakmayanların mezarını kazacağız!
TÜRKİYE TÜRKLERİNDİR
NE MUTLU TÜRKÜM DİYENE
#Atatürkçüler",,4,77,176,['Atatürkçüler']
Delimavi,@crazyblue01,2021-08-08T16:47:04.000Z,Biz ve onlar sanki farklı gezegenlerin insanlarıyız gittikçe aramızda uçurum oluyor aynı dili konuşamamak gibi #Atatürkçüler  #Akpliler,,,3,11,"['Atatürkçüler', 'Akpliler']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-06T08:21:24.000Z,"Bir TÜRK ampülün içine girerse, Bir TÜRK dokunursa o patlar. KİM AMPÜLÜ PATLATACAK? 
BEN HAZIRIM, YA SİZLER? 
#GÜNAYDIN 
#HAYIRLICUMALAR
#ATATÜRKÇÜLER
#ÜLKÜCÜLER
#KUTLUYOL
#YansınİtibarınızAKP
#geldiklerigibigiderler
#öncehesap
#AkpVarsaHuzurYok
#akpdefol",,2,,17,"['GÜNAYDIN', 'HAYIRLICUMALAR', 'ATATÜRKÇÜLER', 'ÜLKÜCÜLER', 'KUTLUYOL', 'YansınİtibarınızAKP', 'geldiklerigibigiderler', 'öncehesap', 'AkpVarsaHuzurYok', 'akpdefol']"
T.C AYŞE DİLEK RENKMEN MKA sadece Atatürkçüler,@CRenkmen,2021-08-12T12:08:20.000Z,#Atatürkçüler,"DEVRİMCİ ATATÜRKÇÜ
@Bahtiya59810870
 · Jul 30
0:15
Replying to @Bahtiya59810870 @CEYLAN31350545 and 38 others
CHP HER ŞEY ÇOK GÜZEL OLACAK TAKIMI    Beğenmesi sizden olsun yoldaşlarım 
Video paylaşım yaparsanız çok memnun çok mutlu olurum  şimdiden çok teşekkür ederim iyiki varsınız allah razı olsun sizlerden",,,,['Atatürkçüler']
ONUR GÜÇLÜSOY,@OnurGuclusoy,2021-08-11T04:32:19.000Z,"Replying to 
@HandanBora5",#Atatürkçüler,,1,1,[]
volkan DAVUT,@volkanDAVUT2,2021-08-06T08:40:05.000Z,"Size de Günaydın Serap Hanım.
#HAYIRLICUMALAR
#ATATÜRKÇÜLER
#ÜLKÜCÜLER
#KUTLUYOL
#YansınİtibarınızAKP
#geldiklerigibigiderler
#öncehesap
#AkpVarsaHuzurYok
#akpdefol",,1,,1,"['HAYIRLICUMALAR', 'ATATÜRKÇÜLER', 'ÜLKÜCÜLER', 'KUTLUYOL', 'YansınİtibarınızAKP', 'geldiklerigibigiderler', 'öncehesap', 'AkpVarsaHuzurYok', 'akpdefol']"
T.C İBRAHİM AKPUNAR,@GeCeKuSu2312121,2021-08-05T20:11:02.000Z,"#TarihteBugün
05/08/2021

#BaşkomutanATATÜRK

#ATATÜRKÇÜLER 

https://ataturktoday.com/AtaturkGunlugu/AgustosAugust/5.htm…",,,,1,"['TarihteBugün', 'BaşkomutanATATÜRK', 'ATATÜRKÇÜLER']"
T.C AYŞE DİLEK RENKMEN MKA sadece Atatürkçüler,@CRenkmen,2021-08-12T14:21:16.000Z,"#Atatürkçüler 
Egemenlik kayıtsız şartsız milletindir Özgürlüğünde eşitliğinde adaletinde dayanağı ulusal egemenliktir Ulusal egemenlik ulusun namusudur onurudur şerefidir Ulusal egemenlik öyle bir ışıktırki onun karşısında zincirler erir taç ve tahtlar batar yok olur

ATATÜRK",,,,,['Atatürkçüler']
Republic of Turkey #UNUTMATÜRKİYE!,@Lastankaegrey,2021-08-12T07:30:50.000Z,"#Atatürkçüler 
Asla umudumuzu kesmedik 
çünkü umutsuz durumlar yoktur
umutsuz insanlar vardır
Atam'ın gösterdiği yolda yürüyeceğiz
vatanı geri alacağız
#KardeşiniDeAlGit",,,,1,"['Atatürkçüler', 'KardeşiniDeAlGit']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-08T08:32:52.000Z,"Türklerin vatan sevgisiyle dolu olan göğüsleri düşmanların melun ihtiraslarına karşı daima demirden bir duvar gibi yükselecektir. 
Gazi Mustafa Kemal ATATÜRK
ALLAH VAR GAM YOK!
#Günaydınlar
#Atatürkçüler
#Kutluyol
#huzur 
#sağlık  
#ultraslan
#MutluPazarlar ",,4,,19,"['Günaydınlar', 'Atatürkçüler', 'Kutluyol', 'huzur', 'sağlık', 'ultraslan', 'MutluPazarlar']"
Serkan arnavut,@SerkanT94266220,2021-08-10T10:45:45.000Z,"#VATANSEVERLER 
#ATATÜRKCÜLER 
#SERDENGEÇTİLER 
#RUMELİLER 
#ALPERENLER 
#EVLADIFATİHANLAR 
BİZE KÜFÜR EDENI 
BİZİN KIZ KARSESLERE LAF EDENİ KINADIK 
BAKIM SİZDE BAKIN NELER YAPIYORLAR .
SIZLER NERDESİNİZ ??? 
#TWİTTER
#TWİTLEE",,,1,1,"['VATANSEVERLER', 'ATATÜRKCÜLER', 'SERDENGEÇTİLER', 'RUMELİLER', 'ALPERENLER', 'EVLADIFATİHANLAR', 'TWİTTER', 'TWİTLEE']"
