username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Elegant Lady Details,@details_lady,2021-08-05T05:19:44.000Z,"Details   
@lilithlastwitch
 @bestoflilithhhh
  #highheel #shoe #girl  #nails  #ayakkabı #girls #yüksektopuklu #details #pedicure  #elegant  #elegantgirls   #girl #sneakers  #world #earth #sneakersaddict #ayakkabı #details  #elegant     #elegantgirls",,,3,12,"['highheel', 'shoe', 'girl', 'nails', 'ayakkabı', 'girls', 'yüksektopuklu', 'details', 'pedicure', 'elegant', 'elegantgirls', 'girl', 'sneakers', 'world', 'earth', 'sneakersaddict', 'ayakkabı', 'details', 'elegant', 'elegantgirls']"
"FintechGie, Inc.",@fintechgie,2021-08-02T04:30:00.000Z,"A bot is an automated program that visits websites, and sometimes it is also called a “crawler” or a “spider.”
#marketingterms #fintechgiemarketingterms#bot #ayakkab #ayakkabi #shoes #k #moda #kad #s #fashion #istanbul #izmir #n #m #c #l #yenisezon #ankara #t #izme #fortnite",,,,1,"['marketingterms', 'fintechgiemarketingterms', 'bot', 'ayakkab', 'ayakkabi', 'shoes', 'k', 'moda', 'kad', 's', 'fashion', 'istanbul', 'izmir', 'n', 'm', 'c', 'l', 'yenisezon', 'ankara', 't', 'izme', 'fortnite']"
Talonsdelonze,@talonsdelonze,2021-06-23T17:02:27.000Z,"These are suitable sandals for the beach.
.
.
#higharches #smoothsoles #summervibes #beachlife #heels #ayakkabı https://instagram.com/p/CQeGkdFp9Fl/?utm_medium=twitter…",,,,1,"['higharches', 'smoothsoles', 'summervibes', 'beachlife', 'heels', 'ayakkabı']"
Vocabulary,@helloworrds,2021-05-16T18:30:00.000Z,Shoe - Ayakkabı #ayakkabı #shoe  #englishnotebook Telaffuz -  #Telaffuz               https://tr.forvo.com/search/shoe/en_usa/…     -  Daniel Ricciardo made a shoe show on the podium today.,,,,,"['ayakkabı', 'shoe', 'englishnotebook', 'Telaffuz']"
istanbulplaket,@istanbulplaket1,2021-03-13T14:01:29.000Z,#ayakkabı #ayakkabıödülü #ayakkabımodelleri #hediye #ödül #plaket #istanbulplaket #plaketler #istanbul #izmir #ankara @ Istanbul plaket https://instagram.com/p/CMXIxtpgHKU/?igshid=1eer5ntr0n5ur…,,,,,"['ayakkabı', 'ayakkabıödülü', 'ayakkabımodelleri', 'hediye', 'ödül', 'plaket', 'istanbulplaket', 'plaketler', 'istanbul', 'izmir', 'ankara']"
Scatter Mayor,@emmaonumaegbu,2021-04-30T21:45:55.000Z,"Remember This??
#scattered_minds #man_ov_valor #unkown #unknowngunmen #ungunknownmen #ayakkabı #aycomedian #ay #bovi #basketmouth #buchi #burnaboy #davido #wizkid #Donjazzy #sak @ Unknownmen https://instagram.com/p/COTjz2xhx63/?igshid=1owhvkuya06h7…",,,,,"['scattered_minds', 'man_ov_valor', 'unkown', 'unknowngunmen', 'ungunknownmen', 'ayakkabı', 'aycomedian', 'ay', 'bovi', 'basketmouth', 'buchi', 'burnaboy', 'davido', 'wizkid', 'Donjazzy', 'sak']"
nurşen aydın,@nuroniki,2021-05-22T11:28:52.000Z,Ozan aksakallı çatal fırın altı parmak dan #Ayakkabı aldı mayıs 2021,,,,2,['Ayakkabı']
Abzal Saparbekuly,@saparbekabzal,2021-06-09T16:48:54.000Z,"300 milyon$ ithalat, 40 milyon çift ayakkabı açığını kapatmak için yatırım fırsatı. Türk ayakkabıları hem iç piyasaya satılır hem komşu ülkelere ihraç edilecek. Bedava arazi, 10 yıllığına vergiden muafiyet, ucuz kredi ve ihracat desteği. #yatirim #ayakkabi",,5,37,212,"['yatirim', 'ayakkabi']"
GGMEDIA,@ggmediayaziyor,2021-06-03T15:20:17.000Z,"Ebru Gündeş, http://ebrugundessatiyor.com sitesi üzerinden 280 kostümünü ve 47 çift ayakkabısını satarak çeşitli yardım kuruluşlarına bağışta bulundu.

#ebrugündeş #ebrugundes #kostüm #ayakkabı #yardım #bağış #ebrugundessatiyor",,,10,20,"['ebrugündeş', 'ebrugundes', 'kostüm', 'ayakkabı', 'yardım', 'bağış', 'ebrugundessatiyor']"
AKORT FUARCILIK -AKORT FAIR CO.,@AKORTFUAR,2021-07-06T07:04:59.000Z,Ayakkabı Sektörünün Buluşma Noktası Gapshoes 32.Uluslararası Ayakkabı ve Terlik Yaz Fuarı 06-09 Aralık 2021 tarihleri arasında Gaziantep Ortadoğu Fuar Merkezi’nde. Sektörün heyecanla beklediği fuarı kaçırmayın... #gapshoesfuarı #ayakkabıfuarı #ayakkabı #terlik #shoes #gaziantep,Hülya Akkaya and 3 others,3,5,15,"['gapshoesfuarı', 'ayakkabıfuarı', 'ayakkabı', 'terlik', 'shoes', 'gaziantep']"
Sahibe Gamze,@SahibeGamze27,2021-03-20T00:17:48.000Z,#sahibe #ayakfetişi #finansalköle #finansalköpek #fetis #ayakkabı #gavatkocalar Secdeye geçin pic kurulari ,"0:11
4.4K views",5,18,90,"['sahibe', 'ayakfetişi', 'finansalköle', 'finansalköpek', 'fetis', 'ayakkabı', 'gavatkocalar']"
Elegant Lady Details,@details_lady,2021-08-05T05:15:26.000Z,"Details   
@turbanliyaren0
  #highheel #shoe #girl  #nails  #ayakkabı #girls #yüksektopuklu #details #pedicure  #elegant  #elegantgirls   #girl #sneakers  #world #earth #sneakersaddict #ayakkabı #details  #elegant     #elegantgirls",Türbanlı Sahibe,,,1,"['highheel', 'shoe', 'girl', 'nails', 'ayakkabı', 'girls', 'yüksektopuklu', 'details', 'pedicure', 'elegant', 'elegantgirls', 'girl', 'sneakers', 'world', 'earth', 'sneakersaddict', 'ayakkabı', 'details', 'elegant', 'elegantgirls']"
Luxury League,@DaymentKirsty,2021-03-29T04:16:44.000Z,"Check them out! https://s.ripl.com/qk9w6t

#ugg #uggboots #uggs #uggslippers #uggbot #ugglife #uggaustralia #uggseason #uggslides #uggshoes #uggsboots #uggsandals #furslippers #furslides #boots #uggkids #fashion #cocukugg #foxfurslides #fursandals #ayakkabi",,,,,"['ugg', 'uggboots', 'uggs', 'uggslippers', 'uggbot', 'ugglife', 'uggaustralia', 'uggseason', 'uggslides', 'uggshoes', 'uggsboots', 'uggsandals', 'furslippers', 'furslides', 'boots', 'uggkids', 'fashion', 'cocukugg', 'foxfurslides', 'fursandals', 'ayakkabi']"
Sahibe Gamze,@SahibeGamze27,2021-01-30T22:09:25.000Z,#ayakkabı #ayakyalama #ayakfetiş #sahibe #köle #fetishisme #scatslave #gaziantepbayan #gazianteppasif 2 YILDIR KULLANIYORUM CİDDİ ALMAK İSTEYEN DM ATTSİN BOT SATILDI SORMAYİN SİRADA BU VAR ÖDME PAPARA VEYA İS BANKASİ KÖPEK LER HADİ ALANA CORAP DA BENDEN HEDİYE LAN ,,6,6,51,"['ayakkabı', 'ayakyalama', 'ayakfetiş', 'sahibe', 'köle', 'fetishisme', 'scatslave', 'gaziantepbayan', 'gazianteppasif']"
Hayra hizmet ilim ve yardımlaşma derneği,@Zeynepa94801602,2021-04-06T16:26:28.000Z,"#Suriye/İdlib #Babiska Bölgesi'ndeki #Yetimhanemizde Hayatlarını İkame Eden Yetim Kuzularımıza Dün #Elbise #Ayakkabı Alımı Yapıldı.

Çok #Mutlu Olmuşlarki Az Önce #Ofisime Gelip Başta #Sizlere Sonra Bizlere Çok #Dua Ettiler Teşekkür Ettiler...",,,1,3,"['Suriye', 'Babiska', 'Yetimhanemizde', 'Elbise', 'Ayakkabı', 'Mutlu', 'Ofisime', 'Sizlere', 'Dua']"
All Trade Shop,@AllTradeShop,2021-06-24T12:29:22.000Z,"Doğadan İlham Alan Elbiseler Hm İndirimleri All Trade Shop'ta

#alltradeshop #onlinemagaza #onlinemarketing #onlineshopping #onlinesatis #onlineshoping #onlineticaret #onlineshop #hm #hmkids #hmdress #hmhome #hmoriginal #koton #gizia #derimod #elleshoes #ayakkabı #elbise",,,,2,"['alltradeshop', 'onlinemagaza', 'onlinemarketing', 'onlineshopping', 'onlinesatis', 'onlineshoping', 'onlineticaret', 'onlineshop', 'hm', 'hmkids', 'hmdress', 'hmhome', 'hmoriginal', 'koton', 'gizia', 'derimod', 'elleshoes', 'ayakkabı', 'elbise']"
Tahir Şimşek,@TahirSimsek,2021-05-02T15:36:16.000Z,"#Eskişehir'de #tamkapanma süresince #ayakkabı, #beyazeşya ve #mobilya gibi bazı ürünlerin marketlerde satılmasına yasak getirildi.",,3,1,48,"['Eskişehir', 'tamkapanma', 'ayakkabı', 'beyazeşya', 'mobilya']"
M E R V E,@merveuguz67,2021-05-18T19:12:05.000Z,Neden #ayakkabı ların 35 numarası yok ,,,,3,['ayakkabı']
