username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Elcan kan,@KanElcan,2021-08-09T13:19:13.000Z,mood #aütfsözleşmemaaşyok,"0:31
49 views",,,4,['aütfsözleşmemaaşyok']
Nihan Deniz,@thunderdade,2021-08-09T12:07:57.000Z,"Yeter 
 #aütfsözleşmemaaşyok",,,3,6,['aütfsözleşmemaaşyok']
Ali Akıncı,@alcnaknc,2021-08-09T11:10:49.000Z,"Sözleşme yok , maaş yok !! Yakında çalışanlarımız cömerttir diye iban verecekler #AütfSözleşmeMaaşYok",,,33,50,['AütfSözleşmeMaaşYok']
Gökçe Aygün,@GkcAygn,2021-08-09T10:55:20.000Z,"#AütfSözleşmeMaaşYok
10 aydır sözleşmesiz çalışmak yetmedi artık maaşımızıda vermiyorlar",,1,39,62,['AütfSözleşmeMaaşYok']
Kutlu.E,@EEmine1044,2021-08-09T11:15:27.000Z,"#AütfSözleşmeMaaşYok
İçinde bulunduğumuz zor zamanlarda destek beklerken!
Sözleşmesiz, zamsız çalıştırılmamız yetmedi. İzinler iptal edildi üzerine maaşlarda yatmıyor!!! Artık haksızlık istemiyoruz!Fazlasını da istemiyoruz 
SADECE HAKKIMIZI İSTİYORUZ.
@RTErdogan
 @drfahrettinkoca",,,36,48,['AütfSözleşmeMaaşYok']
NRDN,@nunucll,2021-08-09T10:54:34.000Z,"#aütfsözleşmemaaşyok yeni sözleşme yapmamak için direnen yıllardır doğrudürüst zam vermeyen #Akdenizueniversitesi şimdi de maaşlarımızı vermiyor!
@drfahrettinkoca
 @RTErdogan",,,43,59,"['aütfsözleşmemaaşyok', 'Akdenizueniversitesi']"
İpek Basli,@ipekbaslii,2021-08-09T13:58:10.000Z,#AütfSözleşmeMaaşYok,,,14,23,['AütfSözleşmeMaaşYok']
puder,@madampuderrr,2021-08-09T10:45:08.000Z,Fazla mesai var ama yıllık izin yok maaş hiç yok #aütfsözleşmemaaşyok,,,13,21,['aütfsözleşmemaaşyok']
Ilayda,@tuncilaydaa,2021-08-09T11:01:47.000Z,Aylardır mağdur ediliyoruz #AütfSözleşmeMaaşYok,,,14,30,['AütfSözleşmeMaaşYok']
Ilayda,@tuncilaydaa,2021-08-09T11:01:05.000Z,"Sözleşme yok, maaş yok, izin yok  #AütfSözleşmeMaaşYok",,,14,24,['AütfSözleşmeMaaşYok']
GökcenEzgiKeremEge,@GOKCENTOPRAK82,2021-08-10T09:00:16.000Z,#AuetfSoezlesmeMaasYok,,,,1,['AuetfSoezlesmeMaasYok']
cevat abi diyeceksiniz,@07enigma07,2021-08-09T12:35:53.000Z,#AütfSözleşmeMaaşYok mayış nerde mayış,,,8,14,['AütfSözleşmeMaaşYok']
Burak Oluğ,@BurakOlug,2021-08-09T10:58:04.000Z,Sözleşme isterken maaştan olduk #AütfSözleşmeMaaşYok,,,17,36,['AütfSözleşmeMaaşYok']
NRDN,@nunucll,2021-08-09T11:11:54.000Z,Sadaka değil hakkımız olan zammı istiyoruz. #AütfSözleşmeMaaşYok,,,13,23,['AütfSözleşmeMaaşYok']
NRDN,@nunucll,2021-08-09T10:53:06.000Z,#aütfsözleşmemaaşyok işçinin emeğini hiçe sayıyorlar!!! #Akdenizueniversitesi,,,16,25,"['aütfsözleşmemaaşyok', 'Akdenizueniversitesi']"
NRDN,@nunucll,2021-08-09T10:47:06.000Z,#AütfSözleşmeMaaşYok senenin başından beri sözleşme yoktu şimdi de maaş yok!,,,21,38,['AütfSözleşmeMaaşYok']
Ilayda,@tuncilaydaa,2021-08-09T11:02:58.000Z,Bu şekilde kadro istemiyoruz  #AütfSözleşmeMaaşYok,,,6,17,['AütfSözleşmeMaaşYok']
banu özkan,@banuzka53849926,2021-08-10T09:22:07.000Z,#AuetfSoezlesmeMaasYok...,,,,,['AuetfSoezlesmeMaasYok']
Gökçe Aygün,@GkcAygn,2021-08-09T12:24:28.000Z,"#AuetfSoezlesmeMaasYok 
@drfahrettinkoca
 @cuneytozdemir
 @RTErdogan","Medine Şinşek
@MSinsek
 · Aug 9
Akdeniz üniversitesi hastanesi personeli Resmi yazı olmadan yıllık izinden  çağrılan , yıllık izin verilmeyen, 2021 yılı toplu sözleşmesi yapılmayan 4d li işçilerin temmuz maaşı henüz bankaya bile yatırılmadı. #AütfSözleşmeMaaşYok @tcbestepe @RTErdogan @drfahrettinkoca",,1,3,['AuetfSoezlesmeMaasYok']
puder,@madampuderrr,2021-08-09T10:49:39.000Z,Duvar boyatıyorsunuz ama işçinin iznini maaşını vermiyosunuz #aütfsözleşmemaaşyok,,,14,24,['aütfsözleşmemaaşyok']
NRDN,@nunucll,2021-08-09T12:35:29.000Z,Yıllık izinleri iptal edilip tatilden geri döndürülen sağlık personeline maaşları yatırılmıyor! Bu nasıl adalet? #AütfSözleşmeMaaşYok,,,10,15,['AütfSözleşmeMaaşYok']
NRDN,@nunucll,2021-08-09T12:34:15.000Z,Müjde diye verilen 4D işçi kadrosunu iade etmek istiyoruz!  #AütfSözleşmeMaaşYok,,1,3,8,['AütfSözleşmeMaaşYok']
Atike,@atikecanozturk,2021-08-09T17:19:32.000Z,"Yıllardır çalışıyoruz ama artık bu kadarı çok ağır bu zorlu pandemi günlerinde tatilimiz yok sözleşmemiz yok hatta ve hatta maaşımız yok. #AuetfSoezlesmeMaasYok 
@feridun_bahsi
 @iyiparti",,,7,19,['AuetfSoezlesmeMaasYok']
Bugrahan GokaLp,@BugrahanGkaLp,2021-08-09T11:18:09.000Z,Yeni sözleşme beklerken maaştada kesik yedik #AütfSözleşmeMaaşYok,,,6,12,['AütfSözleşmeMaaşYok']
Avci6407,@Avci6407,2021-08-09T11:05:28.000Z,"#AütfSözleşmeMaaşYok

4-D Kadrosunu degil sağlik calisanlari arasinda mesai ve ucret esitligi istiyoruz. 
@RTErdogan
 @drfahrettinkoca",,,16,27,['AütfSözleşmeMaaşYok']
Gökçe Aygün,@GkcAygn,2021-08-09T11:19:53.000Z,#AütfSözleşmeMaaşYok sağlık çalışanları arasında ücret eşitliği istiyoruz,,,5,4,['AütfSözleşmeMaaşYok']
Ilayda,@tuncilaydaa,2021-08-09T11:40:02.000Z,"Daha ne kadar bekleyeceğiz sabrımız kalmadı  #aütfsözleşmemaaşyok 
@FOXhaber",,,3,13,['aütfsözleşmemaaşyok']
Bugrahan GokaLp,@BugrahanGkaLp,2021-08-09T12:00:32.000Z,Bir maaşımız vardı.. herhalde artık o da yok  #aütfsözleşmemaaşyok,,,6,10,['aütfsözleşmemaaşyok']
Asli Nur,@aslinur122,2021-08-09T12:02:58.000Z,"İş çok para yok !! #AütfSözleşmeMaaşYok
@drfahrettinkoca
 @tcbestepe
 @RTErdogan
 @FOXhaber
 @csgbakanligi
 @ozlenenozkn",,,3,8,['AütfSözleşmeMaaşYok']
Mustafa Özçelik,@_MustafaOzcelik,2021-08-09T11:13:24.000Z,"#AütfSözleşmeMaaşYok 
@degirmencirfan
 @FOXhaber
 @ozlenenozkn
 @ycete
 @drfahrettinkoca",,,3,10,['AütfSözleşmeMaaşYok']
BÜŞRA AKAN,@Bsracagin,2021-08-09T13:54:04.000Z,"#aütfsözleşmemaaşyok sesimiz kısıldı artık duyun bizi 
@RTErdogan
 @saglikbakanligi
 @drfahrettinkoca
 @ozlenenozkn",,,1,5,['aütfsözleşmemaaşyok']
Bayıltıcı Teknik Eleman,@maykancelik,2021-08-09T13:26:57.000Z,Sağlık personeli çok fazla bir şey istemiyor sadece hakkı olanı istiyor. #aütfsözleşmemaaşyok,,,2,14,['aütfsözleşmemaaşyok']
BÜŞRA AKAN,@Bsracagin,2021-08-09T13:17:37.000Z,"#aütfsözleşmemaaşyok sağlıkçılara böyle mi teşekkür ediliyor 
@RTErdogan
 @saglikbakanligi
 @drfahrettinkoca
 @ozlenenozkn",,,2,7,['aütfsözleşmemaaşyok']
Ayten Adıgüzel,@AytenAdgzel14,2021-08-09T14:14:40.000Z,Gerçekten tükendik artık #AütfSözleşmeMaaşYok,,,4,5,['AütfSözleşmeMaaşYok']
Gökçe Aygün,@GkcAygn,2021-08-09T13:19:29.000Z,"#AütfSözleşmeMaaşYok
@ozlenenozkn
 @cuneytozdemir","DENİZ YAKIN
@yakin_deniz
 · Aug 9
#AuetfSoezlesmeMaasYok sesimize ses verin biz sağlık emekçileriyiz köleleri değiliz ezmeyin bizi sahip çıkın alın terimizi maaşımızı istiyoruz kredi borcumuz var ödeyemedik ev kiramız faturalarımız var ödeyemedik @fatihportakal @DemetAkalin @haluklevent @TRombudsman",,2,6,['AütfSözleşmeMaaşYok']
Asli Nur,@aslinur122,2021-08-09T11:11:41.000Z,Akdeniz Üniversitesi sağlıkçıları mağdur ediliyor #AütfSözleşmeMaaşYok,,,11,21,['AütfSözleşmeMaaşYok']
