username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
adacyprus,@adacyprus1,2021-08-12T06:53:35.000Z,"Reset, Breathe, Restart. #günaydın #perşembe #ağustos",,1,,35,"['günaydın', 'perşembe', 'ağustos']"
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
Milla Antalya,@Millana007,2021-08-11T06:27:41.000Z,"Sexy girl in Antalya  comes to you
#muratpaşa #antalyagirls #antalyabayan #konyaalti #lara #antalyamerkez #kaleiçi ##villakiralama #avrupa #luxury #villakiralama #hilton #AkraBarut #mersedes #bmw #hotel  #bitcoin #almanya #ağustos",,,,2,"['muratpaşa', 'antalyagirls', 'antalyabayan', 'konyaalti', 'lara', 'antalyamerkez', 'kaleiçi', 'villakiralama', 'avrupa', 'luxury', 'villakiralama', 'hilton', 'AkraBarut', 'mersedes', 'bmw', 'hotel', 'bitcoin', 'almanya', 'ağustos']"
Gül Öğrtmn,@orgucuogrtmn_1,2021-08-11T09:50:25.000Z,"Güzel bir gün olması dileği ile.. Havlu takımımız hemen Teslim SATIŞTADIR
#carsamba
#ağustos",,2,59,53,"['carsamba', 'ağustos']"
Buğday Derneği,@BugdayDernegi,2021-08-06T05:41:11.000Z,"Mevsimsel beslen, sağlığını ve doğayı koru.

Daha besleyici
Doğa için daha iyi
Daha ekonomik

Ayrıntılı bilgi için: http://bugday.org/blog/mevsimsel-beslen-takvimi-agustos/…

#BuğdayDerneği #Ağustos",,,36,160,"['BuğdayDerneği', 'Ağustos']"
Տargօղ,@mars___40,2021-08-05T17:28:26.000Z,"#İyiAkşamlarr 
Felaketlere değil, Yıldızlara baktığımız akşamlar olsun...
Huzur dolu evimiz güzel akşamlarımız olsun....
Âmin âmin 
#Ağustos
#Perşembe 
#Ankara",,,10,170,"['İyiAkşamlarr', 'Ağustos', 'Perşembe', 'Ankara']"
KAFA,@kafadergisi,2021-08-07T07:32:12.000Z,"#Ağustos sayısı dopdolu içeriğiyle Türkiye’nin her yerinde ve 
@kafa_dukkan
 ‘da. ",,2,16,621,['Ağustos']
Bavul Dergi,@bavuldergi,2021-08-06T07:01:40.000Z,"""Biz aynı acının içinden geçiyoruz.""

#ŞükrüErbaş yazdı, #ağustos sayısında",,,3,35,"['ŞükrüErbaş', 'ağustos']"
ᵇᵉᵈʳᶦʸᵉ ᵗʰᵉ ʸᵃʳᵍᶦ ᵐᵃᶜʰᶦⁿᵉ ツ♡,@____bedriye,2021-08-08T05:31:57.000Z,ben dua'nin gücüne inanıyorum Metin Uca #yağmur #ağustos,,1,11,62,"['yağmur', 'ağustos']"
KAFA,@kafadergisi,2021-08-10T18:11:25.000Z,"Firdevs Yöreoğlu’ndan okurlarımız için bir nasihat: Aptallık etme!

#NebahatÇehre röportajı #Ağustos sayımızda.",,1,5,108,"['NebahatÇehre', 'Ağustos']"
Ali Altuntaş,@alialtuntasbsk,2021-08-06T16:21:07.000Z,"  #Ağustos Ayı Belediye Meclis Toplantısı..

      Bir dizi programlara katılmak için il dışında olmam nedeniyle belediye başkan vekilimiz İsmail Özbay başkanlığında ve belediye meclis üyelerimizinde katılımları ile yapılan toplantının, alınan kararların güzel ilçemize ++",,1,5,12,['Ağustos']
Տargօղ,@mars___40,2021-08-12T15:41:58.000Z,"#İyiAkşamlarr 
Mutlu ve huzurlu bir akşam olsun..
""Değerli hissetirmeyen ve sizi  mutsuz eden her şeye kapatın gözlerinizi""
#Ağustos 
#Perşembe 
#Çanakkale",,4,10,174,"['İyiAkşamlarr', 'Ağustos', 'Perşembe', 'Çanakkale']"
Bavul Dergi,@bavuldergi,2021-08-05T09:58:03.000Z,"""Kişisel dünya savaşımdan çıkmış gibiyim. Kırıldım; hem de ne biçim.""
@evrimkuran
 yazdı, #ağustos sayısında",,,2,22,['ağustos']
Yedikıta Dergisi,@yedikitadergisi,2021-08-12T06:00:25.000Z,"Birbirinden farklı yazı ve bölümleriyle Yedikıta ağustos sayısı sizleri bekliyor… 

#yedikıta #ağustos #keşfet",,,11,96,"['yedikıta', 'ağustos', 'keşfet']"
otdergi,@otdergi,2021-08-10T07:20:38.000Z,"Kadınlar, adaletsiz bir dünyada başarmak için erkeklere göre iki kat fazla terliyordu... #BaharEriş #Ağustos sayımızda yazdı; Virginia'nın Perde Arkasındaki Kız Kardeşleri  #OTdergi #DahiceDedikodular 
@baharerisontwit",,2,13,152,"['BaharEriş', 'Ağustos', 'OTdergi', 'DahiceDedikodular']"
Güzel Gonyam,@GuzelGonyam,2021-08-09T09:56:47.000Z,"Atalar der ki: “#Ağustos'un yarısı yaz, yarısı kış” Siz ne dersiniz?",,4,4,98,['Ağustos']
Mücahit Elban,@MucahitElbann,2021-08-05T08:13:52.000Z,"Güzel insanlar bir bir ""EN GÜZEL""e göç ediyor.
#Ağustos ayı göç ayı oldu adeta...

Hasan ÇINAR - 2017
Mehmet YAVUZ -2019
Fesih GÜLER - 2020
Ve;
Bu Ağustos'ta da Celal GÜL...
İzzetli bir yaşam ve imanlı bir ölüm, herkese nasip olmayan bir akıbet.
Zirvede bitirmek...
Rahmetle...",,1,3,30,['Ağustos']
Տargօղ,@mars___40,2021-08-10T02:59:57.000Z,"#Günaydınnn 
Gün güzellikler getirsin...
""Hayattaki en büyük sorun, her kesin kendini haklı görmesidir"".
Yani, BENCİLLİK.
#Ağustos 
#Salı 
#Ankara",,7,16,260,"['Günaydınnn', 'Ağustos', 'Salı', 'Ankara']"
otdergi,@otdergi,2021-08-09T18:04:18.000Z,Hayat bir şeyleri ıskalatırken başka şeyleri de önümüze koyuyor tekrar. #DamlaSönmez #OTdergi #Ağustos sayısı gazete dergi bulunan her yerde!,Damla Sönmez and Osman Palabıyık,9,113,377,"['DamlaSönmez', 'OTdergi', 'Ağustos']"
otdergi,@otdergi,2021-08-12T17:42:02.000Z,"Ayna. Asla kendime değil, sen beni nasıl görüyorsun diye baktığım yer. #SeyyidhanKömürcü #OTdergi #Ağustos",seyyidhan kömürcü,1,4,81,"['SeyyidhanKömürcü', 'OTdergi', 'Ağustos']"
Տargօղ,@mars___40,2021-08-09T16:48:39.000Z,"#İyiAkşamlarr 
Mutlu ve huzurlu bir akşam olsun..
#Ağustos 
#Pazartesi 
#Ankara",,1,11,201,"['İyiAkşamlarr', 'Ağustos', 'Pazartesi', 'Ankara']"
otdergi,@otdergi,2021-08-11T06:50:28.000Z,"Sadece herkesin okuduğu kitapları okursan, sadece herkesin düşündüğünü düşünürsün. #HarukiMurakami 

#OTdergi #Ağustos sayımız hediyeleriyle birlikte kitabevleri, marketler ve bayilerde! ",,1,5,126,"['HarukiMurakami', 'OTdergi', 'Ağustos']"
otdergi,@otdergi,2021-08-08T20:13:12.000Z,"Sevmek nedir biraz öğrenin. Önce bir yaprağı, yağmurun yağışını sevin, sonra da o bir tek yaprağın size neler öğrettiğini, yağmurun içinizde neler yarattığını duyup anlayabilecek bir insanı sevin. #TrumanCapote #OTdergi #Ağustos",,,25,183,"['TrumanCapote', 'OTdergi', 'Ağustos']"
Տargօղ,@mars___40,2021-08-06T15:40:07.000Z,"#İyiAkşamlarr 
Güzel akşamlar olsun...
.....
#Ağustos 
#Cuma 
#Ankara",,2,3,107,"['İyiAkşamlarr', 'Ağustos', 'Cuma', 'Ankara']"
otdergi,@otdergi,2021-08-09T21:31:11.000Z,"Acaba bir gün hepimiz kendi yıldızımızı yeniden bulalım diye mi yıldızlar böyle parlıyor? #KüçükPrens #AntoineDeSaintExupery #OTdergi #Ağustos sayımız poster, kitap ayracı, kapı askısı ve aksesuar kart hediyeleriyle bayilerde!",Berkay Daglar,1,11,161,"['KüçükPrens', 'AntoineDeSaintExupery', 'OTdergi', 'Ağustos']"
Ömer Aslan,@Byomeraslan,2021-08-11T09:02:06.000Z," Sevgili öğrenci kardeşlerim,  
@sanliurfabld
 ve 
@hrumedya
 işbirliğiyle, uzman hocaların rehberliğinde #Yks2021 'Tercih Merkezi' bugün (11-13 #ağustos) Prof.Dr. Abdulkadir Karahan Kütüphanesinde kuruldu. 
@RTErdogan
 @zabeyazgul
 @Abdullah_Erin47
 @Mehmet_s_celik",,,10,34,"['Yks2021', 'ağustos']"
Nevin Ulusoy,@GorNevin,2021-08-06T17:58:32.000Z,"İstanbul'da çok sevdiğim Ömer Hayyam'la buluştuk, ""Semerkant""tayız. ""Zamanın iki yüzü, iki boyutu var. Uzunluğu güneşe,genişliği tutkulara uyarlanmış."" #aminmaalouf #semerkant #ömerhayyam #kitap #akşam #istanbul #deniz #ağustos #yaz",,1,,17,"['aminmaalouf', 'semerkant', 'ömerhayyam', 'kitap', 'akşam', 'istanbul', 'deniz', 'ağustos', 'yaz']"
Neslihan Özdemir Aksoy,@ogretmen_nesli,2021-08-06T06:38:04.000Z,"#Cuma #Ağustos #Umut #Dünya
Hayırlı cumalar dostlar...",,,,6,"['Cuma', 'Ağustos', 'Umut', 'Dünya']"
Feyza A.,@feyza_glz,2021-08-12T06:37:12.000Z,"Franz Kafka'nın da dediği gibi: ""Pek çok şeyin bambaşka olmasını isterdim.""  #ağustos",,,,1,['ağustos']
Dorlion Yayınları,@dorlionyayin,2021-08-07T05:00:01.000Z,"Gülmek, kalpteki örümcek ağlarını temizleyen bir süpürge gibidir...

 Kathleen Long

#günaydın #cumartesi
#haftasonu #iyihaftasonları
#Ağustos #yaz
#KathleenLong
#gününsözü #gülmek
#kitap #keşfet",,,1,1,"['günaydın', 'cumartesi', 'haftasonu', 'iyihaftasonları', 'Ağustos', 'yaz', 'KathleenLong', 'gününsözü', 'gülmek', 'kitap', 'keşfet']"
Ekomani,@Ekoparazit,2021-08-12T16:57:29.000Z,"EKONOMİ CAYIR CAYIR YANIYOR
Murat Muratoğlu 
@sozcumuratoglu
devamı YouTube’da... 

https://youtu.be/S5DaQH0C8w4

#türkiye #ekonomi #para #piyasa #piyasalar #dolar #euro #döviz #faiz #borsa #altın #bitcoin  #enflasyon #ağustos #swap #erdoğan #muratmuratoğlu",,6,54,438,"['türkiye', 'ekonomi', 'para', 'piyasa', 'piyasalar', 'dolar', 'euro', 'döviz', 'faiz', 'borsa', 'altın', 'bitcoin', 'enflasyon', 'ağustos', 'swap', 'erdoğan', 'muratmuratoğlu']"
otdergi,@otdergi,2021-08-08T10:09:31.000Z,"İnsan ancak yüreğiyle baktığı zaman gerçeği görebilir. #KüçükPrens #AntoineDeSaintExupery 

#OTdergi #Ağustos sayımız hediyeleriyle birlikte kitabevleri, marketler ve bayilerde! ",,1,8,123,"['KüçükPrens', 'AntoineDeSaintExupery', 'OTdergi', 'Ağustos']"
otdergi,@otdergi,2021-08-05T17:59:34.000Z,"İnsan ancak yüreğiyle baktığı zaman gerçeği görebilir. #KüçükPrens #AntoineDeSaintExupery #OTdergi #Ağustos sayımız hediyeleriyle birlikte kitabevleri, marketler ve bayilerde! ",,2,4,99,"['KüçükPrens', 'AntoineDeSaintExupery', 'OTdergi', 'Ağustos']"
MrsKA,@KAsmyraa,2021-08-11T19:22:11.000Z,"Sevgili günlük; dün ne yediğimi bile unuturum bilirsin ama davranışların hissettirdiğini asla..

#carsamba 
#ağustos",,,,6,"['carsamba', 'ağustos']"
Gün Olur Asra Bedel,@BedelGun,2021-08-07T12:50:41.000Z,"Bana yanlış gelen her şey birçok insana normal geliyor , sanırım ben ANORMAL'im 
#cumartesi #ağustos",,1,,8,"['cumartesi', 'ağustos']"
Nevin Ulusoy,@GorNevin,2021-08-12T20:22:59.000Z,"Kore Film Festivali olunca kaçırmayalım dedik. Sinema bambaşka bir büyü, bambaşka, film sinemada izlenmeli, kesinlikle#film #sinema #gece #istanbul #ağustos #yaz",,,,4,"['film', 'sinema', 'gece', 'istanbul', 'ağustos', 'yaz']"
Şengül Karakuş,@41Bilyana,2021-08-07T20:07:54.000Z,"""Hem öğrenmek nedir ki. Bir sürü bilgi edinmek mi, yoksa hayatını değiştirmek mi?""

#Ağustos 
#okudumbitti
#okumaközgürlüktür 
#MaviAyrac #benimokumam 
#kitapseverlertakiplesiyor",,3,6,76,"['Ağustos', 'okudumbitti', 'okumaközgürlüktür', 'MaviAyrac', 'benimokumam', 'kitapseverlertakiplesiyor']"
Muhammet Yatağanlı,@MYataganli,2021-08-11T22:44:43.000Z,"Bazı insanlar sahip olamadıkları kalitenin; ait olmadıkları kişiliğin ve yaşayamadıklari hayatın reklamını iyi yaparlar.
#iyigeceler #GeceyeNotum #Agustos #Persembe",,,,2,"['iyigeceler', 'GeceyeNotum', 'Agustos', 'Persembe']"
Joker$ NEO 500,@CryptoJokerxx,2021-08-07T04:22:14.000Z,"#ağustos 'ta bahar var dedik aylar öncesinden:)) 
O günler geldi çattı 

#bitcoin",,,,6,"['ağustos', 'bitcoin']"
KAFA,@kafadergisi,2021-08-09T08:56:49.000Z,"""Aptallık etme!""

#Ağustos sayısı bardak altlığı ve çıkartma hediyeleriyle gazete dergi satan bayiler, D&R, büyük marketler (Migros ve Carrefour) ve http://kafa.com.tr'de!",,3,4,82,['Ağustos']
KafasizRadyo,@KafasizRadyo,2021-08-05T20:27:32.000Z,"Bir insanlık kuraklığı yaşıyoruz güzel ülkemizde. #vicdan 
@nihatsirdar
  @kafadergisi
 #Ağustos",,2,3,17,"['vicdan', 'Ağustos']"
Nuh Nadi,@Nadi5Nuh,2021-08-12T21:36:49.000Z,#picemiyeti #Şiir #Ağustos #LeylaİleMecnun,,,,4,"['picemiyeti', 'Şiir', 'Ağustos', 'LeylaİleMecnun']"
meryem,@mrymkrc_endmuh,2021-08-06T10:37:26.000Z,"Bu yaz 
#ağustos",,,,1,['ağustos']
Hava Durumu,@Hava__durumu,2021-08-10T14:30:59.000Z,"#Ankara Hafta başına kadar yağış beklenmiyor

Hava genellikle az bulutlu ve açık 

Sıcaklık 28-29 derece seviyesinde 

Rüzgar poyrazdan hafif esiyor 

#Ağustos #Yaz",,,,3,"['Ankara', 'Ağustos', 'Yaz']"
Selda ÇETİN,@seldacetin61,2021-08-05T14:17:05.000Z,"Cahilleri geçtik, biz okumuşlarla mücadele içindeyiz! #Persembe #ağustos",,,,2,"['Persembe', 'ağustos']"
sinem,@sinem__ceylan,2021-08-06T19:53:46.000Z,"Yusuf, her şeyin adını Züleyha koymuştu.
#cuma 
#ağustos",,,,2,"['cuma', 'ağustos']"
KozmoPolitik.com.tr,@kozmopolitikcom,2021-08-12T07:57:12.000Z,İstanbul İl Sağlık Müdürü Prof.  Dr. Memişoğlu’ndan #Ağustos Uyarısı https://kozmopolitik.com.tr/istanbul-il-saglik-muduru-prof-dr-memisoglundan-agustos-uyarisi/…,,,,,['Ağustos']
Şahmaran,@yarpuz77,2021-08-10T08:51:49.000Z,#Ağustos #Salı ,,,,2,"['Ağustos', 'Salı']"
