username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Alex Fotioo,@SCcoachFotioo,2021-08-13T12:33:42.000Z,The Word! #Ask,,,,1,['Ask']
AiR - Atman in Ravi,@AiR_AtmaninRavi,2021-08-07T04:34:25.000Z,"Realize the Real ME… https://youtube.com/watch?v=HrK6WFor_WA…

#AskAiR #enlightenment  #spirituality  #ask #investigate #realize #truth #mind #ego #soul #soulrealization",,,1,3,"['AskAiR', 'enlightenment', 'spirituality', 'ask', 'investigate', 'realize', 'truth', 'mind', 'ego', 'soul', 'soulrealization']"
Jubilee Utah,@jubilee_utah,2021-08-11T20:27:42.000Z,#Ask For Rates,,,1,1,['Ask']
Sampurna Nand Pandey,@Sampurn29304958,2021-08-12T11:52:52.000Z,"Well Done India ,Ishant Sharma will doing as a best performer ⚘#ask the expert@sony sports india",,,,,['ask']
sonia,@soniasharma99,2021-08-11T02:15:09.000Z,What's the most important question you can think of to ask a prospective personal injury lawyer? #legal #ask,,,,,"['legal', 'ask']"
CreateMyAdventure,@CreateMyAdventr,2021-08-05T17:44:12.000Z,"I will be answering the most asked questions about traveling during a #pandemic in an upcoming Q&A.
Submit your questions in the comments & check out my #Youtube channel this weekend for the answers!
*Links in profile

#QandA #Travel #Vacations #Ask #TravelTips  #Health #Safety",,,2,2,"['pandemic', 'Youtube', 'QandA', 'Travel', 'Vacations', 'Ask', 'TravelTips', 'Health', 'Safety']"
Donald,@RealDonaldDoo,2021-08-10T17:40:39.000Z,"Let the Holy Spirit teach you.

#Ask",,1,14,80,['Ask']
Heshie Segal,@HeshieSegal,2021-08-07T03:15:02.000Z,"Rejection is just a number; at some point, you'll get a yes so keep on asking. #JetNetting #Rejection #Ask",,,,,"['JetNetting', 'Rejection', 'Ask']"
AlexDTI (COMMISSIONS OPEN!!!),@alex_DTI,2021-08-05T16:05:17.000Z,"Ask by Anonymous, Videomaster21xx and 
@Bluesliver1
 

#mlp #mylittlepony #ask #brony",,10,18,69,"['mlp', 'mylittlepony', 'ask', 'brony']"
Ankit,@Ankit10524312,2021-08-06T10:54:23.000Z,"Sir Rishabh pant very sad to england playing no 1 spinner.
#ask the expert 
@sony
 sports india",,2,,1,['ask']
lemony_masterpieces,@YonnaCheri,2021-08-08T20:46:16.000Z,"Sometimes we have to admit that our best is not enough. That doesn’t mean we failed. It just means we need help…

#ask",,,,1,['ask']
AlexDTI (COMMISSIONS OPEN!!!),@alex_DTI,2021-08-10T12:00:56.000Z,"Are you all happy?
Now you can ask the various transformed clones questions XD

#mlp #mylittlepony #ask #brony",,11,13,125,"['mlp', 'mylittlepony', 'ask', 'brony']"
AKHILESH KUMAR SINGH,@akki112012,2021-08-12T15:56:18.000Z,"#ask the expert 
what is the meaning of number which is shown on every player Tshirts",,,,,['ask']
AlexDTI (COMMISSIONS OPEN!!!),@alex_DTI,2021-08-09T21:04:54.000Z,"WHAT HAVE YOU DONE!?!?!?
Ask by Mariofan345

#mlp #mylittlepony #ask #brony",,5,11,81,"['mlp', 'mylittlepony', 'ask', 'brony']"
Ankit Rajput,@AnkitRa74114226,2021-08-06T12:19:57.000Z,#sonyten #ask experts is kl Rahul made century today,,,,,"['sonyten', 'ask']"
Dr. Rahul Kulkarni,@Rahul77486190,2021-08-06T10:58:58.000Z,"Sunil Sir, you acted in movie as a hero, which ?#ask the expert",,,,,['ask']
Jagdish Kumar,@Jagdish20686404,2021-08-06T11:31:04.000Z,India 2nd inning me kitna total bna skti he Ab #ask the expert,,,,,['ask']
Harinath M.S,@msharinath23,2021-08-05T14:02:17.000Z,"Hey 
@XiaomiIndia
 @RedmiIndia
 @manukumarjain
 Why Are You Sending these kind of messages and what does it mean
#Ask 
@C4ETechTamil
 @C4ETech
 @TamilTechOffici
 @RealTamilSelvan
 @loud_oli
 @techthalaiva
 @geekyranjit",,,,,['Ask']
Nitesh Kumar,@NiteshK54348901,2021-08-06T10:54:46.000Z,"#Ask The Expert
Sir, 
What should be the role of K L Rahul in the foundation of winning of India in the first test as a opener 
@SonySportsIndia",,,,2,['Ask']
(☞ﾟヮﾟ)☞CyaneWorks,@CyaneWorks,2021-08-12T15:39:36.000Z,"much concern

#asks #fanart #sans #artworkdigital #nectos #undertale #ask #Undertale好きさんと繋がりたい  #sansau #undernectos",,2,6,25,"['asks', 'fanart', 'sans', 'artworkdigital', 'nectos', 'undertale', 'ask', 'Undertale好きさんと繋がりたい', 'sansau', 'undernectos']"
oee,@maxzin_mn,2021-08-06T15:07:09.000Z,"PLEASE TAKE TIME TO READ AND ANSWER MY QUESTION
#Ask #Help #PLEASE #Answer #SF #Shipping #Fee #Japan #Philippines #JPN #Tokyo2020 #Tokyo2021 #onlineshopping #Confused #Tweet #Twitter",,,1,1,"['Ask', 'Help', 'PLEASE', 'Answer', 'SF', 'Shipping', 'Fee', 'Japan', 'Philippines', 'JPN', 'Tokyo2020', 'Tokyo2021', 'onlineshopping', 'Confused', 'Tweet', 'Twitter']"
Lobsters,@lobsters,2021-08-07T02:25:21.000Z,"What are you doing this weekend?
by 
@Caius
https://lobste.rs/s/0s7b5h #ask #programming","What are you doing this weekend?
1 comment
lobste.rs",,,,"['ask', 'programming']"
Sampurna Nand Pandey,@Sampurn29304958,2021-08-12T11:46:04.000Z,"India will winner     in this Test series as a leader with clean sweep. Humm ⚘#ask the expert 
@sony
 sports india sehw",,,,,['ask']
Ayush raj singh,@Ayushra88543512,2021-08-05T11:24:02.000Z,"How many review in a test match 

#Ask the expert#",,,,,['Ask']
Md R Hussain,@MdRHussain4,2021-08-06T10:32:46.000Z,#ask the expert,,,,,['ask']
Designer News,@designernewsbot,2021-08-13T06:37:27.000Z,Things to Know While Implementing Artificial Intelligence into Your Company! #ask,"Things to Know While Implementing Artificial Intelligence into Your Company! – Designer News
Things to Know While Implementing Artificial Intelligence into Your Company!
designernews.co",,,,['ask']
Rajender Goel,@Rajan49delhi,2021-08-05T12:49:19.000Z,"#ask the expert@sony sport
Expell pujara from the team to strengthen the combination",,,,,['ask']
Crazy Potato,@Crazy_P0tat0_1,2021-08-12T05:38:53.000Z,"Grit ask 1

#art #oc #ask #comic #goblin #fantasy",,,,1,"['art', 'oc', 'ask', 'comic', 'goblin', 'fantasy']"
swapnil sharma,@swapnillsharma,2021-08-08T10:18:14.000Z,#ask Viru paji. Can we can see u as batting coach of india team  in upcoming Day ?,,,,,['ask']
Graham Bunting,@grahambunting,2021-08-11T10:05:03.000Z,"#SalesTraining
#ASK – this is the foundation of almost everything we do in life and it is Attitude, Skills, and Knowledge.” https://buff.ly/3lSvU2Z",,,,,"['SalesTraining', 'ASK']"
