username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
African Union Political Affairs Peace and Security,@AUC_PAPS,2021-08-05T12:43:11.000Z,African & Int’l Partners #AfDB #UNDP #EU update Council on their peacebuilding initiatives;Reaffirm commit't to AfricanSolidarityInitiative & the effort of AU in accompany'g countries in political transitions and #PCRD. Council lauds MSs’ initiative to support #ASI @ #AUPSC Mtg,,2,6,20,"['AfDB', 'UNDP', 'EU', 'PCRD', 'ASI', 'AUPSC']"
Lost History,@Lost_History1,2021-08-06T12:25:12.000Z,"#ASI

11-12th century: Remains of huge structure; 4 pillar bases exposed belonged to this level.

12-16th century: On remains of above structure, a massive structure was constructed with atleast 3 structural phases & 3 successive floors attached with it, ~50 pillar bases found.","suchittayashaH
@ArmchairPseph
 · Aug 6
Replying to @cbkwgl
I'm sure it didn't survive, it was rebuilt at some point in the 1400s IMO.",,19,37,['ASI']
Jocelia Batinga,@batinga_jocelia,2021-08-07T00:29:00.000Z,"Tomorrow at 7:00 pm (Brazil )
We will be watching episode 21 commenting and Retweeting.

#Asi 
#MuratYıldırım #TubaBüyüküstün","Hagar El-Gammal
@HagarElgammal
 · Aug 6
#Asi #MuratYıldırım #TubaBüyüküstün
Show this thread",,,2,"['Asi', 'MuratYıldırım', 'TubaBüyüküstün']"
QuantumAI+Crispr3D=QuInCy=QAI&C3D=LA,@1LEOOEL1,2021-08-05T07:25:36.000Z,"[(
Because #Dragons Can
Be Important for Progress
)
With a little bit of breeding
and #CRISPR genetic  manipulation, We can change the Hang-Glider type ‘wings,’
into Flapping Dragon ‘wings’

To make the Dragon
firebreathe,
well,
It would take an #ASI to achieve that

IMO]","Joe Forloines
@ForloinesJoseph
 · Jun 20
He was found in Southeast Asia and it's a flying lizard. Yes, gentlemen, a dragon.",,,1,"['Dragons', 'CRISPR', 'ASI']"
Sarang,@noshortcut_,2021-08-07T14:21:57.000Z,"Replying to 
@Gautaamm",By the way he trains in #Pune #ASI,1,,1,[]
Jocelia Batinga,@batinga_jocelia,2021-08-12T03:53:45.000Z,"Replying to 
@mrtyldrmturkey","This scene was just laugh 
I love without limits
#Asi 
#MuratYıldırım #TubaBüyüküstün",,,1,[]
S:,@eskisevenmurati,2021-08-07T05:22:20.000Z,""" aile ''
#MuratYıldırım /#tubabüyüküstün 
#Asi","0:13
118 views",,13,33,"['MuratYıldırım', 'tubabüyüküstün', 'Asi']"
ŚastraŚāstraDhari,@sastrasaastra,2021-08-11T16:45:57.000Z,"An archeological excavation is undergoing at Mahakal temple, Ujjain. Various artifacts have been found including an about 2 feet shivling from Shung era. A Parmar era temple architecture has also been found. #excavation #asi #architecture #ancient #shivling #Ujjain #Mahakal",,,,,"['excavation', 'asi', 'architecture', 'ancient', 'shivling', 'Ujjain', 'Mahakal']"
Jocelia Batinga,@batinga_jocelia,2021-08-11T00:09:50.000Z,"Replying to 
@mrtyldrmturkey","Then how beautiful this scene is 
#Asi 
#MuratYıldırım #TubaBüyüküstün",,1,1,[]
"Alternative Staffing, Inc.",@AltStaffingInc,2021-08-11T14:05:03.000Z,Ready to access your money daily? Apply with ASI and get paid sooner! #dailypay #payday #getpaid #asi #jobs,,,,,"['dailypay', 'payday', 'getpaid', 'asi', 'jobs']"
Clara,@cvetkina1,2021-08-08T15:45:08.000Z,"Replying to 
@______TB_______","I have watched #Asi so many times... 
#TubaBüyüküstün #Asi",1,1,5,[]
