username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Eva,@Eva10312613,2021-08-05T12:39:16.000Z,êſčòrțſ    You are the first and last thing on my mind every day. #ödemiş #bayraklı,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['ödemiş', 'bayraklı']"
Yağmur Avcıl,@YamurAvcl2,2021-08-10T17:14:24.000Z,êſčòrțſ    Your friend is the man who knows all about you and still likes you. #ödemiş #bayraklı,"EDA
@RahimekzKoyuncu
 · Aug 10",,2,2,"['ödemiş', 'bayraklı']"
Mert,@mertw0,2021-08-12T14:00:44.000Z,"Amazing 3D Street Art from AnkaraTurkey Yd1q0sKntF 
iletişim numaram : 0535 309 0339 
#alsancak #bornova #buca #Cigli #aliaga e s c o r t  #sirinyer #ucyol  #Bayraklı êſčòrțſ #cesme #alaçatı #izmir",,1,14,6,"['alsancak', 'bornova', 'buca', 'Cigli', 'aliaga', 'sirinyer', 'ucyol', 'Bayraklı', 'cesme', 'alaçatı', 'izmir']"
Ceylan Senar,@SenarNarbas,2021-08-12T23:05:14.000Z, Sağa sola uğramadan gel mutluluğu burada bulacaksın #mavisehir de #bostanli da #bayrakli dan,,,1,2,"['mavisehir', 'bostanli', 'bayrakli']"
Mert,@mertw0,2021-08-13T07:27:13.000Z,bırak nasıl yani? #Karsiyaka #bozyaka #konak #alsancak #bornova #buca #Cigli #menemen #balcova #alaybey #bostanli #mavisehir #aliaga e s c o r t  #sirinyer #ucyol  #Bayraklı êſčòrțſ #çeşme #alaçatı #izmir,,,1,2,"['Karsiyaka', 'bozyaka', 'konak', 'alsancak', 'bornova', 'buca', 'Cigli', 'menemen', 'balcova', 'alaybey', 'bostanli', 'mavisehir', 'aliaga', 'sirinyer', 'ucyol', 'Bayraklı', 'çeşme', 'alaçatı', 'izmir']"
Bayraklı Belediyesi,@bayraklibld,2021-08-13T15:00:00.000Z,"Bayraklı’da acil durumlar için bugünkü nöbetçi eczaneler.
Tüm Bayraklı halkına sağlıklı günler dileriz.
#Bayraklı #NöbetçiEczane",,,,,"['Bayraklı', 'NöbetçiEczane']"
Bahar Segah,@Segah26320078,2021-08-11T17:28:25.000Z, Tercümesi yok bu işin gel ben anlatayım #cigli vs #menemen vb #bostanli da #mavisehir bkz #bayrakli bknz #basmane,,,,,"['cigli', 'menemen', 'bostanli', 'mavisehir', 'bayrakli', 'basmane']"
Ayşim Sözbir,@AysimSozbir,2021-08-08T14:31:56.000Z,"""Elinden geleni yaptıktan sonra, hala olmuyorsa, sıra ayağından geleni yapmakta; gitmek gibi mesela."" #bayraklı",,,6,6,['bayraklı']
melis the eve otele gelen,@kevserr_trn,2021-08-11T17:41:34.000Z,"#izmir 
Hep bir gülüş evde veya otelde görüş
         0535 309 0339
#buca #izmir
#bornova #balçova
#hatay #bostanlı #şirinyer 
#gaziemir #bayraklı 
#narlıdere #torbalı #konak 
#karsiyaka #basmane #alsancak #urla #çeşme #aliaga #cigli #menemen #menderes . #alaçatı izmir êſčòrțſ",,1,3,6,"['izmir', 'buca', 'izmir', 'bornova', 'balçova', 'hatay', 'bostanlı', 'şirinyer', 'gaziemir', 'bayraklı', 'narlıdere', 'torbalı', 'konak', 'karsiyaka', 'basmane', 'alsancak', 'urla', 'çeşme', 'aliaga', 'cigli', 'menemen', 'menderes', 'alaçatı']"
Özden,@safirden,2021-08-11T08:01:52.000Z,"Bu ağacın altında oturdum, seyre daldım Ademoğlunu, ölümsüzlük iksirini ya buldular ya da  bulmaya çalışıyorlar:) 
#Çarşamba #BenimBahçem #Bayraklı",,,3,26,"['Çarşamba', 'BenimBahçem', 'Bayraklı']"
