username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Bayraklı Belediyesi,@bayraklibld,2021-08-13T12:40:23.000Z,"Gençlerimiz için birbirinden eğlenceli spor yarışmaları başlıyor!
7-15 yaş arası tüm gençlerimizi davet ediyoruz.

Detaylı bilgi için iletişime geçebilirsiniz.
Telefon: (0232) 371 23 00 
(0232) 371 60 67

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal",,,,5,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-10T14:39:02.000Z,"Çocuklarımızı, gençlerimizi kötü alışkanlıklardan uzak tutarak sporla buluşturan, ilçemizde yeni sporcuların yetişmesinde büyük emekleri olan Bayraklı'daki amatör spor kulüplerimizin başkan ve yöneticileriyle bir araya geldik.
#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor",Serdar Sandal,1,,7,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-07T16:04:46.000Z,"7’den 70’e Badminton Kursu Başlıyor!

7 yaş ve üzeri her vatandaşımız için kurs kayıtlarımız başlamıştır. Detaylı bilgi için iletişime geçebilirsiniz.

Telefon: (0232) 371 23 00 

#BayraklıBenimAilem
@SerdarSandal
 
.
#SerdarSandal #badminton #spor #sağlık #hizmet #kurs #bayraklı",,3,,5,"['BayraklıBenimAilem', 'SerdarSandal', 'badminton', 'spor', 'sağlık', 'hizmet', 'kurs', 'bayraklı']"
Bayraklı Belediyesi,@bayraklibld,2021-08-10T10:18:54.000Z,"Bayraklı Belediyesi birimler arası Başkanlık Futbol Turnuvası  başladı. Dostluk ve centilmenlik duygularıyla çekişmeli müsabakalara sahne olacak karşılaşmalarda tüm personelimize başarılar dileriz.

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal",,1,,2,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Serdar Sandal,@SerdarSandal,2021-08-12T17:02:56.000Z,"Bayraklı’mızın amatör spor kulüpleri bizim için çok kıymetli! 

Bayraklı’mız adına daha iyi, daha güzel ne yapılması gerekiyorsa hep birlikte el ele vereceğiz.

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@bayraklibld
.
.
.
#spor #sporcu #sağlık #amatör #bayraklı #belediye",,1,2,7,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'spor', 'sporcu', 'sağlık', 'amatör', 'bayraklı', 'belediye']"
Bayraklı Belediyesi,@bayraklibld,2021-08-13T11:15:23.000Z,"Yaşar Üniversitesi Öğretim Üyesi Dr. Mehmet Kahyaoğlu,
Bayraklı Belediyesi Sosyal etkinlik merkezi öğretmenlerimize sanat ve iletişim eğitimi verdi. Bayraklı’da geleceğe yön verecek pırıl pırıl gençler yetiştirecek olan öğretmenlerimizle bir araya gelen değerli hocamız adına+",,1,1,3,[]
Bayraklı Belediyesi,@bayraklibld,2021-08-13T11:16:00.000Z,"biz de Muğla'ya 10 fidan bağışında bulunduk. #birlikteyeşerteceğiz

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal
 
.
.
.
#SerdarSandal #eğitim #öğretim #sosyal #etkinlik #iletişim #sanat #hizmet #bayraklı #belediye",,,,1,"['birlikteyeşerteceğiz', 'BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'SerdarSandal', 'eğitim', 'öğretim', 'sosyal', 'etkinlik', 'iletişim', 'sanat', 'hizmet', 'bayraklı', 'belediye']"
Serdar Sandal,@SerdarSandal,2021-07-27T13:21:01.000Z,"Adalet Mahallemizdeydik. Muhtarımız Sn. Ali Uluç ve bürokratlarımızla esnafımızı ziyaret ettik, vatandaşlarımızla bir araya geldik. İmkanlarımız dahilinde esnafımıza ve tüm vatandaşlarımıza destek  olmaya devam edeceğiz. Zor günleri birlikte aşacağız. 

#BayraklıBenimAilem",Bayraklı Belediyesi,1,1,12,['BayraklıBenimAilem']
Bayraklı Belediyesi,@bayraklibld,2021-08-05T12:47:25.000Z,"Yeni eğitim öğretim yılına hazırlanıyoruz..!
Bayraklı Belediyesi Sosyal Etkinlik Merkezi bünyesinde görev yapan öğretmenler 2-4 Ağustos tarihleri arasında Öğretmen Gelişim Programı kapsamında mesleki yetkinliklerini geliştirmek ve ders akışı tasarlayarak, öğrenmeyi daha iyi++",,1,,4,[]
Bayraklı Belediyesi,@bayraklibld,2021-08-05T12:47:47.000Z,"yönetebilmek adına çeşitli eğitimler aldılar. 3 günlük verimli geçen eğitimin sonunda Sosyal Etkinlik Merkezi öğretmenlerimiz, eğitmenleri Gamze İnce ve Sedat Subaşı adına fidan bağışında bulunarak teşekkürlerini sundular.
#BayraklıBenimAilem
@SerdarSandal",,,,1,['BayraklıBenimAilem']
