username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Bayraklı Belediyesi,@bayraklibld,2021-08-13T12:40:23.000Z,"Gençlerimiz için birbirinden eğlenceli spor yarışmaları başlıyor!
7-15 yaş arası tüm gençlerimizi davet ediyoruz.

Detaylı bilgi için iletişime geçebilirsiniz.
Telefon: (0232) 371 23 00 
(0232) 371 60 67

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal",,,,5,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-11T16:40:17.000Z,"Çocuklarımız için en iyisini istiyoruz! 

Öğretim üyeleri gözetiminde yapılacak olan “Okul Öncesi Öğretmeni Seçme Sınavı” ile öğretmenlerimizi; ADİL, ŞEFFAF ve LİYAKATA DAYALI OLARAK SEÇİYORUZ. 

#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal",,,,3,['BayraklıdaGüzelŞeylerOluyor']
Bayraklı Belediyesi,@bayraklibld,2021-08-10T10:18:54.000Z,"Bayraklı Belediyesi birimler arası Başkanlık Futbol Turnuvası  başladı. Dostluk ve centilmenlik duygularıyla çekişmeli müsabakalara sahne olacak karşılaşmalarda tüm personelimize başarılar dileriz.

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal",,1,,2,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-10T14:39:02.000Z,"Çocuklarımızı, gençlerimizi kötü alışkanlıklardan uzak tutarak sporla buluşturan, ilçemizde yeni sporcuların yetişmesinde büyük emekleri olan Bayraklı'daki amatör spor kulüplerimizin başkan ve yöneticileriyle bir araya geldik.
#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor",Serdar Sandal,1,,7,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
Bayraklı Belediyesi,@bayraklibld,2021-08-13T11:15:23.000Z,"Yaşar Üniversitesi Öğretim Üyesi Dr. Mehmet Kahyaoğlu,
Bayraklı Belediyesi Sosyal etkinlik merkezi öğretmenlerimize sanat ve iletişim eğitimi verdi. Bayraklı’da geleceğe yön verecek pırıl pırıl gençler yetiştirecek olan öğretmenlerimizle bir araya gelen değerli hocamız adına+",,1,1,3,[]
Bayraklı Belediyesi,@bayraklibld,2021-08-13T11:16:00.000Z,"biz de Muğla'ya 10 fidan bağışında bulunduk. #birlikteyeşerteceğiz

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@SerdarSandal
 
.
.
.
#SerdarSandal #eğitim #öğretim #sosyal #etkinlik #iletişim #sanat #hizmet #bayraklı #belediye",,,,1,"['birlikteyeşerteceğiz', 'BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'SerdarSandal', 'eğitim', 'öğretim', 'sosyal', 'etkinlik', 'iletişim', 'sanat', 'hizmet', 'bayraklı', 'belediye']"
Bayraklı Belediyesi,@bayraklibld,2021-08-12T17:09:05.000Z,"#Belediye Başkanımız 
@SerdarSandal
 ’dan #Bayraklı ‘daki amatör spor kulüplerine 275 bin liralık destek!

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
.
.
.
#SerdarSandal #spor #sporcu #sağlık #amatör #belediye #izmir",,,,1,"['Belediye', 'Bayraklı', 'BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor', 'SerdarSandal', 'spor', 'sporcu', 'sağlık', 'amatör', 'belediye', 'izmir']"
Didem Gültekin,@didem_gultekin,2021-05-18T11:50:00.000Z,"Biz hazırız, siz de hazır mısınız? Balkonlarınızdan şanlı Bayrağımızla bu çoşkuya eşlik edebilirsiniz. 
@bayraklibld
 ve 
@SerdarSandal
 ile #BayraklıdaGüzelŞeylerOluyor #19Mayıs #19Mayıs1919 #Atatürk #Samsun #102yıl #SerdarSandal",,,,,"['BayraklıdaGüzelŞeylerOluyor', '19Mayıs', '19Mayıs1919', 'Atatürk', 'Samsun', '102yıl', 'SerdarSandal']"
Didem Gültekin,@didem_gultekin,2021-05-07T17:05:46.000Z,"#Bayraklı Belediye Başkanı 
@SerdarSandal
 Sosyal Demokrat Belediyeciliğin en güzel örneğini sergiliyor. 
@herkesicinCHP
 #Bayram #emek #BayraklıdaGüzelŞeylerOluyor","Serdar Sandal
@SerdarSandal
 · May 7
Bu zorlu pandemi sürecinde büyük bir özveri ile çalışan tüm emekçilerimize yürekten teşekkür ederim.
Belediyemize bağlı tüm çalışanlarımızın maaşları, bayram ikramiyeleri, erzak ve giyim yardımları 10 Mayıs 2021 Pazartesi günü hesaplarına yatırılacaktır.
.
.
.
#bayraklı #belediye",,,6,"['Bayraklı', 'Bayram', 'emek', 'BayraklıdaGüzelŞeylerOluyor']"
Serdar Sandal,@SerdarSandal,2021-07-13T12:42:54.000Z,"Gençlerimizin her zaman yanındayız!

Belediyemiz ile Sürdürülebilir Kalkınma ve Girişimcilik Derneği (SKGD), gençlerin iş gücü piyasasına girmelerini kolaylaştırmak ve güçlendirmek için çalışmalara devam ediyoruz.

#BayraklıBenimAilem
#BayraklıdaGüzelŞeylerOluyor
@bayraklibld",,1,1,14,"['BayraklıBenimAilem', 'BayraklıdaGüzelŞeylerOluyor']"
