username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tijen hoca - Ankara Dil Akademisi,@Tijentangulse,2021-08-05T12:06:15.000Z,"Millions of people regularly
experience painful and ----
migraine headaches that can
reduce their quality of life.

E) smooth #yds #yökdil #eyds #ydt #ingilizce #ankaradilakademisi #tijenhoca #ümithoca #başarı #kelimesorusu #ingilizcetest","A) instructive
9.1%
B) deniable
9.1%
C) lucrative
15.9%
D) debilitating
65.9%
44 votes
·
Final results",,,1,"['yds', 'yökdil', 'eyds', 'ydt', 'ingilizce', 'ankaradilakademisi', 'tijenhoca', 'ümithoca', 'başarı', 'kelimesorusu', 'ingilizcetest']"
Badenoch & Clark TR,@BadenochClarkTR,2021-08-12T09:41:02.000Z,"Effective Leaders must gain the respect and trust of their teams while also understanding and guiding them individually and collectively toward their organization’s overall vision. 

#Badenochclark | #badenochclarktr
#İK #HR #leader #lider #effective #efektif #success #başarı",,,2,,"['Badenochclark', 'badenochclarktr', 'İK', 'HR', 'leader', 'lider', 'effective', 'efektif', 'success', 'başarı']"
Bahadır Yenişehirlioğlu,@Yenisehirlioglu,2021-08-08T10:40:56.000Z,"Gurur tablomuz.
Sporun futboldan ibaret olmadığının en güzel delili.
#Tokyo2020 #başarı #azim #Türkiye",,1,40,557,"['Tokyo2020', 'başarı', 'azim', 'Türkiye']"
Hakan F. ÖZTOP,@hakanfoztop,2021-08-07T07:15:18.000Z,Tebrik ediyoruz. #başarı,,,,12,['başarı']
Çubuk Belediyesi,@cubukbelediyesi,2021-08-05T14:02:02.000Z,"Belediye Başkanımız Av. Baki Demirbaş ve İlçe Eğitim Müdürü Alican Kılıç'ın katılımıyla,",,1,3,12,[]
finalokullari,@finalokullari,2021-08-06T10:55:00.000Z,"#YKSBirincisiFinalden! I 
@tgrthaber
#FinaldeBaşarıGelenektir #YKS2021 #finalokulları #eğitim #başarı",,,3,4,"['YKSBirincisiFinalden', 'FinaldeBaşarıGelenektir', 'YKS2021', 'finalokulları', 'eğitim', 'başarı']"
Korkma Ye Zayıfla,@kisiselkoc50,2021-08-07T05:05:38.000Z,"Sabah
#iletişim05425467850 #kormayesagliklizayifla #diyet #diyetteyiz #sport #keşfet #fitness #kiloverme #başarı #motivasyon #sağlık #günaydın #türkiye #sagliklibeslenme #istanbul #bestoftheday #mutluluk #hedef #kişiselgelişim #beslenme #vizyon #instagram #facebook #Cumartesi",,,,1,"['iletişim05425467850', 'kormayesagliklizayifla', 'diyet', 'diyetteyiz', 'sport', 'keşfet', 'fitness', 'kiloverme', 'başarı', 'motivasyon', 'sağlık', 'günaydın', 'türkiye', 'sagliklibeslenme', 'istanbul', 'bestoftheday', 'mutluluk', 'hedef', 'kişiselgelişim', 'beslenme', 'vizyon', 'instagram', 'facebook', 'Cumartesi']"
MAYA Fikir Kulübü,@maya_kurumsal,2021-08-05T09:44:59.000Z,"Misafirlerimizden 
@emregover
 Türkiye Gençlik Buluşması'nda gençlere başarı hikayelerini anlattı. Katkılarından dolayı teşekkür ederiz. 

#ötesinidüşün #fikirkulubü #gençlikmerkezi #türkiyegençlikbuluşması #zkuşağı #başarı",,,,3,"['ötesinidüşün', 'fikirkulubü', 'gençlikmerkezi', 'türkiyegençlikbuluşması', 'zkuşağı', 'başarı']"
Burhan Taşdelen,@BurhanTadelen,2021-08-07T10:05:10.000Z,"Albaraka Yayınlarından Makul Yönetici kitabı 
kıymetli yazar Mustafa Özel’in kalemine sağlık… 
@albarakayayin
 #yönetim #yönetici #rehber #başarı",,,3,31,"['yönetim', 'yönetici', 'rehber', 'başarı']"
Korkma Ye Zayıfla,@kisiselkoc50,2021-08-06T04:42:31.000Z,"Sabah
#iletişim05425467850 #kormayesagliklizayifla #diyet #diyetteyiz #sport #keşfet #fitness #kiloverme #başarı #motivasyon #sağlık #günaydın #türkiye #sagliklibeslenme #istanbul #bestoftheday #mutluluk #hedef #kişiselgelişim #beslenme #vizyon #instagram #facebook #twitter #cuma",,,,1,"['iletişim05425467850', 'kormayesagliklizayifla', 'diyet', 'diyetteyiz', 'sport', 'keşfet', 'fitness', 'kiloverme', 'başarı', 'motivasyon', 'sağlık', 'günaydın', 'türkiye', 'sagliklibeslenme', 'istanbul', 'bestoftheday', 'mutluluk', 'hedef', 'kişiselgelişim', 'beslenme', 'vizyon', 'instagram', 'facebook', 'twitter', 'cuma']"
Fatih Reyhan,@Fatihreyhan53,2021-08-12T15:15:23.000Z,"Kıymetli iş ve yönetim profesyoneli 
@KemalOgke
 hocamı misafir etme ve ayak üstü de olsa sohbet etme fırsatım oldu. Ayağınıza sağlık hocam onur verdiniz. Yeni kitaplarınızı dört gözle bekliyorum. #başarı #iş #yönetim #iletişim #hizmet #tezgahtar",,1,2,3,"['başarı', 'iş', 'yönetim', 'iletişim', 'hizmet', 'tezgahtar']"
Dilan Tekirdag,@D___TEKIRDAG,2021-08-06T12:28:01.000Z,"#hemishemtatil #isfirsati #kariyer 
#muratboz #basari
#girisimci #ziyaselcuk
#girisimcilik #MilliEğitimBakanı",,,,1,"['hemishemtatil', 'isfirsati', 'kariyer', 'muratboz', 'basari', 'girisimci', 'ziyaselcuk', 'girisimcilik', 'MilliEğitimBakanı']"
