username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Fikir Ustası,@fikirustasii,2021-08-05T15:59:42.000Z,"Yeni Sayımız Sizlerle  
#işdünyası #işinsanları #dergi #kurum #belediye #milletvekili #hatay #işbirliği #röportaj #tanıtım #reklam  #hizmet #sektör #iletişim #sağlık #sanayi #turizm #ekonomi #reklamajansı #marka #hasiaddergisi #hasiad #siviltoplumkuruluşu 
@hataysiad",HASİAD,,1,2,"['işdünyası', 'işinsanları', 'dergi', 'kurum', 'belediye', 'milletvekili', 'hatay', 'işbirliği', 'röportaj', 'tanıtım', 'reklam', 'hizmet', 'sektör', 'iletişim', 'sağlık', 'sanayi', 'turizm', 'ekonomi', 'reklamajansı', 'marka', 'hasiaddergisi', 'hasiad', 'siviltoplumkuruluşu']"
Bayraklı Belediyesi,@bayraklibld,2021-08-06T17:55:17.000Z,"Bayraklı Belediyesi Meclis Toplantısı Ağustos ayı 2. oturumunu gerçekleştirdik.
@SerdarSandal
 
.
.
.
#SerdarSandal #meclis #toplantı #bayraklı #belediye #izmir",,,,2,"['SerdarSandal', 'meclis', 'toplantı', 'bayraklı', 'belediye', 'izmir']"
Sincan Belediyesi,@ankarasincanbld,2021-08-07T06:07:20.000Z,"Hafta sonunu temizlik, sulama ve bakım çalışmaları yeni tamamlanmış olan Sera Parkımızda geçirmeye ne dersiniz? 

#SincanBelediyesi #Sincan #Ankara #Belediye",,,2,13,"['SincanBelediyesi', 'Sincan', 'Ankara', 'Belediye']"
Levent USLU,@Leventusl,2021-08-06T08:42:38.000Z,"Cuma’mızı tebrik ederim

 Yıldız Hamidiye Camii",BEM-BİR-SEN and 9 others,26,51,182,[]
Dr.GökhanACKA,@DGokhanacka,2021-08-06T12:16:15.000Z,#Belediye lerimizden Allah razı olsun.,"AA Canlı
@AACanli
 · Aug 6
Cumhurbaşkanı Erdoğan: ""(Orman yangınları) Karadan ve havadan müdahale araç sayısı hızlıca artmış durumda.""",,,,['Belediye']
AYDIN EGİN,@aydin_egin,2021-08-06T10:35:34.000Z,"#Belediye Başkanımız Sn.M. Mustafa Gültak  'ın talimatlarıyla

Çevre Koruma ve Kontrol Müdürlüğümüze bağlı ekiplerimiz tarafından, halk sağlığının korunması, temiz, sağlıklı bir çevre için yıpranan çöp konteynırlarını yenisiyle değiştiriyor,",,1,3,7,['Belediye']
PURSAKLAR BURAYA,@PURSAKLARBURAYA,2021-08-11T17:52:52.000Z,"Bartın, Sinop, Samsun, Kastamonu ve Karabük'te yaşanan sel felaketinden etkilenen tüm yurttaşlarımıza geçmiş olsun dileklerimi iletiyor, yaralılarımıza acil şifalar diliyorum. #pursaklar #Belediye #Başkan yardımcı sayın Gürhan Yüzbaşioğlu
@RTErdogan
 @Ertugrulcetin06
 @06GURHAN06",,,,1,"['pursaklar', 'Belediye', 'Başkan']"
Uğur Erdoğan,@erdogan_ugr,2021-08-11T15:24:31.000Z,"#Pamukkale #Belediye Başkanımız Sn. Av. Avni Örki ile şehrimiz, ilçemiz, üyelerimiz ile vatandaşlarımız için birlikte neler yapabileceğimizi istişare ettik. #Denizli Ticaret Odamızdaki yeni #Ticaret Sicili hizmet ofisimizi gezdirip, projelerimiz hakkında bilgilendirdik.",Rifat Hisarcıklıoğlu and 3 others,1,2,15,"['Pamukkale', 'Belediye', 'Denizli', 'Ticaret']"
Serdar Sandal,@SerdarSandal,2021-08-06T14:31:12.000Z,"Esnaf ve Sanatkarlar Odası Birliği Başkanı Zekeriya Mutlu’yu belediyemizde ağırlamaktan mutluluk duydum. Kendisine ziyareti için teşekkür eder, çalışmalarında başarılar dilerim. 
@bayraklibld
.
.
.
#esnaf #sanatkar #ziyaret #misafir #bayraklı #SerdarSandal #belediye #izmir",,2,,7,"['esnaf', 'sanatkar', 'ziyaret', 'misafir', 'bayraklı', 'SerdarSandal', 'belediye', 'izmir']"
Serdar Sandal,@SerdarSandal,2021-08-06T17:36:29.000Z,"Bayraklı Belediyesi Meclis Toplantısı Ağustos ayı 2. oturumunu gerçekleştirdik.
@bayraklibld
 
.
.
.
#meclis #toplantı #bayraklı #SerdarSandal #belediye #izmir",,1,,7,"['meclis', 'toplantı', 'bayraklı', 'SerdarSandal', 'belediye', 'izmir']"
Bayraklı Belediyesi,@bayraklibld,2021-08-06T12:03:48.000Z,"Çıldırlılar Derneği Başkanı Yahya Akçay ve yeni yönetime nazik ziyaretleri için teşekkür eder çalışmalarında başarılar dileriz.
@SerdarSandal
 
.
.
.
#SerdarSandal #ziyaret #dernek #misafir #bayraklı #belediye #izmir",,,,2,"['SerdarSandal', 'ziyaret', 'dernek', 'misafir', 'bayraklı', 'belediye', 'izmir']"
Güray Kırtay,@GryKrty71,2021-08-07T16:02:01.000Z,"İki kardeş #belediye el ele..
@BodrumBel
 @MilasBelediyesi",,,,2,['belediye']
baglicanin.sesi,@baglicanin,2021-08-13T06:43:46.000Z,"Bağlıca Bulvarı Otoyol Bağlantı çalışmasında son durum. 

#Ankara #Etimesgut #Bağlıca #Büyükşehir #Belediye #AnkaraBüyükşehirBelediyesi #MansurYavaş #Çevreyolu #Yol #Bağlantı",,,,1,"['Ankara', 'Etimesgut', 'Bağlıca', 'Büyükşehir', 'Belediye', 'AnkaraBüyükşehirBelediyesi', 'MansurYavaş', 'Çevreyolu', 'Yol', 'Bağlantı']"
Serdar Sandal,@SerdarSandal,2021-08-13T11:11:35.000Z,"Yaşar Üniversitesi Öğretim Üyesi Dr. Mehmet Kahyaoğlu,
Bayraklı Belediyesi Sosyal etkinlik merkezi öğretmenlerimize sanat ve iletişim eğitimi verdi. Bayraklı’da geleceğe yön verecek pırıl pırıl gençler yetiştirecek olan öğretmenlerimizle bir araya gelen değerli hocamız adına ++",,1,,5,[]
NerminCLK,@nermnCLK,2021-08-06T18:00:56.000Z,... #mülteci lere kayıtlı #istihdam imkanı ve nitelikli #belediye hizmeti sunulabilmesi için...,"Con Sinov
@lordsinov
 · Aug 6
Türkiye ile AB arasında ""Suriyeli mülteciler nedeniyle"" imzalanan anlaşmalar Resmi Gazete'de yayımlandı.

Anlaşmalara göre mültecilere kayıtlı istihdam imkanı ve nitelikli belediye hizmeti sunulabilmesi için AB'den hibe alınıyor.
Show this thread",,,,"['mülteci', 'istihdam', 'belediye']"
vaaps,@abdulvaapfidan,2021-08-05T11:55:06.000Z,"11 TANE BELEDİYE BUNUN İÇİN RESMİ BAŞVURUDA BULUNDU. ADAM HALA YARDIM KAMPANYASI DİYOR. TARIM ÜLKESİNDE 
(GÜYA) ZİRAAT MÜHENDİSİYİM CEBİMDE KALAN SON 3 KURUŞA DA GÖZ DİKTİNİZ YİNE. #yangın #Thk #belediye #TermikSantral",,,,1,"['yangın', 'Thk', 'belediye', 'TermikSantral']"
Şehre Hizmet,@HizmetSehre,2021-08-12T14:04:27.000Z,"Artık telefonlarınızdan Şehre Hizmet uygulaması sayesinde çok daha kolay çözüm arayabileceksiniz.



Türkiye Aşkıyla Kodlandı...



#sehrehizmet #sehrehizmet #belediye #belediyecilik #sosyalbelediyecilik
#icraat #belediyeicraat #kampanya #şeffafbelediyecilik",,1,,,"['sehrehizmet', 'sehrehizmet', 'belediye', 'belediyecilik', 'sosyalbelediyecilik', 'icraat', 'belediyeicraat', 'kampanya', 'şeffafbelediyecilik']"
Şehre Hizmet,@HizmetSehre,2021-08-09T15:21:14.000Z,"Daha kaliteli şehirlerde Belediye Başkanı, Belediye ve Vatandaş üçgeninde en ideal ortak paydada buluşmayı hedefliyoruz. 



#sehrehizmet #sehrehizmet #belediye #belediyecilik #sosyalbelediyecilik
#icraat #belediyeicraat #kampanya #şeffafbelediyecilik #akıllışehirler",,1,,2,"['sehrehizmet', 'sehrehizmet', 'belediye', 'belediyecilik', 'sosyalbelediyecilik', 'icraat', 'belediyeicraat', 'kampanya', 'şeffafbelediyecilik', 'akıllışehirler']"
Serdar Sandal,@SerdarSandal,2021-08-06T12:00:33.000Z,"Çıldırlılar Derneği Başkanı Yahya Akçay ve yeni yönetime nazik ziyaretleri için teşekkür eder çalışmalarında başarılar dilerim.
.
.
.
#ziyaret #dernek #misafir #SerdarSandal #bayraklı #belediye #izmir",,1,,11,"['ziyaret', 'dernek', 'misafir', 'SerdarSandal', 'bayraklı', 'belediye', 'izmir']"
T.C. KÜTAHYA BELEDİYESİ,@kutahyabel,2021-08-13T07:09:45.000Z,"BASINDA BİZ…
#kütahyabelediyesi #basındabiz #yerelbasın #medya #belediye",,,,4,"['kütahyabelediyesi', 'basındabiz', 'yerelbasın', 'medya', 'belediye']"
