username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
MaLisa Ogle,@mrs_ogle,2021-08-11T18:02:46.000Z,First day of school! #JacketsRise #BES #BIS #BHS,,,,3,"['JacketsRise', 'BES', 'BIS', 'BHS']"
Cit,@msgonzalez02,2021-05-08T20:51:06.000Z,Took the time to walk around and appreciate teachers #bes #TeacherAppreciationDay #secondgrade,,,2,5,"['bes', 'TeacherAppreciationDay', 'secondgrade']"
Brighton Elementary,@BrightonElemen1,2021-07-21T20:04:52.000Z,"We are so proud of our students! They completed all four weeks of summer camp and did it with smiles on their faces! We know they've gained the knowledge and skills in order to be successful for the upcoming school year.
 #bes #tiptoncountyschools #endlesspossibilities",,,4,17,"['bes', 'tiptoncountyschools', 'endlesspossibilities']"
Buford City Schools,@BufordSchoolsGA,2021-08-06T15:31:54.000Z,What an excellent first week of school at BCS! Go Wolves! #firstweek #backtoschool #BES #BA #BSA #BMS #BHS,,,,8,"['firstweek', 'backtoschool', 'BES', 'BA', 'BSA', 'BMS', 'BHS']"
Shane McDonald,@mrshanemcdonald,2021-07-05T03:08:13.000Z,"Tramore is always a great place for a sunset…
-
#sunset #sunsetphotography #sunset_pics #sunsetlover #sunsets_captures #landscape #landscapephotography #tramore #tramorebeach #tramorebay #tramorebeach #waterford #waterfordireland #beauty #beach #bes… https://instagr.am/p/CQ7e04Or04L/",,1,3,11,"['sunset', 'sunsetphotography', 'sunset_pics', 'sunsetlover', 'sunsets_captures', 'landscape', 'landscapephotography', 'tramore', 'tramorebeach', 'tramorebay', 'tramorebeach', 'waterford', 'waterfordireland', 'beauty', 'beach', 'bes']"
Michelle Giesen,@MichelleGiesen,2021-08-11T15:10:16.000Z,Doing a Go Noodle! Following directions.  #BES,,,,3,['BES']
Cynthia Longo,@CynthiaLongo,2021-05-17T13:45:04.000Z,"Congratulations to the winners of the 97th Running of the George E. Mitchell BLACK EYED SUSAN STAKES, #1 Army Wife & 
@JRosarioJockey
! #TheRacingBiz #BlackEyedSusanDay #Pimlico #PreaknessWeek #Preakness146 #ThoroughbredRacing #BES #Maryland #ArmyWife",,,3,15,"['1', 'TheRacingBiz', 'BlackEyedSusanDay', 'Pimlico', 'PreaknessWeek', 'Preakness146', 'ThoroughbredRacing', 'BES', 'Maryland', 'ArmyWife']"
LaToya Avery,@LaToyaAvery17,2021-08-03T15:12:09.000Z,"Look at Jacob!!! This is how you come to school on the first day! I see a future leader in the making. 
#bes #1stdayofschool
#endlesspossibilities",,2,4,31,"['bes', '1stdayofschool', 'endlesspossibilities']"
Bornali Bhandari,@BornaliBhandari,2021-06-25T14:07:55.000Z,"@ncaer
 #QRE 2021-22:Q1 #BES fall in credit is a matter of concern.",,,3,1,"['QRE', 'BES']"
うー(公式),@theBsBee,2021-02-26T10:10:28.000Z,"#BES #BIM #Makesohappy #IDeA #KEM #音楽好きと繋がりたい #HIPHOP好きと繋がりたい 

BES ""Make so happy"" feat. BIM (Official Video) https://youtu.be/9wDDIRhsaFs 
@YouTube
より",,,1,4,"['BES', 'BIM', 'Makesohappy', 'IDeA', 'KEM', '音楽好きと繋がりたい', 'HIPHOP好きと繋がりたい']"
The Cabin Land,@thecabinland,2021-01-11T02:29:40.000Z,"Tag who you'd stay here with! #oregon 
BOOK OUR FEED FROM LINK IN BIO
FOLLOW US 
@thecabinland
by @lostintheforrest #thecabinland 
.
.
.
.
.
#earthfocus #earthofficial #awesome_earthpix #instatravel #travelblogger #wonderful_places #complex #weeklyfluff #discoverglobe #bes…",,,3,3,"['oregon', 'thecabinland', 'earthfocus', 'earthofficial', 'awesome_earthpix', 'instatravel', 'travelblogger', 'wonderful_places', 'complex', 'weeklyfluff', 'discoverglobe', 'bes']"
Volere Espresso,@Volere_Espresso,2021-08-08T23:48:33.000Z,"Global Beverage Solutions roasts and supplies its' own range of coffee blends under the label ""Volere Espresso""

Contact Global Beverage Solutions today to find out more about this range of coffee beans - sales and service Australia wide.

#coffeedistributor #purchasecoffee #bes",,,,,"['coffeedistributor', 'purchasecoffee', 'bes']"
Kimberly Lloyd,@BurtonsvilleES,2021-03-17T13:01:48.000Z,Our 2nd grade team wore the cutest shirts on our Re-Opening! #BES #wegotthis #BESSTRONG,,,,6,"['BES', 'wegotthis', 'BESSTRONG']"
BronxvilleUFSD,@BronxvilleUFSD,2021-06-25T18:21:44.000Z,"#BES fifth graders marked the successful completion of their elementary school days during an in-person moving-up ceremony before an audience of family, friends, teachers and administrators on June 23. https://bronxvilleschool.org/news-article/~board/district-news/post/fifth-grade-class-of-resilient-students-moves-up-to-middle-school…",,,,6,['BES']
Turned Ninja,@turnedninja,2021-05-28T15:32:32.000Z,"A daughter may outgrow your lap but she'll never outgrow your heart.
LEFT SWIPE FOR MORE
-----------------------------------------------⠀
Follow us on turnedninja
-----------------------------------------------
#daddaughter #dad #daddydaughter #dadlife #daddysgirl #bes",,,,1,"['daddaughter', 'dad', 'daddydaughter', 'dadlife', 'daddysgirl', 'bes']"
Sajidha Mohammed,@SajidhaMohammed,2021-06-27T19:19:24.000Z,"Had fantastic sessions on 'Insectageddon: is global insect extinction real?' panel debate for 
@insectweek
.
""Be worried, but don't believe the hype""-  brings in perfect sense to current ways of insect conservation.
#BES #RoyalEntSoc",,,1,3,"['BES', 'RoyalEntSoc']"
Ana Gomes,@AnaMartinsGomes,2021-06-09T23:33:26.000Z,"#BES collapsed August 2014. Almost 7 years later, CEO Ricardo Salgado, 77,  has never been arrested, keeps huge assets all over the world, has not been tried and keeps doing all to escape trial: Portuguese (in)Justice system offers rich defendants plenty of alleys to delay trial.","Catarina Demony
@CatarinaDemony
 · Jun 7
The trial of Ricardo Salgado, former head of the collapsed Banco Espirito Santo, was scheduled to begin today but has been postponed until next week.",2,24,83,['BES']
Brighton Elementary,@BrightonElemen1,2021-07-21T20:14:17.000Z,"This was the last day of summer camp and they mastered technology! These students will be our tech leaders when school starts. 
 #bes #tiptoncountyschools #endlesspossibilities",,,1,4,"['bes', 'tiptoncountyschools', 'endlesspossibilities']"
Black Edge Style,@blackedgestyle_,2021-07-17T11:20:37.000Z,"FREE DELIVERY! ⁠⁠
We're now offering free delivery just for you on ALL our orders!⁠⁠
Remember to sign up for our newsletter to receive huge discounts and with the free delivery, you really will bag yourself an absolute bargain!⁠
⁠⁠#blackedgestyle_ #bes #newsletter",,,1,1,"['blackedgestyle_', 'bes', 'newsletter']"
