username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Esin Tezer,@EsinTezer_,2021-08-10T13:06:35.000Z,"""Nefs, Beyin'e işarettir!"" 
@AhmedHulusi
 http://ahmedhulusi.org #AhmedHulusi #wwwahmedhulusiorg #beyin #brain",,4,25,71,"['AhmedHulusi', 'wwwahmedhulusiorg', 'beyin', 'brain']"
Cure Neva,@CureNeva,2021-08-07T12:01:39.000Z," MUTLULUK KİMYASALLARI VE OLUŞUMLARI

#hormonlar #beyin",,,,4,"['hormonlar', 'beyin']"
Səyyad Nəbiyev,@seyyadnebiyevv,2021-08-11T11:31:05.000Z,#beyin,,,,5,['beyin']
MS Güncel,@MSguncel,2021-08-08T17:02:21.000Z,"MS lezyonlarımdan örnekler. 2016 ve 2018 yılında çekilen beyin emarı karşılaştırması. Altta bulunan görüntüde yeni bir lezyon oluşumunu görüyorsunuz.

#MS #MultiplSkleroz #MultipleSclerosis #emar #nöroloji #beyin #lezyon #mri #brainmri #sağlık",,1,,15,"['MS', 'MultiplSkleroz', 'MultipleSclerosis', 'emar', 'nöroloji', 'beyin', 'lezyon', 'mri', 'brainmri', 'sağlık']"
BİLKolejiDiyarbakır,@bildiyarbakir,2021-08-13T13:51:00.000Z,"Eğitimin geleceği çocuklarımızın 
GELECEĞİDİR 
#eğitimedoğruyerdenbaşlayın #kolej #anaokulu #ilkokul #ortaokul #eğlenereköğreniyoruz #motivasyon #zaman #etkinlik #öğretim #öğretmen #eğitim #teacher #çocuk #öğrenci #hicbirbasaritesadufdegildir #uzmankadro #egitimogretim #beyin",,,1,1,"['eğitimedoğruyerdenbaşlayın', 'kolej', 'anaokulu', 'ilkokul', 'ortaokul', 'eğlenereköğreniyoruz', 'motivasyon', 'zaman', 'etkinlik', 'öğretim', 'öğretmen', 'eğitim', 'teacher', 'çocuk', 'öğrenci', 'hicbirbasaritesadufdegildir', 'uzmankadro', 'egitimogretim', 'beyin']"
Hıdır Koç,@hidirkoc12,2021-08-11T07:11:26.000Z,#BEYİN,,,,,['BEYİN']
murat,@murat_tosun,2021-08-09T20:25:31.000Z,"Bazı şeylerin değişmesi zor, kafan almıyorsa zorlamaya gerek yok.. #change #beyin",,,,,"['change', 'beyin']"
Lafeterya,@Lafeterya,2021-08-12T10:08:02.000Z,İd ego ve süperego farkı #psikoloji #id #ego #süperego #insan #kişilik #freud #zihin #beyin,"İd, Ego, Süperego Kavramları Nedir?
İd, ego, süperego kavramları nedir? Birbiri arasındaki ilişki ve farkı kısaca örneklendirelim. Freud kişilik teorisi üç bölümden oluşuyor id ego ve süperego.
psikolojibilgisi.com",,,1,"['psikoloji', 'id', 'ego', 'süperego', 'insan', 'kişilik', 'freud', 'zihin', 'beyin']"
Duyarlı Anne,@duyarli_anne,2021-08-12T14:59:40.000Z,https://duyarlianne.com/genel/izle/   #ruhunla #izle #beyin #kalp #kalbinleizle #ruhunlasev #ruhunlaizle ,"İZLE - Duyarlı Anne
Bu yazıma başlarken size, nacizane bir tavsiye vermek istiyorum. Şahsınıza yapılan bir hata olduğunda üzülmeyin ve bir şey demeyin. Bırakın o kişi hata yaptığı ile kalsın. Neden mi? Hatasını söyleyip...
duyarlianne.com",,,1,"['ruhunla', 'izle', 'beyin', 'kalp', 'kalbinleizle', 'ruhunlasev', 'ruhunlaizle']"
BİLKolejiDiyarbakır,@bildiyarbakir,2021-08-10T15:21:00.000Z,"8. SINIFLAR İLE YÜZ YÜZE EĞİTİM YOLCULUĞUMUZ 23 AĞUSTOS’TA BAŞLIYOR

#öğretim #öğretmen #eğitim #teacher #çocuk #öğrenci #hicbirbasaritesadufdegildir #uzmankadro #egitimogretim #beyin #farketmek #bilgi #görmek #bakmak #genelyetenek #bildeöğreniyorum #diyarbakır  #bildiyarbakir",,,1,4,"['öğretim', 'öğretmen', 'eğitim', 'teacher', 'çocuk', 'öğrenci', 'hicbirbasaritesadufdegildir', 'uzmankadro', 'egitimogretim', 'beyin', 'farketmek', 'bilgi', 'görmek', 'bakmak', 'genelyetenek', 'bildeöğreniyorum', 'diyarbakır', 'bildiyarbakir']"
BİLKolejiDiyarbakır,@bildiyarbakir,2021-08-12T15:44:00.000Z,"Çocuklarımızı Birlikte Keşfetmek İçin.
#eğitimedoğruyerdenbaşlayın #kolej #anaokulu #ilkokul #ortaokul #eğlenereköğreniyoruz #motivasyon #zaman #etkinlik #öğretim #öğretmen #eğitim #teacher #çocuk #öğrenci #hicbirbasaritesadufdegildir #uzmankadro #egitimogretim #beyin #farketmek",,,2,5,"['eğitimedoğruyerdenbaşlayın', 'kolej', 'anaokulu', 'ilkokul', 'ortaokul', 'eğlenereköğreniyoruz', 'motivasyon', 'zaman', 'etkinlik', 'öğretim', 'öğretmen', 'eğitim', 'teacher', 'çocuk', 'öğrenci', 'hicbirbasaritesadufdegildir', 'uzmankadro', 'egitimogretim', 'beyin', 'farketmek']"
MS Güncel,@MSguncel,2021-08-08T16:42:39.000Z,"MS lezyonlarımdan örnekler. 2016 ve 2018 yılında çekilen beyin emarı karşılaştırması. Altta bulunan görüntüde yeni bir lezyon oluşumunu görüyorsunuz.

#MS #MultiplSkleroz #MultipleSclerosis #emar #nöroloji #beyin #lezyon #mri #brainmri #sağlık",,1,,8,"['MS', 'MultiplSkleroz', 'MultipleSclerosis', 'emar', 'nöroloji', 'beyin', 'lezyon', 'mri', 'brainmri', 'sağlık']"
Mustafa El Aliwat,@Elaliwat,2021-08-08T09:34:52.000Z,"#Bilim, deneyle ve veriyle, sonuçları ve doğruları da değişkenlik gösteren bir şey.

Bu örnekte de #beyin hasarı önce önemsenmemiş, muhtemelen kazalar oldukça kask akla gelmiş :)

#SciencePerspective #Security",,,,,"['Bilim', 'beyin', 'SciencePerspective', 'Security']"
Medical Park Gaziantep Hastanesi,@medicalparkgza,2021-08-12T07:24:17.000Z,"Beyin, Omurilik ve Sinir Cerrahisi Uzmanı Op. Dr. Hilmi R. Karaörs hasta kabulüne başlamıştır.
#beyin #omurilik #sinir #beyintümörü #omurgacerrahisi #belfıtığı #boyunfıtığı #beyinkanaması #herkesiçinsağlık #medicalparkgaziantep",,,,,"['beyin', 'omurilik', 'sinir', 'beyintümörü', 'omurgacerrahisi', 'belfıtığı', 'boyunfıtığı', 'beyinkanaması', 'herkesiçinsağlık', 'medicalparkgaziantep']"
Lens Dergi,@DergiLens,2021-08-12T17:24:03.000Z,"Replying to 
@DergiLens",yabancı bir yatakta yattığımızda beynimizin sadece yarısı uyuyor. Bunun kökleri ise en temel dürtümüz olan hayatta kalma içgüdüsüne dayanıyor.,1,,,[]
Lens Dergi,@DergiLens,2021-08-12T17:24:04.000Z,"Bu davranış biçiminin balinalar ve yunuslarda da görüldüğünü ifade ediliyor. 
.
.
.
#uyku #ilginçbilgi #bunlarıbiliyormuydunuz #şaşırtanbilgiler #lensdergi #lensdergisi #bilgi #ilginç #beyin #dergi #alışkanlık #balina #yunus",,,,,"['uyku', 'ilginçbilgi', 'bunlarıbiliyormuydunuz', 'şaşırtanbilgiler', 'lensdergi', 'lensdergisi', 'bilgi', 'ilginç', 'beyin', 'dergi', 'alışkanlık', 'balina', 'yunus']"
Bilge Erem Ucar,@UcarErem,2021-08-08T16:27:59.000Z,"Yoksa yok anlıyorum Allah vergisi kader... ""Beyin"" kasaplar da satılıyor bari onu alın bir deneyinşansınızı,bir de beyin cerrahı bulun.Devlet karşılamaz ameliyatı ama.Kampanya başlatırız. Dert etmeyin.En azından belki beyniniz varmış gibi davranırsınız bu da bir umut.#Beyin",,1,,2,['Beyin']
Yakamoz,@YakamozBlog,2021-08-06T11:18:16.000Z,"""Dikkat, bir takım şeylerle efektif olarak ilgilenebilmek için diğer şeylerden feragat etme becerisidir.""
                                   William James #nöroplastisite #yakamozblog #beyin",,,,1,"['nöroplastisite', 'yakamozblog', 'beyin']"
Bülent Ömeroğlu,@KalptenDizeler,2021-08-08T20:20:21.000Z,"Bizim derdimiz herkes bizim gibi düşünsün değil. Bizim derdimiz herkesin düşünmeyi öğrenebilmesi. Objektif bakabilmesi. Araştırmadan yargı dağıtmaya kalkmaması... O kadar.
#fondasmedya
#HicriYılbası 
#devletimizvarolsun 
#beyin",,,,1,"['fondasmedya', 'HicriYılbası', 'devletimizvarolsun', 'beyin']"
DAVUT BAĞLAN,@davut_baglan10,2021-08-05T17:01:37.000Z,"https://youtube.com/shorts/LAUHch1lP1k?feature=share…
İnsan beynini Instagram'da ki keşfete benzetiyorum.
#instagram #beyin #düşünceler","İnsan Beynini Instagramda ki keşfete benzetiyorum. #düşünceler...
youtube.com",,,3,"['instagram', 'beyin', 'düşünceler']"
Mr.Karakalem,@mr_karakalem,2021-08-10T11:52:17.000Z,"Tıbbın Geleceği = Gen Terapisi
Temeli = Sentetik Biyoloji
Sentetik Biyoloji = Yaratıcının (Allah'ın) Rolünü Üstlenmek
Sonuç / Gaye = Yaratıcıyı (Allah'ı) tedavülden kaldırmak

Biz söylemiyoruz ,onlar açık açık söylüyor 
#COVID19 #UgurSahin #plandemi",,48,258,459,"['COVID19', 'UgurSahin', 'plandemi']"
SE®KAN,@SerkanATA1923,2021-08-10T13:57:37.000Z,"Bu #orospicocukları planlarını bir şekilde hep anlattılar. 
Lakin yarım zekalılar #komplo teorisi demeye devam edecek. 

Ta ki #beyin leri ve bedenleri tam anlamı ile #çöp olana kadar...",,,,2,"['orospicocukları', 'komplo', 'beyin', 'çöp']"
Mustafa TUNA,@tuna_beyi1978,2021-08-07T21:35:53.000Z,"#EbuCehil
#GündemÖtesi
#GeceyeBirNot
Zavallı 
@LutfuTurkkan
 , ""#Asena"" diyerek peşinden gittiğin 
@meral_aksener
 partinizi 
@HDPgenelmerkezi
 uşağı, sizi de 
@hdpdemirtas
 'ın kahvaltı arkadaşı yaptı. 

Farkına bile varmadın. '#Beyin'i sadece cümle içinde kullanabiliyorsun demek ki! ","Lütfü Türkkan
@LutfuTurkkan
 · Aug 7
Buna mebusluk fazla gelince, trol görevi vermişler. 
Endamın yetmez, beyin şart Alpay...",,,1,"['EbuCehil', 'GündemÖtesi', 'GeceyeBirNot', 'Asena', 'Beyin']"
Murat Efendi,@_MuraT__ASM___,2021-08-06T13:32:33.000Z,"Ulusal menfaatler komitesi olarak taleplerimiz şu şekildedir.

#TaylanKoyimdaYaylan sın
Kemal'e #beyin alınsın
TEMA 'ya #kayyum atansın
Ö. Özel #çişe götürülsün

Taleplerimiz gerçekleşmezse,

E. Uslu CHP ilçe teşkilatı önüne elleri bağlı şekilde bırakılacaktır.",,20,41,217,"['TaylanKoyimdaYaylan', 'beyin', 'kayyum', 'çişe']"
Mikail Duman,@MikailD91651749,2021-08-06T13:46:09.000Z,"Ulusal menfaatler komitesi olarak taleplerimiz şu şekildedir.
#TaylanKoyimdaYaylan maya alışık 
Kemal'e #beyin yanında 1 torba saman 
TEMA'ya #kayyum atansın
Ö. Özel #çişe götürülsün
Taleplerimiz gerçekleşmezse,
E.Uslu CHP ilçe teşkilatı önüne elleri bağlı şekilde bırakılacaktır.",,,,1,"['TaylanKoyimdaYaylan', 'beyin', 'kayyum', 'çişe']"
goksoy goksoy,@goksoygoksoy,2021-08-10T03:57:02.000Z,"Demekki neymiş.
İşimiz bedduaya kalmış.
Halimize bak yarabbi.
Akıl ve mücadele yerine.
Teslimiyetçiliğin bir öncesi bedduaya sarılmışız.
E o zaman.
Bende dileyryim.
Hepimize akıl ver yarabbi.
#akıl #çözüm #fikir #beyin #çaresiz #beddua #arabesk #oryantalizm #kafayabak #nekafa","İzmirli Kemalist
@Ece94009242
 · Aug 9
Çok kötüymüş...
Dilerim çok çok daha kötüleşirsin..Dilerim ölmek isteyip ölemezsin..Dilerim yavaş yavaş çürürsün..Dilerim yaptığın/ız tüm kötülükler sana ve çevrendekilere misliyle geri döner...Tüm kalbimle dilerim...",,,,"['akıl', 'çözüm', 'fikir', 'beyin', 'çaresiz', 'beddua', 'arabesk', 'oryantalizm', 'kafayabak', 'nekafa']"
dely dumrul,@debuamax,2021-08-08T19:45:19.000Z,"#chp #dhkpc #fetö #akd 
#btc #dowjones #xu100
#ibb #matriksmeral #ingiliztemel

#kemâl clickdaroğlu 
suriye sorununu çözecekmiş.
nasıl çözeceksin ?
gönderdiğin #nutuk ları
10 katına çıkararakmı...
#beyin loblarını s.....!!!
.
.",,,,,"['chp', 'dhkpc', 'fetö', 'akd', 'btc', 'dowjones', 'xu100', 'ibb', 'matriksmeral', 'ingiliztemel', 'kemâl', 'nutuk', 'beyin']"
Bence...,@SozBahcesi,2021-08-10T14:10:02.000Z,Sevilmeye layık olmadığını düşünmek #psikoloji #sağlık #insan #kendineacımak #beyin #depresyon #yalnızlık #sevgi,"Kendine Acıma Hastalığı Neden Olur? Nasıl Geçer?
Psikolojik olarak herkes kötü zamanlar geçirir ancak bazı insanlarda kendine acıma hastalığı oluşur. Neden? Belirtileri nedir? Kendine acımak nasıl geçer?
psikolojibilgisi.com",,,,"['psikoloji', 'sağlık', 'insan', 'kendineacımak', 'beyin', 'depresyon', 'yalnızlık', 'sevgi']"
Bence...,@SozBahcesi,2021-08-08T09:26:02.000Z,İd ego süperego kavramları arasındaki ilişki #psikoloji #id #ego #süperego #insan #kişilik #freud #zihin #beyin,"İd, Ego, Süperego Kavramları Nedir?
İd, ego, süperego kavramları nedir? Birbiri arasındaki ilişki ve farkı kısaca örneklendirelim. Freud kişilik teorisi üç bölümden oluşuyor id ego ve süperego.
psikolojibilgisi.com",,,1,"['psikoloji', 'id', 'ego', 'süperego', 'insan', 'kişilik', 'freud', 'zihin', 'beyin']"
Lütfü Türkkan,@LutfuTurkkan,2021-08-07T06:51:36.000Z,"Buna mebusluk fazla gelince, trol görevi vermişler. 
Endamın yetmez, beyin şart Alpay...",,637,551,6.6K,[]
Mustafa TUNA,@tuna_beyi1978,2021-08-07T21:35:44.000Z,"#EbuCehil
#GündemÖtesi
#GeceyeBirNot
Zavallı 
@LutfuTurkkan
 , ""#Asena"" diyerek peşinden gittiğin 
@meral_aksener
 partinizi 
@HDPgenelmerkezi
 uşağı, sizi de 
@hdpdemirtas
 'ın kahvaltı arkadaşı yaptı. 

Farkına bile varmadın. '#Beyin'i sadece cümle içinde kullanabiliyorsun demek ki! ",,,,1,"['EbuCehil', 'GündemÖtesi', 'GeceyeBirNot', 'Asena', 'Beyin']"
Özlemino,@Sozlerimdir,2021-08-06T17:13:01.000Z,İd ego ve süperego farkı #psikoloji #id #ego #süperego #insan #kişilik #freud #zihin #beyin,"İd, Ego, Süperego Kavramları Nedir?
İd, ego, süperego kavramları nedir? Birbiri arasındaki ilişki ve farkı kısaca örneklendirelim. Freud kişilik teorisi üç bölümden oluşuyor id ego ve süperego.
psikolojibilgisi.com",,,1,"['psikoloji', 'id', 'ego', 'süperego', 'insan', 'kişilik', 'freud', 'zihin', 'beyin']"
Lafeterya,@Lafeterya,2021-08-08T11:09:02.000Z,Çelişki ne demek? Neden olur? #psikoloji #id #ego #süperego #insan #kişilik #freud #zihin #beyin,"İd, Ego, Süperego Kavramları Nedir?
İd, ego, süperego kavramları nedir? Birbiri arasındaki ilişki ve farkı kısaca örneklendirelim. Freud kişilik teorisi üç bölümden oluşuyor id ego ve süperego.
psikolojibilgisi.com",,,,"['psikoloji', 'id', 'ego', 'süperego', 'insan', 'kişilik', 'freud', 'zihin', 'beyin']"
