username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
URecFit & Wellness,@urecfit,2018-10-31T13:13:02.000Z,Happy Halloween from URecFit! Here at the Community Engagement Center to pass out candy to our young friends in our local community. #Biopark#URecFitlovesthekids,,,1,4,"['Biopark', 'URecFitlovesthekids']"
Ian Edwards,@idedwards,2018-10-17T19:18:50.000Z,If you think you’ve had a bad day then meet this fella from #Valencia #Biopark,,,,6,"['Valencia', 'Biopark']"
Luigi Longobardi,@LuigiLon,2019-07-10T10:50:29.000Z,Becoming a #turtle at #Rome #biopark,,,,4,"['turtle', 'Rome', 'biopark']"
InfrastructurePhotos,@infraphotos,2020-05-14T09:34:50.000Z,"Construction progress at the Gauteng Biosciences Park (BioPark) Phase 3 
.
#constructionprogress #constructionphotography #helicopteraerialphotographers #aerialphotography #biopark #gautengbiosciencespark #biosciencespark #ecofibre #innovationhub",,,1,1,"['constructionprogress', 'constructionphotography', 'helicopteraerialphotographers', 'aerialphotography', 'biopark', 'gautengbiosciencespark', 'biosciencespark', 'ecofibre', 'innovationhub']"
Simply Enjoy Travel,@SimplyEnjoyTrav,2020-01-23T14:54:34.000Z,This stunning door is in the Biopark Fuengirola.  #biopark #animals #travel #Fuengirola,,,,5,"['biopark', 'animals', 'travel', 'Fuengirola']"
ProyectoBiológica. Arte y naturaleza.,@ArteNaturaleza,2018-12-16T19:36:43.000Z,"#First #ArtResidency in #LaPlata city (Argentina) inside a #Biopark, with #artists #writers #scientists . Here, the #poet #GabrielaBZ taking a walk, sorrounding by #geeses ",,,,1,"['First', 'ArtResidency', 'LaPlata', 'Biopark', 'artists', 'writers', 'scientists', 'poet', 'GabrielaBZ', 'geeses']"
Biopark Medical,@BioparkMedical,2021-07-22T09:00:13.000Z,"Silent and gentle action 

..
#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun #güzellik #sağlık",,,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun', 'güzellik', 'sağlık']"
Chris Budd,@ovationchris,2018-08-17T12:46:36.000Z,And it’s goodnight from me... #Biopark,,,,,['Biopark']
Electric Playhouse,@playelectric,2018-03-29T19:23:03.000Z,"We’re at the Albuquerque Aquarium today! Be sure to check out our installation at the Otter exhibit coming soon! 
@abqbiopark
 #otter #newexhibition #comingsoon #albquerque #biopark #storylab #collaboration",,,1,3,"['otter', 'newexhibition', 'comingsoon', 'albquerque', 'biopark', 'storylab', 'collaboration']"
One Albuquerque Volunteers,@OneABQVolunteer,2020-02-11T19:46:33.000Z,Discover the BioPark!!! Come Visit the BioPark Discovery Station booth tomorrow Feb 12 between 3pm-4:30pm and meet and interact with animal ambassadors that you can find in your own backyard. #OneAlbuquerque #BioPark More info on link https://bit.ly/38iXZqN,ABQ BioPark,,2,10,"['OneAlbuquerque', 'BioPark']"
Erik's Own Photos,@eriksownphoto,2020-05-01T18:27:58.000Z,"Meerkats in Valencia.  Got a postcard on #Zazzle https://bit.ly/3d5Jfxf you can check out.
#meerkat #meerkats #meerkatsofinstagram #valencia #biopark #zazzlestore #postcards #postcards #animalpostcard #animals… https://instagram.com/p/B_p8FC2hU4W/?igshid=12e8zbx0cwe3p…","Hey you meerkat postcard | Zazzle.co.uk
Postcard Hey you Meerkat postcard Bio park Valencia
zazzle.co.uk",,5,5,"['Zazzle', 'meerkat', 'meerkats', 'meerkatsofinstagram', 'valencia', 'biopark', 'zazzlestore', 'postcards', 'postcards', 'animalpostcard', 'animals']"
Cork County Council,@Corkcoco,2018-05-24T14:32:50.000Z,"Cork County Council leads Informative discussion with #BioPark Regensburg GmbH on advancement of Regional biotech policies. A great
end to an excellent fact-finding mission in #Bavaria 
@sharonpcorcoran
@Made_in_Bavaria",,,,3,"['BioPark', 'Bavaria']"
ErnesTina Burke,@ABurkeErnesTina,2018-04-16T03:29:01.000Z,Had fun visiting the #Albuquerquebioparkzoo with this #cutie and her family.  #biopark #RioGrandeZoo #familyphoto #girl #kidsactivities #albuquerquephotographer,,,,1,"['Albuquerquebioparkzoo', 'cutie', 'biopark', 'RioGrandeZoo', 'familyphoto', 'girl', 'kidsactivities', 'albuquerquephotographer']"
ABQ-Live,@ABQLive,2019-08-09T17:30:44.000Z,"Sunbathing and snoozing at ABQ BioPark! 
[ 
@miltonj
.jr ]
.
Get your photo featured by using the hashtag #abqlivephotooftheday
.
#abqlive #photooftheday #potd #albuquerque #newmexico #polarbearphoto #quecute #zoo #biopark #polarbears #summerfun #closeup #abq #adorable #cute",,,,1,"['abqlivephotooftheday', 'abqlive', 'photooftheday', 'potd', 'albuquerque', 'newmexico', 'polarbearphoto', 'quecute', 'zoo', 'biopark', 'polarbears', 'summerfun', 'closeup', 'abq', 'adorable', 'cute']"
Biopark Medical,@BioparkMedical,2021-08-02T12:00:26.000Z,"Hair Mesotherapy; Strengthens your hair, gives vitality and shine 
..
@opdr
.muammerkaya 
..
#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun",,,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun']"
James Beckles,@James_Beckles,2018-11-21T19:48:58.000Z,Had a great time exploring #Valencia's #Biopark. So many wonderful animals to see. #Spain #Espana #wildlife,,,,,"['Valencia', 'Biopark', 'Spain', 'Espana', 'wildlife']"
Carole Thompson,@SloeSlowTrain,2018-07-17T20:00:02.000Z,Fabulous photo of #RyanMcGarvey  #LoganMilesNix & #CarmineRojas  All set for #Albuquerque #ZooMusic at the #BioPark ,"Ryan McGarvey
@RyanMcGarvey
 · Jul 17, 2018
In 10 Days !!!!!!!!!!!!! https://facebook.com/story.php?story_fbid=10156459722591753&id=67602376752…",,1,2,"['RyanMcGarvey', 'LoganMilesNix', 'CarmineRojas', 'Albuquerque', 'ZooMusic', 'BioPark']"
Stephen Lee,@darkglassphoto,2019-04-08T16:06:21.000Z,"""Springtime in New Mexico""
Lovely flowers at the 
@abqbiopark
 
#NewMexico #biopark #Albuquerque #macro #flowers",,,1,,"['NewMexico', 'biopark', 'Albuquerque', 'macro', 'flowers']"
ABQ-Live,@ABQLive,2019-12-18T18:31:13.000Z,"Now that is how you light up the night right 
.
[ @redcenterenergy]
.
Get your photo featured by using the hashtag #abqlivephotooftheday
.
#abq #potd #abqlive #albuquerque #photooftheday #onlyinnm #albuquerque #newmexico #biopark #riveroflights 
@abqbiopark
  #ziasymbol #zia",,,,,"['abqlivephotooftheday', 'abq', 'potd', 'abqlive', 'albuquerque', 'photooftheday', 'onlyinnm', 'albuquerque', 'newmexico', 'biopark', 'riveroflights', 'ziasymbol', 'zia']"
Timothy J. McDonough,@McDTimJ,2019-06-28T00:40:02.000Z,"A great story—innovation and opportunity for West Baltimore... 
@UMBaltimore
 #BioPark #USMimpact 
@Univ_System_MD
 @baltimoresun","The Baltimore Sun
@baltimoresun
 · Jun 28, 2019
The University of Maryland BioPark plans to expand by building a 10-story tower at Martin Luther King Boulevard and Baltimore Street. 
http://bit.ly/2NxoxPd",,1,1,"['BioPark', 'USMimpact']"
Photocircle,@photocircle_net,2018-03-15T07:56:48.000Z,CROWNED #CRANE by @monika_strigel_artist #Photocircle #animalphotography from #Spain #Biopark #minimalism #feathers #dark #kronenkranich #birdsofinstagram #birdy #birdstagram #birdsofafeather #naturephotography #naturelovers #your_best_birds #bestbirdsho… http://ift.tt/2tPmFqV,,,1,1,"['CRANE', 'Photocircle', 'animalphotography', 'Spain', 'Biopark', 'minimalism', 'feathers', 'dark', 'kronenkranich', 'birdsofinstagram', 'birdy', 'birdstagram', 'birdsofafeather', 'naturephotography', 'naturelovers', 'your_best_birds', 'bestbirdsho']"
CNM,@CNMsuncats,2018-07-18T22:05:03.000Z,"You might be ""otterly"" amazed when you visit the 
@abqbiopark
's new attraction! 

When are you going to see Chaos & Mahem? :)

Read more: https://bizjournals.com/albuquerque/news/2018/07/03/chaos-and-mayhem-accompany-debut-of-citys-new.html…

#ABQ #NM #Biopark #Aquarium",,1,3,8,"['ABQ', 'NM', 'Biopark', 'Aquarium']"
Hungry Face Radio,@hungryfaceradio,2018-03-02T14:36:16.000Z,Hey! Are we having a tornado and no one told us? Btw... ladies.. catch those dresses. We see yo stuff...LOL #Downtown #BioPark,,,,,"['Downtown', 'BioPark']"
