username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Adem,@adembuyukgokce,2021-08-13T15:26:51.000Z,"Aç mısın? 

İşyerinde o'nu kimse istemiyor
Beni gördüğünde verdiği tepki bu 

Ahhh bir konuşabilse 
Bir anlatsa insanların ne kadar gaddar ve merhâmetsiz olduğunu 

#birkapsu #birkapmama","0:09
88 views",3,12,18,"['birkapsu', 'birkapmama']"
HER,@hera0181,2021-08-10T11:07:38.000Z,"Sessiz dostlarımızı unutmayın
#BirKapMama
#BirKapSu 
#BirKalpSevgi
#DünyayıSevgiKurtaracak ",,2,13,44,"['BirKapMama', 'BirKapSu', 'BirKalpSevgi', 'DünyayıSevgiKurtaracak']"
Aksaray Belediyesi,@aksaraybel,2021-08-07T09:23:13.000Z,"Hava sıcaklıklarının arttığı bugünlerde, kapı önüne koyacağımız #birkapsu ve #birkapmama ile sokaktaki can dostlarımıza kocaman bir iyilik yapabiliriz. ",,,2,18,"['birkapsu', 'birkapmama']"
Zehra YURCİ,@TurkZeze,2021-08-11T12:11:40.000Z,"#birkaptemizsu
#birkapmama
#bircanıyaşat ",,,,6,"['birkaptemizsu', 'birkapmama', 'bircanıyaşat']"
Pati Dosları Ünye,@Patidostunye,2021-08-12T17:17:27.000Z,"Bu güzelliği ezilmek üzereyken bulmuşlar.Her yeri pire dolu.Şimdi güzelce temizleyeceğiz.
#sokakhayvanlarınıkoruyalım #satınalmasahiplen
#birkapsu #birkapmama #birkapsubirkapmama #CatsOfTwitter",,,2,59,"['sokakhayvanlarınıkoruyalım', 'satınalmasahiplen', 'birkapsu', 'birkapmama', 'birkapsubirkapmama', 'CatsOfTwitter']"
İstanbul 112 Acil Çağrı Merkezi Müdürlüğü,@istanbul112acm,2021-08-11T05:31:30.000Z,"Yaz aylarında dostlarımızı da düşünelim. Sokakta uygun yerlere #birkapmama ve  #birkapsu koymayı unutmayalım.
@tc_istanbul
 
@istanbul112acm",,,1,5,"['birkapmama', 'birkapsu']"
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-06T15:56:10.000Z,"Önce gözlerini kaçırdı....
Sonra aşkımız başladı 

#BirkapSU #BirKapMama 
#BirKapSuBirKapMama ",,1,5,49,"['BirkapSU', 'BirKapMama', 'BirKapSuBirKapMama']"
Adem,@adembuyukgokce,2021-08-08T21:05:49.000Z,"#polisiminyanındayım 
#birkapsu #birkapmama",,,3,5,"['polisiminyanındayım', 'birkapsu', 'birkapmama']"
Adem,@adembuyukgokce,2021-08-12T09:29:39.000Z,"Bu arkadaş sınırı aşıp bahçemize gelmiş 
Yol geçen hanı mı burası? 

#birkapsu #birkapmama",,9,4,66,"['birkapsu', 'birkapmama']"
Adem,@adembuyukgokce,2021-08-06T06:20:48.000Z,"Gerçek dostlara selam olsun 
#birkapsu
#birkapmama 
#YANGINVAR ",,3,17,85,"['birkapsu', 'birkapmama', 'YANGINVAR']"
sertaç bayraktar,@fencisertac,2021-08-07T17:42:50.000Z,"Yangınlarda birçok hayvan evsiz kaldı, yiyeceksiz kaldı,susuz kaldı,ailesiz kaldı, öldü. Bundan sonrası için en azından şu kadar maymunlaşsak... #birkapmama #birkapsu #yangın #hayvan","0:12
253 views",1,1,223,"['birkapmama', 'birkapsu', 'yangın', 'hayvan']"
Zehra YURCİ,@TurkZeze,2021-08-10T15:47:03.000Z,"#birkaptemizsu
#birkapmama
#bircanıyaşat ",,,,3,"['birkaptemizsu', 'birkapmama', 'bircanıyaşat']"
Smile,@bendelicetvr_,2021-08-08T10:35:27.000Z,"#dünyakedilergünü
#BirKapSu
#BirKapMama
#SokakHayvanlarınıUnutma",,,2,10,"['dünyakedilergünü', 'BirKapSu', 'BirKapMama', 'SokakHayvanlarınıUnutma']"
Mehmet ŞEHİT,@mehmetsehit,2021-08-08T13:54:57.000Z,"""Konuşamayan bu hayvanlar hakkında Allah’tan korkun!"" diyen bir Peygamberin ümmetiyiz Elhamdülillah...

Bugün #DünyaKediGünü! 

Farkındalık oluşturmak için sen de #birkapmama ve #birkapsu ile can dostlarımızın yanında olabilirsin! ",,,,2,"['DünyaKediGünü', 'birkapmama', 'birkapsu']"
Aleyna Yaren Bayrak,@_aleynayaren_,2021-08-07T17:27:01.000Z,Hava daha yeni yeni serinliyor ama günlerdir çok sıcaktı canlılar serinlemek için maalesef böyle çeşme vs tercih ediyor bu kirli suyu içmesine izin vermek yerine çevreden kap bulup biraz temiz su vermek çok zor olmamalı ben öyle yaptım #birkapsu #birkapmama lütfen ,,,,1,"['birkapsu', 'birkapmama']"
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-10T04:22:19.000Z,"UyanamıyorumdurAma; twitimi de atarımKimse bizim Twitter sevgimizi sorgulamasın

Günaydınlar Efenim
ŞansınızTebessümünüz,Sevginiz,
AŞKınızBol Olsun 

#İyikiVarsınBurcu  
#10Ağustos #salı 
#10Ağustos1915
#birkapmama  #birkapsu #BirKapSuBirKapMama ",,33,6,106,"['İyikiVarsınBurcu', '10Ağustos', 'salı', '10Ağustos1915', 'birkapmama', 'birkapsu', 'BirKapSuBirKapMama']"
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-08T05:59:42.000Z,"Papatya güzelliğinde olsun #haftasonumuz 

Günaydın Efenim
ŞansınızTebessümünüz,Sevginiz,
AŞKınızBol Olsun

#İyikiVarsınBurcu  
#8ağustos #mutlupazarlar
#birkapmama #birkapsu #BirKapSuBirKapMama ",,24,7,86,"['haftasonumuz', 'İyikiVarsınBurcu', '8ağustos', 'mutlupazarlar', 'birkapmama', 'birkapsu', 'BirKapSuBirKapMama']"
Adem,@adembuyukgokce,2021-08-07T11:19:24.000Z,"Teşekkür ederim Allah'ım  
Can'lar kavrulmuş tu sıcakta

#Konya 
#yagmur 
#birkapmama
#birkapsu 
#satinalmasahiplen",,,,13,"['Konya', 'yagmur', 'birkapmama', 'birkapsu', 'satinalmasahiplen']"
Chunky Animal,@ChunkyAnimal,2021-08-09T13:40:02.000Z,ESMİYOOOOR diyosun ama bu sadece senin için geçerli değil. O yüzden #birkapmama #birkapsu #esmiyor,,,,,"['birkapmama', 'birkapsu', 'esmiyor']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-07T04:31:50.000Z,"Yavruları Ne Zaman Sütten Kesebiliriz?

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Adem,@adembuyukgokce,2021-08-11T16:41:16.000Z,"Bir dakikalık saygı duruşu, 
Aslanım benim 

Sizin bokunuz bile olamayan o kadar çok hâin var ki ülkede !!!

#birkapsu #birkapmama 
#gercekdostlar ","0:12
38 views",,3,6,"['birkapsu', 'birkapmama', 'gercekdostlar']"
Adem,@adembuyukgokce,2021-08-08T08:07:52.000Z,"Peynir yumurta ve ekmeği daha çok seviyorlar 
Avlu da mama var ama birlikte kahvaltı yapmak istiyoruz diye tutturdular 

#birkapsu 
#birkapmama",,3,5,39,"['birkapsu', 'birkapmama']"
Birsen Şenol,@BDSenol,2021-08-13T16:23:11.000Z,"#birkapsu 
#birkapmama","Adem
@adembuyukgokce
 · 1h
Aç mısın? 

İşyerinde o'nu kimse istemiyor
Beni gördüğünde verdiği tepki bu 

Ahhh bir konuşabilse 
Bir anlatsa insanların ne kadar gaddar ve merhâmetsiz olduğunu 

#birkapsu #birkapmama",,,1,"['birkapsu', 'birkapmama']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-12T06:53:21.000Z,"Köpeklerde Görülen Bazı Yaygın Alerji Çeşitleri

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-06T04:36:21.000Z,"Petlerde Katarakt Olur Mu?

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-11T04:19:40.000Z,"Mamanızda Ne Olduğunu Biliyor Musunuz?

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Adem,@adembuyukgokce,2021-08-08T19:20:18.000Z,"Konya 
Lânet şehir 
Bu çocuk ne yiyor biliyormusunuz? 
Ölmüş olan başka bir canın leşini yiyor 
Şimdi soruyorum insanlara ;
Psikolojimin sağlam kalmasını nasıl beklersiniz?

#konya 
#birkapsu #birkapmama",,8,28,43,"['konya', 'birkapsu', 'birkapmama']"
Adem,@adembuyukgokce,2021-08-08T19:20:18.000Z,"Konya 
Lânet şehir 
Bu çocuk ne yiyor biliyormusunuz? 
Ölmüş olan başka bir canın leşini yiyor 
Şimdi soruyorum insanlara ;
Psikolojimin sağlam kalmasını nasıl beklersiniz?

#konya 
#birkapsu #birkapmama","0:17
244 views",8,28,43,"['konya', 'birkapsu', 'birkapmama']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-09T06:57:41.000Z,"Kedilerde Polen Alerjisi 

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Hülya Birvar_Sessiz Canlıların Sesi Olalım,@SessizCanlilar,2021-08-11T10:01:36.000Z,"Yaşam Kaynağımız Su!

#sessizcanlılar #kedi #köpek #satınalmasahiplen #sokakhayvanlarımahallesakinidir #yaşamhakkınadokunma #birkapmama #birkapsu",,,,,"['sessizcanlılar', 'kedi', 'köpek', 'satınalmasahiplen', 'sokakhayvanlarımahallesakinidir', 'yaşamhakkınadokunma', 'birkapmama', 'birkapsu']"
Adem,@adembuyukgokce,2021-08-08T19:20:18.000Z,"Konya 
Lânet şehir 
Bu çocuk ne yiyor biliyormusunuz? 
Ölmüş olan başka bir canın leşini yiyor 
Şimdi soruyorum insanlara ;
Psikolojimin sağlam kalmasını nasıl beklersiniz?

#konya 
#birkapsu #birkapmama","244 views
0:06 / 0:21",8,28,43,"['konya', 'birkapsu', 'birkapmama']"
