username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
The Ultrasound Site - MSK ultrasound training,@mskultrasound,2021-08-05T17:17:26.000Z,Free text access here..http://website60s.com/upload/files/1574691912_633_14.pdf#MSKUS… POCUS #Bursa,,,2,5,"['MSKUS', 'Bursa']"
ammarfaris,@ammarFRS,2021-08-06T09:50:22.000Z,"These are my trades for today

Have a good weekend guys! 

#CelikSaham #Bursa #MalaysiaBoleh",,3,10,64,"['CelikSaham', 'Bursa', 'MalaysiaBoleh']"
Wendy Hinton,@HintonWendyNZ,2021-08-12T20:10:39.000Z,"The little village of Cumalikizik near #Bursa is a charming blend of old cobbled streets, colourful houses and (evidence of the area’s agricultural roots) lots of tractors! 
@TCKulturTurizm
 @visitTurkey_
 @GoTurkiye
 @turkeytourism",,,,6,['Bursa']
Metehan Nazif,@MetehanNazif,2021-08-05T19:17:00.000Z,The candied chestnuts (Kestane şekeri) are a specialty of desserts and have an unforgettable taste. #Bursa #Turkey by BursaLogosu,,,,3,"['Bursa', 'Turkey']"
Hann,@Tradev1ew,2021-08-07T04:56:13.000Z,"Tradeview - 
@starbizmy
 Weekly Column No.4

This week I share my views on the concept of “Consensus” which is used by the research analysts industry and its role in valuing companies. For your reading pleasure. 

#bursa
#tradeview 
#hartalega","Comfort in consensus, or victim of it?
APART from badminton, I believe diving is the most exciting Olympic sporting event for most Malaysians. Probably, this has to do with the fact that Malaysian athletes have traditionally done very...
thestar.com.my",,,1,"['bursa', 'tradeview', 'hartalega']"
Cengiz Karadeniz,@CengizK01254427,2021-08-06T08:08:52.000Z,"//            BURSA ALTILI 

Semih Bey4.3.1.10.9////2.6.7.8

Blackball5.14.11.10

QUİCK KEY 

Supertuna2.4.1

Baba BülentLucy Tina

Kadirberk15.10.7.5.4.2.1

Cengiz Karadeniz

Hepinize bol şanslar

#tjk #Atyarisi #Bursa",,,1,6,"['tjk', 'Atyarisi', 'Bursa']"
GEMLİK TRANS KADIN (IŞIL ARAS),@Il09264785,2021-08-07T11:03:06.000Z,êſčòrțſ   War is peace. Freedom is slavery. Ignorance is strength. #bursa #gemlik #orhangazi,,5,5,115,"['bursa', 'gemlik', 'orhangazi']"
Berk TEZER,@Tezerhan,2021-08-08T15:02:19.000Z,Checkmate! #retro #vintage #90s #instagram #bursa #görükle #trio #şahmat #checkmate #lovely #sunday #goodday #respect #instagood #fyp #smooth #clourfull #coffee #mind #game #photography #shotoniphone https://instagram.com/p/CSUVYggiIkn/?utm_medium=twitter…,,,,,"['retro', 'vintage', '90s', 'instagram', 'bursa', 'görükle', 'trio', 'şahmat', 'checkmate', 'lovely', 'sunday', 'goodday', 'respect', 'instagood', 'fyp', 'smooth', 'clourfull', 'coffee', 'mind', 'game', 'photography', 'shotoniphone']"
Göksu Sarıçicek,@GksuSaricek1,2021-08-05T13:34:58.000Z,êſčòrțſ    It does not matter how slowly you go as long as you do not stop. #bursa #gemlik,"EDA
@RahimekzKoyuncu
 · Aug 5",,2,2,"['bursa', 'gemlik']"
babiesdoro,@babiesdoro,2021-08-06T00:09:10.000Z,"So Delicious Baby 

#bursa #mountain #nature #kozadağcılık #trekkingturkey #альпинизм #góry #Turcja #doğayürüyüşü #треккинг #осень #trekking #trip #trekkingturkey #горы #buğdaytarlası #visitturkey #turkey #awesome #summer #bursagram #hiking #wildnature #katırdağı",,,1,,"['bursa', 'mountain', 'nature', 'kozadağcılık', 'trekkingturkey', 'альпинизм', 'góry', 'Turcja', 'doğayürüyüşü', 'треккинг', 'осень', 'trekking', 'trip', 'trekkingturkey', 'горы', 'buğdaytarlası', 'visitturkey', 'turkey', 'awesome', 'summer', 'bursagram', 'hiking', 'wildnature', 'katırdağı']"
