username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Show TV,@ShowTV,2021-08-13T07:42:13.000Z,"Hazırlık parkurunda kaybolan bisikletçiler #BuSabah'a konuştu! 
@Akelebru
 @muratguloglu
 @busabahshowtv","3:09
487 views",,,7,['BuSabah']
e_srpl,@e_srpl,2021-08-07T04:13:08.000Z,"Ama kırık şeyler onarılabilir,
ve kapanmış bir aşk yeniden açılabilir…
#günaydın
#yenidenseninle 
#muciZe #sağlık #aşk #başarı #şans #para #bereketbolluk #Cumartesi #busabah",,,3,52,"['günaydın', 'yenidenseninle', 'muciZe', 'sağlık', 'aşk', 'başarı', 'şans', 'para', 'bereketbolluk', 'Cumartesi', 'busabah']"
Show TV,@ShowTV,2021-08-12T07:31:36.000Z,"#BuSabah ekibi Hayvan Rehabilitasyon Merkezi'nde! 
@Akelebru
 @muratguloglu
 @busabahshowtv","Daha fazlası için tıkla!
showtv.com.tr",1,1,11,['BuSabah']
Show TV,@ShowTV,2021-08-07T15:13:50.000Z,"Gündemin en sıcak başlıkları, özel haberler, ustaca yorumlar, merak edilen konular ve dikkat çeken konuklar #BuSabah'ta!
@busabahshowtv
 hafta için her gün 08.30'da canlı yayınla Show TV'de! 
@Akelebru
 @muratguloglu",,,1,21,['BuSabah']
Bu Sabah,@busabahshowtv,2021-08-06T07:52:24.000Z,"#DidemArslanYılmazlaVazgeçme geri dönüyor.
Yeni sezon Pazartesi 15.00'te canlı yayınla Show TV'de! #BuSabah 
@Akelebru
 @muratguloglu
 @arslandidem
 @ShowTV",,,3,9,"['DidemArslanYılmazlaVazgeçme', 'BuSabah']"
Show TV,@ShowTV,2021-08-06T06:31:34.000Z,"81 yaşındaki Mustafa Kılıç'ın evi kül oldu... #BuSabah 
@Akelebru
 @muratguloglu
 @busabahshowtv",,4,1,8,['BuSabah']
Show TV,@ShowTV,2021-08-09T06:27:35.000Z,"Ebru Akel ve Murat Güloğlu afet bölgesinde! #BuSabah 
@Akelebru
 @muratguloglu
 @busabahshowtv",,1,,12,['BuSabah']
Show TV,@ShowTV,2021-08-11T07:56:28.000Z,"Aşk nedir, ne değildir?

Aşkım Kapışmak #BuSabah'ta cevapladı! 
@Akelebru
 @muratguloglu
 @busabahshowtv","Daha fazlası için tıkla!
showtv.com.tr",,,9,['BuSabah']
baharmm,@bahar_dr3435,2021-08-06T11:19:47.000Z,"Metro da “siz hamilesiniz buyurun oturun” diye yer verdiğim kadının ben hamile değilim demesine ne demeli?

#BuSabah",,1,,6,['BuSabah']
Show TV,@ShowTV,2021-08-12T05:00:00.000Z,"Ebru Akel ve Murat Güloğlu ile #BuSabah, canlı yayınla az sonra Show TV'de başlıyor! 
@Akelebru
 @muratguloglu
 @busabahshowtv","0:23
3.1K views",1,,17,['BuSabah']
