username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
"Robert Mentz, MD",@robmentz,2021-08-10T11:58:13.000Z,"Incredible paper 
@JCardFail
 - ""Hemodynamics for the HF Clinician: A State-of-the-Art Review"". Important read for everyone interested in HF by Drs. Hsu, Fang & Borlaug - You'll learn a ton from this!
@HFSA
 #cardiotwitter 
@UUtah
 @hopkinsheart
 @MayoClinic
 
https://onlinejcf.com/article/S1071-9164(21)00306-7/fulltext#.YRJnbGNdGSA.twitter…",Anu Lala-Trindade and 9 others,14,279,662,['cardiotwitter']
Dylan Burnette,@MAG2ART,2021-08-06T10:00:01.000Z,"An immature heart muscle cell (cardiac myocyte) beating in culture.
#CellBiology #CardioTwitter #SciArt",GIF,1,69,384,"['CellBiology', 'CardioTwitter', 'SciArt']"
EHJ Editor-in-Chief,@ehj_ed,2021-08-09T09:05:02.000Z,"Best medical therapy for spontaneous coronary dissections is still undefined. New editorial summarizes potential adverse effects of different anti-platelet therapy regimens and other commonly utilized treatments.
http://ow.ly/lNjA50FMpTc
#cardiotwitter, 
@ESC_Journals
, 
@escardio
.",,,51,146,['cardiotwitter']
Diego Segura,@SeguraCardio,2021-08-11T09:07:19.000Z,Initiation & management of polymorphic ventricular tachycardia #ePeeps #CardioEd #CardioTwitter,EfectoElectrotónico and 9 others,3,106,242,"['ePeeps', 'CardioEd', 'CardioTwitter']"
UK Cardiology Fellowship,@Kentucky_Cards,2021-08-06T17:16:17.000Z,Check out our PGY4 class! First month of fellowship  #ACCFIT #cardiotwitter #FlashbackFriday #WIC,Nakeya Dewaswala and 4 others,1,5,33,"['ACCFIT', 'cardiotwitter', 'FlashbackFriday', 'WIC']"
Christopher Ellis,@cellisvandyep,2021-08-05T21:58:23.000Z,HOCM high risk genetic variant. Medtronic DR ICD initial implant was 2000. 6940 RA lead and 6943 RV ICD lead. Stable R >12mV. P wave 1.6. Threshold both leads 2V at 0.4ms. Impedance 290ohms. This is a fun one. Why is RV sensing AFib as VFib. #EPeeps #CardioTwitter,,5,11,35,"['EPeeps', 'CardioTwitter']"
Diego Segura,@SeguraCardio,2021-08-13T09:52:02.000Z,"New Drugs for #HeartFailure: What is the Evidence in Older Patients?
#CardioEd #CardioTwitter #Elderly 
@JCardFail",Javier Torres and 9 others,1,24,42,"['HeartFailure', 'CardioEd', 'CardioTwitter', 'Elderly']"
Miguel Treminio,@MTreminioQ,2021-08-12T19:09:19.000Z,"Amazing first session of 
@CardioNerds
 Rounds about HCM by the great 
@MKIttlesonMD
 . So many teaching and key points of understanding something complex as HCM. The cases picked were on point . Really enjoyed it, already waiting for next session #cardiotwitter #cardioed",,,3,19,"['cardiotwitter', 'cardioed']"
BIDMC CV Fellowship,@BIDMCVFellows,2021-08-06T11:40:47.000Z,"Fantastic conversation on VT storm with renowned VT ablationist 
@Davilandre
 this morning #Cardiotwitter #EPeeps 
@BidmcCvi",,,9,50,"['Cardiotwitter', 'EPeeps']"
ATRIUM Cardiology,@ATRIUMRx,2021-08-05T12:55:00.000Z,"Did you know? The alpha blockade from carvedilol diminishes with time in patients with heart failure. Thus, preferentially selecting carvedilol in HF patients with #HTN will not have long-lasting antihypertensive effects. #cardiotwitter","Comparative effects of carvedilol and metoprolol on regional vascular responses to adrenergic...
Acute administration of carvedilol attenuates the vasoconstriction response to adrenergic stimuli when compared with placebo and metoprolol in normal subjects, whereas chronic administration of...
pubmed.ncbi.nlm.nih.gov",3,34,144,"['HTN', 'cardiotwitter']"
edne (G esident),@pgMedicine,2021-08-05T14:12:53.000Z,"Recognising past  surgery 
Physical exam 
Inspection 
#foamed #medEd #medtwitter #cardiotwitter","Satya Patel, MD and 6 others",5,120,289,"['foamed', 'medEd', 'medtwitter', 'cardiotwitter']"
Diego Segura,@SeguraCardio,2021-08-13T10:00:00.000Z,"Hemodynamics for the #HeartFailure #Clinician: A #StateOfTheArt #Review 
@JCardFail
 
#CardioEd #CardioTwitter #MedEd",SACardiología and 9 others,1,12,15,"['HeartFailure', 'Clinician', 'StateOfTheArt', 'Review', 'CardioEd', 'CardioTwitter', 'MedEd']"
Brigham CV Fellows,@BrighamFellows,2021-08-06T12:37:49.000Z,"This morning, we had the unique privilege of studying the nuances of perioperative evaluation and their respective guidelines with Dr. Patrick O'Gara! 
@bwhcvls
  #cardiotwitter #ACCFIT",Prakriti Gaba and 3 others,1,8,51,"['cardiotwitter', 'ACCFIT']"
JACC Journals,@JACCJournals,2021-08-11T15:31:31.000Z,"Complete CTA assessment provides a “one-stop-shop” for diagnosis, risk management and decision-making on pharmacological, percutaneous or surgical treatment. (1/2)

#JACC #CardioTwitter #cvCABG #PCI",,2,39,95,"['JACC', 'CardioTwitter', 'cvCABG', 'PCI']"
Mahmoud Samy Ahmed,@MahmoudSamyMD,2021-08-06T02:04:59.000Z,"Saw an interesting patient with ASD today
AHA/ACC Guidelines for management of ASD in adult patients. #cardiotwitter #ACHD #medtwitter",,,2,3,"['cardiotwitter', 'ACHD', 'medtwitter']"
ISHR Australasian Section,@ISHR_AUS,2021-08-07T01:27:20.000Z,"Next in the #CSANZ2021 Mechanisms & Preclinical Discovery stage is Dr 
@HelenaViolaUWA
 from 
@UWAresearch
 and 
@VictorChangInst
 to talk ""Mechanosignaling in hypertrophic cardiomyopathy"" #CVresearch #CardioTwitter",,,5,9,"['CSANZ2021', 'CVresearch', 'CardioTwitter']"
"Paulius Mui, MD",@pauliusmui,2021-08-13T13:48:40.000Z,"@tablerounds
 arrhythmia + dermatitis
 makes me think of 20% increased risk of afib w/ dx of atopic dermatitis #dermtwitter #cardiotwitter
https://pubmed.ncbi.nlm.nih.gov/31442537/",,,1,1,"['dermtwitter', 'cardiotwitter']"
Saima Shikari-Dossaji,@Saima_M_S,2021-08-10T17:34:08.000Z,Can’t believe it’s already time for interviews!! Excited to meet all of the #cardiologyapplicants! #cardiotwitter,"UK Cardiology Fellowship
@Kentucky_Cards
 · Aug 10
Hey #cardiologyapplicants we’re sharpening up our zoom skills in preparation for interview season. So excited to meet you in the upcoming weeks!! What are your questions about virtual interviews?",,1,5,"['cardiologyapplicants', 'cardiotwitter']"
edne (G esident),@pgMedicine,2021-08-07T03:13:12.000Z,"How to  at  in a CXR like a 

#LBV = Left Brachiocephalic Vein 

#foamed #medEd #medtwitter #cardiotwitter #FOAMrad #radres #MedStudentTwitter #Anatomy #normal 
@RadiologySigns
 @Applied_Rad
 @radRounds
 @CtSpectral
 @MedTeachJournal
 @CardioSmart
 @Medical_MD1
 @humaid_note","Johnson Francis, MBBS, MD, DM and 9 others",,19,46,"['LBV', 'foamed', 'medEd', 'medtwitter', 'cardiotwitter', 'FOAMrad', 'radres', 'MedStudentTwitter', 'Anatomy', 'normal']"
EHJ Editor-in-Chief,@ehj_ed,2021-08-06T09:00:21.000Z,"What's the impact of LDL-Cholesterol on proinflammatory monocyte production in humas? New research published in the Journal.
https://doi.org/10.1093/eurheartj/ehab465…
#cardiotwitter, 
@ESC_Journals
, 
@escardio
, #inflammation, #atherosclerosis, #IHD.",,,23,60,"['cardiotwitter', 'inflammation', 'atherosclerosis', 'IHD']"
