username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Rodrigo Giraldelli,@GIRALDELLI,2010-01-26T20:09:45.000Z,Woud you like to import from #China? Visit a trade fair. http://bit.ly/9xA6bs #chinafair,,,,,"['China', 'chinafair']"
Village Funeral Home,@VillageFH,2020-08-06T22:02:39.000Z,Get yourself some authentic and mouth watering Chinese food at China Fair of Ortonville! #chinafair,,,,,['chinafair']
Juksamtrump,@juksamtrump,2016-05-02T16:41:51.000Z,BACK TO CANTON DURING THE CHINA FAIR #CHINAFAIR #Canton,,,,,"['CHINAFAIR', 'Canton']"
Anne_Huaming Candle,@anne_candle,2019-01-27T07:06:40.000Z,East China Fair 2019.3.1~3.5 #eastchinafair #chinafair,,,,,"['eastchinafair', 'chinafair']"
Surendra.Shete.,@surenshete,2011-11-23T05:58:30.000Z,Mini Desktop wingless fan. #chinafair http://twitpic.com/7i7ezc,,,,,['chinafair']
Эдвард Новолоцкий,@EdvardTos,2014-06-16T10:03:32.000Z,the most influential lighting event #china #led #ledlighting #light #chinafair #fair #lighting,,,,1,"['china', 'led', 'ledlighting', 'light', 'chinafair', 'fair', 'lighting']"
China Insights,@Insights_China,2017-10-31T02:45:06.000Z,"Come to visit us in #Huizhou at the #Iot Fair!

https://buff.ly/2lqtxqK

#MeetSwissTank #ChinaInnovation #ChinaFair #ChinaBusiness",,,2,2,"['Huizhou', 'Iot', 'MeetSwissTank', 'ChinaInnovation', 'ChinaFair', 'ChinaBusiness']"
Ndesign,@ndesignmobilya,2019-03-18T09:25:14.000Z,"We are pleased to introduce NDESIGN’s new collection of 2019 at The 41st China International Furniture Fair 18-21 March Hall 5.1 C04 

#chinainternationalfurniturefair #guangzhoufair #ndesign #ndesignmobilya #chinafair #guangzhou #guangzhouchina #china",,,1,8,"['chinainternationalfurniturefair', 'guangzhoufair', 'ndesign', 'ndesignmobilya', 'chinafair', 'guangzhou', 'guangzhouchina', 'china']"
Sandy Zhao,@info85337671,2021-04-01T08:03:59.000Z,Welcome to China International Gifts Fair. #Giftsfair #Chinafair #gifts #handcraft #watch #houseware,,,,,"['Giftsfair', 'Chinafair', 'gifts', 'handcraft', 'watch', 'houseware']"
SENCEROVEN,@SencerOven,2018-08-17T15:00:06.000Z,"Please be our guest in Canton Fair.

Sencer Dış Tic.
İZZET DEMİRCİOĞLU foreign trade manager
whatsapp viber wechat imo telegram 
00905336894339 _00905331459744
or via email izzet@sancakltd.com

#sencer #sencerfırın #Kayseri #Türkiye #oven #chinaimportexportfair #chinafair",,,,,"['sencer', 'sencerfırın', 'Kayseri', 'Türkiye', 'oven', 'chinaimportexportfair', 'chinafair']"
Gussin Auto TPMS,@TpmsCar,2020-05-13T09:34:22.000Z,"The 127th Canton Fair will be held online from June 15 to 24. The 127th Canton Fair will not charge companies for exhibition fees, nor charge any fees for cross-border e-commerce platforms participating in simultaneous activities
#cantonfair #chinafair #vr #livebroadcast #广交会",,,,,"['cantonfair', 'chinafair', 'vr', 'livebroadcast', '广交会']"
CIG Consulting,@cigconsulting,2016-08-03T17:30:13.000Z,#Uruguay to attend #ChinaFair seeking #InfraestructureInvestment  http://bit.ly/2arvUkc,,,,,"['Uruguay', 'ChinaFair', 'InfraestructureInvestment']"
Anne Lister,@TankiCurated,2011-10-26T23:04:26.000Z,I have had 2 listen to how hard it is for some designers 2 come up with a line due 2 the amount of dosh they spend on everything. #chinafair,,,,,['chinafair']
Annada Official,@annadaonline,2015-09-11T03:53:27.000Z,At the Bahrain Business forum in #chinafair2015 #chinafair  https://instagram.com/p/7edZx2AAb6/,,,,,"['chinafair2015', 'chinafair']"
Ronix Tools,@ronixtools,2019-10-16T08:56:17.000Z,"We will be more than happy to see you this week at #CantonFair2019 
@cantonfair
 

Ronix team always tries to provide the possible quality and that would be a pleasure if you give us a visit and check our products

#Canton #Canton2019 #Cantonfair #chinafair",,,,1,"['CantonFair2019', 'Canton', 'Canton2019', 'Cantonfair', 'chinafair']"
Greg Dietrich,@gadietrich,2011-11-18T14:35:17.000Z,Headed out to Traverse City for the weekend to see some family and friends...which also means #ChinaFair !,,,,,['ChinaFair']
Yiwu Forestry Fair,@YiwuForestfair,2013-07-17T10:05:45.000Z,Has any one attended or plan to attend the Forestry Fair ? #forestry #chinafair,,,,,"['forestry', 'chinafair']"
Ziggy Essel,@AttaEssel,2019-06-19T14:03:13.000Z,Make your home beautiful with lightings and it will comfort you. #reukaytechnology #accra #ghana #healingjesuscampaign #qualityproducts #africa #westafrica #chinafair #buyquality #mancity #mancityfans #ghananews… https://instagram.com/p/By5Nyr-pZt1/?igshid=a714unurv93z…,,,,,"['reukaytechnology', 'accra', 'ghana', 'healingjesuscampaign', 'qualityproducts', 'africa', 'westafrica', 'chinafair', 'buyquality', 'mancity', 'mancityfans', 'ghananews']"
UoM Careers Service,@UoMCareers,2014-10-11T13:30:36.000Z,"If you went to the #chinafair at Man Uni today - tell us what you thought, what did you find out about?",,,,,['chinafair']
TraDove,@TraDove_B2BCoin,2018-10-20T06:45:15.000Z,"Some highlights from our Chinese marketing team at the 
@cantonfair
 in #Guangzhou, the longest-running and most influential trade show in #China.

#b2b #business #businessnews #marketing #b2b #tradeshow #chinafair #BIGNEWS","TraDove Appears at the Canton Fair (China Import and Export Fair) in Guangzhou
From October 15 to November 4, the China Import and Export Fair, better known as the Canton Fair is taking place at the China Foreign…
medium.com",,5,10,"['Guangzhou', 'China', 'b2b', 'business', 'businessnews', 'marketing', 'b2b', 'tradeshow', 'chinafair', 'BIGNEWS']"
RICK ZHONG,@RICKZHONG3,2019-11-28T17:24:31.000Z,"New design coin bags.
I have more than you think!
#bag
#bags
#giftbag
#gifts
#baby
#yiwuagent 
#yiwu
#yiwumarket
#cantonfair 
#hkfair
#chinafair
#hongkongfair
#yiwufair
#chinasourcing https://instagram.com/p/B5atmq8lL0s/?igshid=6ngo41y3pfbe…",,,,,"['bag', 'bags', 'giftbag', 'gifts', 'baby', 'yiwuagent', 'yiwu', 'yiwumarket', 'cantonfair', 'hkfair', 'chinafair', 'hongkongfair', 'yiwufair', 'chinasourcing']"
UoM Careers Service,@UoMCareers,2014-10-11T12:23:29.000Z,At the Manchester Uni #Chinafair today? Talk to @NickyDeanLaw about your employment visa issues,,,,,['Chinafair']
Hillbilly Chef,@Hillbilly_Chef_,2015-01-11T05:06:22.000Z,Recipes 4 smotherd pork steak & collards http://j.mp/1IBNGcK #ChinaFair #MassachusettsAvenue #NeedhamStreet #TestKitchen,,,,,"['ChinaFair', 'MassachusettsAvenue', 'NeedhamStreet', 'TestKitchen']"
