username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Cgnt Turkey,@cgntturkey,2020-11-04T17:31:40.000Z,"OBAGI Hydrate Facial Moisturizer

#ObagiHydrate #hydrate #hydratedskin #doğalürünler #nemlendirici #nemlendiricikrem #nemlendiriciyüzkremi #ciltbakımı #ciltbakım #bakımürünleri #obagi #obagimedical #obagimedikal #ObagiTurkey #ObagiTürkiye #CgntTürkiye #CgntTurkey",,,,,"['ObagiHydrate', 'hydrate', 'hydratedskin', 'doğalürünler', 'nemlendirici', 'nemlendiricikrem', 'nemlendiriciyüzkremi', 'ciltbakımı', 'ciltbakım', 'bakımürünleri', 'obagi', 'obagimedical', 'obagimedikal', 'ObagiTurkey', 'ObagiTürkiye', 'CgntTürkiye', 'CgntTurkey']"
Cgnt Turkey,@cgntturkey,2020-12-02T16:13:33.000Z,"OBAGI-C FX SYSTEM C-EXFOLIATING DAY LOTION 

#fxsystem #dengeleyici #losyon #vitaminC #vitaminE #penetrasyon #hyalüronikasit #glikolikasit #ölühücre #ciltbakım #ciltsağlığı #Obagi #ObagiÜrünleri #ObagiMedical #ObagiMedikal #ObagiTurkey #ObagiTürkiye #CgntTürkiye #CgntTurkey",,,1,,"['fxsystem', 'dengeleyici', 'losyon', 'vitaminC', 'vitaminE', 'penetrasyon', 'hyalüronikasit', 'glikolikasit', 'ölühücre', 'ciltbakım', 'ciltsağlığı', 'Obagi', 'ObagiÜrünleri', 'ObagiMedical', 'ObagiMedikal', 'ObagiTurkey', 'ObagiTürkiye', 'CgntTürkiye', 'CgntTurkey']"
Duke,@dukebeauty,2018-05-09T06:10:13.000Z,#uzmdrhurayhugul #forlled #forlledturkiye#luxury #scincare #ciltbakım… https://instagram.com/p/Bii826UnC2k/?utm_source=ig_twitter_share…,,,,,"['uzmdrhurayhugul', 'forlled', 'forlledturkiye', 'luxury', 'scincare', 'ciltbakım']"
Tansu ÇİLEK,@TansuCilek,2021-04-23T09:56:35.000Z,"DEWYTREE STRAWBERRY HONEY JAM PEEL OFF NOSE PACK %50 indirimle 19,95TL
#indirim #nemlendirici #losyon #kozmetik #çilek #bal #ciltbakım #siyahnokta 

https://fas.st/dXEpFc",,,,,"['indirim', 'nemlendirici', 'losyon', 'kozmetik', 'çilek', 'bal', 'ciltbakım', 'siyahnokta']"
BUZ LAZER SOMA ( SENA ESTETİK ),@SenaEstetik,2018-10-07T19:32:33.000Z,#buzlazerepilasyon  #lazerepilasyon  #sopranoiceplatinum  #sopranoice #buzlazerepilasyon #dovmesilme #ciltbakim #tumvucutagda#picosurelazer  #dövmesilme #ciltbakimi… https://instagram.com/p/BopMcYqFdv6/?utm_source=ig_twitter_share&igshid=a3rbeomqvuzp…,,,,,"['buzlazerepilasyon', 'lazerepilasyon', 'sopranoiceplatinum', 'sopranoice', 'buzlazerepilasyon', 'dovmesilme', 'ciltbakim', 'tumvucutagda', 'picosurelazer', 'dövmesilme', 'ciltbakimi']"
Huriye Biter,@huriyebiter,2019-07-02T20:27:19.000Z,#psikoloji #siberianwellnes #kisiselgelisim #huriye_biter #dogalurun #ciltbakım @ Turkey https://instagram.com/p/BzbYFVfF-BG/?igshid=zu6zuty920g6…,,,,,"['psikoloji', 'siberianwellnes', 'kisiselgelisim', 'huriye_biter', 'dogalurun', 'ciltbakım']"
Herbalife06,@Herbalife061,2020-01-10T19:57:11.000Z,#eceerken #issizlik #AYTUTULMASI #evdekalmavergisi #ciltbakim farkı görmek istiyorsan dm den iletisime geçebilirsiniz,,,,1,"['eceerken', 'issizlik', 'AYTUTULMASI', 'evdekalmavergisi', 'ciltbakim']"
Leyla,@Leyla05399007,2021-07-03T15:28:41.000Z,"Dr. Cevdet Tuna Siyah Maske ile cildiniz toksin ve kirlerden arınsın, parlak ve ışıltılı bir cilde sahip olun! 
@farmasiofficial
 #farmasi #blackmask #drcevdettuna #makeupblogger #beauty #guzellik #ciltbakım",,,1,3,"['farmasi', 'blackmask', 'drcevdettuna', 'makeupblogger', 'beauty', 'guzellik', 'ciltbakım']"
Rossmann Türkiye,@RossmannTurkiye,2020-11-15T16:00:13.000Z,"YENİ! General Home Yui-Forever Yüz Temizleme Cihazı şimdi Kasım ayına özel 59,00 TL yerine 49,90 TL fiyatıyla Rossmann mağazalarında ve http://rossmann.com.tr'de! Sakın kaçırmayın  #Rossmann #Yüztemizleme #ciltbakım",,3,,5,"['Rossmann', 'Yüztemizleme', 'ciltbakım']"
Nascita Professional,@nascitatr,2020-12-22T14:31:05.000Z,"Yılbaşı çekilişimize katıldın mı? 
https://instagram.com/p/CI28z_xn8iK/?utm_source=ig_web_copy_link…

#nascita #çekilişvar #çekiliş #yarışma #hediye #yılbaşı  #giveaway #saçbakım #haircare #ciltbakım #makyajfırçaları",,,1,5,"['nascita', 'çekilişvar', 'çekiliş', 'yarışma', 'hediye', 'yılbaşı', 'giveaway', 'saçbakım', 'haircare', 'ciltbakım', 'makyajfırçaları']"
Solaris Cosmetics,@solariscosmetcs,2021-04-30T18:00:36.000Z,"3D MATRIX TEKNOLOJİ NEDİR?
Cilt bakımında etkili aktif maddelerin yavaş salınımla hedeflenen noktalara aşamalı iletilmesini sağlayan taşıyıcı sistemlerdir.
#solariscosmetics #3dmatrix #3dmatrixtechnology #ciltbakim #dermatology #skincare #solaris",,,,3,"['solariscosmetics', '3dmatrix', '3dmatrixtechnology', 'ciltbakim', 'dermatology', 'skincare', 'solaris']"
cikciksu ile dalinliyoruz,@sutluagrega,2020-11-20T10:36:37.000Z,Ben mezun olup iş bulup çalışana kadar siz ne kadar olursunuz kim bilir :( keske sitenin ekmeğini söyle yesem.. biz de mini youtuber ız nolurdu verseniz .... #foreo #trendyol #ciltbakım,,,,1,"['foreo', 'trendyol', 'ciltbakım']"
Whitecure Türkiye,@Whitecuretr,2020-09-07T15:40:32.000Z,"Whitecure Mikro Kristal Vakum ...
#ciltbakim #cilttemizligi #leketedavisi #sivilcetedavisi #aknevakum #siyahnoktavakumu #sivilcevakumu #ciltbakimurunleri #siyahnoktatemizleme #siyahnokta #gözeneksıkılaştırma",,,1,1,"['ciltbakim', 'cilttemizligi', 'leketedavisi', 'sivilcetedavisi', 'aknevakum', 'siyahnoktavakumu', 'sivilcevakumu', 'ciltbakimurunleri', 'siyahnoktatemizleme', 'siyahnokta', 'gözeneksıkılaştırma']"
Ebru,@EbruOzcn,2020-04-12T14:06:11.000Z,"Yemin ediyorum pambık cildim beş gündür leş gibi. Bi gecede yüzü perişan olan İzel gibi, bi gecede saçları ağaran Yeşilçam karakteri gibi oldum yemin ediyorum moral sıfır #sokağaçıkmayasağı #ciltbakım #sivilce #stres",,1,,2,"['sokağaçıkmayasağı', 'ciltbakım', 'sivilce', 'stres']"
