username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kris Bhattarai,@KrisBhattarai,2021-05-15T04:51:15.000Z,"Thanks to this wonderful, 
rejuvenating phenomenon 
called 'sleep' - because 
if there were no sleeps 
there would have been no 'awakenings'......!

#ConsciousAwakening",,,1,7,['ConsciousAwakening']
Ìtùnúolúwa E. Adel Snr.,@itunuoluwaadel,2019-03-11T08:15:46.000Z,"To rethink everything is painful...  Dreadful and disruptive.... 

Yet, it's the only way forward. 
#Rethink #Universe #ConsciousAwakening #DepthandLove",,1,2,3,"['Rethink', 'Universe', 'ConsciousAwakening', 'DepthandLove']"
Bhakti Charu Swami,@bcswami,2019-05-05T04:41:35.000Z,"The Act of Praying

#prayer #blessing #chanting #holyname #inspiration #blessings #sundayvibes #bcs #action #consciousawakening #attitude #lifeskills #happinessquotes #heartwarming #wisdom #deland #orlando #florida #lakemerry #bhakticharuswami",,,4,9,"['prayer', 'blessing', 'chanting', 'holyname', 'inspiration', 'blessings', 'sundayvibes', 'bcs', 'action', 'consciousawakening', 'attitude', 'lifeskills', 'happinessquotes', 'heartwarming', 'wisdom', 'deland', 'orlando', 'florida', 'lakemerry', 'bhakticharuswami']"
The Ancient Sage,@The_AncientSage,2018-11-14T22:44:00.000Z,Where are you from? #starseed #cosmicevolution #consciousevolution #consciousawakening #higherconsciousness #awakening #spiritualjourney #ascension,,1,1,4,"['starseed', 'cosmicevolution', 'consciousevolution', 'consciousawakening', 'higherconsciousness', 'awakening', 'spiritualjourney', 'ascension']"
Hare&Heart,@HareandHeart,2021-05-03T09:10:36.000Z,"Self belief and awareness
#mindset #mentalhealth #empowermentcoach #consciousawakening #selflove",,1,,1,"['mindset', 'mentalhealth', 'empowermentcoach', 'consciousawakening', 'selflove']"
Kris Bhattarai,@KrisBhattarai,2021-05-15T11:30:27.000Z,"Strange is 
this pilgrimage..... 

When I move
path appears,
when I stop
goal appears....!

#Stop_and_See
#YouAreIt
#ConsciousAwakening",,2,4,14,"['Stop_and_See', 'YouAreIt', 'ConsciousAwakening']"
fleur hols,@fleurhols,2020-04-04T15:28:57.000Z,#hope and #love will conquer !#confinement #consciousawakening,,,,1,"['hope', 'love', 'confinement', 'consciousawakening']"
#travelghana,@yenkotravels,2019-04-10T01:20:30.000Z,"Nature is a universal need. We need more nature time.

https://instagram.com/p/BwDd6XEgQQG/?utm_source=ig_share_sheet&igshid=1cbcitjtu1b8e…

Try Nature fix.
#yenko means #LetsGO  do great things

#tourplanners #ecotourism #daytrips #weekendgetaway #nature #naturefix #biophilia #biophiliafix #greenislife #naturegood  #consciousawakening",,,1,2,"['yenko', 'LetsGO', 'tourplanners', 'ecotourism', 'daytrips', 'weekendgetaway', 'nature', 'naturefix', 'biophilia', 'biophiliafix', 'greenislife', 'naturegood', 'consciousawakening']"
Deborah Lucero,@deborah_lucero3,2019-08-27T00:07:34.000Z,Be a #Superstar superstar! It's time to step up & step out of that box Be #amazing AMAZING! #higherself #higherconsciousness #higherawakening #awake #awakening #spirituality #energyhealing #chakras #chakrahealing #beyou #consciousness #consciousliving #consciousawakening,,,,1,"['Superstar', 'amazing', 'higherself', 'higherconsciousness', 'higherawakening', 'awake', 'awakening', 'spirituality', 'energyhealing', 'chakras', 'chakrahealing', 'beyou', 'consciousness', 'consciousliving', 'consciousawakening']"
Belle Shook Equine Guidance,@BelleEquine,2020-12-21T22:48:52.000Z,"Happy Winter Solstice!

Meet Salsa!
.
.
.
.
.
#EquineGuidance #BelleShook #Therapist #Sedona #WinterSolstice #Balance #Consciousness #Capricorn #Learn #Grow #Heal #Expand #Forgive #WinterSolstice2020 #Gratitude #LettingGo   #SentientBeing #BucketList  #ConsciousAwakening",,,,1,"['EquineGuidance', 'BelleShook', 'Therapist', 'Sedona', 'WinterSolstice', 'Balance', 'Consciousness', 'Capricorn', 'Learn', 'Grow', 'Heal', 'Expand', 'Forgive', 'WinterSolstice2020', 'Gratitude', 'LettingGo', 'SentientBeing', 'BucketList', 'ConsciousAwakening']"
