username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
CottonZapata,@CottonZapata,2021-08-11T12:03:27.000Z,Bloomberg estimates for #cotton WASDE tomorrow,,1,2,6,['cotton']
Dave Reiter,@TradesByDave,2021-08-12T16:45:21.000Z,#CT_F Cotton has always been one of my favorite leading indicators for the global economy. CT is forecasting strong economic growth in 2022. A weekly close above 99.47 opens the door to much higher prices. #Cotton,,,3,14,"['CT_F', 'Cotton']"
Michael Harbour,@drmichaelh,2021-08-12T19:39:29.000Z,The fabric of our lives. Can you feel it? #beautyandtruth #westtexas #cotton,,,1,5,"['beautyandtruth', 'westtexas', 'cotton']"
UA System Div of Ag,@AginArk,2021-08-10T16:12:57.000Z,"In 1928, #Arkansas was ranked 20th in the nation for the value of its crops. #Cotton was king. 

#ag #history",,,2,7,"['Arkansas', 'Cotton', 'ag', 'history']"
Cotton Australia,@CottonAustralia,2021-08-12T04:28:37.000Z,"It's great to see this late May cotton (planted under permit) starting to emerge in Central Queensland.

It won't be long before more of our regions start planting for the coming season!  #cotton #Queensland #farming",,,3,14,"['cotton', 'Queensland', 'farming']"
Madison Cartwright,@madlcartwright,2021-08-12T20:50:16.000Z,Also #blindedbytheblight in some North Carolina cotton this morning! #cotton,,1,2,15,"['blindedbytheblight', 'cotton']"
Ag Competitiveness,@CompetitiveAg,2021-08-10T12:39:21.000Z,"Fickle #cotton market the last few days. But still a solid 5-day trend of +2.4%.  As said before, there is still upside here, the question is how much. And I don't think some larger-than-expected US crop news is the catalyst for change of direction...unless it's HUGE.",,,5,7,['cotton']
Biren Vakil Paradigm,@Birenvakil,2021-08-12T16:19:57.000Z,"We posted this ICE DEC #cotton chart 6 days ago..#rectangle breakout and failed wedge pattern..tech objective 95-96 written at top of chart..cotton traded at 90.50 that day, now trades at 93.20..#loathed rally or a #stealth  #bull mkt, we dont know, but we maintain tgt of  95-96.","Biren Vakil Paradigm
@Birenvakil
 · Aug 5
ICE Dec #cotton traded in the range of 82.50-89.50 during Feb-aug..If we consider peak to peak, net gain of cotton during feb 25 to 5 aug is just 1.50c. #Rectangle breakout and failed bearigh #wedge. Range now is 86.60-94.40..nerveshattering mkt..for #pplwithballs",,1,7,"['cotton', 'rectangle', 'loathed', 'stealth', 'bull']"
Shaeffer Steward,@sstewardag,2021-08-09T16:14:30.000Z,"Looks like #cotton managed money gross longs are about where they tend to run out of gas except for when things get REALLY exciting

Let's see what's in the cards",,,,,['cotton']
DCT Trading,@DctTrading,2021-08-10T09:11:58.000Z,"As DCT Trading thanks to our strong supply network, we make a difference by delivering the best quality and best cotton to our customers!

#DCTTrading #Trading #Cotton",,1,1,4,"['DCTTrading', 'Trading', 'Cotton']"
John Robinson,@aggie_prof,2021-08-12T16:07:21.000Z,"NASS assumptions for U.S.  #cotton #wasde projections: ""Harvested area based on 10-year average abandonment by region, with the Southwest adjusted to reflect favorable moisture.  Yield based on 10-year avg. yields by region, with the Southwest adjusted for current conditions.",,1,3,7,"['cotton', 'wasde']"
Kedia Advisory,@kediaadvisory,2021-08-13T04:08:55.000Z,"#Cotton dropped as production of Cotton is estimated at 35.38 million bales, higher by 3.49 million bales.  
USDA’s weekly export sales report showed net sales of 149,300 running bales (RB) for the 2021/2022 marketing year.",,,1,1,['Cotton']
CottonZapata,@CottonZapata,2021-08-12T18:06:52.000Z,#grandma suggests that #cotton farmers who are short to merchants on-call December consider placing a scale up order to roll to March. this picks them the inverse plus 90 days of time value.,,1,2,4,"['grandma', 'cotton']"
Americott,@Americott,2021-08-11T03:04:04.000Z,U.S. Department of Agriculture Announces Key Staff #americott #cotton,,,,1,"['americott', 'cotton']"
DELTAPINE,@DELTAPINE,2021-08-05T20:40:06.000Z,"It’s a bird, it’s a plane … it’s actually a #cotton cloth-winged plane.  #CottonFacts",,,1,5,"['cotton', 'CottonFacts']"
Darin D. Fessler,@DDFalpha,2021-08-12T12:36:22.000Z,"US Drought Monitor: 

#corn #soybeans #wheat #cattle #cotton",,2,5,13,"['corn', 'soybeans', 'wheat', 'cattle', 'cotton']"
AeroInfo Inc.,@FlyAeroInfo,2021-08-13T13:25:59.000Z,Identifying dead cotton down to the plant level so we can write the most accurate Topguard fungicide application prescription. http://CottonRootRot.com #cotton,,,,1,['cotton']
Biren Vakil Paradigm,@Birenvakil,2021-08-06T13:43:14.000Z,"ICE Dec #cotton hits 91.45...A bipolar and grinding bull market, chills frills, thrills...Tentative support is 88.40- tentative resistance area 92.80-93.30-  looks like a loathed rally. Although breakout occurred after prolong congetion, escape #velocity is missing! strange!",,3,3,10,"['cotton', 'velocity']"
ArB,@BWM_Alan,2021-08-12T22:17:57.000Z,"The #Cotton continuous futures contract formed a bullish engulfing candlestick on the daily chart.  #CT_F
#Commodities",,,,,"['Cotton', 'CT_F', 'Commodities']"
BSE India,@BSEIndia,2021-08-11T04:36:11.000Z,"BSE commodity price update 10th Aug, 2021

#commodity #exchange #cotton
#BRCrude #Gold #Turmeric #Almond 
#trade #futuretrading #commoditytrading",,1,3,16,"['commodity', 'exchange', 'cotton', 'BRCrude', 'Gold', 'Turmeric', 'Almond', 'trade', 'futuretrading', 'commoditytrading']"
Hamid Erdem,@hamiderdemoffic,2021-08-10T08:32:46.000Z,Nice opening #sugar #cotton,,,,3,"['sugar', 'cotton']"
Rich Monochrome,@RichMonochrome,2021-08-06T21:18:58.000Z,Cotton Branches #cotton #plants #blackandwhite #monochrome,,,1,9,"['cotton', 'plants', 'blackandwhite', 'monochrome']"
Rajesh Sharma,@rajesh10sharma,2021-08-13T07:19:57.000Z,"Cotton Association of India cut cotton output est for 2020-21 to 354.50 l bales (170 kg each), hiked domestic consumption  to 330 l bales.
#cotton #commodities",,,2,1,"['cotton', 'commodities']"
Karen Braun,@kannbwx,2021-08-09T20:10:05.000Z,U.S. #corn conditions rise 2 pts to 64% good/excellent but #soybeans are unchanged at 60%. Corn and soybean progress is very similar to a year ago. Spring #wheat harvest at 38% complete is well ahead of average. #Cotton conditions improved but the crop is a bit behind.,,2,21,49,"['corn', 'soybeans', 'wheat', 'Cotton']"
Murilo Maeda,@wtxcotton,2021-08-08T20:34:09.000Z,"@TxSoilFert
 and I visited a few of our producers this weekend. Some good looking #cotton in Dawson and Terry Counties. Just saying…",Katie L. Lewis,,1,6,['cotton']
Hamid Erdem,@hamiderdemoffic,2021-08-12T17:25:04.000Z,#cotton #CT_F stop moved to entry. We need a close above 93.35 for add more,,,,1,"['cotton', 'CT_F']"
Inclusive Trade,@inclusive_trade,2021-08-08T13:36:25.000Z,Wonderfully versatile traditional #peshkir #napkins are lovingly hand created by #HillyJo in #Turkey using only the finest 100% #cotton. Our sets of four to six napkins come in a variety of colours.  Perfect for a classy summer #picnic or beautiful at-home dinner.  #shopbyimpact,,,1,3,"['peshkir', 'napkins', 'HillyJo', 'Turkey', 'cotton', 'picnic', 'shopbyimpact']"
Pedro H Dejneka,@PHDChicago,2021-08-06T20:27:36.000Z,"Did you know that Brazil only uses ~7% of its land for agricultural production? 

Pasture land (23% of total area) conversion is the main source of agricultural area increase

The higher prices go/stay, the more incentive there is for prod. increase
#soybeans #corn #cotton",,,16,51,"['soybeans', 'corn', 'cotton']"
Neha Anand,@Neha_1007,2021-08-12T12:36:09.000Z,"US #Cotton weekly net export sales, during July 30-August 5, for 2021/2022, which began August 1, totaled 342,700 RB. Net sales of #Pima for 2021/2022 totaled 10,200 RB.",,,,7,"['Cotton', 'Pima']"
BSE India,@BSEIndia,2021-08-09T04:17:24.000Z,"BSE commodity price update 6th Aug, 2021

#commodity #exchange #cotton
#BRCrude #Gold #Turmeric #Almond 
#trade #futuretrading #commoditytrading",,,5,25,"['commodity', 'exchange', 'cotton', 'BRCrude', 'Gold', 'Turmeric', 'Almond', 'trade', 'futuretrading', 'commoditytrading']"
Biren Vakil Paradigm,@Birenvakil,2021-08-05T19:48:26.000Z,"ICE Dec #cotton traded in the range of 82.50-89.50 during Feb-aug..If we consider peak to peak, net gain of cotton during feb 25 to 5 aug is just 1.50c. #Rectangle breakout and failed bearigh #wedge. Range now is 86.60-94.40..nerveshattering mkt..for #pplwithballs",,1,2,11,"['cotton', 'Rectangle', 'wedge', 'pplwithballs']"
NeoGeo-CD-World,@CdNeogeo,2021-08-06T07:14:48.000Z,"Cotton Fantastic Night Dreams en version  NeoGeo Pocket euro
La version  reboot! est disponible ce mois ci sur Switch

#neogeo #ngpc #neogeopocket #neogeopocketcolor #neogeopocketcolorcollection #NintendoSwitch #shooting #shoot #cotton #arcades #arcadegames",,,3,7,"['neogeo', 'ngpc', 'neogeopocket', 'neogeopocketcolor', 'neogeopocketcolorcollection', 'NintendoSwitch', 'shooting', 'shoot', 'cotton', 'arcades', 'arcadegames']"
Arun Sekhsaria,@ArunSekhsaria,2021-08-08T03:52:56.000Z,"#Cotton #agriculture old saying"" u see clouds and markets react "" similarly indian crop looking good but projected 6-7 hurricane in usa is pulling the markets up..how relevant is indian crop to ice/ movements in USA??
Will it see cornering of cotton against ice hedge??",,1,1,2,"['Cotton', 'agriculture']"
