username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Disclose.tv,@disclosetv,2021-08-13T08:29:48.000Z,JUST IN - China rejects new WHO probe into the origin of #COVID19.,,308,1.3K,3.3K,['COVID19']
Disclose.tv,@disclosetv,2021-08-13T12:30:03.000Z,"JUST IN - Biden admin is discussing mandating #COVID19 vaccines for interstate travel, but worried that it would be too polarizing ""for the moment"" (AP)",,31,87,115,['COVID19']
Rep. Jim Jordan,@Jim_Jordan,2021-08-13T12:21:14.000Z,Can’t beat #COVID19 without first securing the border.,,180,274,1.1K,['COVID19']
ABS-CBN News,@ABSCBNNews,2021-08-13T08:00:20.000Z,"BREAKING: DOH recorded an additional 13,177 new cases of #COVID19 in the country, increasing the total number of recorded cases to 1,713,302.

Active cases are at 96,395.

Additional recoveries: 4,322; total: 1,587,069
New deaths: 299; total: 29,838",,36,891,810,['COVID19']
Pravit Rojanaphruk,@PravitR,2021-08-13T09:38:21.000Z,Protesters march towards PM Prayut residence to call for his resignation over #COVID19 mismanagement. #Thailand #WhatsHappeningInThailand #ม็อบ13สิงหา #ป,,12,5K,1.1K,"['COVID19', 'Thailand', 'WhatsHappeningInThailand', 'ม', 'ป']"
KKMalaysia,@KKMPutrajaya,2021-08-13T09:15:55.000Z,"#COVID19 Malaysia recorded 21,468 new positive cases with 277 deaths.",,19,388,434,['COVID19']
Rex Patrick,@Senator_Patrick,2021-08-13T08:07:21.000Z,"It's good more voices are joining my call for a Royal Commission to inquire into Australia's #COVID19 response. We need an independent & non-partisan inquiry to get the truth. 
@ScottMorrisonMP
 will stall, but public pressure will make this happen. #auspol","Virus royal commission talk premature: PM
Scott Morrison insists now is not the time to discuss a royal commission into Australia's coronavirus response despite Tony Abbott joining calls for a post-pa...
canberratimes.com.au",23,76,233,"['COVID19', 'auspol']"
Eric Feigl-Ding,@DrEricDing,2021-08-13T09:36:45.000Z,"Breakthrough #COVID19 infections happen, but anti-vaxxers who invoke it as excuse not to vaccinate have no idea / ignore their own damn risk if they don’t. That said, armor can slowly corrode—hence booster can be needed. The armor still helps. #VaccinesWork 

HT 
@SlyngCartoons",,63,897,2.4K,"['COVID19', 'VaccinesWork']"
Eric Garcia for Congress,@EricG1247,2021-08-13T06:29:02.000Z,Breaking: scientists have just discovered #COVID19 has a uterus and the gop are finally trying to control it.,,23,114,631,['COVID19']
BDS movement,@BDSmovement,2021-08-13T06:17:01.000Z,"Israel’s apartheid regime denies 8.7 million Palestinian refugees their UN-stipulated right of return.

Palestinian refugees, like other displaced peoples, are at greater risk from #COVID19.

Israel must be held to account for violating Palestinian refugee rights. #BDS",,16,148,232,"['COVID19', 'BDS']"
