username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
olga,@ollieksr,2021-08-13T09:36:35.000Z,"It is time to start a new life
#cuma ","0:04
180 views",4,1,65,['cuma']
Nermin,@InspiringPeopl6,2021-08-06T05:14:05.000Z,"#HappyFriday #Cuma 

It's Friday. A day to do something good. 

pinterest lakes",,,,5,"['HappyFriday', 'Cuma']"
adacyprus,@adacyprus1,2021-08-06T05:36:56.000Z,Those dark clouds cannot hide the sun forever. #günaydın #cuma,,,,21,"['günaydın', 'cuma']"
Duygu ♛,@NotTheSKY_,2021-08-06T16:20:57.000Z,"Mood
#huzur
#cuma
#hatay",,,,1,"['huzur', 'cuma', 'hatay']"
Gülbeşeker,@Glbeeke74747292,2021-08-12T20:31:20.000Z,"#GeceyeNotum 
#diyorumki 

              who is this lucky

#cuma  #iyigeceler",,,5,34,"['GeceyeNotum', 'diyorumki', 'cuma', 'iyigeceler']"
Işıl Takı Gümüş,@isiltakigumus,2021-08-06T15:08:57.000Z,Chokers necklaces#sevgili #hediye #izmir #Turkiye #friday #necklaces #jewelry #luxury #Cuma #love #peace #Olympics2020,,,,1,"['sevgili', 'hediye', 'izmir', 'Turkiye', 'friday', 'necklaces', 'jewelry', 'luxury', 'Cuma', 'love', 'peace', 'Olympics2020']"
Nermin,@InspiringPeopl6,2021-08-13T07:47:20.000Z,"#HappyFriday #Cuma 

Many people do not know how good their life is..

pinterest beaches",,,,,"['HappyFriday', 'Cuma']"
Kaybedilen Hayatlar,@kybdlnhayatlar,2021-08-13T06:58:04.000Z,"Başbakanlık eski raportörü Hüseyin Galip Küçüközyiğit Ankara'da  işlek bir caddede kaçırılalı 229 gün oldu. 
#cuma","From 
Nursena Küçüközyiğit",,261,275,['cuma']
Sevdam,@AhhSevdam,2021-08-06T03:34:35.000Z,"Tüm Dostlarıma Hayırlı Sabahlar, Hayırlı Cumalar 
Selam ve dua ile
#Cuma",,2,16,51,['Cuma']
a.karakulaç,@aht_kara,2021-08-06T04:25:35.000Z,"Nasılsın bu sabah…?
Çiçekler açtı mı yüreğin…?
Sızlayan yerlerine güneşi sürdün mü…?
Açtın mı radyoyu çay kaşığının sesine eşlik ediyor mu eskilerden bir şarkı…?
Söylesene nasılsın bu sabah…?               #guenaydın                                                  #Cuma. ","0:08
1.7K views",,119,623,"['guenaydın', 'Cuma']"
@zişan.krkd..,@zişan.krkd..,2021-08-13T08:49:38.000Z,"...........

kalbinize not düşün ;

        hayat hesapla değil ,
          nasiple yaşanır ... #cuma 

                 ______________ 

#külkeçisi ",,,12,94,"['cuma', 'külkeçisi']"
Sibell,@sibelsmkA,2021-08-13T07:50:49.000Z,"Anlık Türkiye ;
Çay var içersen , yol var geçersen..

#cuma",,4,48,194,['cuma']
Yaprak,@Yaprak43614082,2021-08-13T05:40:39.000Z,"Hayırlı Sabahlar 
Hayırlı Cumalar 
Selam ve Dua İle
#cuma",,,24,52,['cuma']
İLKER ÜNVER,@LKERNVER3,2021-08-13T16:07:48.000Z,"#cuma
#iyiakşamlar  olsun.

Sevgiyle.",,,,4,"['cuma', 'iyiakşamlar']"
ɴᴇғɪsᴇ ☘︎,@nefisekimki,2021-08-13T07:06:11.000Z,"""Bizler 400 küsür gündür karanlığın içine terkedilmiş gibiyiz. Lütfen bize babamız Hurmüz Diril'i bulun.""
@GulcanDiril
Hurmüz Diril 585 gündür ortaya çıkarılmadı. 
#cuma","From 
#HurmüzDiriliBulun/Gülcan Diril Üzümcü",,86,101,['cuma']
OSMANLI SARI,@_Saklamento_1,2021-08-06T22:26:29.000Z,"#Cuma 

Fazla söze gerek yok..

CHP nin 15Temmuz gecesi verdiği ilk demeç itiraf tır..

""Biz İrademize sahip çıkıyoruz""
@kilicdarogluk
#Osmanlısarı",,1,167,186,"['Cuma', 'Osmanlısarı']"
Gakgoşe,@gakgose_23,2021-08-12T20:58:04.000Z,"“Güvenme bu dönek dünyaya, boşuna dalma hülyaya..”

Nasıl da hiç ölmeyecekmişiz gibi davranıyoruz. !!
Estağfirullah 

#Cuma Aşk ile ",,,17,118,['Cuma']
𝓓𝓮𝓷𝓲𝔃,@Deniz6262634,2021-08-06T04:44:33.000Z,"""Ayrıca insanı iyileştiren sadece insandır yine, tıpkı insana acı verenin sadece insan olması gibi.""

- Franz Kafka
Günaydın canlar 
#cuma",,13,16,285,['cuma']
°°° AySuN/n °°°,@SeSsizMeLodi_,2021-08-13T05:47:58.000Z,"KötüLük Yaptın Mı Kork...
 ~~  Çünkü O Bir Tohum,dur

ALLah Yeşertir,
~~  Karşına Çıkartır...!!

#günaydın
#cuma
#hayırlı_cumalar",°°° AySuN/n °°°,11,77,332,"['günaydın', 'cuma', 'hayırlı_cumalar']"
N£VA⚘,@123_neva,2021-08-13T05:22:38.000Z,#erkencitayfa #günaydın #cuma,,35,25,492,"['erkencitayfa', 'günaydın', 'cuma']"
Eyüp EROĞLU,@EyupEroglu60,2021-08-06T07:02:17.000Z,"Esnaflarımız bu şehrin ana taşıyıcı gücüdür.

#Cuma gününe, sanayi sitemizde esnaf kardeşlerimizle başladık. Dün olduğu gibi bugün de, yarın da esnaflarımızın yanında olmaya devam edeceğiz. Rabbim tüm esnaflarımıza hayırlı işler, bol ve bereketli kazançlar nasip etsin.",,,14,55,['Cuma']
AVNİ ERDOGAN,@avnierdogan1,2021-08-12T19:06:29.000Z,"#Cuma Gününün Rahmeti, Bereketi ve Feyzi üzerinize olsun.",,5,9,130,['Cuma']
ŞEBBİ Sadece,@Sebbi_1907,2021-08-13T05:06:02.000Z,Hayırlı Sabahlar  #Cuma Mız Mübarek Olsun  Keyifli Bir Gün Olsun ,,7,4,75,['Cuma']
diyetisy@n,diyetisy@n,2021-08-13T15:58:57.000Z,"""Allah-u Teala her derde bir deva yaratmıştır.Dertleriniz/hastalıklarınız günahlarınız, ilaç da istiğfarınızdır."", ""İki şifa vardır:Kur'an-ı Kerim ve bal.""Hastalarınızı sadaka ile tedavi ediniz.""Vücuttaki kalp salih/sağlıklı olursa vücut/organlar sağlıklı/düzgün olur.""
#cuma",,,,2,['cuma']
~~yolcu~~,@yol_cu_34,2021-08-12T15:19:22.000Z,"Rabbim gönlünüze ferahlık,
İşinize bereket, hanelerinize huzur versin..!

#Cuma #Akşamınız Hayırlara Vesile Olsun inşaALLAH",,,4,43,"['Cuma', 'Akşamınız']"
Hasan Tahsin USTA,@htahsinusta,2021-08-06T05:56:59.000Z,"Hayırlı sabahlar #Gaziosmanpaşa 
Cumamız mübarek, dualarımız kabul olsun. #cuma",,1,8,66,"['Gaziosmanpaşa', 'cuma']"
fatoş,@fatmaodemis34,2021-08-06T19:03:38.000Z,#Cuma,,,,2,['Cuma']
Ďerya,@lameretdeniz,2021-08-06T12:00:18.000Z,"Yarın kıyametin kopacağını bilseniz bile, bugün elinizdeki fidanı dikin.
hz Muhammed(s.a.v.)
#kahvekeyfi 
#cuma",,,1,68,"['kahvekeyfi', 'cuma']"
Astrolojik Dengeler,@astrolojimiz,2021-08-06T07:35:22.000Z,#cuma Günün penceresinden ,,,,1,['cuma']
Tuğba,@sade_kal,2021-08-06T06:48:46.000Z,"...............
Güzel Dost !

""Doğruyla yanlışın ötesinde buluşalım.... Hiçlik noktasında, saf 
sevgide..""

kırık bir günaydın
#hayirlicumalar
#cuma",,52,14,299,"['hayirlicumalar', 'cuma']"
Diyarbakır Yenişehir Belediyesi,@yenisehirbld21,2021-08-06T06:38:05.000Z,"""Hayra vesile olan hayrı yapan gibidir"" 

Hz. Muhammed (SAV) 

 Bereketli, sağlıklı ve huzurlu bir #Cuma günü geçirmeniz dileğiyle... 

#HayırlıCumalar 

Behram Paşa Cami",,,,21,"['Cuma', 'HayırlıCumalar']"
eda,@Eda_17_,2021-08-06T19:43:21.000Z,"Yağmura beş kala..
#Cuma",,,,1,['Cuma']
Mesut م..,@Mahcemal4,2021-08-06T02:24:10.000Z,"✓Allahım! 

✓Senden sıhhat, iffet....

✓Emanete riayet, güzel ahlâk 

✓Ve takdire rıza niyaz ediyorum.
#seher
#cuma
#hayirlicumalar",,,5,38,"['seher', 'cuma', 'hayirlicumalar']"
graphicer,@graphicer_,2021-08-13T05:09:55.000Z,"Yüreği güzel insanlara rast gelesiniz...
GNYDN 
#cuma #iyisabahlar #anılar #Huzurla",,6,6,247,"['cuma', 'iyisabahlar', 'anılar', 'Huzurla']"
Buket,@senitaingaberna,2021-08-06T07:06:26.000Z,#Cuma,,,,3,['Cuma']
A Beautiful Mind,@Cinemaniac34,2021-08-13T05:20:11.000Z,"Günaydın,
Guten Morgen,

#cuma",,,,30,['cuma']
Gökhan Koç,@gokhan190342,2021-08-13T04:59:22.000Z,"Günaydın mutlu günler hayırlı cumalar
#Günaydın
#cuma
#hayirlicumalar 
#besiktasinmacivar",,26,12,203,"['Günaydın', 'cuma', 'hayirlicumalar', 'besiktasinmacivar']"
Zeyno,@haalaasuursuzum,2021-08-05T19:36:37.000Z,"""Dertler, direncimiz için evladır...
Derdi de
Dermanını da veren MEVLÂ 'dır.......""

#Cuma Gecemiz #AŞK ola...  ",,,1,9,"['Cuma', 'AŞK']"
\/ahide,@vahide_sultann,2021-08-13T05:23:50.000Z,"Bende böyleyim işte
Kimselerin bakmadığı şeylere bakar
Kimselerin sevmediği şeyleri severim...
#Günaydın
#cuma",,,3,81,"['Günaydın', 'cuma']"
Tend,@TendirR,2021-08-06T05:43:14.000Z,"Milli Eğitim Bakanı Ziya Selçuk’un ayrılığından sonra, çoğu öğretmen adayları olmak üzere kendisi hakkında olumsuz görüşler açıklanıyor. Bence kendisi iyi bir eğitimci ve aydınlık bir yüzdü. Fakat tek adam sisteminde gücü bu kadar yetti. Bir vizyonu vardı ama yonttular...
#Cuma",,10,26,513,['Cuma']
Osman Avcı,@OsmanAv79267879,2021-08-06T05:21:53.000Z,"Dostlara Günaydın,
Mutlu ve Sağlıklı Cumalar.
#Cuma",,6,2,70,['Cuma']
yalçın çencik,@yalcincencik,2021-08-06T06:06:57.000Z,"Yaprak döker bir yanımız,
Bir yanımız bahar bahçe !!

Günaydınnn Bonjour 

#günaydın #cuma",,24,7,171,"['günaydın', 'cuma']"
N£VA⚘,@123_neva,2021-08-06T05:15:43.000Z,"Geçmiş olsun dileklerini ileten tüm dostlarıma sonsuz teşekkürler...
#günaydın #erkencitayfa #cuma",,34,16,374,"['günaydın', 'erkencitayfa', 'cuma']"
Gökay,@gokayay35,2021-08-06T06:37:31.000Z,"Nasipse yağmur bekliyoruz
#6Ağustos #cuma #izmir",,5,1,220,"['6Ağustos', 'cuma', 'izmir']"
Fırat GÖLELİ,@faruk_seydam,2021-08-06T04:41:43.000Z,"""#Kalpler; kendilerine iyilik edenleri sevmeye meyilli olarak yaratılmışlardır.. ""

Hz. Muhammed(s.a.v)#Cuma",,1,2,45,"['Kalpler', 'Cuma']"
Erguvan,@_Erguvan_34,2021-08-13T04:03:49.000Z,"Hayatımız diyorum, bulanık bir su gibi...
#Günaydın 
#Cuma",,1,,61,"['Günaydın', 'Cuma']"
Nom Otomotiv,@nom_oto,2021-08-06T08:44:35.000Z,Nom Oto-T-Shirt ler talihlilerine ulaşıyor... #Renault #yedekparca #ikitelliosb #istanbul #ikitelli #cekilis #kampanya #hediye #oto #bakım #Cuma,,,,2,"['Renault', 'yedekparca', 'ikitelliosb', 'istanbul', 'ikitelli', 'cekilis', 'kampanya', 'hediye', 'oto', 'bakım', 'Cuma']"
Mehmet Eraydın,@MehmedEraydin,2021-08-13T10:05:31.000Z,Bir güldük konu nerelere geldi  #cuma,,,,3,['cuma']
Sıla Esenler,@e_senler,2021-08-06T19:39:30.000Z,"Boy friend olma yolunda  bir bitiremedim ya 
#cuma",,,,4,['cuma']
Fatma Bulut,@FATMABu86356487,2021-08-06T07:58:08.000Z,"Acı bir dönem olacak. bu Allah'ın 
kanunu Bunu kimse durduramaz. 
ama sonunda Güzel bir dönem başlayacak!!!

(Adnan Oktar)
#cuma #termiksantral #izmir #TermikSantrali",,,3,3,"['cuma', 'termiksantral', 'izmir', 'TermikSantrali']"
Arzu,@vasilissa_Arzu,2021-08-13T05:05:05.000Z,"Mükemmel,
bir hayat istediğimiz yok.
Dürüst insanlar,
samimi selamlar ,
içten gülümsemeler olsun yeter...

#guenaydın 
#öncesağlık 
#cuma  #biryerler",,73,20,401,"['guenaydın', 'öncesağlık', 'cuma', 'biryerler']"
,@oe340661,2021-08-13T04:18:35.000Z,"Ah benim güzel memleketim 
Her şey bir gün güzel olacak mı
Gercekten 
Sessizce bir günaydın
#gunaydin 
#cuma",,42,8,232,"['gunaydin', 'cuma']"
NctiOzn,@Nctiozn,2021-08-12T16:15:41.000Z,"Hidâyet senden olmazsa,
Dirayet neylesin ya Rab...
Hidâyetini üzerimizden eksik etme allah'ım...
#Cuma Akşamınız hayırla dolsun 
   #Huzurlu Akşamlar ",,,4,34,"['Cuma', 'Huzurlu']"
ROza,@RozaLuxemburg21,2021-08-12T19:03:30.000Z,"Aşk; herkesi o’na benzetip,
Kimseyi o’nun yerine koyamamaktır...

#CanYücel 

#İyiGeceler #Cuma",,1,,73,"['CanYücel', 'İyiGeceler', 'Cuma']"
Şenay Akdemir,@senayayayy,2021-08-13T15:29:03.000Z,"Günün tagı bana çok uygun
#HEStirOlunGidin dediğimiz nurtopu gibi bir ex enişteniz daha oldu. 
#cuma mevlana değilim adam ol da gel. ",,1,,9,"['HEStirOlunGidin', 'cuma']"
Nuri Yeşilova 1,@NuriYeilova1,2021-08-06T15:24:46.000Z,"Boş ver sahip olmayı
Özgür ol.
Sade ol
Gerçekçi ol
Kendin ol
Boş ver haklı olmayı
Mutlu ol...

#Cuma
#Hafta_Sonu
#Hayırlı_Akşamlar",,6,12,110,"['Cuma', 'Hafta_Sonu', 'Hayırlı_Akşamlar']"
Feyza Osmanlı BAŞKAN ERDOĞAN,@Feyza49329963,2021-08-13T02:25:54.000Z,"Halkı galeyana getirecek provakatör hareketlerinize sonra da parti içindeki her türlü  pisliklerinize bakın..! Ondan sonra devlet-i suçlayın..!(sıkıyosa)
#ChpveKaosaDurDe
Sabah'ul hayr 
Cuma Bayramımız Tüm İslàm Âlemine hayırlara vesile olsun 
#Cuma",,1,61,61,"['ChpveKaosaDurDe', 'Cuma']"
Sıla Esenler,@e_senler,2021-08-06T03:46:39.000Z," aşinalık bir durum 
#günaydın #cuma",,2,,9,"['günaydın', 'cuma']"
**elfçeee**,@elf_eldarie,2021-08-06T19:47:14.000Z,"İnsan insana yetemiyor... 
#Cuma 
#picemiyeti",,,,5,"['Cuma', 'picemiyeti']"
Ömer Arısoy,@omerrarisoy,2021-08-06T14:50:47.000Z,"3 ekibimizle, gece gündüz.

Sinek ilaçlama çalışmalarımız devam ediyor.

#zeytinburnu #cuma","0:25
515 views",2,18,40,"['zeytinburnu', 'cuma']"
ibrahim,@brahimz81690766,2021-08-13T05:07:19.000Z,"Yolcuyuz..yoldayız, Ama yolun neresindeyiz bilemeyiz. 'Bir' den gelir, yine Bir'e gideriz.... #Cuma #hayirlicumalar #HayırlıSabahlar",,,,2,"['Cuma', 'hayirlicumalar', 'HayırlıSabahlar']"
Elif,@_61elif,2021-08-13T04:19:02.000Z,"Günaydıııııııın mübarekler 
Enerji dolu , sağlıklı , güzel haberler alacağımız , dualarımızın kabul olduğu misss gibi bir gün olsun inşaAllah  #Hayırlıcumalar #Cuma",,,,5,"['Hayırlıcumalar', 'Cuma']"
