username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Genevieve Buckley,@DataNerdery,2021-08-10T04:38:53.000Z,"Confused about choosing a good chunk size for #Dask arrays?

Array chunks can't be too big (we'll run out of memory), or too small (the overhead introduced by Dask becomes overwhelming).

So how to get it right? A thread...",,1,40,124,['Dask']
soloart by jonas,@soloartbyjonas,2021-08-06T23:11:43.000Z,Working on my next #Dask #nftdrop! #love,,,,,"['Dask', 'nftdrop', 'love']"
soloart by jonas,@soloartbyjonas,2021-08-06T13:15:33.000Z,"It is Friday! #Shoutout to my #collectors.  Check out this amazing people and make sure you follow them.
@walasavagephoto
 #Cryptostars
@prateekdhiman07
 #Dask
@akachambo
  #Dask
@devinthedude07
 #Dask

#SharingIsCaring #NFTCommunity #giveback",,,4,8,"['Shoutout', 'collectors', 'Cryptostars', 'Dask', 'Dask', 'Dask', 'SharingIsCaring', 'NFTCommunity', 'giveback']"
MetroStar,@MetroStarSystem,2021-08-05T17:46:50.000Z,"Calling all #Developers! Strengthen your #python skills by getting to know some of the lesser-known aspects of using the open-source library, #Dask! Register for TONIGHTS PyData DC meetup here","Inside Dask with Julia Signell
meetup.com",,,2,"['Developers', 'python', 'Dask']"
Abhishek Choudhary,@Ubunta,2021-08-13T08:25:21.000Z,"Using Dask for #datascience 

Python-Native, extremely fast
 Advanced Parallelism and massive data processing
 Real-time Dashboarding
 Easy access to external libraries

 #bigdata #machinelearning #dataengineering #dask","Abhishek Choudhary on LinkedIn: #datascience #bigdata #machinelearning
Using Dask for #datascience Python-Native, extremely fast  Advanced Parallelism and massive data processing  Real-time Dashboarding 
linkedin.com",,2,1,"['datascience', 'bigdata', 'machinelearning', 'dataengineering', 'dask']"
Urslaan,@Dynamodataguy,2021-08-13T07:15:01.000Z,"Replying to 
@Dynamodataguy","Also avoid using joins that cause huge explosions of records, which counterintuitively even an inner join can do, if you have repeating join keys. Outer and cross join are a huge culprit. Do these in SQL and return results instead - perhaps in #SQLite or #MySQL.",1,,,[]
Urslaan,@Dynamodataguy,2021-08-13T07:15:01.000Z,"If all fails, consider #parallelism. Pandas #serial processes data, but you can try #dask or #modin which both do parallelised operations. There are also packages such as #joblib which are useful for parallelism. It can handle #multiprocessing and #threading.",,1,,,"['parallelism', 'serial', 'dask', 'modin', 'joblib', 'multiprocessing', 'threading']"
Sean Kruzel,@seankruzel,2021-08-12T16:12:56.000Z,"Great piece for those to better understand #dask and some nuances of 'groupby' https://saturncloud.io/docs/reference/dask_groupby_aggregations/…
  
@dask_dev","Troubleshooting Dask GroupBy Aggregation Performance | Saturn Cloud
How to troubleshoot performance issues with Dask GroupBy aggregations with a deep dive into the algorithm
saturncloud.io",,,,['dask']
Saturn Cloud,@saturn_cloud,2021-08-12T14:11:28.000Z,"Improve the speed of your hyperparameter search by over 16x by replacing a few lines of your scikit-learn pipeline with Dask code . See how we did it here: https://saturncloud.io/blog/supercharging-hyperparameter-tuning-with-dask/?utm_source=Twitter&utm_medium=hyperparameter+blog&utm_campaign=tweet…

#Dask #DataScience #scikitlearn","Supercharging Hyperparameter Tuning with Dask | Saturn Cloud
TL;DR: Dask improves scikit-learn parameter search speed by over 16x, and Spark by over 4x. Hyperparameter tuning is a crucial, and often painful, part of building machine learning models. Squeezing...
saturncloud.io",,,,"['Dask', 'DataScience', 'scikitlearn']"
Dakbilir,@Dakbilircom,2021-08-10T06:22:36.000Z,"Grafoloji
Yazı, İmza İnceleme ve Evrakta Sahtecilik Nedir ? Nasıl İncelenmelidir?

#grafoloji #yazı #text #senet #evrak #kalem #iş #business #sigorta #kasko #trafik #dask #kaza #araç #araba  #trafiksigorta #trafik #sigortaacentesi #trafikkazası #işkazas",,,2,7,"['grafoloji', 'yazı', 'text', 'senet', 'evrak', 'kalem', 'iş', 'business', 'sigorta', 'kasko', 'trafik', 'dask', 'kaza', 'araç', 'araba', 'trafiksigorta', 'trafik', 'sigortaacentesi', 'trafikkazası', 'işkazas']"
