username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Neri,@cikcik71,2021-08-13T14:33:34.000Z,"Doğru söylüyorsunuz, felaketin en büyüğü bundan 20 yıl önce geldi Türkiye’nin başına ve o günden bu güne kadar bir felaketten öbürüne sürükleniyoruz 

 #Defolun",şarapçı Mağmed efendi and 8 others,1,1,7,['Defolun']
Fırat D.,@Firatinofkesi,2021-08-13T11:28:06.000Z,"Türkiye için en tehlikeli durum Devletine olan inancı ve güveni kaybetmesidir. 

Hes patlıyor, saklıyorsunuz!
Dere taşıyor, saklıyorsunuz!
İnsanlat ölüyor, saklıyorsunuz!

Tüm ölenlerin sebebi yönetemeyen AKP ve haber yapamayan Medyadır.
#Defolun ","2:19
55.6K views
From 
KRT TV",11,67,117,['Defolun']
Şeniizzz,@maytapap,2021-08-13T12:02:36.000Z,"Diktatörlük rejimleri;
baskı,biat ve gaddarlık doğurur.
Ama en kötüsü,
APTALLIĞI yaygınlaştırmasıdır .
/J.LBorges

#iban 
#Defolun artık ",,3,8,29,"['iban', 'Defolun']"
Neri,@cikcik71,2021-08-13T13:59:54.000Z,"Umarım bu iddia doğru değildir
Eğer doğru ise, yerin dibine batsın böyle Müslümanlık ve 
#Defolun gidin 
#VatanMücadelesi",,1,1,8,"['Defolun', 'VatanMücadelesi']"
SOL Parti,@solpartibilgi,2021-08-13T09:00:24.000Z,"#selfelaketi değil AKP felaketi! 

HES'ler, dere yataklarına doldurulan inşaatlarla aç gözlü müteahhitler ve yandaş çeteler kazansın diye ülke harap edildi. #Yeter #Defolun",,1,57,147,"['selfelaketi', 'Yeter', 'Defolun']"
SOL Parti,@solpartibilgi,2021-08-12T11:24:41.000Z,Muğla'da yangın felaketine uğrayan halkla dayanısma çalışmalarına katılan Başkanlar Kurulu Üyemiz Gizem Gül Kürekçi ve MYK üyemiz Göksu Cengiz'in içinde olduğu genel merkez heyetimizin açıklaması. #Yönetemiyorsunuz #Beceriksizsiniz #Defolun,,,30,65,"['Yönetemiyorsunuz', 'Beceriksizsiniz', 'Defolun']"
𝓜𝓔𝓡𝓨,@01MeRY_eM01,2021-08-13T11:37:19.000Z,"Yazık gerçekten çok yazık 
Bi #Defolun artık ",,,,3,['Defolun']
Hazal,@_semiramisth,2021-08-09T06:16:15.000Z,"Gittiğim  40-50  kişinin bulunduğu  parkta  Türkçe   konuşan  sadece  4 kişi  vardı 

#Muelteciİstemiyoruz 
#mueltecilerehayir 
#SuriyelilerinVatanıSuriyedir  ÜLKEMDE MÜLTECİ İSTEMİYORUM
#DEFOLUN",,,1,10,"['Muelteciİstemiyoruz', 'mueltecilerehayir', 'SuriyelilerinVatanıSuriyedir', 'DEFOLUN']"
Themis,@Themis2285,2021-08-13T14:36:05.000Z,"Replying to 
@adsialsi",#Defolun artık,1,,1,[]
Emine,@_Emine_1881_,2021-08-13T12:16:51.000Z,"Replying to 
@Firatinofkesi",CENNET ÜLKEMDE MİLLETE CEHENNEMİ YAŞATTILAR #Defolun bıktık sizden yobazlar,,,1,[]
Ercan Kerem,@Ercann_Kerem,2021-08-13T13:18:44.000Z,"Replying to 
@ferykirazcicegi","#SuçunuzBüyük; siz de, biz de biliyoruz 
#Defolun bi zahmet",1,1,6,[]
eddy,@kafayatakiyorum,2021-08-08T17:40:49.000Z,"ülkede kültürümüze uyum sağlamaya niyeti olmayan ipsiz sapsız ortadoğu iblislerini istemiyorum.
#şakamıbu
#DEFOLUN","Türk Başkan
@TurkSavun
 · Aug 8
İstanbul Bağcılar'da  10 yaşındaki kız çocuğunu taciz ettiği iddia edilen Afgan'ı halkın linç etmek istediği ekranlara yansıdı.",,10,46,"['şakamıbu', 'DEFOLUN']"
