username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tuncay Besim,@TunBe2,2021-08-09T15:41:46.000Z,"#anksiyete ve #depresyon sadece duygusal, zihinsel değil, sıklıkla bedensel şikayetlerle birlikte bulunur. Doktora ilk muayene sebebi de genellikle bedensel şikayetlerdir. Malesef genellikle anksiyete ve depresyon teşhisi atlanır ve psikiyatrik tedavi gecikir.",,1,6,38,"['anksiyete', 'depresyon']"
Baskent U. Psikoloji,@pskbaskent,2021-08-12T10:33:31.000Z,"Başkent Üniversitesi Psikoloji Bölümüne (
@pskbaskent
) bağlı #KlinikPsikoloji yüksek lisans programı öğrencisi Ece Gözde Ergür, 16 Ağustos 2021 günü tezini savunacaktır. 

#psikoloji #klinikpsikoloji #depresyon #erteleme #benlikalgısı #zamanalgısı #bilişselçarpıtma",,,2,22,"['KlinikPsikoloji', 'psikoloji', 'klinikpsikoloji', 'depresyon', 'erteleme', 'benlikalgısı', 'zamanalgısı', 'bilişselçarpıtma']"
Tuncay Besim,@TunBe2,2021-08-06T07:32:49.000Z,"#Depresyon da  çok sıklıkla yaşanan isteksizlik, yorgunluk, anlamsızlık, ümitsizlik, mutsuzluk duygularının çok iyi bir  sözel ve görsel ifadesi olmuş.","Acéphale
@Acephaleart
 · Jul 18
''Hiçbir şeyi tutmuyorum, hiçbir şeye tutunmuyorum.''

*Andrew Wyeth, Spring",1,6,27,['Depresyon']
Dr. Samuray Özdemir,@idiogenic,2021-08-07T05:54:22.000Z,"Depresyonda yolun ucu karanlıktır.

Anksiyetede yolun ucu yanlış yere çıkar.

#depresyon #anksiyete",,5,8,168,"['depresyon', 'anksiyete']"
mabeşifataş,@mabesifatas,2021-08-12T09:04:06.000Z,"Derya hanımın isteği üzerine dizilen bilekliğimiz şifa vesilesi olsun 
#depresyon
#uykusuzluk
#alerji
#eklemağrıları
#yıldızdüşüklüğü
#pozitifenerji
AA kalite doğal taşlarınıza dm den ulaşabilirsiniz 
Rt ile destek bekliyorum 
http://Insagram.com/mabesifatas",,,23,25,"['depresyon', 'uykusuzluk', 'alerji', 'eklemağrıları', 'yıldızdüşüklüğü', 'pozitifenerji']"
Dr. Samuray Özdemir,@idiogenic,2021-08-07T19:37:37.000Z,"#Depresyon ve #anksiyete bir arada olduğunda hem korkak hem yorgunsundur;

     Başaramamaktan korkarsın ama üretmeye gücün yoktur.

     Yalnız kalmaktan korkarsın ama başkalarıyla olma isteğin yoktur.",,28,194,2.1K,"['Depresyon', 'anksiyete']"
six six sept,@6a67s,2021-08-06T22:35:23.000Z,#depresyon,"Ha Bu Ander Sevdaluk par Aytekin Ataş
Morceau · 2:35 · 2013
music.apple.com",,,1,['depresyon']
TRLI YENGE,@atarliyenge,2021-08-10T09:56:25.000Z,"Denize girmek gereken bu zamanlarda 
Depresyona giriyorum
#depresyon 
#tatil",,,,5,"['depresyon', 'tatil']"
Steril Hacamat,@Sterilhacamat,2021-08-12T08:03:37.000Z,"Kafadan Hacamat ; 

#Migren
#Sinüzit
#Depresyon

tedavisinde ve #hafızagüçlendirme
amacıyla yapılmaktadır

#Gaziantep #Osmaniye #Adana",,,,,"['Migren', 'Sinüzit', 'Depresyon', 'hafızagüçlendirme', 'Gaziantep', 'Osmaniye', 'Adana']"
On5Yirmi5,@on5yirmi5,2021-08-05T13:28:56.000Z,Depresyonun En Büyük Sebebi: Uyku Bozukluğu #uykubozukluğu #uykuapnesi #depresyon,"Depresyonun En Büyük Sebebi: Uyku Bozukluğu | Gençlik Haber Sitesi | On5yirmi5.Com
on5yirmi5.com",,1,,"['uykubozukluğu', 'uykuapnesi', 'depresyon']"
Mustafa Acungil,@acungil,2021-08-09T05:57:13.000Z,"Replying to 
@acungil","*
Açıklamamı buraya kadar okuduğunuza göre, konuya ve bu tür paylaşımlara ilgilisiniz.
Bu kitap önerisini paylaşmak ister misiniz?
Kitap önerileri paylaşmaya devam etmemi istiyorsanız, bu girdiyi beğeni ve paylaşım ile destekleyin.",1,1,5,[]
Mustafa Acungil,@acungil,2021-08-09T05:57:14.000Z,"Böylece sizin için değerini anlamış olurum ve daha fazla zaman ayırırım.

Sevgiler, selamlar

#mustafaacungil #okur #yazar #okuryazar #kitap #kitapönerisi #gerekçelikitapönerisi #neokusam #psikoloji #depresyon",,2,,4,"['mustafaacungil', 'okur', 'yazar', 'okuryazar', 'kitap', 'kitapönerisi', 'gerekçelikitapönerisi', 'neokusam', 'psikoloji', 'depresyon']"
Canatar Terapi,@CanatarTerapi,2021-08-06T06:16:39.000Z,#canatarterapi #evlilikterapisi #psikolog #terapi #ailedanışmanı #depresyon #cinselterapi #çiftterapisi #stres #boşanma #psikolojikdestek #onlineterapi #evlilik #adana #bosanma #ailedanismani #terapist #psikolojikdanisman #onlinepsikolog #ilişki,,,,,"['canatarterapi', 'evlilikterapisi', 'psikolog', 'terapi', 'ailedanışmanı', 'depresyon', 'cinselterapi', 'çiftterapisi', 'stres', 'boşanma', 'psikolojikdestek', 'onlineterapi', 'evlilik', 'adana', 'bosanma', 'ailedanismani', 'terapist', 'psikolojikdanisman', 'onlinepsikolog', 'ilişki']"
Psikolog Damla Ekin Barut,@damlaekinbarut,2021-08-09T13:18:37.000Z,"Psikolojik travmanın en önemli özelliği, ortaya çıkan etkinin kısa sürede çözülemeyen kişiyi sürekli olarak etkileyen bir yaşam biçimine dönüşebilir. 
.
.
#travma #psikoloji #afet #stres #kaygı #panik #depresyon #anksiyete #panikatak #çocuk #ergen #anne #baba #aile",,,,1,"['travma', 'psikoloji', 'afet', 'stres', 'kaygı', 'panik', 'depresyon', 'anksiyete', 'panikatak', 'çocuk', 'ergen', 'anne', 'baba', 'aile']"
Back House Rock Bar,@BackHouseRockB2,2021-08-09T22:26:41.000Z,"Günde 5 ila 10 farklı şarkı dinlemek hafızayı ve bağışıklık sistemini güçlendirir ve depresyon riskini % 80 azaltır. 

#müzik #depresyon #backhouserockbar #backhouse",,,,2,"['müzik', 'depresyon', 'backhouserockbar', 'backhouse']"
Psiko Terapi,@psiko_terapi_,2021-08-10T21:41:00.000Z,"DEPRESYONDAN KURTULUN
#11agustos #günbiterken #günaydın #çarşamba #terapi #geceyenotum #depresyon #türkiye",,,,1,"['11agustos', 'günbiterken', 'günaydın', 'çarşamba', 'terapi', 'geceyenotum', 'depresyon', 'türkiye']"
Cananne,@Cananne43,2021-08-11T15:39:44.000Z,#anne #keçi #depresyon #analık,"Başkasının Adına U...
@benutandim2
 · Aug 11
Olaya bak kahroldum şu an
Show this thread",,,1,"['anne', 'keçi', 'depresyon', 'analık']"
Abante News,@AbanteNews,2021-08-11T10:00:01.000Z,"Ilan sa Pinoy ay dumaranas na ng katamtaman hanggang sa matinding pagkabalisa dahil sa work from home (WFH) set-up ngayong pandemya.
https://tonite.abante.com.ph/doh-ilan-sa-naka-wfh-inaatake-ng-depresyon1/…
#TunayNaTabloidista  
#ToniteNews
#workfromhome #depresyon","DOH: Ilan sa naka-WFH inaatake ng depresyon
Ilan sa Pinoy ay dumaranas na ng katamtaman hanggang sa matinding pagkabalisa dahil sa work from home (WFH) set-up ngayong pandemya.
tonite.abante.com.ph",,,,"['TunayNaTabloidista', 'ToniteNews', 'workfromhome', 'depresyon']"
YsmnByrk,@MeYasCan,2021-08-10T13:47:01.000Z,"İnsanoğlunun 'yanlış' kavramıyla sınavı:

Ya yanlış yaparsam?
#Anksiyete

Hep yanlış yaptım...
#Depresyon

Hiç yanlış yapmamalıyım!
#Obsesyon

Bana yanlış yapacaklar!
#Paranoya",,,,7,"['Anksiyete', 'Depresyon', 'Obsesyon', 'Paranoya']"
