username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Uyanış Vakti,@bzkrtmhtp,2021-08-05T10:33:08.000Z,#kayıp #araniyor #dikkat,,,2,6,"['kayıp', 'araniyor', 'dikkat']"
CANAN DOĞAN,@CANANDO18401759,2021-08-05T10:03:31.000Z,"Gökyüzü açıları çok sert.

Paylaşım  yorumlar yanlış anlaşılmalara  #dikkat. ! ",,,,1,['dikkat']
Nsg,@NefiserapG,2021-08-08T20:46:47.000Z,#Dikkat ,"Hava Forum
@HavaForum
 · Aug 8
LÜTFEN DİKKAT !  İzmir, Muğla, Aydın, Antalya gibi şehirlerimizde orman yangını riski açısından ekstrem ve çok ekstrem tehlike (son seviye) olan bir haftaya başlıyoruz. Tedbirleri gevşetmeyelim.

Sıcaklık artıyor !
Nem düşüyor !
 Rüzgar kuvvetleniyor !",,3,4,['Dikkat']
Raskolnikov Ro anoviç,@raskolnikovrmn,2021-08-10T20:27:28.000Z,#malmö maçına #dikkat !!,,,,2,"['malmö', 'dikkat']"
AyThink Gelişim,@AyThinkGelisim,2021-08-07T08:38:22.000Z,"Günümüzün en önemli yetkinlikleri #dikkat ve #odaklanabilme Çevremizde dikkatimizi dağıtacak pek çok neden varken dikkatimizi toplamak ve odaklanmak oldukça zor olabilir. ""Dikkat ve Odaklanma Eğitimimiz"" günümüzün en çok ihtiyaç duyulan ve etkili eğitimlerinden biridir.",,,1,1,"['dikkat', 'odaklanabilme']"
Mustafa Demirbaş,@Mustafa28803023,2021-08-06T07:25:56.000Z,"Haftalık vaka sayılarında ilimiz Trabzonda iki haftadır % 100 ün üzerinde artış gözleniyor. 
#Dikkat",,,1,3,['Dikkat']
Ünye Kent Gazetesi,@UnyeKentGazete,2021-08-13T11:06:46.000Z,#Dikkat,,,,,['Dikkat']
myBodrum,@myBodrum,2021-08-09T23:42:52.000Z, #Bodrum haber: Ne olursunuz #Dikkat kızlar kadınlar durum hiç de iyiye gitmemekte. #MustafaSandal ne demiş okuyalım…,,,,,"['Bodrum', 'Dikkat', 'MustafaSandal']"
Büş,@Busra_arch,2021-08-07T22:24:52.000Z,"#dikkat şantiye de kadın var 
#mimar #şantiye",,,,1,"['dikkat', 'mimar', 'şantiye']"
Тургутик Мозак,@budit_horosho,2021-08-09T19:31:11.000Z,Dikkat...#dikkat,"Sakalar İskitler(Gizlenen Eski Anadolu Halkı)
@Saka_larr
 · Aug 9
Prof Dr Ümit Özdağ'ın çığlığını lütfen yayalım çünkü yarın çok geç olacak... (1)
Show this thread",,,2,['dikkat']
falafeltabagi,@falafeltabagi,2021-08-08T20:18:23.000Z,"Replying to 
@avantipopoIo
 and 
@gizilguc",#gözlem #dikkat ,1,,2,[]
Mücahit KAYA,@cahidkayaa,2021-08-06T13:55:09.000Z,"Örgün okumak için sadece 10 kişi alan 
@gaziantepUniv
 ilahiyat fakültesini 2 sene #dgs ile zorladıktan sonra kazanıp  ilitam tarzı okuyacağım döneme denk gelmenin üzüntüsü ile bu senede #uzaktaneğitim korkusunun karmaşıklığı duygusu.. #dikkat edelim açılsın okul lütfen",,,1,2,"['dgs', 'uzaktaneğitim', 'dikkat']"
BozKurt,@Gkbr07315473,2021-08-12T23:03:50.000Z,#yorumsuz #dikkat,,,,,"['yorumsuz', 'dikkat']"
miray akın solist,@mirayaknsolist,2021-08-05T19:01:50.000Z,"Alışkanlık yaparım #dikkat ..!! vazgeçmediğin,vazgeçemediğin,vazgeçilmezin olurum.
Dozunda,tadında kullan beni.!",,,,,['dikkat']
DHA Kurumsal,@dhakurumsal,2021-08-12T06:55:42.000Z,"Karaciğerin alarm verdiğini gösteren 10 işaret
http://dha.com.tr/r/1842350
#sağlık #karaciğer #dikkat
@OnurYaprak_MD
 @dhainternet
 @MedipolSaglik",,,1,1,"['sağlık', 'karaciğer', 'dikkat']"
(*,@HarpKurt,2021-08-06T12:44:59.000Z,"Replying to 
@HarpKurt
 @mkalyoncuoglu1
 and 
@emelgelen","Felsefenin bir zahir/dışrak/avam-a aktardığı bilgi çağrı vardır.. Bir de havas/içrek/batın yanı vardır.. Gelgelelim.. Günümüzde paganizmin uyandırıldığı, gömülü olanın yeniden gün yüzüne çıkarıldığı.. Yeni Orta Çağ.. Gotik dinamizm evresinde geçiş deviniminde idi..",1,,,[]
(*,@HarpKurt,2021-08-06T12:50:53.000Z,"özetin özeti.. Yeni din..Roma kulübü taşeronluğunda.. Nemrut-Semiramis-Ta'uz üçlemesinde ki üçlü birliğin.. Isıs-osiris-Horus/Deccal olarak isimlenen kültürün.. yeni orta çağın alt mekan/söz ile üst mekan/kalem'inin sosyolojik mimarisidir..

Her felsefe iyiye hizmet etmez.#dikkat",,1,,,['dikkat']
Radyo Trafik İzmir 102.5,@radyotrafik35,2021-08-11T08:56:17.000Z,"SELATİN TÜNELİ'NDE ÇALIŞMA!

Selatin Tüneli Aydın istikametinde yapılan bakım çalışması nedeniyle sol şerit ulaşıma kapalı!

Ayrıntılar 102.5 Radyo Trafik İzmir'de...
#dikkat #uyarı #yoldurumu #izmirtrafiği #çarşamba",,,,1,"['dikkat', 'uyarı', 'yoldurumu', 'izmirtrafiği', 'çarşamba']"
Radyo Trafik İzmir 102.5,@radyotrafik35,2021-08-13T11:19:52.000Z,"DİKKAT!!!

Mithatpaşa Caddesi Fahrettin Altay istikameti Balçova Meydanı öncesi kanal kapağı temizliği nedeniyle orta şerit ulaşıma kapalı!

Ayrıntılar 102.5 Radyo Trafik İzmir'de...
#dikkat #uyarı #yoldurumu #izmirtrafiği #cuma",,,,1,"['dikkat', 'uyarı', 'yoldurumu', 'izmirtrafiği', 'cuma']"
dedeyi8,@dedeyi81,2021-08-07T17:54:27.000Z,"#dikkat edin çok uzun bir zamandır FETÖ ismini hiç bir hükümet yetkilisi ağzına bile almıyor saray basını dahi yazmıyor , ısrarla bu isimden kaçıyorlar ve KAMUOYUNA unutturmaya çalışıyorlar arananlar bulunamıyor !! ama herkesi Fetöcülükle suçluyorlar nedir bu sinsi plan ??",,,,1,['dikkat']
DHA Kurumsal,@dhakurumsal,2021-08-12T14:47:14.000Z,"Kızılay Başkanı Kınık’tan sel felaketine ilişkin açıklama: 72 saat çok önemli
http://dha.com.tr/r/1842495
#dikkat #kizilay #felaket 
@Kizilay
 @dhainternet
 @KizilayDestek
 @Lorbi_PR",,,,,"['dikkat', 'kizilay', 'felaket']"
AliTasKartal,@Alitaskartal,2021-08-10T07:15:29.000Z,#Dikkat! #Dikkat! #Süperlig e haber verin emniyette olsunlar #RachidGhezzal #geliyor ,,,,1,"['Dikkat', 'Dikkat', 'Süperlig', 'RachidGhezzal', 'geliyor']"
Ahmet İpek,@ahmetipek24,2021-08-08T19:29:06.000Z,"Üç vakte kadar ülke yine kaosa girecek çünkü yangın gündemi bitmek üzere yenisini yükleyecekler  ki ekonomi ve mülteci akını hiç konuşulmasın.

#Dikkat",,,,,['Dikkat']
İletişim danışmanı,@AiledanismaniTr,2021-08-10T18:16:48.000Z,"Aranızdaki bekarları, kölelerinizden ve cariyelerinizden iyi davranışta olanları EVLENDİRİNİZ !. Eğer bunlar fakir iseler, Allah kendi lütfu ile onları zenginleştirir. Allah,(lütfu)geniş olan ve (her şeyi) bilendir.
Nur sûresi 32.âyet

#Dikkat !
#EVLENİNİZ değil !
#EVLENDİRİN !",,1,1,4,"['Dikkat', 'EVLENİNİZ', 'EVLENDİRİN']"
Fahri şimşek,@f__simsek,2021-08-07T11:04:27.000Z,"Dolandırıcıların yeni yöntemi... #dolandırıcılık
#emniyet
#oltalama
#dikkat",Emniyetgm,,,,"['dolandırıcılık', 'emniyet', 'oltalama', 'dikkat']"
Batman Konusuyor,@BatmanKonusuyor,2021-08-10T14:48:46.000Z,"Aydın’ın Efeler ilçesinde, ATM'den para çeken vatandaşa otomobil çarptı.
#dikkat #kaza #atm #surucu",,,,2,"['dikkat', 'kaza', 'atm', 'surucu']"
ÇınarFM | BatıTrakya,@CinarFM,2021-08-11T20:25:46.000Z,#WhatsApp kullananlar #dikkat! Sakın tıklamayın,"WhatsApp kullananlar dikkat! Sakın tıklamayın
Popüler mesajlaşma uygulaması olan WhatsApp'ın son dönemde küresel ölçekte dolandırıcıların yuvası haline geldiği belirtiliyor.
milletgazetesi.gr",,,,"['WhatsApp', 'dikkat']"
İşin Türkçesi,@isinturkcesicom,2021-08-06T08:00:22.000Z,"Türkiye'de hava sıcaklıkları 50 dereceye kadar çıkabilir https://isinturkcesi.com/gundem/turkiye-de-hava-sicakliklari-50-dereceye-kadar-cikabilir-h6673.html… 
#haber #işintürkçesi #Türkiye #sıcaklık #50derece #dikkat","Türkiye'de hava sıcaklıkları 50 dereceye kadar çıkabilir
Orman yangınlarıyla mücadele eden Türkiye'yle ilgili tedirgin eden haberi Almanlar verdi. Alman meteorologlar, önümüzdeki hafta başından itibaren Türkiye'de hava sıcaklıklarının 50 dereceye kadar...
isinturkcesi.com",,,,"['haber', 'işintürkçesi', 'Türkiye', 'sıcaklık', '50derece', 'dikkat']"
Emre Sever,@EmreSev06084814,2021-08-06T21:42:51.000Z,"Arkadaşlar Bu Gece Başlayacak Olan Yağmurlara Karşı Cilde Temastan Uzak Duralım Bunlar Kül Bulutları Diye Bir Söylenti Var... 

En Çokta Astım Ve Bronşit Olanlar Dikkatli Olmalı!

#yağmur #dikkat #sağlık",,,,,"['yağmur', 'dikkat', 'sağlık']"
Radyo Trafik İzmir 102.5,@radyotrafik35,2021-08-08T07:53:26.000Z,"DİKKAT!!!

Anadolu Caddesi Karşıyaka istikametinde kanal çalışmalarının tamamlanması için Turan Otobüs Durakları hizasında sağ şerit ulaşıma kapalı!

Ayrıntılar 102.5 Radyo Trafik İzmir'de...
#dikkat #uyarı #yoldurumu #izmirtrafiği #pazar",,1,,3,"['dikkat', 'uyarı', 'yoldurumu', 'izmirtrafiği', 'pazar']"
Radyo Trafik İzmir 102.5,@radyotrafik35,2021-08-08T12:26:12.000Z,"#SONDURUM

Anadolu Caddesi Karşıyaka istikametinde kanal çalışmalarının tamamlanması için yapılan çalışma Turan Otobüs Durakları sonrası devam ediyor!

Ayrıntılar 102.5 Radyo Trafik İzmir'de...
#dikkat #uyarı #yoldurumu #izmirtrafiği #pazar",,,,2,"['SONDURUM', 'dikkat', 'uyarı', 'yoldurumu', 'izmirtrafiği', 'pazar']"
Millet Gazetesi,@milletmedia,2021-08-11T20:25:19.000Z,#WhatsApp kullananlar #dikkat! Sakın tıklamayın,"WhatsApp kullananlar dikkat! Sakın tıklamayın
Popüler mesajlaşma uygulaması olan WhatsApp'ın son dönemde küresel ölçekte dolandırıcıların yuvası haline geldiği belirtiliyor.
milletgazetesi.gr",,,,"['WhatsApp', 'dikkat']"
