username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yeşil KILIÇ,@yesilkilicc,2021-01-10T10:31:35.000Z,"#Değerli #mimar ve #kent #bilimci, #MHP #Genel #Merkezimizin #mimarı #Prof. #Dr. #AhmetVefik #ALP’in #vefatını #üzüntüyle #öğrendik. #Merhuma #Allah’tan #rahmet #diliyorum. #Ruhu #şad #olsun. #ÜlküOcakları ",,1,,5,"['Değerli', 'mimar', 'kent', 'bilimci', 'MHP', 'Genel', 'Merkezimizin', 'mimarı', 'Prof', 'Dr', 'AhmetVefik', 'ALP', 'vefatını', 'üzüntüyle', 'öğrendik', 'Merhuma', 'Allah', 'rahmet', 'diliyorum', 'Ruhu', 'şad', 'olsun', 'ÜlküOcakları']"
MUSTAFA ÇAKIR,@MUSTAFACAKIRDAN,2018-05-14T08:10:52.000Z,#Mutlu ve #huzurlu bir #hafta #diliyorum. / I #wish a #happy and #peaceful #week. #at #horse #like #niceday #paradise #see #pazartesi #Monday,,,,2,"['Mutlu', 'huzurlu', 'hafta', 'diliyorum', 'wish', 'happy', 'peaceful', 'week', 'at', 'horse', 'like', 'niceday', 'paradise', 'see', 'pazartesi', 'Monday']"
Mehmet Genç,@mgenc42,2019-03-13T08:49:05.000Z,#Türkiye ye #Saadet ler #Diliyorum,,,,,"['Türkiye', 'Saadet', 'Diliyorum']"
Hayri AKG7L Official,@HayriAkg7l,2020-03-28T07:04:35.000Z,"#Günaydin #Beşiktaş #AiLesi;;
#Huzur #DoLu #MusmutLu #Bir #SabahLar #DiLiyorum ;;

#SaygıLar
#Hayri AKG7L 
;; @ Antalya, Turkey https://instagram.com/p/B-RK195BvqVhDN8yebRo66mIjLwrXzxeLrfVRE0/?igshid=1owkwne0ca4rf…",,,,,"['Günaydin', 'Beşiktaş', 'AiLesi', 'Huzur', 'DoLu', 'MusmutLu', 'Bir', 'SabahLar', 'DiLiyorum', 'SaygıLar', 'Hayri']"
Aleks Sancez,@AleksSancez1,2021-05-31T19:11:35.000Z,#Eski #yili #geride #bırakıp #yeni #yıla #girmek #üzereyiz  #Hoşgeldin#2021  #şeker #gibi #tatlı #masal #gibi #guzel #bir #yıl #diliyorum #MUTLU #YILLAR  @ Tichy Eissalon https://instagram.com/p/CPjHECBDmKY/?utm_medium=twitter…,,,,,"['Eski', 'yili', 'geride', 'bırakıp', 'yeni', 'yıla', 'girmek', 'üzereyiz', 'Hoşgeldin', '2021', 'şeker', 'gibi', 'tatlı', 'masal', 'gibi', 'guzel', 'bir', 'yıl', 'diliyorum', 'MUTLU', 'YILLAR']"
maxsmlyanuz,@maxsmlyanuz,2018-05-10T02:19:09.000Z,"#mutlu sabahlar
#hayırlı huzurlu 
#sevdiklerinizle birlikte 
#her şeyin #gönlünüzce olacağı #musmutlu bir gün #diliyorum...

      G Ü N A Y D I N",GIF,3,60,282,"['mutlu', 'hayırlı', 'sevdiklerinizle', 'her', 'gönlünüzce', 'musmutlu', 'diliyorum']"
ayferablak,@ayferablak,2020-09-09T07:16:39.000Z,"#Sesimin #Ulaştığı 
                    #Herkese 
                         #Güzellikler #Diliyorum 

 ",,7,22,245,"['Sesimin', 'Ulaştığı', 'Herkese', 'Güzellikler', 'Diliyorum']"
SalihAĞCA,@SalihACA11,2021-07-04T05:39:10.000Z,"#Mutlu #Pazarlar 
#Diliyorum #Herkese",,3,62,198,"['Mutlu', 'Pazarlar', 'Diliyorum', 'Herkese']"
.A.V.Ş.İ.Ñ.,@roniya_sewe_4,2020-09-17T06:57:15.000Z,#Keyiflivakitler #diliyorum değerli dostlarıma,,7,5,130,"['Keyiflivakitler', 'diliyorum']"
DİLEK,@Dilekkalp,2019-05-08T03:56:03.000Z,"Ben halâ #umutluyum, yarınların güzel olmasını #diliyorum...

Gününüz güzel olsun 

#Günaydın 
#Çarşamba 
#İzmir 
#Fenerbahçe 
#HerŞeyGüzelOlacak ",DİLEKRT,1,5,58,"['umutluyum', 'diliyorum', 'Günaydın', 'Çarşamba', 'İzmir', 'Fenerbahçe', 'HerŞeyGüzelOlacak']"
SalihAĞCA,@SalihACA11,2021-06-27T13:57:00.000Z,",,#İYİ #AKŞAMLAR #DİLİYORUM,,
,,,,,,,TÜM DOSTLARA SEVĞİYLE,,,,,,",,,32,114,"['İYİ', 'AKŞAMLAR', 'DİLİYORUM']"
BY DENİZ,@lm_adem,2020-09-25T07:28:15.000Z,"#Hayatınızdan Renk...!
#Gönlünüzden Umut...!
#Yüzünüzden Gülümsemenin #Eksik Olmadığı bir Gün #Diliyorum.!!!
                       
#GünaydınArkadaşlar...!!!
#CumanızMubarekOlsun...!!!
                       ",,2,7,115,"['Hayatınızdan', 'Gönlünüzden', 'Yüzünüzden', 'Eksik', 'Diliyorum', 'GünaydınArkadaşlar', 'CumanızMubarekOlsun']"
murat,@romantikduygu,2019-09-08T13:16:53.000Z,"●╠●►  #MUTLU #AKŞAMLAR 
●╠●═●►  Yüreğinizdeki
  #Güzelliklerin
●╠●ve Umudun
●╠●════●►  Hiç #Tükenmemesi
Dileğiyle...
 Hayırlı Huzurlu 
●╠●═══════●►   Bir AKŞAM #Geçirmenizi #Diliyorum... #Sevgiler ",,3,17,110,"['MUTLU', 'AKŞAMLAR', 'Güzelliklerin', 'Tükenmemesi', 'Geçirmenizi', 'Diliyorum', 'Sevgiler']"
Sezgin Sevinç,@sezginsevinc34,2020-05-11T16:32:41.000Z,"Bazen yaşamına giren
doğru bir insan
Senin hayatını baştan yazar
Senden bir şey almadan.
Sana binlerce şey katar.

#Muhteşem #Bir #AKŞAM #Diliyorum

Her şeyin varken sağlığın
yoksa
her şeyin varken zamanın
yoksa
her şeyin varken sevdiklerin
yoksa,
O her şey kocaman hiçbir
şeydir.","0:54
855 views",,231,536,"['Muhteşem', 'Bir', 'AKŞAM', 'Diliyorum']"
Sezgin Sevinç,@sezginsevinc34,2020-07-11T08:14:31.000Z,"Güneşler doğsun yüreğinde
bugün,
çiçekler açsın.
Gözlerinin ışığında şarkılar söylensin.
Dans etsin kalbinin müziğinde
tüm mutlu hayaller.
Ve Umutların düşlediğin
gibi olsun.

#Gönlünüzce #Bir #Hafta #Sonu #diliyorum

Mucizelerle dolu Güzel
Bir Gün Olsun

#Günaydınlar",,,181,435,"['Gönlünüzce', 'Bir', 'Hafta', 'Sonu', 'diliyorum', 'Günaydınlar']"
Psn27,@lepen27,2020-03-25T15:34:12.000Z,"#Sevgi #Sağlık #Huzur #Sizinle #Olsun 
#Mutlu #Akşamlar #Diliyorum #Dostlar.",,5,2,21,"['Sevgi', 'Sağlık', 'Huzur', 'Sizinle', 'Olsun', 'Mutlu', 'Akşamlar', 'Diliyorum', 'Dostlar']"
