username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
kw_𝑯𝒂𝒕𝒊𝒄𝒆 𝒀𝒖̈𝒄𝒆𝒅𝒂𝒈̆2727,@kw_htcyucedag,2021-08-11T17:48:16.000Z," #realestate #estate #everythink #arsa #arazi #easy #designer #doityourself #justdoit #world #new #mühendis..#doktor #asker #polis #hakim #savcı #avukat #istanbul #trakya #germany #berlin #kktc #azerbaycan #almanyadakitürkler #fransa #ingiltere #belçika 
𝑮𝒂𝒛𝒊𝒂𝒏𝒕𝒆𝒑","0:26
50 views",,,4,"['realestate', 'estate', 'everythink', 'arsa', 'arazi', 'easy', 'designer', 'doityourself', 'justdoit', 'world', 'new', 'mühendis', 'doktor', 'asker', 'polis', 'hakim', 'savcı', 'avukat', 'istanbul', 'trakya', 'germany', 'berlin', 'kktc', 'azerbaycan', 'almanyadakitürkler', 'fransa', 'ingiltere', 'belçika']"
op dr Hatice Tacettin,@TacettinHatice,2021-08-11T12:49:16.000Z,"#opdrhaticetacettin 
#genelcerrahiuzmanı #cerrahi
#surgery #surgeon #ameliyat #doktor #cerrah #operation #hospital #medicine #operatingroom #healthcare
#womansurgeon
#www.haticetacettin.com.tr
#02242461614 - 05321636576",,,,,"['opdrhaticetacettin', 'genelcerrahiuzmanı', 'cerrahi', 'surgery', 'surgeon', 'ameliyat', 'doktor', 'cerrah', 'operation', 'hospital', 'medicine', 'operatingroom', 'healthcare', 'womansurgeon', 'www', '02242461614']"
Dr. A. Cula,@aliendoktor,2021-08-13T05:30:45.000Z,"Back at work, one hour running’
 
#medicine #doctor #doktor #medicalprofessional #dsp #ga #immerda @ Rheinland-Pfalz, Germany https://instagram.com/p/CSgL87oBzIY/?utm_medium=twitter…",,,,,"['medicine', 'doctor', 'doktor', 'medicalprofessional', 'dsp', 'ga', 'immerda']"
বাবাই Anindya,@xyzsamanta,2021-08-10T08:28:19.000Z,"#doktor
You are the hung parliament of my head and my head is under the Guillotine.

#stuck_in_the_staircase",,,,,"['doktor', 'stuck_in_the_staircase']"
personelsaglikbilgilendirme,@personelsaglik_,2021-08-07T06:45:01.000Z,"Ayaktan Teşhis ve Tedavi Yapılan Özel Sağlık Kuruluşları Yönetmeliğinde düzenleme yapıldı.

#tabip
#doktor",,,1,2,"['tabip', 'doktor']"
Ali Serçe,@AliSere20,2021-08-07T08:56:16.000Z,"#Dost 
#Doktor",,2,9,111,"['Dost', 'Doktor']"
Dr. Rajas Deshpande,@RajasDeshpande,2021-08-06T08:13:53.000Z,#medicine #medical #doctors #doktor #arzt #studymotivation #study  #lakare #medicina #lijek #neuro #neurosciences #neurology #neurologist #strokerecovery #strokeawareness  #goldmedal  #brain #geneeskunde #doctor #movement #goldmedal #olympics2021 #india  #neurosurgery #stroke,,,5,9,"['medicine', 'medical', 'doctors', 'doktor', 'arzt', 'studymotivation', 'study', 'lakare', 'medicina', 'lijek', 'neuro', 'neurosciences', 'neurology', 'neurologist', 'strokerecovery', 'strokeawareness', 'goldmedal', 'brain', 'geneeskunde', 'doctor', 'movement', 'goldmedal', 'olympics2021', 'india', 'neurosurgery', 'stroke']"
personelsaglikbilgilendirme,@personelsaglik_,2021-08-07T06:43:24.000Z,"Ozel Hastaneler Yönetmeliğinde düzenleme yapıldı...

#tabip
#doktor
#ozelhastaneler",,,,2,"['tabip', 'doktor', 'ozelhastaneler']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-13T13:00:50.000Z,"Neşe ile gülen yüzler ve ağrısız omurgalar dilerim 
.
.
.
.
.
.
#motivasyon #mutluluk #huzur #istanbul #doktor #sağlık #mucizedoktor",,,,,"['motivasyon', 'mutluluk', 'huzur', 'istanbul', 'doktor', 'sağlık', 'mucizedoktor']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-09T10:48:20.000Z,"Neşeniz daim olsun sevgili dostlar 
.
.
.
.
.
.
.
#motivasyon #mutluluk #huzur #istanbul #doktor #sağlık #aşk #söz",,,,1,"['motivasyon', 'mutluluk', 'huzur', 'istanbul', 'doktor', 'sağlık', 'aşk', 'söz']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-06T11:59:00.000Z,"Sağlıklı Omurga 
Ağrısız yaşam 
Huzur 
Mutluluk 
.
.
.
.
.
.
.
.
#motivasyon #mutluluk #huzur #istanbul #doktor #aşk #mucizedoktor",,,,1,"['motivasyon', 'mutluluk', 'huzur', 'istanbul', 'doktor', 'aşk', 'mucizedoktor']"
Zabaione,@KoelnKulturKolu,2021-08-08T19:26:51.000Z,"#faber bei #dokternordstätter  im #tatort jetzt wo er weiß, dass der gar kein #doktor ist lässt er sich #beraten zu #lsd ?",,,,1,"['faber', 'dokternordstätter', 'tatort', 'doktor', 'beraten', 'lsd']"
op dr Hatice Tacettin,@TacettinHatice,2021-08-09T10:57:49.000Z,"#opdrhaticetacettin 
#genelcerrahiuzmanı #cerrahi
#surgery #surgeon #ameliyat #doktor #cerrah #operation #hospital #medicine #operatingroom #healthcare
#womansurgeon
#www.haticetacettin.com.tr
#02242461614 - 05321636576",,,,,"['opdrhaticetacettin', 'genelcerrahiuzmanı', 'cerrahi', 'surgery', 'surgeon', 'ameliyat', 'doktor', 'cerrah', 'operation', 'hospital', 'medicine', 'operatingroom', 'healthcare', 'womansurgeon', 'www', '02242461614']"
WISDOMFoundation,@myWISDOMF,2021-08-06T07:01:14.000Z,"Replying to 
@myWISDOMF","WISDOM Foundation menjemput anda untuk membincangkan isu ini bersama:
1. Dr. Deeban Ramasamy (
@HKontrak
)
2. YB Dr 
@Kelvinyii88
 (MP Bandar Kuching (P195))
3. Dr Lianne Alychia Hendriks (Presiden, MMI Doctors (2020/2021))",1,1,1,[]
