username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ali Yavuz Şahin,@AliYavuzSahin,2019-03-19T08:22:40.000Z,#dogalkaynaksuyu  @ Soho House Istanbul https://instagram.com/p/BvLtr9kAJ6s/?utm_source=ig_twitter_share&igshid=xdu511lnyv3v…,,,,,['dogalkaynaksuyu']
Asya Su,@Asyakaynaksu,2021-06-25T11:13:08.000Z,"Doğal olanı, el değmeden,
SADECE ŞİŞELİYORUZ 
 #DoğalKaynakSuyu",,,2,4,['DoğalKaynakSuyu']
Asya Su,@Asyakaynaksu,2021-06-25T11:11:05.000Z,"için için doğallık
#DoğalKaynakSuyu",,,1,6,['DoğalKaynakSuyu']
AKYUDUM SU,@AkyudumS,2021-06-23T13:44:03.000Z,"Her yerde Akyudum Su 

#susadıkçaakyudum #doğalkaynaksuyu",,,,,"['susadıkçaakyudum', 'doğalkaynaksuyu']"
aydanımaydan,@sarayinkedisi,2018-08-04T12:18:02.000Z,#ereğli #ivriz #doğalkaynaksuyu #kankaylayemek,,,,2,"['ereğli', 'ivriz', 'doğalkaynaksuyu', 'kankaylayemek']"
Pirsu Akıncılar,@pirsu574,2021-04-06T12:11:52.000Z,"19 Lt Damacana 10 Tl..
2 Adet Damacana 18 Tl..
Yeni abonelerimize özel ilk siparişinize ""Nil Bulaşık Deterjanı"" Hediyemizdir!!!
Sipariş Tel: 0544 574 74 92 
#buca #akıncılar #pirsu #damacana #su #damacanasu #doğalkaynaksuyu #şirinyer #karabağlar",,,,,"['buca', 'akıncılar', 'pirsu', 'damacana', 'su', 'damacanasu', 'doğalkaynaksuyu', 'şirinyer', 'karabağlar']"
MARSU,@marsu_tr,2021-06-20T15:15:01.000Z,"Tüm babaların Babalar Günü kutlu olsun!

Happy Father’s Day!

#Marsu #Su #DoğalKaynakSuyu #Sağlık #Water #Health #NaturalSpringWater #BabalarGünü #FathersDay",,,,,"['Marsu', 'Su', 'DoğalKaynakSuyu', 'Sağlık', 'Water', 'Health', 'NaturalSpringWater', 'BabalarGünü', 'FathersDay']"
gumussubursa,@gumussubursa,2018-03-22T09:29:06.000Z,"Regaib Kandiliniz Mübarek Olsun.

#regaibkandili #regaib #gümüşsu #gümüşsubursa #gümüşsuuludağ #doğalkaynaksuyu",,,,,"['regaibkandili', 'regaib', 'gümüşsu', 'gümüşsubursa', 'gümüşsuuludağ', 'doğalkaynaksuyu']"
Tuba ECE,@Tuba5409,2020-07-27T12:30:01.000Z,"#eğil #doğalkaynaksuyu #aşağıdeğirmen
@munirkaraloglu
 
@bahar2809
 
@Ecee0110
 
@KanBedran","0:10
364 views",1,2,38,"['eğil', 'doğalkaynaksuyu', 'aşağıdeğirmen']"
caner beyhan,@alemsinvallasen,2021-02-07T10:38:20.000Z,#doğalkaynaksuyu yedişubatikibinyirmibirpazar,,,,,['doğalkaynaksuyu']
