username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Honour Timuroglu,@HonourTimuroglu,2019-12-18T19:25:31.000Z,"Species: Wild Cyclamen Coum (Yabani Siklamen)
Altitude: 372 meters
Location: Blacksea Region/TURKEY
Date: 12/18/2018
Photographed by 
@HonourTimuroglu
 
#flora #doğaseverler #CyclamenCoum #YabaniSiklamen #endemicspecies #türkiyeçiçekleri #doğaçiçekleri #cyclamens #AsianCyclamen",,1,4,12,"['flora', 'doğaseverler', 'CyclamenCoum', 'YabaniSiklamen', 'endemicspecies', 'türkiyeçiçekleri', 'doğaçiçekleri', 'cyclamens', 'AsianCyclamen']"
PeakBays®,@PeakBays,2019-03-03T20:54:05.000Z,"N-Rit Icemate Cool Towel Havlu 
#peakbays
#kamp #doğa #gezgin #outdoors #adventure #yolacik #kampturkiye #dağcılık #macera #doğaseverler #hediye #kitap #decathlonturkey #kamping… https://instagram.com/p/Buj29UTF-wp/?utm_source=ig_twitter_share&igshid=1p9wo9x78e5rx…",,,,1,"['peakbays', 'kamp', 'doğa', 'gezgin', 'outdoors', 'adventure', 'yolacik', 'kampturkiye', 'dağcılık', 'macera', 'doğaseverler', 'hediye', 'kitap', 'decathlonturkey', 'kamping']"
,@ametkosar,2019-08-01T12:10:09.000Z,"Study nature, love nature, stay close to nature. It will never fail you. 

 #nature #izmir #dolungaz #karaburun #holiday #sunshine #camp #camping #campinglife #treking #doğaseverler… https://instagram.com/p/B0nvB6CBlbHI3l5cMq60LptBnmXRHz0H1nMS9k0/?igshid=zn0u2qnufq9l…",,,,,"['nature', 'izmir', 'dolungaz', 'karaburun', 'holiday', 'sunshine', 'camp', 'camping', 'campinglife', 'treking', 'doğaseverler']"
TRT TÜRK,@trtturk,2020-04-03T12:45:00.000Z,"Iğdır'da, doğaseverler turistik göldeki balıkları kurtarmak için seferber oldu
#trttürk #ığdır #doğaseverler
http://trtturk.com.tr",,,,7,"['trttürk', 'ığdır', 'doğaseverler']"
Aynur Ayaz,@aynurayaz,2018-06-18T11:04:08.000Z,#iyihaftalar #pazartesi #yeşil #doğa #doğaseverler #biz #mavi,,4,6,153,"['iyihaftalar', 'pazartesi', 'yeşil', 'doğa', 'doğaseverler', 'biz', 'mavi']"
BJK,@guzcicegi06,2019-04-23T11:00:02.000Z,"2 milyondan fazla ağaç fidanı diktiler. 
#DoğaSeverler 

Sonuç olarak saha;
293 bitki türü,172 kuş türü ve bazıları soyunun sınırında olan 33 hayvan türü olarak geri döndü,su kaynakları restore edildi. 

Bakın 18 yılda neler oldu...!!!",,,18,216,['DoğaSeverler']
Ebru Özdil,@Ebruzdil7,2021-01-13T11:39:24.000Z,"Huzur doğada  #doğaseverler 
Burda kiminle olmak isterdiniz ",,,,5,['doğaseverler']
naturalogistanbul,@naturalogistan,2020-01-26T16:00:17.000Z,#nature #naturephotography #naturelovers #naturelover #nature_perfection #nature_brilliance #rock #rocks #canyon #tree #trees #sun #sky #clouds #agac #kanyon #göl #güneş #gunes #gunbatimi #doğa #doğal #kaya #dogaseverler #natur #mountain #dag #dağ #berg #derberg,,,,2,"['nature', 'naturephotography', 'naturelovers', 'naturelover', 'nature_perfection', 'nature_brilliance', 'rock', 'rocks', 'canyon', 'tree', 'trees', 'sun', 'sky', 'clouds', 'agac', 'kanyon', 'göl', 'güneş', 'gunes', 'gunbatimi', 'doğa', 'doğal', 'kaya', 'dogaseverler', 'natur', 'mountain', 'dag', 'dağ', 'berg', 'derberg']"
Hasan Alkan,@HasanAl69729460,2020-12-13T14:27:27.000Z,"#damlahesdursun
#kaçkarölmesin

#yusufeli #demirdövenköyü #yaylalarköyü #HES #kackardağları #dogaseverler #dogayıkoru",,,,1,"['damlahesdursun', 'kaçkarölmesin', 'yusufeli', 'demirdövenköyü', 'yaylalarköyü', 'HES', 'kackardağları', 'dogaseverler', 'dogayıkoru']"
Osman Karadeniz,@osmankrdnz,2021-05-31T21:55:22.000Z,Biri ağacın önemini anlatan anlamlı bir fotoğraf...! Ve önemi anlaşılmayan binlercesi...#İkizdere #ikizderedireniyor #temavakfi #idef_ikizdere #ikizderetasocağıolmasın #ormanlarcocuklarındır #dogaseverler #RİZE,,,10,22,"['İkizdere', 'ikizderedireniyor', 'temavakfi', 'idef_ikizdere', 'ikizderetasocağıolmasın', 'ormanlarcocuklarındır', 'dogaseverler', 'RİZE']"
