username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ム•‿•ム,@kratosbunny,2019-04-03T09:11:53.000Z,"Replying to 
@cocicocu",hahahahah #doğrubilgi,1,,,[]
Migros Türkiye,@Migros_Turkiye,2018-05-25T18:00:32.000Z,"Beslenme uzmanımız Diyetisyen Serap Orak Tufan “İyi bir sahur nasıl olmalıdır?” sorumuzu MigrosTV’de sizler için yanıtladı. http://bit.ly/MigrosTVİyiBirTV%C4%B0yiBirSahur… 
#NelerOluyor #DoğruBilgi #SağlıklıBeslenme",,7,33,43,"['NelerOluyor', 'DoğruBilgi', 'SağlıklıBeslenme']"
Migros Türkiye,@Migros_Turkiye,2018-05-25T12:31:47.000Z,"“Süt, yumurta, yoğurt gibi gıdalar tok tutar mı?” sorusunu, Diyetisyen Serap Orak Tufan MigrosTV’de sizler için yanıtladı.
Bakalım beslenme uzmanımızın yanıtı ne oldu? http://bit.ly/MigrosTVTokTutanYiyecekler… 
#NelerOluyor #DoğruBilgi #SağlıklıBeslenme",,3,31,35,"['NelerOluyor', 'DoğruBilgi', 'SağlıklıBeslenme']"
Hatay Milli İrade Gazetesi,@htymilliirade,2018-05-03T22:45:32.000Z,#DOGRUBİLGİ,,,,2,['DOGRUBİLGİ']
mhmt kskn,@MhmtKeskin58,2020-05-25T09:39:11.000Z,#Doğrubilgi,,,,2,['Doğrubilgi']
Y-PEER Türkiye,@SagliktaGenc,2020-03-31T15:29:35.000Z,"Sağlık Bakanlığı, Dünya Sağlık Örgütü gibi güvenilirliği kanıtlanmış bilgilerin yaygınlaştırılması için hepimiz sorumlu davranmalıyız. Şüpheli bilgi ile karşılaştığımızda kaynağını araştırarak, haber doğrulama platformlarını kullanarak doğru bilgiye erişebiliriz!
#doğrubilgi",,1,1,2,['doğrubilgi']
Mansur EL SABAH®,@mansurelsabah,2020-06-12T09:06:48.000Z,"#DoğruBilgi 
#ekremimamoğlu #XiaomiLansmanı #SUSMAYACAGIZ",,,3,5,"['DoğruBilgi', 'ekremimamoğlu', 'XiaomiLansmanı', 'SUSMAYACAGIZ']"
beyza zapsu,@beyzazapsu,2020-06-28T12:52:36.000Z,"Eskiyi sil, yeni doğru bilgi ile yeniden beynini programla! 

#beyin #bilgi #yeni #doğrubilgi #program",,,65,96,"['beyin', 'bilgi', 'yeni', 'doğrubilgi', 'program']"
Bilnet Okulları - Kocaeli Kampüsü,@bilnetkocaeli,2018-02-20T13:51:12.000Z,Bilnet Okulları Kocaeli Kampüsü #Bilnetokulları #BilnetKocaeli #anaokulu #İlkokul #ortaokul #anadolulisesi #özelfenlisesi #doğrueğitim #doğrubilgi  #Kocaeli #İzmit,,,9,21,"['Bilnetokulları', 'BilnetKocaeli', 'anaokulu', 'İlkokul', 'ortaokul', 'anadolulisesi', 'özelfenlisesi', 'doğrueğitim', 'doğrubilgi', 'Kocaeli', 'İzmit']"
ibb dönüşüm,@ibbdonusum,2021-07-28T14:21:45.000Z,"Mit? / Gerçek!
Hava sıcaklıklarıyla depremim bilinen herhangi bir ilişkisi yoktur. Deprem, yer kabuğunda ortaya çıkan enerjiyle ilgilidir. #deprem #dogrubilgi #mitgercek #ibbdonusum #dayanıklıistanbul #deprembilgilendirme #afet",,,1,3,"['deprem', 'dogrubilgi', 'mitgercek', 'ibbdonusum', 'dayanıklıistanbul', 'deprembilgilendirme', 'afet']"
Selahattin Karakök,@farkedenben,2019-10-23T08:09:18.000Z,"#SabahınSözü

... Her koşulda ""dosdoğru"" olduğumuzda 
İnsan olmaya başlarız..
#HasanOnat 
@Hasanonat
 

#FarklıKılan #Akıl #Adalet #Kullanmak 
#Anlamak #Düşünce #Davranış 
#Kökİlke #DoğruBilgi #DosdoğruOlmak
#İnsanOlmak",,1,2,4,"['SabahınSözü', 'HasanOnat', 'FarklıKılan', 'Akıl', 'Adalet', 'Kullanmak', 'Anlamak', 'Düşünce', 'Davranış', 'Kökİlke', 'DoğruBilgi', 'DosdoğruOlmak', 'İnsanOlmak']"
Finansal Okuryazarlık ve Erişim Derneği,@foderturkiye,2021-04-30T09:05:59.000Z," Sigorta yaptırırken nelere dikkat etmelisiniz? (Part 1)

#doğrubilgi #tambilgi #poliçe #genelşartlar #teminat #özelşart #sigorta #finansalokuryazarlık #foderturkiye #ParasınıYönetenHayatınıYönetir",,1,,3,"['doğrubilgi', 'tambilgi', 'poliçe', 'genelşartlar', 'teminat', 'özelşart', 'sigorta', 'finansalokuryazarlık', 'foderturkiye', 'ParasınıYönetenHayatınıYönetir']"
Güvenli İnternet Merkezi,@guvenlinet,2019-02-13T11:43:06.000Z,Sosyal medyadaki onlarca bilgi ve haberleri doğrulama yöntemi ile ilgili yazımızı okumaya davetlisiniz - http://guvenliweb.org.tr/blog-detay/dogru-habere-ulasmanin-dogru-yontemleri… - #internet #haber #teknoloji #doğrubilgi #güvenlilir #yalanhaber,"Güvenli Web - DOĞRU HABERE ULAŞMANIN DOĞRU YÖNTEMLERİ
Hiç düşündük mü, sosyal medyada her gün maruz kaldığımız onlarca bilgi ve haberin doğruluk payı ne kadardır, hangi kısmı doğru, hangi kısmı yalandır? Neyi empoze etmeye çalışmaktadır, haberin amacı...
guvenliweb.org.tr",,17,17,"['internet', 'haber', 'teknoloji', 'doğrubilgi', 'güvenlilir', 'yalanhaber']"
T.C. Kocaeli Devlet Hastanesi,@kocaelidevhst,2019-05-23T01:32:26.000Z,"İlaçlarınızı kullanma talimatında belirtilen şekilde saklamalısınız. 

#SağlığınızHedefimiz #sağlık #ilaç #akılcıilaç #Doğrubilgi #perşembe #Türkiye",,,5,22,"['SağlığınızHedefimiz', 'sağlık', 'ilaç', 'akılcıilaç', 'Doğrubilgi', 'perşembe', 'Türkiye']"
HilmiDemi,@hlmdmrl,2018-06-16T06:53:16.000Z,"#TDEğitimi #LangLitrEdu #DoğruBilgi 
Derslerde, bulduğunuz şiirleri aslıyla kontrol edin, derim. Buna mukabil ""şiir sepeti nokta kom"" tarzı sayfalardan yanlış ezberledikleri şiirlere bile rastladım.

Bu yüzyılın sorunu ""bilgi"" değil, ""bilginin doğruluğunu teyit"" edebilmek!",,3,1,5,"['TDEğitimi', 'LangLitrEdu', 'DoğruBilgi']"
T.C. Kocaeli Devlet Hastanesi,@kocaelidevhst,2019-05-23T01:27:41.000Z,"Doğru dozda ve doğru endikasyonda (tıbbı durumda) kullanılmayan ağrı kesiciler sağlığınıza zarar verebilir.

#Doktor tavsiyesi ve tedavisi dışında lütfen #ilaç kullanmayın.

#SağlığınızHedefimiz #sağlık #akılcıilaç #Doğrubilgi #perşembe #Türkiye",,,5,24,"['Doktor', 'ilaç', 'SağlığınızHedefimiz', 'sağlık', 'akılcıilaç', 'Doğrubilgi', 'perşembe', 'Türkiye']"
Halk Sağlığı Uzmanları Derneği (HASUDER),@hasuder,2020-07-06T07:35:21.000Z,"Haftanın HASUDER Önerisi 

Dijital ortamda bilgiyi paylaşmadan önce;
-Dur
-İçeriği değerlendir
-Doğru olduğundan emin  ol

#halksağlığı #hasuder #digital #bilgi #doğrubilgi",,,1,2,"['halksağlığı', 'hasuder', 'digital', 'bilgi', 'doğrubilgi']"
M.Burak Temizkan,@mbtemizkan,2019-03-03T05:53:53.000Z,Eğitime ve bilgiye destek hepimizin görevi olmalı  #EğitimŞart #DoğruBilgi #OkumakLazım,,,3,7,"['EğitimŞart', 'DoğruBilgi', 'OkumakLazım']"
İSKELET Dergisi,@iskeletdergisi,2018-07-22T11:01:16.000Z,"""Başlık""

Büşra Gültaş yazdı: Medyada Algı Yönetimi...

http://iskeletdergisi.com/medyada-algi-yonetimi/…

#İskeletDergisi
#GelecekeleVücutBulacağız
#algıoperasyonları #bilinçlitüketici #doğrubilgi #iletişimeksikliği #medyakanalları #medyadaalgıyönetimi #tüketimtoplumu",,,3,4,"['İskeletDergisi', 'GelecekeleVücutBulacağız', 'algıoperasyonları', 'bilinçlitüketici', 'doğrubilgi', 'iletişimeksikliği', 'medyakanalları', 'medyadaalgıyönetimi', 'tüketimtoplumu']"
sezen,@zesenz,2020-08-10T14:11:07.000Z,"Ayaklarımız dirseğimiz ile bileğimiz arasındaki mesafeye eşittir. 
#gereksizbilgi #ayak  #mesafe #doğrubilgi",,1,,6,"['gereksizbilgi', 'ayak', 'mesafe', 'doğrubilgi']"
V4hdet-i Vücud,@VahdetiVcud,2019-09-20T17:36:12.000Z,"Şeytanını müslüman etmek 
#şeytan #insanoğlu #İnsan #din #insansı #müslüman #doğrubilgi #öfke #kıskançlık #nefret #duygular #AhmedHulusi #sufafy 
@sufafy",,,2,11,"['şeytan', 'insanoğlu', 'İnsan', 'din', 'insansı', 'müslüman', 'doğrubilgi', 'öfke', 'kıskançlık', 'nefret', 'duygular', 'AhmedHulusi', 'sufafy']"
