username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Su TAS,@sutas_,2017-02-04T19:38:56.000Z,I said go Shyam #DoğruOlan,,,,,['DoğruOlan']
Elif,@Eliff_30,2017-02-04T19:23:19.000Z,Ohhh sonunda bee #DoğruOlan,,,,1,['DoğruOlan']
S.,@santayy,2017-02-04T19:22:48.000Z,"Replying to 
@iremacikels",hahahah bende #DoğruOlan,,1,1,[]
FERDANE,@ferdanex1,2017-02-04T19:07:27.000Z,#DoğruOlan,,,3,2,['DoğruOlan']
Arnav&Khushi,@ArnavKh48240353,2017-02-04T19:23:21.000Z,#DoğruOlan Birde benim için vur be,GIF,,15,42,['DoğruOlan']
Kanal 7,@kanal7,2019-02-06T13:10:00.000Z,"İkimizin Yerine yeni bölümüyle Kanal 7'de.
İzleme linki http://kanal7.com/canli-izle
Bu bölüm etiketimiz #DoğruOlan 
@kanal7
 #İkimizinYerine #BalikaVadhu",,1,4,4,"['DoğruOlan', 'İkimizinYerine', 'BalikaVadhu']"
Özkan Özkul,@zkanzkul4,2017-02-04T17:51:17.000Z,#DoğruOlan,,,5,1,['DoğruOlan']
hazal güzel,@hazalguzel3,2017-02-04T18:00:49.000Z,#DoğruOlan arnav khushıyı kurtardııııı,GIF,,4,3,['DoğruOlan']
Özkan Özkul,@zkanzkul4,2017-02-04T17:52:08.000Z,#DoğruOlan,,,12,18,['DoğruOlan']
Hande,@Hande17352938,2017-02-04T17:56:26.000Z,#DoğruOlan,,1,11,7,['DoğruOlan']
(Saathiya),@MasumDizisi,2019-02-06T12:44:38.000Z,"#İkimizinYerine Yeni bölümü ile birazdan kanal7'de Bölüm Etiketimiz #DoğruOlan 
@kanal7
 @Kanal7Dizileri
 @yahyaozturkk
 #BalikaVadhu",,,8,10,"['İkimizinYerine', 'DoğruOlan', 'BalikaVadhu']"
nesliş güler,@neslimehmet2008,2017-02-04T19:04:20.000Z,#DoğruOlan nasıl oluyosa hiç bir delil yok arkadaş,,,5,2,['DoğruOlan']
Dilek,@_fmltrk,2017-02-04T19:24:28.000Z,Shyam dayak yedikten sonra biz #DoğruOlan,"0:36
173 views",1,11,14,['DoğruOlan']
Gökyüzü,@pembe1gezegen,2017-02-04T18:19:35.000Z,Olan biten olayları görünce ben jsjjsjs bunlar neyse de siz bir de ailede benim yaratacağım fırtınaya hazırlanın az kaldı #DoğruOlan,Akash and 4 others,1,11,8,['DoğruOlan']
Rode&elifsu*saras,@elifsu_81,2017-02-04T17:40:23.000Z,Arnav ve khushi nin  saf temiz içten aşkları #DoğruOlan,,1,28,24,['DoğruOlan']
BaRnav,@fesleenkokusu,2017-02-04T18:09:50.000Z,konuyu bilmesem mutlu mutlu piknik yapılıyo sanardım #DoğruOlan,,,10,5,['DoğruOlan']
Khushi Singh Raizada,@Khushii_KGSR,2017-02-04T19:28:12.000Z,"Uyyy Ahaaa @ASR_BGA  
@zarenaQureshiBP
  #DoğruOlan",GIF,1,1,7,['DoğruOlan']
S.,@santayy,2017-02-04T19:10:37.000Z,"Şaşkın Arnav en sevdiklerimden
@BarunSobtiSays
#DoğruOlan",,1,10,42,['DoğruOlan']
