username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Lokman Ecza Deposu,@LokmanEcza,2021-08-06T06:03:22.000Z,"#GününÖnerisi 

Bolca sıvı kaybettiğimiz bu günlerde sağlıklı sıvı miktarını yakalamak için günde en az 8 bardak su tüketmeliyiz.  
.
.
#LokmanEczaDeposu #LokmanEcza #TamZamanında #Eczane #Eczacı #eczacılık #eczacım #Antalya #Türkiye #Spor #SağlıklıYaşam #su #water",,,1,5,"['GününÖnerisi', 'LokmanEczaDeposu', 'LokmanEcza', 'TamZamanında', 'Eczane', 'Eczacı', 'eczacılık', 'eczacım', 'Antalya', 'Türkiye', 'Spor', 'SağlıklıYaşam', 'su', 'water']"
Yücel Ceylan,@yucelceylancom,2021-08-06T15:59:09.000Z,Yiyemiyesiniz..,,35,161,1.1K,[]
Aysegul Birlik,@aysegulbirlik_,2021-08-07T06:29:42.000Z,"Yanık kremleri ve ecza malzemesi eczanelerden alındıktan sonra aracıların elinde fyt yükseliyor, #eczane fiyatı Sağlık Bk nca belirlenmiştir değişemez",,,1,6,['eczane']
Ödemiş Belediyesi,@odemisbel,2021-08-09T16:41:16.000Z,"Tüm hemşehrilerimize sağlık dolu günler dileriz...

#Ödemiş #ÖdemişBelediyesi #Nöbetçi #Eczane #NöbetçiEczane #ÖnceSağlık",,,,5,"['Ödemiş', 'ÖdemişBelediyesi', 'Nöbetçi', 'Eczane', 'NöbetçiEczane', 'ÖnceSağlık']"
Eczacılıkta Değişim Platformu,@ecz_degisim,2021-08-13T12:28:56.000Z,"Diğer sağlık meslek örgütleri ile ortak bir platform kurarak sağlık çalışanları olarak ortak hareket etme kararı aldık. Beraber bildiriler ve basın açıklamaları düzenledik. 

#yenidenhepbirlikte #eczacı #eczacılık #eczane #BirlikteYönetelim #BirlikteBaşaralım",,,3,5,"['yenidenhepbirlikte', 'eczacı', 'eczacılık', 'eczane', 'BirlikteYönetelim', 'BirlikteBaşaralım']"
Lokman Ecza Deposu,@LokmanEcza,2021-08-09T05:22:05.000Z,"Günaydın 

Tüm eczacılarımıza ve hastalarımıza sağlıklı bir hafta dileriz. 
.
.
#Antalya #Burdur #Manavgat #LokmanEcza #EczaDeposu #Eczane #Eczacı #Pazartesi #Hayırlıhaftalar #iyihaftalar #sağlıklıhaftalar #monday",,,1,3,"['Antalya', 'Burdur', 'Manavgat', 'LokmanEcza', 'EczaDeposu', 'Eczane', 'Eczacı', 'Pazartesi', 'Hayırlıhaftalar', 'iyihaftalar', 'sağlıklıhaftalar', 'monday']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-06T13:55:02.000Z,"Mücbir Sebep Hali İlan Edilen Bölgelerde, kağıt belge düzenlenebilecek. TEB’den duyuru…
https://eczacininsesi.com/haber-detay.php?id=14065…

_
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,1,3,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-06T06:43:29.000Z,"TEB'den Kanal D'ye tepki! ""Doğru ve Güvenilir Habercilik Herkesin Hakkıdır. Kanal D’yi Kınıyoruz""
https://eczacininsesi.com/haber-detay.php?id=14061… 
_
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,1,7,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
Paü Farmakodinamik Öğrenci Topluluğu,@fdt_pau,2021-08-10T07:51:45.000Z,"Nedir köşemiz de ""Doz Nedir ?""


#eczane
 #eczanehizmetleri #eczaneteknikerliği 
#ilaç
 #ilaçlar 
#doz",,,,3,"['eczane', 'eczanehizmetleri', 'eczaneteknikerliği', 'ilaç', 'ilaçlar', 'doz']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-11T11:46:12.000Z,"Hekimler yangın kaynaklı solunum rahatsızlıklarına karşı uyardı! Orman yangınları solunum sağlığı için de büyük tehdit! 
https://eczacininsesi.com/dosya-detay.php?id=1029…
 
_ 
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,1,3,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
Samandağ Belediyesi,@samandagbel,2021-08-05T14:21:29.000Z,"5 Ağustos Perşembe mesai bitiminden, 6 Ağustos sabahına kadar nöbetçi olan eczanemiz
#Samandağ #Eczane",,,1,2,"['Samandağ', 'Eczane']"
Ali Sezai Cetin,@ecz_asc,2021-08-05T23:57:59.000Z,"Son derece başarılı bir işe imza atılmış bir üzücü bir belgesel , izlemeyenler için tavsiye ederim , teşekkürler 
@ersoyakif1
  @ersenkyg
 
#Nöbet #Eczane #Cuma","Libya’nın Çöküşü | 1. bölüm
Hayranlık duyduğu Mısır lideri Abdul Nasır’dan etkilenerek 1969 yılında Libya Kralı İdris’i deviren Muammer Kaddafi, 42 yıl boyunca aralıksız sürdürdüğü Liby...
youtube.com",,1,2,"['Nöbet', 'Eczane', 'Cuma']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-11T12:11:16.000Z,"Majistral Eczacıları Derneğinden Çağrı: ""Sevgili Meslektaşlarım ve Majistral Eczacıları Derneği’nin Değerli Üyeleri""
https://eczacininsesi.com/haber-detay.php?id=14070…
_ 
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,1,7,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-12T12:29:40.000Z,"Üsküdar’da 1.5 milyon liralık sahte vitamin ve ilaç kürleri ele geçirildi.
https://eczacininsesi.com/haber-detay.php?id=14073… 
_ 
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,2,5,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
ECZACININ SESİ,@eczacinin_sesi,2021-08-11T11:56:23.000Z,"Tiyatro Kooperatifi Yaz Buluşmaları Başlıyor!
Eczacının Sesi/Kültür Sanat
https://eczacininsesi.com/kultur-sanat-detay.php?id=481… 
_ 
#Eczacı #EczaneGüvendir #Covid_19 #EczacınaGüven #EczacılarGörevbaşında #Eczane #EczacınınSesi",,,1,4,"['Eczacı', 'EczaneGüvendir', 'Covid_19', 'EczacınaGüven', 'EczacılarGörevbaşında', 'Eczane', 'EczacınınSesi']"
