username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Coderina.Org,@coderina,2021-08-13T09:12:47.000Z,"Children need to explore, this is the richness of creativity. The groundwork for future problem solvers.
#technology #education",,,4,6,"['technology', 'education']"
Humanity First International,@HFI1995,2021-08-11T05:50:38.000Z,HF believes in equal access to #education and #training for #girls across the world,,,26,56,"['education', 'training', 'girls']"
प्रतीक सिंह पंवार @INC,प्रतीक सिंह पंवार @INC,2021-08-13T09:10:30.000Z,#Education is the key to unlock the golden door of #freedom....,प्रतीक सिंह पंवार @INC,,,4,"['Education', 'freedom']"
Esri India,@EsriIndia,2021-08-12T06:14:03.000Z,Esri India to skill over 2 lakh students in GIS https://buff.ly/3m3GAvE #esri #gis #education,,,1,5,"['esri', 'gis', 'education']"
Catherine,@cat_conn,2021-08-12T07:54:44.000Z,"Day 1 - Nurse led simulation with 
@CiaraNother
 . Assessing ED nurses assessment and response to the septic patient #Education #NurseLedSimulation #RecogniseSepsis",,,3,46,"['Education', 'NurseLedSimulation', 'RecogniseSepsis']"
Smoothwall US,@SmoothwallUS,2021-08-13T16:20:00.000Z,"Smoothwall’s resource hub for Tech Directors features an abundance of technical specs, guides, articles, and case studies on best practice digital safety. It's a wealth of expertise at your disposal. Check it out here > https://hubs.la/H0TLBSz0 #K12 #education",,,,,"['K12', 'education']"
International Dyslexia Learning Solutions Ltd,@IDLCloud,2021-08-13T15:36:02.000Z,"Happy International Left-Handers Day! 

Watch our video below to learn 5 facts about left-handedness!

#lefthandersday #teacherchat #education",GIF,,,1,"['lefthandersday', 'teacherchat', 'education']"
Debbie Massey,@brissydeb,2021-08-11T09:08:02.000Z,"Always a great feeling to be back #teaching #undergraduatenurses. The future workforce, the future of #nursing, the future of healthcare #studentnurses #education.",,1,1,48,"['teaching', 'undergraduatenurses', 'nursing', 'studentnurses', 'education']"
Thinking Is Power,@Thinkingpowers,2021-08-11T17:57:51.000Z,"I’ve been told this by many students.

#CriticalThinking #Education",,2,2,14,"['CriticalThinking', 'Education']"
Salim mohammad,@Salimmoahmmad99,2021-08-13T12:09:13.000Z,"The school education department has delayed the posting of lecturers since 2019 leaving them in a state of despair.
#KashmirForTiranga 
#education 
#Kashmir",,,,1,"['KashmirForTiranga', 'education', 'Kashmir']"
Da Harrison’s,@daharrisons,2021-08-12T17:49:20.000Z,STEM students hard at work creating 3D bridges!! #education #SEISDCommunityofChampions,,,,3,"['education', 'SEISDCommunityofChampions']"
Agile Education Marketing,@AgileEd,2021-08-13T15:37:15.000Z,"Classroom management and student discipline can be one of the most complex parts of teaching.  Classroom management has always been a top professional need for teachers, and now it is more than ever.

Read More: http://agile-ed.com/educator_perspective/student-discipline-in-the-virtual-classroom/…

#education #virtualclassrooms #backtoschool","Student Discipline in the Virtual Classroom | Agile Education Marketing
Classroom management and student discipline can be one of the most complex parts of teaching. Now throw in a pandemic and virtual learning!
agile-ed.com",,1,1,"['education', 'virtualclassrooms', 'backtoschool']"
SmartClass Rwanda,@SmartClassRw,2021-08-11T10:56:52.000Z,"Let us take you one step closer to your learning goals.
#onlinelearning #kigalirwanda #education",,,2,10,"['onlinelearning', 'kigalirwanda', 'education']"
IzikoDUT,@izikodut,2021-08-11T13:19:21.000Z,"Xulu also pointed out that the university is working towards giving a holistic service through mentor ship,growth & partnership with schools In schools where 
@DUT_Tweets
 have identified a lack of resources,they provide supportive material for both learners & educators #education",,,,2,['education']
Saginaw Intermediate School District,@SaginawISD,2021-08-11T10:36:29.000Z,"Our students and communities need leaders now, more than ever.  #Leadership #Education",,,,3,"['Leadership', 'Education']"
