username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Spor İstanbul,@ibbsporistanbul,2021-08-06T13:32:32.000Z,"#Tokyo2020'den göğsümüzü kabartan haberler gelmeye devam ediyor. 

Olimpiyat 3'üncüsü olarak ülkemize bronz madalya kazandıran Merve Çoban'ı, Ali Sofuoğlu'nu ve Taha Akgül'ü tebrik ederiz.

#Olimpiyat #Olympics #Karate #Güreş #Wrestling #Spor #İstanbul #Sağlık #Egzersiz",TMOK | #TeamTürkiye  and İBB Gençlik ve Spor,1,4,30,"['Tokyo2020', 'Olimpiyat', 'Olympics', 'Karate', 'Güreş', 'Wrestling', 'Spor', 'İstanbul', 'Sağlık', 'Egzersiz']"
Spor İstanbul,@ibbsporistanbul,2021-08-06T08:10:00.000Z,"Pendik Kurtköy Spor Kompleksi yüzme havuzumuz açıldı! 
Rezervasyon işlemleriniz için https://event.spor.istanbul tıklayabilirsiniz!

#Spor #İstanbul #Yüzme #Havuz #Swim #Egzersiz #SporTesisi",,1,3,15,"['Spor', 'İstanbul', 'Yüzme', 'Havuz', 'Swim', 'Egzersiz', 'SporTesisi']"
Pozitif Psikoloji,@pozitifpsk,2021-08-07T19:39:49.000Z,Depresyon nöroplastisiteyi olumsuz etkiliyor. Egzersiz yapma ise bu durumu düzeltiyor. #pozitifpsikoloji #nöroplastisite #egzersiz,"Depression Inhibits Neural Plasticity. Exercise Restores It.
Physical activity restores neuroplasticity and can reduce depressive symptoms.
psychologytoday.com",,2,14,"['pozitifpsikoloji', 'nöroplastisite', 'egzersiz']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-07T08:04:46.000Z,"Replying to 
@hisfed",dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Wellness Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  6 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle kursa,1,,1,[]
Herkes İçin Spor Federasyonu,@hisfed,2021-08-07T08:04:53.000Z,"katılımda kontenjan uygulanacaktır.

Son başvuru tarihi  18 Ağustos 2021
•
#hisfederasyonu #HisApp #hareketteyiz #3ten93e #sağlık #spor #egzersiz #WellnessYardımcıEğitmenlikKursu #YardımcıEğitmenlikKursu",,,,1,"['hisfederasyonu', 'HisApp', 'hareketteyiz', '3ten93e', 'sağlık', 'spor', 'egzersiz', 'WellnessYardımcıEğitmenlikKursu', 'YardımcıEğitmenlikKursu']"
EchoCCS,@echo_ccs,2021-08-11T10:19:42.000Z,"Yoga eğitmenimiz Arzu Çinaz ile üçüncü buluşmamızı 12 Ağustos Perşembe akşamı 20.30'da gerçekleştiriyoruz. 
Derse katılmak isteyenler aile mailimiz üzerinden yaptığımız duyurudan Zoom ID'sine ulaşabilirler. 
#echoccs #yoga #yogaeğitimi #egzersiz #ruhsağlığı #bedensağlığı",,,,1,"['echoccs', 'yoga', 'yogaeğitimi', 'egzersiz', 'ruhsağlığı', 'bedensağlığı']"
Lafeterya,@Lafeterya,2021-08-12T08:55:03.000Z,Kendini iyi hissetmek için bu egzersizleri yapabilirsin #psikoloji #insan #mutluluk #huzur #sağlık #zihin #beyin #aktivite #egzersiz,"Psikolojiye İyi Gelen Aktiviteler | Kendini İyi Hissetmek
Psikolojiye iyi gelen aktiviteler hangileri? Pozitif iyi bir psikoloji için günlük plan nasıl yapılır? Kendini iyi hissetmek için bu egzersizleri yapabilirsin.
psikolojibilgisi.com",,,,"['psikoloji', 'insan', 'mutluluk', 'huzur', 'sağlık', 'zihin', 'beyin', 'aktivite', 'egzersiz']"
Hamit Ibisoglu,@ibisogluhamit,2021-08-12T07:52:19.000Z,‘Endokrinologların yapamadığını Boris Johnson başardı’       https://dunya.com/kose-yazisi/endokrinologlarin-yapamadigini-boris-johnson-basardi/630527… #endokrinolog #beslenme #egzersiz #uyku #COVID19,"‘Endokrinologların yapamadığını Boris Johnson başardı’      
dunya.com • Okuma süresi 3 dk •
dunya.com",,,,"['endokrinolog', 'beslenme', 'egzersiz', 'uyku', 'COVID19']"
SULTAN ÖZAYDIN,@sultanozaydin34,2021-08-11T08:45:34.000Z,#sultanözaydın #spor #egzersiz #delta #aktifhayat #tartı #ayakağırlık #dirençlastiği,,,,1,"['sultanözaydın', 'spor', 'egzersiz', 'delta', 'aktifhayat', 'tartı', 'ayakağırlık', 'dirençlastiği']"
SULTAN ÖZAYDIN,@sultanozaydin34,2021-08-11T08:43:19.000Z,"İki çocuk ile spor salonuna gidemiyor isem çare evde spor yapmak oluyor. Her zaman. Virüs pandemini yasaklar bitmesini diliyorum
#sultanözaydın #deltaspor #evdespor #egzersiz #yogamat #egzersiz",,,,1,"['sultanözaydın', 'deltaspor', 'evdespor', 'egzersiz', 'yogamat', 'egzersiz']"
Yunus Akbaş,@yun_us17,2021-08-09T07:25:42.000Z,"Uzun bir aradan sonra....
#goodmorning #günaydın 
#fitness #wellness #gym #exercise #personeltrainer  #trainingday #training #train #life #healthy #healthylifestyle #sports #cardio #backday #battleropes #fatburner #antrenman #sağlık #egzersiz #spor #şişli #maçkaparkı #nişantaşı","0:20
63 views",,,,"['goodmorning', 'günaydın', 'fitness', 'wellness', 'gym', 'exercise', 'personeltrainer', 'trainingday', 'training', 'train', 'life', 'healthy', 'healthylifestyle', 'sports', 'cardio', 'backday', 'battleropes', 'fatburner', 'antrenman', 'sağlık', 'egzersiz', 'spor', 'şişli', 'maçkaparkı', 'nişantaşı']"
YazarPanda.com,@yazarpandacom,2021-08-12T10:17:36.000Z,"https://yazarpanda.com/2021/07/bim-markette-satilan-denenmesi-gereken-urunler.html…
 
#alisveris #moda #istanbul #kombin #indirim #giyim #izmir #fashion #butik #elbise #ankara #instagood #spor #fitness #tayt #trend #büstiyer #türkiye #pilates #gym #yoga #sporkombin #bursa #sports #instalike #fityaşam #egzersiz #tarz #bayangiyim #alışveriş","Bim Markette Satılan Denenmesi Gereken Ürünler Nelerdir? Neleri Almalıyız?
bim Bim Marketten Alınması Gereken Ürünler Nedir? Bugün Bim Marketten severek aldığım ürünleri seninle paylaşacağım. Senin de bim markette...
yazarpanda.com",,,,"['alisveris', 'moda', 'istanbul', 'kombin', 'indirim', 'giyim', 'izmir', 'fashion', 'butik', 'elbise', 'ankara', 'instagood', 'spor', 'fitness', 'tayt', 'trend', 'büstiyer', 'türkiye', 'pilates', 'gym', 'yoga', 'sporkombin', 'bursa', 'sports', 'instalike', 'fityaşam', 'egzersiz', 'tarz', 'bayangiyim', 'alışveriş']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-06T06:25:49.000Z,"Replying to 
@hisfed",metnini dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Wellness Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  6 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle,1,,2,[]
Herkes İçin Spor Federasyonu,@hisfed,2021-08-06T06:26:02.000Z,"kursa katılımda kontenjan uygulanacaktır.

Son başvuru tarihi  13 Ağustos 2021
•
#hisfederasyonu #HisApp #hareketteyiz #3ten93e #sağlık #spor #egzersiz #WellnessYardımcıEğitmenlikKursu #YardımcıEğitmenlikKursu",,,,2,"['hisfederasyonu', 'HisApp', 'hareketteyiz', '3ten93e', 'sağlık', 'spor', 'egzersiz', 'WellnessYardımcıEğitmenlikKursu', 'YardımcıEğitmenlikKursu']"
YazarPanda.com,@yazarpandacom,2021-08-12T10:18:04.000Z,"https://yazarpanda.com/2021/07/a101-markette-satilan-denenmesi-gereken-urunler.html…

#alisveris #moda #istanbul #kombin #indirim #giyim #izmir #fashion #butik #elbise #ankara #instagood #spor #fitness #tayt #trend #büstiyer #türkiye #pilates #gym #yoga #sporkombin #bursa #sports #instalike #fityaşam #egzersiz #tarz #bayangiyim #alışveriş","A101 Markette Satılan Denenmesi Gereken Ürünler Nelerdir? Memnun Kalacağınız Ürünler Nelerdir?
a101 A101 MARKETTEN ALINMASI GEREKEN ÜRÜNLER NEDİR?  Merhabalar :) Bugün A101 Marketten neler almalıyız, A101 marketteki hangi ürünleri dene...
yazarpanda.com",,,,"['alisveris', 'moda', 'istanbul', 'kombin', 'indirim', 'giyim', 'izmir', 'fashion', 'butik', 'elbise', 'ankara', 'instagood', 'spor', 'fitness', 'tayt', 'trend', 'büstiyer', 'türkiye', 'pilates', 'gym', 'yoga', 'sporkombin', 'bursa', 'sports', 'instalike', 'fityaşam', 'egzersiz', 'tarz', 'bayangiyim', 'alışveriş']"
Natal Fizik Tedavi ve Rehabilitasyon Merkezi,@NatalTedavi,2021-08-10T13:43:35.000Z,"Lordoz (Bel boşluğunun artması ya da düzleşmesi) Nedir, Nedenleri ve Tedavi Yöntemleri
https://natalfiziktedavi.com/lordoz-nedir-belirtileri-ve-tedavi-yontemleri/…
Bilgi ve randevu için,
⁣⁣⁣: 0 212 269 16 16
#lordoz ⁣#kifoz ⁣#skolyoz #ağrı #omurga ⁣#omurgasağlığı #postür #egzersiz #pilates #ftr #fiziktedavimerkezi #SALI","Lordoz Nedir, Belirtileri ve Tedavi Yöntemleri - Natal Fizik Tedavi Merkezi
Lordoz bel boşluğunun artması ya da düzleşmesi olarak tanımlanabilir. Omurgamıza yandan bakıldığı zaman boyun ve bel kısmında içeri doğru bir kavis, sırtta ise dışarı doğru bir kavis bulunur.  Bu...
natalfiziktedavi.com",,,,"['lordoz', 'kifoz', 'skolyoz', 'ağrı', 'omurga', 'omurgasağlığı', 'postür', 'egzersiz', 'pilates', 'ftr', 'fiziktedavimerkezi', 'SALI']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-10T07:13:50.000Z,"Replying to 
@hisfed",dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Yoga Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  9 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle kursa,1,1,3,[]
Herkes İçin Spor Federasyonu,@hisfed,2021-08-10T07:13:57.000Z,"katılımda kontenjan uygulanacaktır.

Son başvuru tarihi  18 Ağustos 2021
•
#hisfederasyonu #HisApp #hareketteyiz #3ten93e #sağlık #spor #egzersiz #YogaYardımcıEğitmenlikKursu #YardımcıEğitmenlikKursu",,,,2,"['hisfederasyonu', 'HisApp', 'hareketteyiz', '3ten93e', 'sağlık', 'spor', 'egzersiz', 'YogaYardımcıEğitmenlikKursu', 'YardımcıEğitmenlikKursu']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-07T18:06:38.000Z,"Replying to 
@hisfed",dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Yoga Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  6 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle kursa,1,,1,[]
Herkes İçin Spor Federasyonu,@hisfed,2021-08-07T18:06:44.000Z,"katılımda kontenjan uygulanacaktır.

Son başvuru tarihi  18 Ağustos 2021
•
#hisfederasyonu #HisApp #hareketteyiz #3ten93e #sağlık #spor #egzersiz #YogaYardımcıEğitmenlikKursu #YardımcıEğitmenlikKursu",,,,3,"['hisfederasyonu', 'HisApp', 'hareketteyiz', '3ten93e', 'sağlık', 'spor', 'egzersiz', 'YogaYardımcıEğitmenlikKursu', 'YardımcıEğitmenlikKursu']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-06T10:03:16.000Z,"Replying to 
@hisfed",dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Yoga Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  6 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle kursa,1,,,[]
Herkes İçin Spor Federasyonu,@hisfed,2021-08-06T10:03:26.000Z,"katılımda kontenjan uygulanacaktır.

Son başvuru tarihi  13 Ağustos 2021
•
#hisfederasyonu #HisApp #hareketteyiz #3ten93e #sağlık #spor #egzersiz #YogaYardımcıEğitmenlikKursu #YardımcıEğitmenlikKursu",,,,,"['hisfederasyonu', 'HisApp', 'hareketteyiz', '3ten93e', 'sağlık', 'spor', 'egzersiz', 'YogaYardımcıEğitmenlikKursu', 'YardımcıEğitmenlikKursu']"
Herkes İçin Spor Federasyonu,@hisfed,2021-08-09T18:44:37.000Z,"Replying to 
@hisfed",metnini dikkatlice okumaları ve daha sonra başvurularını E-devlet kapısı (https://turkiye.gov.tr/gsb-spor-bilgi-sistemi…) üzerinden yapmaları gerekmektedir. Wellness Yardımcı Eğitmenlik Kursu (1.Kademe) başvuru ekranı  9 Ağustos 2021 tarihi itibariyle erişime açılacaktır. Covid-19 salgını sebebiyle,1,,2,[]
