username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
fotoerzurumm,@fotoerzurumm,2021-08-08T10:12:54.000Z,"İspir
#ispir #erzurum #Erzurum",,,,2,"['ispir', 'erzurum', 'Erzurum']"
The Istanbul Chronicle,@theIstChronicle,2021-08-07T12:32:56.000Z,"The search for the worker Mustafa Aksöyek, who was lost in the HEPP tunnel in Erzurum İspir after being swept away by the flooding waters, continues. Aksöyek has disappeared around 18:00 on Thursday, August 5th.
#Erzurum #MustafaAksöyek #turkeyfloods",,,,4,"['Erzurum', 'MustafaAksöyek', 'turkeyfloods']"
Naci Cinisli,@NaciCinisli,2021-08-11T14:39:06.000Z,"Günümüzün Nene Hatun’u, Muhterem Genel Başkan’ımız 
@meral_aksener
 Hanımefendi uzun zamandır kuraklık çeken #Erzurum ‘umuzu yağmur bereketiyle teşrif ettiler.",İYİ Parti Erzurum İl Başkanlığı,79,158,1.7K,['Erzurum']
Dr. Mahmut UÇAR,@drmahmutucar,2021-08-13T05:34:36.000Z,Cumamız mübarek olsun #Yakutiye #Erzurum,,,21,48,"['Yakutiye', 'Erzurum']"
Serkan Yiğit,@16YTSerkan,2021-08-13T13:32:35.000Z,"#Erzurum Horasan’dan feryatlar yükseliyor..
16 Yaşında!
Umudunu bitiren kimler varsa yazıklar olsun.
#AkpTürkiyeDeğil",,,2,5,"['Erzurum', 'AkpTürkiyeDeğil']"
Naci Cinisli,@NaciCinisli,2021-08-12T19:32:06.000Z,#Erzurum Horasan’dan feryatlar yükseliyor...,"Meral Akşener
@meral_aksener
 · Aug 12
Horasan’da 16 yaşındaki bir gencimiz, yaşından o kadar büyük dertlerden ve kaygılardan bahsetti ki ben dinlerken utandım…

Gençlerimizin gençliklerini yaşayamaması,

Geleceğini düşünürken uykularının kaçması büyük bir vebaldir.

Bu vebali nasıl ödeyeceksin sayın Erdoğan?",5,28,253,['Erzurum']
Naci Cinisli,@NaciCinisli,2021-08-12T16:57:45.000Z,"Sayın Genel Başkan’ımız 
@meral_aksener
 Hanımefendi bugün Horasan ve Hasankale’de esnaf, çiftçi, muhtar kardeşlerimizle buluştular.

#Erzurum Cumhuriyet Caddesi’nde ilgi izdihama dönüştü, herkesle tek tek ilgilendiler, esnaf ziyaretleri yapıp, basınla buluştular.

Var olsunlar",İYİ Parti Erzurum İl Başkanlığı and 3 others,1,39,276,['Erzurum']
Naci Cinisli,@NaciCinisli,2021-08-10T19:27:24.000Z,"Sayın Genel Başkanımız 
@meral_aksener
 Hanımefendi’nin #Erzurum ‘u teşrifleri öncesi Horasan, Pasinler, Aşkaleli hemşehrilerimizi ve Cumhuriyet Caddesi esnaf kardeşlerimizi ziyaret ettik.

Liderimizi heyecanla bekliyoruz",,2,19,236,['Erzurum']
Muhammet SUNAR,@AvMuhammetSunar,2021-08-05T17:27:41.000Z,"• Şehrimiz İş Dünyasından Onur Temiz, Murat Cellat, Selçuk Yaşarbaş ve Bursa’dan gelen hemşehrimiz, işadamı Dursun Turhan bugünkü konuklarımız arasındaydı. Nazik ziyaretleri için teşekkür ediyorum.
#palandöken 
#erzurum",,,21,51,"['palandöken', 'erzurum']"
Erzurum Portalı,@ErzurumPortali,2021-08-09T12:32:17.000Z,"Gök Kubbeye Minarelerin En Yakın Olduğu Şehir

#erzurum #ulucami #çifteminarelimedrese #erzurumdanereyegidilir #engüzelerzurumfotografları",,,5,28,"['erzurum', 'ulucami', 'çifteminarelimedrese', 'erzurumdanereyegidilir', 'engüzelerzurumfotografları']"
