username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Biopark Medical,@BioparkMedical,2021-08-10T12:09:07.000Z,"RE-POST from 
@dr
.joia_kyoto
..

#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun #güzellik #sağlık","0:03
7 views",,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun', 'güzellik', 'sağlık']"
Abhinav,@abhinavactorr,2021-08-11T02:45:48.000Z,"Choose joy. 

#chinchillalove #plasticsurgeon #life #art #instagram #neck #estetik #juvederm #cheeks #follow #beautiful #skin #newnose #smile #instagood #barber #model #rhinoplastyspecialist #revisionrhinoplasty #balayage #photography #pet #selfie #estetikburun",,,,,"['chinchillalove', 'plasticsurgeon', 'life', 'art', 'instagram', 'neck', 'estetik', 'juvederm', 'cheeks', 'follow', 'beautiful', 'skin', 'newnose', 'smile', 'instagood', 'barber', 'model', 'rhinoplastyspecialist', 'revisionrhinoplasty', 'balayage', 'photography', 'pet', 'selfie', 'estetikburun']"
ella; limit,@woniieeee,2021-08-12T13:57:14.000Z,"Replying to 
@woniieeee"," @parksimpark
 hello po!! Alam mo ba always kitang nakikita sa notif kasi nakikipag interact ka sa akin kahit here lang sa tl, i really appreciate that po. More interactions to come pi.",1,1,1,[]
ella; limit,@woniieeee,2021-08-12T14:04:13.000Z," @sueshiriki
 hello po!! Alam mo ba na comfortable na me sa'yo kahit twtr besti lang kita but i feel na you're my rl besti ganon ^^ like nga nung sinabi ko sa'yo dadamihan ko yung mga ganto ^^ HAHAHA na appreciate ko din yung pag update mo saakin sa enha ily bestay T^T #estetik",,1,1,1,['estetik']
Trish,@avilashamae1,2021-08-10T12:54:15.000Z,OKAY BALIK LOOB NAKO SA VLOG #estetik STYLE HAHAHAHA,,,,,['estetik']
Alea,@Pprimilly,2021-08-05T16:04:03.000Z,Foto dibawah daun #estetik #delsoon,"THE BOYZ (더보이즈)
@WE_THE_BOYZ
 · Aug 5
[현재] 더비 안전은 내가ㅎ",,,,"['estetik', 'delsoon']"
klo mfal stan | NANA DAY,@wrdnct,2021-08-12T16:57:24.000Z,"Replying to 
@jaemcart",Tita core <<3 #estetik,1,,,[]
Gazette.com.tr,@GazetteGazete,2021-08-06T06:17:44.000Z,"İlgi göremeyen birey estetiğe yöneliyor https://gazette.com.tr/Haber/saglik/ilgi-goremeyen-birey-estetige-yoneliyor-75908… 
#Adana #haber #haberler #sağlık #sağlıkbakanlığı #gundem #gunaydin #estetik #guzellik",,,,2,"['Adana', 'haber', 'haberler', 'sağlık', 'sağlıkbakanlığı', 'gundem', 'gunaydin', 'estetik', 'guzellik']"
daaiissxx,@mauukepoo,2021-08-08T12:31:24.000Z,"RACUN DAIS 
Yuuu langsung aja cek in yaa bunda bunda 

Link : https://shp.ee/j7kkkta

#racunshopee #ShopeePuncak88 #ShopeeDiskonSupermarket #fakenails #estetik",,1,,2,"['racunshopee', 'ShopeePuncak88', 'ShopeeDiskonSupermarket', 'fakenails', 'estetik']"
Medklik,@MedklikApp,2021-08-13T07:46:32.000Z,"Medklik hekimlere özel pratik hukuk eğitimlerine devam ediyor. Av. Özgün Lale ÇAVUŞOĞLU tarafından gerçekleştirilecek olan tüm uzmanlık branşlarına yönelik temel eğitimimizin ikinci bölümü 16.08.2021 Saat 20.30 da Medklik'te.
#kbb #doktor #vaka #cerrah #hekim #estetik #malpraktis",Özgün Lale ÇAVUŞOĞLU,,1,2,"['kbb', 'doktor', 'vaka', 'cerrah', 'hekim', 'estetik', 'malpraktis']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-06T12:09:00.000Z,"Bel ve boyun rahatsızlığndan ameliyatsız yöntemlerle kurtulmak  yarın 
@ulketv
  yayınında izleyelim
.
.
.
.
.
#istanbul #doktor #aşk #sağlık #tv #haber #estetik #ted",,,,1,"['istanbul', 'doktor', 'aşk', 'sağlık', 'tv', 'haber', 'estetik', 'ted']"
İmperial Hastanesi,@imperialhastane,2021-08-07T15:17:35.000Z,"Göz Kapağı Estetiği

Göze Dair Her Şey!

#imperial #imperialhastane #imperialhastanesi #trabzon #türkiye #sağlık #gözkapağı #estetik #gözkapağıestetiği",,,,1,"['imperial', 'imperialhastane', 'imperialhastanesi', 'trabzon', 'türkiye', 'sağlık', 'gözkapağı', 'estetik', 'gözkapağıestetiği']"
oztrk swl,@sevilzt53912663,2021-08-13T08:56:31.000Z,"Paran varsa cok guzelsin bu dünyada yaptir yaptirabildiğin kadar 
#estetik",,,,1,['estetik']
Listdonker,@listdonker,2021-08-12T19:50:04.000Z,Poster Aesthetic 16PCS 8PCS 4PCS A5 A4 A3 A3+ | POSTER DINDING |  BAND BRAND | DEKORASI DINDING | ada potongan 8%! Hanya Rp20.240. Dapatkan segera di Shopee! #posterdesign #poster #wallpaper #dekorasi #estetik #fjb #fnjb #aesthetic #kamar #swag  https://shopee.co.id/product/265460089/8465219664?smtt=0.265462781-1628779830.6… #ShopeeID,,,,,"['posterdesign', 'poster', 'wallpaper', 'dekorasi', 'estetik', 'fjb', 'fnjb', 'aesthetic', 'kamar', 'swag', 'ShopeeID']"
Hasan Çelik,@drhsnclk,2021-08-12T17:36:52.000Z," Please, listen to mewhenever you have problems about your breast and body parts, you may contact me for breast and body shaping

Meme ve vücut bölgelerinizle ilgili bir sorununuz olduğunda, meme ve vücut şekillendirme için benimle iletişime geçebilirsiniz.
#estetik",,,,,['estetik']
DHA Kurumsal,@dhakurumsal,2021-08-12T06:38:59.000Z,"Sosyal medya estetik operasyonlara talebi artırıyor
http://dha.com.tr/r/1842342
#estetik #sosyalmedya #talep
@dhainternet",,,,,"['estetik', 'sosyalmedya', 'talep']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-06T12:12:26.000Z,"Ameliyatsız Bel ve Boyun Fıtığı Tedavileri
hakkında merak edilenleri konuşacağımız 
@atvavrupa
  @sagligimicinhersey programına konuk oluyoruz.
. 
. 
#belgium #deutschland #holland #bulgaria #sağlık #spor #estetik #doktor #yayın",,,,1,"['belgium', 'deutschland', 'holland', 'bulgaria', 'sağlık', 'spor', 'estetik', 'doktor', 'yayın']"
LAZZZzzz...,@arserdem19,2021-08-12T18:40:34.000Z,"Forvet hareketi ile 
@MbayeDiagne_Fan
 rakibini geçip ceza sahasına giriyor. Kaleciyle karşı karşıya bacak arasından golüne atıyor. 
@SPORSMART
 spikeri estetik bulmuyor. Soru: #estetik nedir?",,,,,['estetik']
Camoda,@camodatr,2021-08-10T17:28:17.000Z,"Optimum değerlere sahip Camoda Loca Sistemi ile bahçenizde yeni huzurlu mekanlar oluşturabilirsiniz.

#camoda #cambalkon #öneri #balkon #haziran #yaz #estetik #tasarım",,,,,"['camoda', 'cambalkon', 'öneri', 'balkon', 'haziran', 'yaz', 'estetik', 'tasarım']"
Emel Gerdaneri,@webicerikeditor,2021-08-06T07:21:39.000Z,Ünlülerin Estetik Cerrahlarından İtiraflar  #estetik #estetikcerrahi #plastikcerrahi,"Ünlülerin Estetik Cerrahlarından İtiraflar 1 - Yeniben.com
Ünlülerin Estetik Cerrahlarından İtiraflar 1 ""Her zaman sonuna kadar inkar ederler."" Her sene milyonlarca kişi Oscar...
yeniben.com",,,1,"['estetik', 'estetikcerrahi', 'plastikcerrahi']"
Murat Kar,@muratkar1453,2021-08-06T06:43:24.000Z,"Kişilerin Fikri HÜR, lakin Vicdanları BİR olmalı!
 Yoksa asla Milet olamayız!

#felsefe #düşünce #edebiyat #siyaset #estetik",,,,,"['felsefe', 'düşünce', 'edebiyat', 'siyaset', 'estetik']"
Murat Kar,@muratkar1453,2021-08-11T06:13:33.000Z,"Bu gidişle,
Nefs'e çalışan Tüketim Dini, insana son Nefes'ini çok görecek!
#felsefe #düşünce #estetik #sanat #siyaset #edebiyat",,,,,"['felsefe', 'düşünce', 'estetik', 'sanat', 'siyaset', 'edebiyat']"
