username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
GMedCons,@GMedCons,2021-03-19T06:29:46.000Z,Dr. Tulga Satir. Bipolar disorders are effectively managed online from the comfort of your home at http://GMedCons.com. #Psychiatry #bipolar #depression #endokrin #girişimci #girişimcidoktorlar #uzmandoktor #uzaktanerişim #evindemuayene #evdebakım #evdedoktor #istanbul,"0:35
3 views",,,,"['Psychiatry', 'bipolar', 'depression', 'endokrin', 'girişimci', 'girişimcidoktorlar', 'uzmandoktor', 'uzaktanerişim', 'evindemuayene', 'evdebakım', 'evdedoktor', 'istanbul']"
SETİNT AI Artificial Intelligence,@SetintAi,2021-08-07T20:20:45.000Z,"This painting will be Turkey's pride painting. The whole world will talk about these numbers.

#telesaglık #evdebakım #evdetakip #sağlıkturizmi #ilaç #cancer #yapayzeka #yeniliktebendevarım #teleradyoloji #lungs  #medical #dijit…https://lnkd.in/d_6hZsyV https://crm.setint.com.tr","Yapay Zeka Artificial intelligence on LinkedIn: SETİNT AI - Tele Sağlık
This painting will be Turkey's pride painting. The whole world will talk about these numbers. https://crm.setint.com.tr/ #telesaglık #evdebakım #evdetakip...
linkedin.com",,,,"['telesaglık', 'evdebakım', 'evdetakip', 'sağlıkturizmi', 'ilaç', 'cancer', 'yapayzeka', 'yeniliktebendevarım', 'teleradyoloji', 'lungs', 'medical', 'dijit']"
Ömer Arısoy,@omerrarisoy,2021-06-23T15:49:55.000Z,"Seni hiç bırakır mıyız Ayşe teyzem.

AKDEM, bunun için var.

#zeytinburnu #evdebakım",,4,103,192,"['zeytinburnu', 'evdebakım']"
İlhan BAYRAM,@ilhanbayram_,2018-07-01T08:04:06.000Z,"Kocaeli genelinde öz bakım ihtiyacını karşılayamayan yatalak, engelli, hasta ve kimsesiz ihtiyaç sahibi vatandaşlarımıza #EvdeBakım Hizmetimizle yardım elimizi uzatıyoruz.92 yaşındaki Ahmet Amcamız gibi bir çok yaşlımızın da hayır duasını alıyoruz.",,1,20,78,['EvdeBakım']
Remzi Ergü,@avremziergu,2018-06-05T18:56:58.000Z,"#EvdeBakım
BOZGÜNEY",,,4,11,['EvdeBakım']
elvan,@calmayansaatt,2019-05-13T08:14:56.000Z,Burası Bali olsa beğenirsiniz ama burası Yapracık köy yolu ajshsvd  #evdebakım,,,,7,['evdebakım']
Serhat Oğuz,@serhatoguz06,2020-02-04T14:31:10.000Z,"İlçemizde yaşayan kanser tedavisi gören vatandaşlarımıza düzenli olarak #ücretsiz #evdebakım hizmeti veriyoruz. Kanser hastalarımızın her zaman yanındayız.

#4ŞubatDünyaKanserGünü

Bilgi almak İçin 0312 814 30 31’i arayabilirsiniz.",,,21,147,"['ücretsiz', 'evdebakım', '4ŞubatDünyaKanserGünü']"
İmperial Hastanesi,@imperialhastane,2020-12-01T09:10:19.000Z,"İmperial ile sağlık ayağına gelsin.  
İhtiyacınız olan sağlık hizmetini evinize getiriyoruz!
#imperial #imperialhastane #imperialhastanesi #trabzon #sağlık #evdebakım #evdesağlık #ev #bakım",,,1,3,"['imperial', 'imperialhastane', 'imperialhastanesi', 'trabzon', 'sağlık', 'evdebakım', 'evdesağlık', 'ev', 'bakım']"
Alper ÇİLER,@alper_ciler,2020-07-14T07:58:01.000Z,"KIRKLARELİ Temmuz 2020
@ailevecalisma
#Evdebakım 
2.913.056,36-TL

#SosyaEkonomikDestek 334.341,40-TL

#KoruyucuAile
36.194,50-TL

#DoğumYardımı
109.900,00-TL",,,8,38,"['Evdebakım', 'SosyaEkonomikDestek', 'KoruyucuAile', 'DoğumYardımı']"
HaberajandaNet,@haberajandanet,2020-04-15T22:54:16.000Z,"Üzerlerine çığ düşenler
NADİRE ÇAMLI YILDIRIM

https://haberajandanet.com/Article/uzerlerine-cig-dusenler/qSSOoFAzCdAxj6clox9y…

#VefaDestekTimleri #Nefret #EvdeBakım #EvdeKal",,,1,5,"['VefaDestekTimleri', 'Nefret', 'EvdeBakım', 'EvdeKal']"
